"country_code","manifest_path","instrument","wave_count","year_min","year_max","geography_grain","grain_label_verbatim","value_basis","no_religion_category","not_stated_handling","universe_basis_verbatim","licence_posture","small_cell_marks","boundary_licence_verbatim"
"AL","docs/manifests/al-census-religion-2011-2023.json","census_affiliation","2","2011","2023","adm1","prefecture","counts_and_percent","present","unknown","stated responses (named religions plus atheists, excluding prefer-not-to-answer and not-stated/not-available); affiliation = named religions including believers without denomination, no religion = atheists","accepted_open","unknown","Public Domain (geoBoundaries gbOpen; boundary source geoBoundaries and Wikipedia)"
"AR","docs/manifests/ar-survey-religion-2008-2019.json","survey_estimate","2","2008","2019","adm1","macro_region","percent_only","present","unknown","unknown","needs_review_build_then_ask","unknown","unknown"
"AT","docs/manifests/at-religious-affiliation-1951-2021.json","survey_estimate","7","1951","2021","adm1","bundesland","counts_and_percent","present","separate_line_in_denominator","source total population; not-stated census responses remain in the 1951-2001 denominator","accepted_open","unknown","unknown"
"AU","docs/manifests/au-census-religion-2016-2021.json","census_affiliation","2","2016","2021","adm2","sa2","counts_and_percent","present","unknown","people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)","accepted_open","unknown","unknown"
"BA","docs/manifests/ba-census-religion-2013.json","census_affiliation","1","2013","2013","adm1","municipality","counts_and_percent","present","separate_line_in_denominator","BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).","needs_review_build_then_ask","unknown","Public Domain (geoBoundaries gbOpen release metadata: boundaryLicense 'Public Domain', licenseSource commons.wikimedia.org/wiki/File)"
"BB","docs/manifests/bb-census-religion-2010.json","census_affiliation","1","2010","2010","adm1","parish","counts_and_percent","present","unknown","2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.","accepted_open","unknown","Creative Commons Attribution 2.5 Generic"
"BD","docs/manifests/bd-census-religion-2011-2022.json","census_affiliation","2","2011","2022","adm1","district","counts_and_percent","reference_complement_only","unknown","sum of the five religion categories in each wave's district table","needs_review_build_then_ask","present","Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"
"BD","docs/manifests/bd-census-religion-2022.json","census_affiliation","1","2022","2022","adm1","district","counts_and_percent","reference_complement_only","absent","sum of the five religion Total columns (male + female classified population); excludes 8,124 hijra classified only at division level","needs_review_build_then_ask","unknown","Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"
"BF","docs/manifests/bf-census-religion-2006-2019.json","census_affiliation","2","2006","2019","adm1","region","counts_and_percent","present","unknown","unknown","needs_review_build_then_ask","unknown","unknown"
"BG","docs/manifests/bg-census-religion-2001-2021.json","census_affiliation","3","2001","2021","adm1","district","counts_and_percent","unknown","unknown","unknown","needs_review_build_then_ask","unknown","European Commission reuse policy; source acknowledgement required"
"BH","docs/manifests/bh-census-religion-2020.json","census_affiliation","1","2020","2020","national","adm0","counts_and_percent","reference_complement_only","absent","All persons, Bahrain 2020 census (Total 1501635; Bahraini 712362, Non-Bahraini 789273), from the iGA data.gov.bh cut Population by Religion, Nationality and Sex - Census 2020. Under the minority-share two-slot design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share (the Others line); the published frame is two lines only (Muslim / Others, مسلم / أخرى) with no no-religion and no not-stated category. The census does not split Muslim into Sunni/Shia.","accepted_open","unknown","unknown"
"BR","docs/manifests/br-census-religion-2000-2022.json","census_affiliation","3","2000","2022","adm1","municipality | uf","counts_and_percent","present","unknown","Total minus Sem declaração","needs_review_build_then_ask","unknown","unknown"
"BS","docs/manifests/bs-census-religion-2010.json","census_affiliation","1","2010","2010","adm1","island","counts_and_percent","present","unknown","stated responses (island total minus not stated); affiliation = named religions, no religion = NONE","accepted_open","unknown","Creative Commons Attribution 4.0 International (CC BY 4.0); boundary source recorded by geoBoundaries as the Caribbean GeoPortal"
"BZ","docs/manifests/bz-census-religion-2000-2022.json","census_affiliation","3","2000","2022","adm1","district","counts_and_percent","present","unknown","unknown","needs_review_build_then_ask","unknown","Creative Commons Attribution 2.5 Generic"
"CA","docs/manifests/ca-census-religion-2001-2021.json","census_affiliation","3","2001","2021","adm2","cd_2001 | cd_2011 | cd_2021","counts_and_percent","present","unknown","unknown","accepted_open","unknown","unknown"
"CH","docs/manifests/ch-census-religion-1970-2000.json","census_affiliation","4","1970","2000","adm1","canton","counts_and_percent","present","unknown","FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.","accepted_open","unknown","unknown"
"CH","docs/manifests/ch-structural-survey-religion-2010-2024.json","survey_estimate","15","2010","2024","adm1","canton","weighted_estimates_with_uncertainty","present","unknown","FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.","accepted_open","unknown","unknown"
"CI","docs/manifests/ci-census-religion-2021.json","census_affiliation","1","2021","2021","adm2","sub_prefecture_or_commune","counts_and_percent","present","separate_line_in_denominator","ordinary-household religion basis, derived exactly as the sum of each row's 16 printed categories","needs_review_build_then_ask","unknown","unknown"
"CK","docs/manifests/ck-census-religion-2006-2021.json","census_affiliation","3","2011","2021","adm1","island","counts_and_percent","present","unknown","resident population, all ages, in every wave; the religion question was not compulsory","accepted_open","unknown","unknown"
"CL","docs/manifests/cl-census-religion-2002-2024.json","census_affiliation","2","2002","2024","adm1","commune","counts_and_percent","present","unknown","unknown","accepted_open","unknown","Instituto Nacional de Estadisticas (INE) open-data licence. The INE terms (ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos, retrieved 2026-07-12) state: 'El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional' (CC BY-SA 4.0): free reuse including commercial, with attribution ('Fuente: INE, nombre del producto ..., actualizada AAAA') and share-alike, and a requirement to state that any derivation is not INE's own analysis."
"CV","docs/manifests/cv-census-religion-2010-2021.json","census_affiliation","2","2010","2021","adm1","concelho","counts_and_percent","present","unknown","unknown","needs_review_build_then_ask","unknown","Open Data Commons Open Database License 1.0"
"CZ","docs/manifests/cz-census-religion-2021.json","census_affiliation","1","2021","2021","adm1","kraj","counts_and_percent","present","unknown","obyvatelstvo celkem minus neuvedeno (not stated)","accepted_open","unknown","GISCO download provisions with attribution; administrative boundaries © EuroGeographics"
"DE","docs/manifests/de-census-religion-2011-2022.json","census_affiliation","2","2011","2022","adm2","kreis","counts_and_percent","not_applicable_register_construct","not_applicable","Zensus compact RELZG2 table total persons (Insgesamt)","accepted_open","unknown","unknown"
"DK","docs/manifests/dk-membership-2011-2026.json","administrative_register_membership","16","2011","2026","mixed","kommune | sogn","counts_and_percent","not_applicable_register_construct","not_applicable","unknown","accepted_open","unknown","KDS geographical data, Creative Commons Attribution 4.0 International"
"DM","docs/manifests/dm-census-religion-1991-2011.json","census_affiliation","3","1991","2011","national","adm0","counts_and_percent","present","unknown","religion universe per wave (Table 6.1 national total): 69,466 / 69,775 / 69,325","accepted_open","unknown","Creative Commons Attribution 2.5 Generic"
"EE","docs/manifests/ee-census-religion-2000-2021.json","census_affiliation","3","2000","2021","adm1","county","counts_and_percent","present","unknown","population aged 15 and over","accepted_open","unknown","Estonian Land and Spatial Development Board open-data licence; source and data vintage attribution required"
"ES","docs/manifests/es-cis-religion-2025.json","survey_estimate","1","2025","2025","adm1","autonomous_community","weighted_estimates_with_uncertainty","present","unknown","unknown","accepted_open","present","unknown"
"FI","docs/manifests/fi-religious-community-membership-1990-2025.json","administrative_register_membership","36","1990","2025","national","adm0","counts_and_percent","present","unknown","unknown","accepted_open","unknown","Open Data Commons Open Database License 1.0"
"FJ","docs/manifests/fj-census-religion-2007.json","census_affiliation","1","2007","2007","adm1","province","counts_and_percent","present","separate_line_in_denominator","province Total from Table P01-3; an unprinted not-stated residual remains in the denominator and outside both headline numerators","needs_review_build_then_ask","unknown","unknown"
"FM","docs/manifests/fm-census-religion-2000-2023.json","census_affiliation","3","2000","2023","adm1","state","counts_and_percent","present","folded_or_prorated","unknown","needs_review_build_then_ask","unknown","Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"
"GD","docs/manifests/gd-census-religion-2021.json","census_affiliation","1","2021","2021","adm1","parish","counts_and_percent","present","unknown","Whole enumerated 2021 census population, all ages, from Table 23 ('Population by Religion and Parish') of the CSO 2021 PRELIMINARY census results. The parish denominator is the sum of all 26 verbatim religion categories, including the 'Not Stated' non-response line. PRELIMINARY source: figures are official CSO counts and reconcile exactly, but may be revised when the final 2021 report is published.","accepted_open","present","unknown"
"GE","docs/manifests/ge-census-religion-2002-2024.json","census_affiliation","3","2002","2024","adm1","region","counts_and_percent","present","unknown","unknown","accepted_open","unknown","Creative Commons Attribution 3.0 License"
"GH","docs/manifests/gh-census-religion-2010-2021.json","census_affiliation","2","2010","2021","adm1","region","counts_and_percent","present","unknown","census religion table total; no not-stated category is excluded","accepted_open","unknown","Creative Commons Attribution-ShareAlike 2.0 (CC BY-SA 2.0); boundary source OpenStreetMap contributors"
"GN","docs/manifests/gn-census-religion-2014.json","census_affiliation","1","2014","2014","adm1","region","percent_only","present","unknown","INS RGPH-3 2014, État et structure de la population, Table 5.10: resident population by administrative region. The source publishes one-decimal percentage shares only, with no counts, so population_total and all counts are null; percentages are shipped as printed. Region resident totals exist in Table 2.09 but are not multiplied into the shares (no derived-count layer).","accepted_open","unknown","unknown"
"GW","docs/manifests/gw-census-religion-2009.json","census_affiliation","1","2009","2009","adm1","region","percent_only","present","unknown","INE RGPH-2009, Características socioculturais, Quadro 4: religion by region as one-decimal column percentages of each region's Guinean-nationality resident population. The source publishes percentage shares only, with no regional counts; population_total and all counts are therefore null; percentages are shipped as printed. National counts (Quadro 3/5) are recorded as context and are not multiplied into the shares (no derived-count layer).","needs_review_build_then_ask","unknown","unknown"
