"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","catholique_percent","protestant_percent","islam_percent","autre_religion_percent","sans_religion_percent","non_declare_percent"
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-MP","CF-MP","Ombella-Mpoko",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,95.3,,3.2,,,,31554.5224,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict;source_row_sums_to_100,1_within_derived_rounding_bound_0.30pp",26.5,59.3,6.9,2.7,3.2,1.5
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-LB","CF-LB","Lobaye",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,87.7,,9.2,,,,18390.1791,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict;source_row_sums_to_100,1_within_derived_rounding_bound_0.30pp",36.1,35.1,7.6,9,9.2,3.1
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-HS","CF-HS","Mambere-Kadei",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,90.5,,7.4,,,,29914.2613,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",18.5,46.7,14.6,10.7,7.4,2.1
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-NM","CF-NM","Nana-Mambere",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,95.9,,2.9,,,,27227.7591,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict;source_row_sums_to_99,9_within_derived_rounding_bound_0.30pp",15.2,61.2,16.6,2.8,2.9,1.2
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-SE","CF-SE","Sangha-Mbaere",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,95.1,,4.3,,,,18493.9385,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",35.2,49.6,8.7,1.6,4.3,0.6
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-OP","CF-OP","Ouham-Pende",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,96.5,,1.4,,,,32296.5958,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict;source_row_sums_to_100,1_within_derived_rounding_bound_0.30pp",23.6,57.1,13,2.9,1.4,2.1
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-AC","CF-AC","Ouham",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,95,,3.7,,,,53190.7364,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",26.7,64.7,2.3,1.3,3.7,1.3
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-KG","CF-KG","Kemo",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,98,,1,,,,16453.3116,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict;source_row_sums_to_100,1_within_derived_rounding_bound_0.30pp",30.9,63.1,3.1,1,1,1
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-KB","CF-KB","Nana-Grebizi",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,96.8,,1.8,,,,19803.6872,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict;source_row_sums_to_99,9_within_derived_rounding_bound_0.30pp",40.8,50.1,2.1,3.7,1.8,1.4
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-UK","CF-UK","Ouaka",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,95.6,,3.1,,,,49176.7531,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",41.7,43.6,7,3.3,3.1,1.3
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-BB","CF-BB","Bamingui-Bangoran",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,93.2,,6.3,,,,58236.8616,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",23.9,17.1,44.3,7.9,6.3,0.5
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-HK","CF-HK","Haute-Kotto",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,95.1,,3,,,,86836.8048,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",31.8,37.4,23.5,2.4,3,1.9
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-VK","CF-VK","Vakaga",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,96.1,,1.9,,,,46731.5414,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",6,4.3,85.6,0.2,1.9,2
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-BK","CF-BK","Basse-Kotto",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,95.9,,2.5,,,,16568.6287,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",22.2,61.5,7.3,4.9,2.5,1.6
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-MB","CF-MB","Mbomou",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,97.2,,2,,,,60470.4074,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",25,63.1,4.4,4.7,2,0.8
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-HM","CF-HM","Haut-Mbomou",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,98.5,,1.2,,,,56792.6278,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",49.5,37.7,6.3,5,1.2,0.3
"CF","cf-adm1-2006-geoboundaries-adm1","adm1","cf-adm1-2006-geoboundaries-adm1:CF-BGF","CF-BGF","Bangui",2003,,"DGSEES/ICASEES RGPH 2003, Les caractéristiques socioculturelles de la population centrafricaine, Tableau soc 6.15: population résidente des ménages ordinaires de 0 an ou plus by groupe religieux and préfecture. The table prints one-decimal row percentages only; this report prints no préfecture population table, so population_total and every count are null and no count is derived from any percentage. Commune totals exist in a separate file of the same zip (Pop RCA par commune par sexe et selon le milresid.pdf) and are not carried.",,96.4,,2.8,,,,268.9685,,,"icasees-rgph-2003-socio-tableau-soc-6-15|geoboundaries-gbopen-caf-adm1-9469f09","census_affiliation;denominator_resident_population_menages_ordinaires;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;single_wave_2003;religious_change_withheld;affiliation=100_minus_sans_religion_minus_non_declare;no_religion=sans_religion;non_declare_in_denominator_outside_both_numerators;boundary_2006_geoboundaries_cc_by_2_5;census_icasees_cc_by_4_0;sensitivity_note_pi_ruling_pending_2003_record_predates_2013_conflict",37.2,45.8,8.1,5.3,2.8,0.8
