"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"AL","al-prefecture-2023-geoboundaries-adm1","prefecture","al-prefecture-2023-geoboundaries-adm1:berat","berat","Berat",2011,141944,"prefecture resident-population total from INSTAT Census 2011 (prefecture booklet table 1.1.13); the stated-response denominator for the percentages excludes the non-response categories (prefer-not-to-answer and not-stated/not-relevant)",,95.68,,4.32,,,,1816.97,,,"instat-census2011-prefecture-booklets-tab1113-religion|geoboundaries-alb-adm1-2023","stated_response_denominator_excludes_nonresponse;named_religions_in_religious_affiliation;believers_without_denomination_counted_as_affiliation;no_religion_category_is_atheist;population_denominator_exact_from_census_religion_table;nonresponse_share_of_residents_percent=20.81;census_2011_first_post_communist_religion_question"
"AL","al-prefecture-2023-geoboundaries-adm1","prefecture","al-prefecture-2023-geoboundaries-adm1:diber","diber","Dibër",2011,137047,"prefecture resident-population total from INSTAT Census 2011 (prefecture booklet table 1.1.13); the stated-response denominator for the percentages excludes the non-response categories (prefer-not-to-answer and not-stated/not-relevant)",,99.27,,0.73,,,,2533.58,,,"instat-census2011-prefecture-booklets-tab1113-religion|geoboundaries-alb-adm1-2023","stated_response_denominator_excludes_nonresponse;named_religions_in_religious_affiliation;believers_without_denomination_counted_as_affiliation;no_religion_category_is_atheist;population_denominator_exact_from_census_religion_table;nonresponse_share_of_residents_percent=7.57;census_2011_first_post_communist_religion_question"
"AL","al-prefecture-2023-geoboundaries-adm1","prefecture","al-prefecture-2023-geoboundaries-adm1:durres","durres","Durrës",2011,262785,"prefecture resident-population total from INSTAT Census 2011 (prefecture booklet table 1.1.13); the stated-response denominator for the percentages excludes the non-response categories (prefer-not-to-answer and not-stated/not-relevant)",,98.69,,1.31,,,,751.25,,,"instat-census2011-prefecture-booklets-tab1113-religion|geoboundaries-alb-adm1-2023","stated_response_denominator_excludes_nonresponse;named_religions_in_religious_affiliation;believers_without_denomination_counted_as_affiliation;no_religion_category_is_atheist;population_denominator_exact_from_census_religion_table;nonresponse_share_of_residents_percent=15.5;census_2011_first_post_communist_religion_question"
"AL","al-prefecture-2023-geoboundaries-adm1","prefecture","al-prefecture-2023-geoboundaries-adm1:elbasan","elbasan","Elbasan",2011,295827,"prefecture resident-population total from INSTAT Census 2011 (prefecture booklet table 1.1.13); the stated-response denominator for the percentages excludes the non-response categories (prefer-not-to-answer and not-stated/not-relevant)",,96.14,,3.86,,,,3362.36,,,"instat-census2011-prefecture-booklets-tab1113-religion|geoboundaries-alb-adm1-2023","stated_response_denominator_excludes_nonresponse;named_religions_in_religious_affiliation;believers_without_denomination_counted_as_affiliation;no_religion_category_is_atheist;population_denominator_exact_from_census_religion_table;nonresponse_share_of_residents_percent=15.32;census_2011_first_post_communist_religion_question"
"AL","al-prefecture-2023-geoboundaries-adm1","prefecture","al-prefecture-2023-geoboundaries-adm1:fier","fier","Fier",2011,310331,"prefecture resident-population total from INSTAT Census 2011 (prefecture booklet table 1.1.13); the stated-response denominator for the percentages excludes the non-response categories (prefer-not-to-answer and not-stated/not-relevant)",,95.27,,4.73,,,,1867.25,,,"instat-census2011-prefecture-booklets-tab1113-religion|geoboundaries-alb-adm1-2023","stated_response_denominator_excludes_nonresponse;named_religions_in_religious_affiliation;believers_without_denomination_counted_as_affiliation;no_religion_category_is_atheist;population_denominator_exact_from_census_religion_table;nonresponse_share_of_residents_percent=23.8;census_2011_first_post_communist_religion_question"
"AL","al-prefecture-2023-geoboundaries-adm1","prefecture","al-prefecture-2023-geoboundaries-adm1:gjirokaster","gjirokaster","Gjirokastër",2011,72176,"prefecture resident-population total from INSTAT Census 2011 (prefecture booklet table 1.1.13); the stated-response denominator for the percentages excludes the non-response categories (prefer-not-to-answer and not-stated/not-relevant)",,92.26,,7.74,,,,2972.91,,,"instat-census2011-prefecture-booklets-tab1113-religion|geoboundaries-alb-adm1-2023","stated_response_denominator_excludes_nonresponse;named_religions_in_religious_affiliation;believers_without_denomination_counted_as_affiliation;no_religion_category_is_atheist;population_denominator_exact_from_census_religion_table;nonresponse_share_of_residents_percent=18.57;census_2011_first_post_communist_religion_question"
"AL","al-prefecture-2023-geoboundaries-adm1","prefecture","al-prefecture-2023-geoboundaries-adm1:korce","korce","Korçë",2011,220357,"prefecture resident-population total from INSTAT Census 2011 (prefecture booklet table 1.1.13); the stated-response denominator for the percentages excludes the non-response categories (prefer-not-to-answer and not-stated/not-relevant)",,97.92,,2.08,,,,3530.6,,,"instat-census2011-prefecture-booklets-tab1113-religion|geoboundaries-alb-adm1-2023","stated_response_denominator_excludes_nonresponse;named_religions_in_religious_affiliation;believers_without_denomination_counted_as_affiliation;no_religion_category_is_atheist;population_denominator_exact_from_census_religion_table;nonresponse_share_of_residents_percent=12.54;census_2011_first_post_communist_religion_question"
"AL","al-prefecture-2023-geoboundaries-adm1","prefecture","al-prefecture-2023-geoboundaries-adm1:kukes","kukes","Kukës",2011,85292,"prefecture resident-population total from INSTAT Census 2011 (prefecture booklet table 1.1.13); the stated-response denominator for the percentages excludes the non-response categories (prefer-not-to-answer and not-stated/not-relevant)",,99.63,,0.37,,,,2463.89,,,"instat-census2011-prefecture-booklets-tab1113-religion|geoboundaries-alb-adm1-2023","stated_response_denominator_excludes_nonresponse;named_religions_in_religious_affiliation;believers_without_denomination_counted_as_affiliation;no_religion_category_is_atheist;population_denominator_exact_from_census_religion_table;nonresponse_share_of_residents_percent=10.68;census_2011_first_post_communist_religion_question"
"AL","al-prefecture-2023-geoboundaries-adm1","prefecture","al-prefecture-2023-geoboundaries-adm1:lezhe","lezhe","Lezhë",2011,134027,"prefecture resident-population total from INSTAT Census 2011 (prefecture booklet table 1.1.13); the stated-response denominator for the percentages excludes the non-response categories (prefer-not-to-answer and not-stated/not-relevant)",,99.85,,0.15,,,,1540.51,,,"instat-census2011-prefecture-booklets-tab1113-religion|geoboundaries-alb-adm1-2023","stated_response_denominator_excludes_nonresponse;named_religions_in_religious_affiliation;believers_without_denomination_counted_as_affiliation;no_religion_category_is_atheist;population_denominator_exact_from_census_religion_table;nonresponse_share_of_residents_percent=11.13;census_2011_first_post_communist_religion_question"
"AL","al-prefecture-2023-geoboundaries-adm1","prefecture","al-prefecture-2023-geoboundaries-adm1:shkoder","shkoder","Shkodër",2011,215347,"prefecture resident-population total from INSTAT Census 2011 (prefecture booklet table 1.1.13); the stated-response denominator for the percentages excludes the non-response categories (prefer-not-to-answer and not-stated/not-relevant)",,99.85,,0.15,,,,3443.48,,,"instat-census2011-prefecture-booklets-tab1113-religion|geoboundaries-alb-adm1-2023","stated_response_denominator_excludes_nonresponse;named_religions_in_religious_affiliation;believers_without_denomination_counted_as_affiliation;no_religion_category_is_atheist;population_denominator_exact_from_census_religion_table;nonresponse_share_of_residents_percent=6.96;census_2011_first_post_communist_religion_question"
