"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"AR","ar-macroregion-codab-adm2-dissolve","macro_region","ar-macroregion-codab-adm2-dissolve:amba","amba","AMBA",2008,,"CEIL-CONICET Primera Encuesta 2008, region table (Base: 2403 casos, national); survey estimate as one-decimal percentages, no counts published. Region subsample roughly 400; larger unpublished margin than the national +/- 2% at 95%.",,81.9,,18,,,,3978.7269,,,"ceil-conicet-2008-primera-encuesta-region-table|codab-arg-adm2-unhcr2017","survey_construct_ceil_conicet_encuesta_creencias_y_actitudes_religiosas;own_datanoun_survey_never_blended_with_census_affiliation;percentages_only_no_counts_no_derivation_from_percent;region_frame_stable_across_waves_amba_centro_noa_nea_cuyo_patagonia;regional_estimates_from_subsamples_~400_uncertainty_larger_than_national_2pct_margin_at_95;change_withheld_2008_indiferentes_vs_2019_sin_religion_and_2019_affiliation_disclosed_lower_bound;boundary_codab_adm2_unhcr2017_custom_dissolve_cc_by_igo;amba_split_caba_plus_24_gba_partidos_indec;centro_takes_rest_of_buenos_aires_province;wave_2008_primera_encuesta_ceil_conicet_2403_casos_source_label_capital_y_gba=amba_sur=patagonia;affiliation=catolica+evangelica+testigos_mormones+otras;no_religion=indiferentes;indiferentes_defined_agnosticos_ateos_y_ninguna_religion_de_pertenencia;source_column_sums_to_99.9_within_derived_0.25pp_one_decimal_bound;licence_needs_review_2008_build_then_ask_ceil_conicet_attribution"
"AR","ar-macroregion-codab-adm2-dissolve","macro_region","ar-macroregion-codab-adm2-dissolve:centro","centro","Centro",2008,,"CEIL-CONICET Primera Encuesta 2008, region table (Base: 2403 casos, national); survey estimate as one-decimal percentages, no counts published. Region subsample roughly 400; larger unpublished margin than the national +/- 2% at 95%.",,90.6,,9.4,,,,822122.4627,,,"ceil-conicet-2008-primera-encuesta-region-table|codab-arg-adm2-unhcr2017","survey_construct_ceil_conicet_encuesta_creencias_y_actitudes_religiosas;own_datanoun_survey_never_blended_with_census_affiliation;percentages_only_no_counts_no_derivation_from_percent;region_frame_stable_across_waves_amba_centro_noa_nea_cuyo_patagonia;regional_estimates_from_subsamples_~400_uncertainty_larger_than_national_2pct_margin_at_95;change_withheld_2008_indiferentes_vs_2019_sin_religion_and_2019_affiliation_disclosed_lower_bound;boundary_codab_adm2_unhcr2017_custom_dissolve_cc_by_igo;amba_split_caba_plus_24_gba_partidos_indec;centro_takes_rest_of_buenos_aires_province;wave_2008_primera_encuesta_ceil_conicet_2403_casos_source_label_capital_y_gba=amba_sur=patagonia;affiliation=catolica+evangelica+testigos_mormones+otras;no_religion=indiferentes;indiferentes_defined_agnosticos_ateos_y_ninguna_religion_de_pertenencia;licence_needs_review_2008_build_then_ask_ceil_conicet_attribution"
"AR","ar-macroregion-codab-adm2-dissolve","macro_region","ar-macroregion-codab-adm2-dissolve:noa","noa","NOA",2008,,"CEIL-CONICET Primera Encuesta 2008, region table (Base: 2403 casos, national); survey estimate as one-decimal percentages, no counts published. Region subsample roughly 400; larger unpublished margin than the national +/- 2% at 95%.",,98.2,,1.8,,,,562092.6783,,,"ceil-conicet-2008-primera-encuesta-region-table|codab-arg-adm2-unhcr2017","survey_construct_ceil_conicet_encuesta_creencias_y_actitudes_religiosas;own_datanoun_survey_never_blended_with_census_affiliation;percentages_only_no_counts_no_derivation_from_percent;region_frame_stable_across_waves_amba_centro_noa_nea_cuyo_patagonia;regional_estimates_from_subsamples_~400_uncertainty_larger_than_national_2pct_margin_at_95;change_withheld_2008_indiferentes_vs_2019_sin_religion_and_2019_affiliation_disclosed_lower_bound;boundary_codab_adm2_unhcr2017_custom_dissolve_cc_by_igo;amba_split_caba_plus_24_gba_partidos_indec;centro_takes_rest_of_buenos_aires_province;wave_2008_primera_encuesta_ceil_conicet_2403_casos_source_label_capital_y_gba=amba_sur=patagonia;affiliation=catolica+evangelica+testigos_mormones+otras;no_religion=indiferentes;indiferentes_defined_agnosticos_ateos_y_ninguna_religion_de_pertenencia;licence_needs_review_2008_build_then_ask_ceil_conicet_attribution"
"AR","ar-macroregion-codab-adm2-dissolve","macro_region","ar-macroregion-codab-adm2-dissolve:nea","nea","NEA",2008,,"CEIL-CONICET Primera Encuesta 2008, region table (Base: 2403 casos, national); survey estimate as one-decimal percentages, no counts published. Region subsample roughly 400; larger unpublished margin than the national +/- 2% at 95%.",,96.7,,3.2,,,,294806.8806,,,"ceil-conicet-2008-primera-encuesta-region-table|codab-arg-adm2-unhcr2017","survey_construct_ceil_conicet_encuesta_creencias_y_actitudes_religiosas;own_datanoun_survey_never_blended_with_census_affiliation;percentages_only_no_counts_no_derivation_from_percent;region_frame_stable_across_waves_amba_centro_noa_nea_cuyo_patagonia;regional_estimates_from_subsamples_~400_uncertainty_larger_than_national_2pct_margin_at_95;change_withheld_2008_indiferentes_vs_2019_sin_religion_and_2019_affiliation_disclosed_lower_bound;boundary_codab_adm2_unhcr2017_custom_dissolve_cc_by_igo;amba_split_caba_plus_24_gba_partidos_indec;centro_takes_rest_of_buenos_aires_province;wave_2008_primera_encuesta_ceil_conicet_2403_casos_source_label_capital_y_gba=amba_sur=patagonia;affiliation=catolica+evangelica+testigos_mormones+otras;no_religion=indiferentes;indiferentes_defined_agnosticos_ateos_y_ninguna_religion_de_pertenencia;source_column_sums_to_99.9_within_derived_0.25pp_one_decimal_bound;licence_needs_review_2008_build_then_ask_ceil_conicet_attribution"
"AR","ar-macroregion-codab-adm2-dissolve","macro_region","ar-macroregion-codab-adm2-dissolve:cuyo","cuyo","Cuyo",2008,,"CEIL-CONICET Primera Encuesta 2008, region table (Base: 2403 casos, national); survey estimate as one-decimal percentages, no counts published. Region subsample roughly 400; larger unpublished margin than the national +/- 2% at 95%.",,94.8,,5.3,,,,312852.7179,,,"ceil-conicet-2008-primera-encuesta-region-table|codab-arg-adm2-unhcr2017","survey_construct_ceil_conicet_encuesta_creencias_y_actitudes_religiosas;own_datanoun_survey_never_blended_with_census_affiliation;percentages_only_no_counts_no_derivation_from_percent;region_frame_stable_across_waves_amba_centro_noa_nea_cuyo_patagonia;regional_estimates_from_subsamples_~400_uncertainty_larger_than_national_2pct_margin_at_95;change_withheld_2008_indiferentes_vs_2019_sin_religion_and_2019_affiliation_disclosed_lower_bound;boundary_codab_adm2_unhcr2017_custom_dissolve_cc_by_igo;amba_split_caba_plus_24_gba_partidos_indec;centro_takes_rest_of_buenos_aires_province;wave_2008_primera_encuesta_ceil_conicet_2403_casos_source_label_capital_y_gba=amba_sur=patagonia;affiliation=catolica+evangelica+testigos_mormones+otras;no_religion=indiferentes;indiferentes_defined_agnosticos_ateos_y_ninguna_religion_de_pertenencia;source_column_sums_to_100.1_within_derived_0.25pp_one_decimal_bound;licence_needs_review_2008_build_then_ask_ceil_conicet_attribution"
"AR","ar-macroregion-codab-adm2-dissolve","macro_region","ar-macroregion-codab-adm2-dissolve:patagonia","patagonia","Patagonia",2008,,"CEIL-CONICET Primera Encuesta 2008, region table (Base: 2403 casos, national); survey estimate as one-decimal percentages, no counts published. Region subsample roughly 400; larger unpublished margin than the national +/- 2% at 95%.",,88.3,,11.7,,,,784470.4465,,,"ceil-conicet-2008-primera-encuesta-region-table|codab-arg-adm2-unhcr2017","survey_construct_ceil_conicet_encuesta_creencias_y_actitudes_religiosas;own_datanoun_survey_never_blended_with_census_affiliation;percentages_only_no_counts_no_derivation_from_percent;region_frame_stable_across_waves_amba_centro_noa_nea_cuyo_patagonia;regional_estimates_from_subsamples_~400_uncertainty_larger_than_national_2pct_margin_at_95;change_withheld_2008_indiferentes_vs_2019_sin_religion_and_2019_affiliation_disclosed_lower_bound;boundary_codab_adm2_unhcr2017_custom_dissolve_cc_by_igo;amba_split_caba_plus_24_gba_partidos_indec;centro_takes_rest_of_buenos_aires_province;wave_2008_primera_encuesta_ceil_conicet_2403_casos_source_label_capital_y_gba=amba_sur=patagonia;affiliation=catolica+evangelica+testigos_mormones+otras;no_religion=indiferentes;indiferentes_defined_agnosticos_ateos_y_ninguna_religion_de_pertenencia;licence_needs_review_2008_build_then_ask_ceil_conicet_attribution"
"AR","ar-macroregion-codab-adm2-dissolve","macro_region","ar-macroregion-codab-adm2-dissolve:amba","amba","AMBA",2019,,"CEIL-CONICET Segunda Encuesta 2019 (Informe nº 25), region chart (Base: 2421 casos, national); survey estimate as one-decimal percentages, no counts published. Universe 18+ in urban localities of at least 5,000 inhabitants. Region subsample roughly 400; larger unpublished margin than the national +/- 2% at 95%.",,71.4,,26.2,,,,3978.7269,,,"ceil-conicet-2019-informe25-adscripcion-region|mallimaci-esquivel-gimenez-beliveau-2020-sociedad-y-religion-30-55|codab-arg-adm2-unhcr2017","survey_construct_ceil_conicet_encuesta_creencias_y_actitudes_religiosas;own_datanoun_survey_never_blended_with_census_affiliation;percentages_only_no_counts_no_derivation_from_percent;region_frame_stable_across_waves_amba_centro_noa_nea_cuyo_patagonia;regional_estimates_from_subsamples_~400_uncertainty_larger_than_national_2pct_margin_at_95;change_withheld_2008_indiferentes_vs_2019_sin_religion_and_2019_affiliation_disclosed_lower_bound;boundary_codab_adm2_unhcr2017_custom_dissolve_cc_by_igo;amba_split_caba_plus_24_gba_partidos_indec;centro_takes_rest_of_buenos_aires_province;wave_2019_segunda_encuesta_informe_25_source_of_record_2421_casos;chart_prints_only_values_above_2pct_Se_consignan_en_el_gráfico_valores_superiores_al_2%;affiliation_is_disclosed_lower_bound_printed_above_2pct_affiliation_categories_only_below_2pct_omitted;affiliation=catolica+evangelica+printed_testigos_mormones;no_religion=sin_religion;printed_values_sum_to_97.6_do_not_sum_to_100_below_2pct_categories_omitted;licence_cc_by_nc_sa_4_0_via_mallimaci_esquivel_gimenez_beliveau_2020_noncommercial_pi_ruling_pending"
"AR","ar-macroregion-codab-adm2-dissolve","macro_region","ar-macroregion-codab-adm2-dissolve:centro","centro","Centro",2019,,"CEIL-CONICET Segunda Encuesta 2019 (Informe nº 25), region chart (Base: 2421 casos, national); survey estimate as one-decimal percentages, no counts published. Universe 18+ in urban localities of at least 5,000 inhabitants. Region subsample roughly 400; larger unpublished margin than the national +/- 2% at 95%.",,79.5,,18.6,,,,822122.4627,,,"ceil-conicet-2019-informe25-adscripcion-region|mallimaci-esquivel-gimenez-beliveau-2020-sociedad-y-religion-30-55|codab-arg-adm2-unhcr2017","survey_construct_ceil_conicet_encuesta_creencias_y_actitudes_religiosas;own_datanoun_survey_never_blended_with_census_affiliation;percentages_only_no_counts_no_derivation_from_percent;region_frame_stable_across_waves_amba_centro_noa_nea_cuyo_patagonia;regional_estimates_from_subsamples_~400_uncertainty_larger_than_national_2pct_margin_at_95;change_withheld_2008_indiferentes_vs_2019_sin_religion_and_2019_affiliation_disclosed_lower_bound;boundary_codab_adm2_unhcr2017_custom_dissolve_cc_by_igo;amba_split_caba_plus_24_gba_partidos_indec;centro_takes_rest_of_buenos_aires_province;wave_2019_segunda_encuesta_informe_25_source_of_record_2421_casos;chart_prints_only_values_above_2pct_Se_consignan_en_el_gráfico_valores_superiores_al_2%;affiliation_is_disclosed_lower_bound_printed_above_2pct_affiliation_categories_only_below_2pct_omitted;affiliation=catolica+evangelica+printed_testigos_mormones;printed_testigos_mormones_minor_2.5;no_religion=sin_religion;printed_values_sum_to_98.1_do_not_sum_to_100_below_2pct_categories_omitted;licence_cc_by_nc_sa_4_0_via_mallimaci_esquivel_gimenez_beliveau_2020_noncommercial_pi_ruling_pending"
"AR","ar-macroregion-codab-adm2-dissolve","macro_region","ar-macroregion-codab-adm2-dissolve:noa","noa","NOA",2019,,"CEIL-CONICET Segunda Encuesta 2019 (Informe nº 25), region chart (Base: 2421 casos, national); survey estimate as one-decimal percentages, no counts published. Universe 18+ in urban localities of at least 5,000 inhabitants. Region subsample roughly 400; larger unpublished margin than the national +/- 2% at 95%.",,92.7,,5,,,,562092.6783,,,"ceil-conicet-2019-informe25-adscripcion-region|mallimaci-esquivel-gimenez-beliveau-2020-sociedad-y-religion-30-55|codab-arg-adm2-unhcr2017","survey_construct_ceil_conicet_encuesta_creencias_y_actitudes_religiosas;own_datanoun_survey_never_blended_with_census_affiliation;percentages_only_no_counts_no_derivation_from_percent;region_frame_stable_across_waves_amba_centro_noa_nea_cuyo_patagonia;regional_estimates_from_subsamples_~400_uncertainty_larger_than_national_2pct_margin_at_95;change_withheld_2008_indiferentes_vs_2019_sin_religion_and_2019_affiliation_disclosed_lower_bound;boundary_codab_adm2_unhcr2017_custom_dissolve_cc_by_igo;amba_split_caba_plus_24_gba_partidos_indec;centro_takes_rest_of_buenos_aires_province;wave_2019_segunda_encuesta_informe_25_source_of_record_2421_casos;chart_prints_only_values_above_2pct_Se_consignan_en_el_gráfico_valores_superiores_al_2%;affiliation_is_disclosed_lower_bound_printed_above_2pct_affiliation_categories_only_below_2pct_omitted;affiliation=catolica+evangelica+printed_testigos_mormones;no_religion=sin_religion;printed_values_sum_to_97.7_do_not_sum_to_100_below_2pct_categories_omitted;licence_cc_by_nc_sa_4_0_via_mallimaci_esquivel_gimenez_beliveau_2020_noncommercial_pi_ruling_pending"
"AR","ar-macroregion-codab-adm2-dissolve","macro_region","ar-macroregion-codab-adm2-dissolve:nea","nea","NEA",2019,,"CEIL-CONICET Segunda Encuesta 2019 (Informe nº 25), region chart (Base: 2421 casos, national); survey estimate as one-decimal percentages, no counts published. Universe 18+ in urban localities of at least 5,000 inhabitants. Region subsample roughly 400; larger unpublished margin than the national +/- 2% at 95%.",,90.5,,7,,,,294806.8806,,,"ceil-conicet-2019-informe25-adscripcion-region|mallimaci-esquivel-gimenez-beliveau-2020-sociedad-y-religion-30-55|codab-arg-adm2-unhcr2017","survey_construct_ceil_conicet_encuesta_creencias_y_actitudes_religiosas;own_datanoun_survey_never_blended_with_census_affiliation;percentages_only_no_counts_no_derivation_from_percent;region_frame_stable_across_waves_amba_centro_noa_nea_cuyo_patagonia;regional_estimates_from_subsamples_~400_uncertainty_larger_than_national_2pct_margin_at_95;change_withheld_2008_indiferentes_vs_2019_sin_religion_and_2019_affiliation_disclosed_lower_bound;boundary_codab_adm2_unhcr2017_custom_dissolve_cc_by_igo;amba_split_caba_plus_24_gba_partidos_indec;centro_takes_rest_of_buenos_aires_province;wave_2019_segunda_encuesta_informe_25_source_of_record_2421_casos;chart_prints_only_values_above_2pct_Se_consignan_en_el_gráfico_valores_superiores_al_2%;affiliation_is_disclosed_lower_bound_printed_above_2pct_affiliation_categories_only_below_2pct_omitted;affiliation=catolica+evangelica+printed_testigos_mormones;no_religion=sin_religion;printed_values_sum_to_97.5_do_not_sum_to_100_below_2pct_categories_omitted;licence_cc_by_nc_sa_4_0_via_mallimaci_esquivel_gimenez_beliveau_2020_noncommercial_pi_ruling_pending"
