"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","not_stated_count","not_stated_percent","religious_change","places_of_worship_count","places_per_10000_residents","land_area_sq_km","place_density_per_sq_km","source_dataset_id","source_construct","source_note","quality_flag"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-1","AT-1","Burgenland","1951","276136","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","275438","99.75","445","0.16","253","0.09",,,,"3965.30473270798",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-2","AT-2","Kärnten","1951","474764","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","461122","97.13","13361","2.81","281","0.06",,,,"9545.13515230219",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-3","AT-3","Niederösterreich","1951","1400471","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1373645","98.08","26429","1.89","397","0.03",,,,"19199.5431726801",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-4","AT-4","Oberösterreich","1951","1108720","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1085687","97.92","22685","2.05","348","0.03",,,,"11987.5635278649",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-5","AT-5","Salzburg","1951","327232","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","314797","96.2","11911","3.64","524","0.16",,,,"7162.33197705633",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-6","AT-6","Steiermark","1951","1109335","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1060095","95.56","49031","4.42","209","0.02",,,,"16417.0825913355",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-7","AT-7","Tirol","1951","427465","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","419256","98.08","8025","1.88","184","0.04",,,,"12651.2135916081",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-8","AT-8","Vorarlberg","1951","193657","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","191589","98.93","1948","1.01","120","0.06",,,,"2603.75271088104",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-9","AT-9","Wien","1951","1616125","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1485184","91.9","130179","8.06","762","0.05",,,,"414.967380265824",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-1","AT-1","Burgenland","1961","271001","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","270462","99.8","487","0.18","52","0.02",,,,"3965.30473270798",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-2","AT-2","Kärnten","1961","495226","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","480829","97.09","14143","2.86","254","0.05",,,,"9545.13515230219",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-3","AT-3","Niederösterreich","1961","1374012","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1344500","97.85","29072","2.12","440","0.03",,,,"19199.5431726801",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-4","AT-4","Oberösterreich","1961","1131623","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1105743","97.71","25442","2.25","438","0.04",,,,"11987.5635278649",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-5","AT-5","Salzburg","1961","347292","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","335108","96.49","12033","3.46","151","0.04",,,,"7162.33197705633",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
