"year","metric","area_sum","source_national_total","difference","tolerance","status"
1951,"population_total",6933905,6933905,0,0,"matched"
1951,"religious_affiliation_count",6666813,6666813,0,0,"matched"
1951,"no_religion_count",264014,264014,0,0,"matched"
1951,"not_stated_count",3078,3078,0,0,"matched"
1961,"population_total",7073807,7073807,0,0,"matched"
1961,"religious_affiliation_count",6803825,6803825,0,0,"matched"
1961,"no_religion_count",266009,266009,0,0,"matched"
1961,"not_stated_count",3973,3973,0,0,"matched"
1971,"population_total",7491526,7491526,0,0,"matched"
1971,"religious_affiliation_count",7127546,7127546,0,0,"matched"
1971,"no_religion_count",321218,321218,0,0,"matched"
1971,"not_stated_count",42762,42762,0,0,"matched"
1981,"population_total",7555338,7555338,0,0,"matched"
1981,"religious_affiliation_count",7024282,7024282,0,0,"matched"
1981,"no_religion_count",452039,452039,0,0,"matched"
1981,"not_stated_count",79017,79017,0,0,"matched"
1991,"population_total",7795786,7795786,0,0,"matched"
1991,"religious_affiliation_count",6852570,6852570,0,0,"matched"
1991,"no_religion_count",672251,672251,0,0,"matched"
1991,"not_stated_count",270965,270965,0,0,"matched"
2001,"population_total",8032926,8032926,0,0,"matched"
2001,"religious_affiliation_count",6909001,6909001,0,0,"matched"
2001,"no_religion_count",963263,963263,0,0,"matched"
2001,"not_stated_count",160662,160662,0,0,"matched"
2021,"population_total",8935839.40415765,8935839.40415764,1.86264514923096e-09,1e-06,"matched"
2021,"religious_affiliation_count",6938145.4593493,6938145.45934929,3.72529029846191e-09,1e-06,"matched"
2021,"no_religion_count",1997693.94480835,1997693.94480835,6.98491930961609e-10,1e-06,"matched"
2021,"not_stated_count",0,0,0,1e-06,"matched"
