"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101021007","101021007","Braidwood",2021,3895,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",1969,50.55,1926,49.45,,,,3418.35,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101021008","101021008","Karabar",2021,7869,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",4865,61.82,3004,38.18,,,,6.98,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101021009","101021009","Queanbeyan",2021,10578,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",6431,60.8,4147,39.2,,,,4.76,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101021010","101021010","Queanbeyan - East",2021,4748,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",2799,58.95,1949,41.05,,,,13,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101021012","101021012","Queanbeyan West - Jerrabomberra",2021,12188,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",7426,60.93,4762,39.07,,,,13.67,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101021610","101021610","Googong",2021,5937,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",3710,62.49,2227,37.51,,,,6.92,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101021611","101021611","Queanbeyan Surrounds",2021,15377,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",8119,52.8,7258,47.2,,,,3047.71,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101031013","101031013","Bombala",2021,2191,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",1468,67,723,33,,,,3990.14,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101031014","101031014","Cooma",2021,6081,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",3594,59.1,2487,40.9,,,,103.64,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101031015","101031015","Cooma Surrounds",2021,3105,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",1849,59.55,1256,40.45,,,,6251.02,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101031016","101031016","Jindabyne - Berridale",2021,7331,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",3120,42.56,4211,57.44,,,,3939.79,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041017","101041017","Batemans Bay",2021,7881,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",4466,56.67,3415,43.33,,,,63.71,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041018","101041018","Batemans Bay - South",2021,8110,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",4616,56.92,3494,43.08,,,,30.59,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041019","101041019","Bega - Tathra",2021,8071,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",3939,48.8,4132,51.2,,,,183.9,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041020","101041020","Bega-Eden Hinterland",2021,8627,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",3856,44.7,4771,55.3,,,,4709.83,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041021","101041021","Broulee - Tomakin",2021,3521,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",1727,49.05,1794,50.95,,,,24.23,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041022","101041022","Deua - Wadbilliga",2021,40,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",18,45,22,55,,,,2782,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041023","101041023","Eden",2021,3082,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",1591,51.62,1491,48.38,,,,94.81,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041024","101041024","Eurobodalla Hinterland",2021,3086,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",1524,49.38,1562,50.62,,,,1460.01,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041025","101041025","Merimbula - Tura Beach",2021,10708,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",5348,49.94,5360,50.06,,,,97.34,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041026","101041026","Moruya - Tuross Head",2021,7749,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",4060,52.39,3689,47.61,,,,165.41,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
"AU","au-sa2-2021-asgs-ed3","sa2","au-sa2-2021-asgs-ed3:101041027","101041027","Narooma - Bermagui",2021,8918,"people counted at place of usual residence with a stated religious-affiliation response (ABS G14 Total Persons minus Religious affiliation not stated, which comprises Not stated and Inadequately described)",4261,47.78,4657,52.22,,,,252.65,,,"abs-2021-gcp-g14-sa2-aus|abs-asgs-ed3-sa2-2021-gda2020",""
