"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BA","ba-municipality-2013-geoboundaries-adm3","municipality","ba-municipality-2013-geoboundaries-adm3:bihac","bihac","BIHAĆ",2013,56261,"BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).",54487,96.8468,965,1.7152,,,,971.9883,,,"ba-census-2013-book2-t5-1-religion-by-municipality|geoboundaries-bih-adm3-2013","census_declared_religion;all_persons_all_ages_universe;single_select_declared_religion;religious_affiliation_percent_is_summed_named_religion_share;no_religion_percent_is_agnostic_plus_atheist;non_response_undeclared_plus_unknown_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2013_only_1991_held_ethnicity_not_religion_and_no_licensed_prewar_boundary;bhas_official_state_publication_rs_institute_disputed_methodology;boundary_geoboundaries_adm3_public_domain_2013_frame_with_name_crosswalk;source_area_name=BIHAĆ;boundary_source_name=Bihać;source_categories_verbatim=Islamska=50287;Pravoslavna=933;Katolička=2989;Muslimanska=137;Rimokatolička=42;Srpska=6;Jehovini svjedoci=25;Grkokatolička=0;Protestantska=11;Romska=1;Hrišćanska=0;Bošnjačka=8;Hrvat=8;Adventistička=0;Bosanac=2;Agnostik=315;Ateist=650;Ostali=38;Ne izjašnjava se=769;Nepoznato=40"
"BA","ba-municipality-2013-geoboundaries-adm3","municipality","ba-municipality-2013-geoboundaries-adm3:bosanska_krupa","bosanska_krupa","BOSANSKA KRUPA",2013,25545,"BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).",25326,99.1427,80,0.3132,,,,574.5623,,,"ba-census-2013-book2-t5-1-religion-by-municipality|geoboundaries-bih-adm3-2013","census_declared_religion;all_persons_all_ages_universe;single_select_declared_religion;religious_affiliation_percent_is_summed_named_religion_share;no_religion_percent_is_agnostic_plus_atheist;non_response_undeclared_plus_unknown_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2013_only_1991_held_ethnicity_not_religion_and_no_licensed_prewar_boundary;bhas_official_state_publication_rs_institute_disputed_methodology;boundary_geoboundaries_adm3_public_domain_2013_frame_with_name_crosswalk;source_area_name=BOSANSKA KRUPA;boundary_source_name=Bosanska Krupa;source_categories_verbatim=Islamska=23704;Pravoslavna=1250;Katolička=48;Muslimanska=283;Rimokatolička=1;Srpska=20;Jehovini svjedoci=3;Grkokatolička=0;Protestantska=0;Romska=13;Hrišćanska=1;Bošnjačka=0;Hrvat=0;Adventistička=0;Bosanac=0;Agnostik=24;Ateist=56;Ostali=3;Ne izjašnjava se=99;Nepoznato=40"
"BA","ba-municipality-2013-geoboundaries-adm3","municipality","ba-municipality-2013-geoboundaries-adm3:bosanski_petrovac","bosanski_petrovac","BOSANSKI PETROVAC",2013,7328,"BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).",7248,98.9083,27,0.3684,,,,752.1512,,,"ba-census-2013-book2-t5-1-religion-by-municipality|geoboundaries-bih-adm3-2013","census_declared_religion;all_persons_all_ages_universe;single_select_declared_religion;religious_affiliation_percent_is_summed_named_religion_share;no_religion_percent_is_agnostic_plus_atheist;non_response_undeclared_plus_unknown_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2013_only_1991_held_ethnicity_not_religion_and_no_licensed_prewar_boundary;bhas_official_state_publication_rs_institute_disputed_methodology;boundary_geoboundaries_adm3_public_domain_2013_frame_with_name_crosswalk;source_area_name=BOSANSKI PETROVAC;boundary_source_name=Bosanski Petrovac;source_categories_verbatim=Islamska=3109;Pravoslavna=3883;Katolička=20;Muslimanska=102;Rimokatolička=0;Srpska=122;Jehovini svjedoci=1;Grkokatolička=0;Protestantska=1;Romska=0;Hrišćanska=1;Bošnjačka=5;Hrvat=0;Adventistička=0;Bosanac=0;Agnostik=0;Ateist=27;Ostali=4;Ne izjašnjava se=45;Nepoznato=8"
"BA","ba-municipality-2013-geoboundaries-adm3","municipality","ba-municipality-2013-geoboundaries-adm3:buzim","buzim","BUŽIM",2013,19340,"BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).",19305,99.819,7,0.0362,,,,130.4679,,,"ba-census-2013-book2-t5-1-religion-by-municipality|geoboundaries-bih-adm3-2013","census_declared_religion;all_persons_all_ages_universe;single_select_declared_religion;religious_affiliation_percent_is_summed_named_religion_share;no_religion_percent_is_agnostic_plus_atheist;non_response_undeclared_plus_unknown_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2013_only_1991_held_ethnicity_not_religion_and_no_licensed_prewar_boundary;bhas_official_state_publication_rs_institute_disputed_methodology;boundary_geoboundaries_adm3_public_domain_2013_frame_with_name_crosswalk;source_area_name=BUŽIM;boundary_source_name=Bužim;source_categories_verbatim=Islamska=19284;Pravoslavna=6;Katolička=10;Muslimanska=4;Rimokatolička=0;Srpska=0;Jehovini svjedoci=0;Grkokatolička=0;Protestantska=0;Romska=0;Hrišćanska=0;Bošnjačka=0;Hrvat=0;Adventistička=1;Bosanac=0;Agnostik=2;Ateist=5;Ostali=0;Ne izjašnjava se=5;Nepoznato=23"
"BA","ba-municipality-2013-geoboundaries-adm3","municipality","ba-municipality-2013-geoboundaries-adm3:cazin","cazin","CAZIN",2013,66149,"BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).",65747,99.3923,159,0.2404,,,,360.9593,,,"ba-census-2013-book2-t5-1-religion-by-municipality|geoboundaries-bih-adm3-2013","census_declared_religion;all_persons_all_ages_universe;single_select_declared_religion;religious_affiliation_percent_is_summed_named_religion_share;no_religion_percent_is_agnostic_plus_atheist;non_response_undeclared_plus_unknown_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2013_only_1991_held_ethnicity_not_religion_and_no_licensed_prewar_boundary;bhas_official_state_publication_rs_institute_disputed_methodology;boundary_geoboundaries_adm3_public_domain_2013_frame_with_name_crosswalk;source_area_name=CAZIN;boundary_source_name=Cazin;source_categories_verbatim=Islamska=65068;Pravoslavna=66;Katolička=142;Muslimanska=456;Rimokatolička=1;Srpska=2;Jehovini svjedoci=3;Grkokatolička=0;Protestantska=1;Romska=0;Hrišćanska=0;Bošnjačka=0;Hrvat=0;Adventistička=0;Bosanac=0;Agnostik=50;Ateist=109;Ostali=8;Ne izjašnjava se=184;Nepoznato=59"
"BA","ba-municipality-2013-geoboundaries-adm3","municipality","ba-municipality-2013-geoboundaries-adm3:kljuc","kljuc","KLJUČ",2013,16744,"BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).",16621,99.2654,42,0.2508,,,,335.2383,,,"ba-census-2013-book2-t5-1-religion-by-municipality|geoboundaries-bih-adm3-2013","census_declared_religion;all_persons_all_ages_universe;single_select_declared_religion;religious_affiliation_percent_is_summed_named_religion_share;no_religion_percent_is_agnostic_plus_atheist;non_response_undeclared_plus_unknown_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2013_only_1991_held_ethnicity_not_religion_and_no_licensed_prewar_boundary;bhas_official_state_publication_rs_institute_disputed_methodology;boundary_geoboundaries_adm3_public_domain_2013_frame_with_name_crosswalk;source_area_name=KLJUČ;boundary_source_name=Ključ;source_categories_verbatim=Islamska=16208;Pravoslavna=254;Katolička=34;Muslimanska=91;Rimokatolička=0;Srpska=27;Jehovini svjedoci=1;Grkokatolička=0;Protestantska=0;Romska=0;Hrišćanska=0;Bošnjačka=2;Hrvat=0;Adventistička=0;Bosanac=2;Agnostik=3;Ateist=39;Ostali=2;Ne izjašnjava se=54;Nepoznato=27"
"BA","ba-municipality-2013-geoboundaries-adm3","municipality","ba-municipality-2013-geoboundaries-adm3:sanski_most","sanski_most","SANSKI MOST",2013,41475,"BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).",41174,99.2743,112,0.27,,,,717.4941,,,"ba-census-2013-book2-t5-1-religion-by-municipality|geoboundaries-bih-adm3-2013","census_declared_religion;all_persons_all_ages_universe;single_select_declared_religion;religious_affiliation_percent_is_summed_named_religion_share;no_religion_percent_is_agnostic_plus_atheist;non_response_undeclared_plus_unknown_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2013_only_1991_held_ethnicity_not_religion_and_no_licensed_prewar_boundary;bhas_official_state_publication_rs_institute_disputed_methodology;boundary_geoboundaries_adm3_public_domain_2013_frame_with_name_crosswalk;source_area_name=SANSKI MOST;boundary_source_name=Sanski Most;source_categories_verbatim=Islamska=38455;Pravoslavna=1816;Katolička=735;Muslimanska=64;Rimokatolička=28;Srpska=50;Jehovini svjedoci=6;Grkokatolička=0;Protestantska=6;Romska=0;Hrišćanska=0;Bošnjačka=6;Hrvat=0;Adventistička=0;Bosanac=0;Agnostik=36;Ateist=76;Ostali=8;Ne izjašnjava se=119;Nepoznato=70"
"BA","ba-municipality-2013-geoboundaries-adm3","municipality","ba-municipality-2013-geoboundaries-adm3:velika_kladusa","velika_kladusa","VELIKA KLADUŠA",2013,40419,"BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).",40106,99.2256,68,0.1682,,,,357.5754,,,"ba-census-2013-book2-t5-1-religion-by-municipality|geoboundaries-bih-adm3-2013","census_declared_religion;all_persons_all_ages_universe;single_select_declared_religion;religious_affiliation_percent_is_summed_named_religion_share;no_religion_percent_is_agnostic_plus_atheist;non_response_undeclared_plus_unknown_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2013_only_1991_held_ethnicity_not_religion_and_no_licensed_prewar_boundary;bhas_official_state_publication_rs_institute_disputed_methodology;boundary_geoboundaries_adm3_public_domain_2013_frame_with_name_crosswalk;source_area_name=VELIKA KLADUŠA;boundary_source_name=Velika Kladuša;source_categories_verbatim=Islamska=36643;Pravoslavna=160;Katolička=305;Muslimanska=2955;Rimokatolička=0;Srpska=2;Jehovini svjedoci=4;Grkokatolička=3;Protestantska=1;Romska=0;Hrišćanska=0;Bošnjačka=3;Hrvat=1;Adventistička=0;Bosanac=19;Agnostik=21;Ateist=47;Ostali=10;Ne izjašnjava se=177;Nepoznato=68"
"BA","ba-municipality-2013-geoboundaries-adm3","municipality","ba-municipality-2013-geoboundaries-adm3:domaljevac_samac","domaljevac_samac","DOMALJEVAC-ŠAMAC",2013,4771,"BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).",4748,99.5179,8,0.1677,,,,55.1359,,,"ba-census-2013-book2-t5-1-religion-by-municipality|geoboundaries-bih-adm3-2013","census_declared_religion;all_persons_all_ages_universe;single_select_declared_religion;religious_affiliation_percent_is_summed_named_religion_share;no_religion_percent_is_agnostic_plus_atheist;non_response_undeclared_plus_unknown_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2013_only_1991_held_ethnicity_not_religion_and_no_licensed_prewar_boundary;bhas_official_state_publication_rs_institute_disputed_methodology;boundary_geoboundaries_adm3_public_domain_2013_frame_with_name_crosswalk;source_area_name=DOMALJEVAC-ŠAMAC;boundary_source_name=Domaljevac-Šamac;source_categories_verbatim=Islamska=19;Pravoslavna=90;Katolička=4521;Muslimanska=0;Rimokatolička=108;Srpska=1;Jehovini svjedoci=1;Grkokatolička=0;Protestantska=7;Romska=0;Hrišćanska=0;Bošnjačka=0;Hrvat=0;Adventistička=0;Bosanac=0;Agnostik=1;Ateist=7;Ostali=1;Ne izjašnjava se=12;Nepoznato=3"
"BA","ba-municipality-2013-geoboundaries-adm3","municipality","ba-municipality-2013-geoboundaries-adm3:odzak","odzak","ODŽAK",2013,18821,"BHAS 2013 Census, Book 2 (Ethnicity/nationality, Religion, Mother tongue), Table 5.1 'Stanovništvo prema vjeroispovijesti i spolu, po općinama/gradovima' (Population by religion and sex, by municipalities/cities), Ukupno/Total (both sexes, all ages). The denominator is the printed municipality total (the BHAS resident-population count).",18517,98.3848,114,0.6057,,,,157.5198,,,"ba-census-2013-book2-t5-1-religion-by-municipality|geoboundaries-bih-adm3-2013","census_declared_religion;all_persons_all_ages_universe;single_select_declared_religion;religious_affiliation_percent_is_summed_named_religion_share;no_religion_percent_is_agnostic_plus_atheist;non_response_undeclared_plus_unknown_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2013_only_1991_held_ethnicity_not_religion_and_no_licensed_prewar_boundary;bhas_official_state_publication_rs_institute_disputed_methodology;boundary_geoboundaries_adm3_public_domain_2013_frame_with_name_crosswalk;source_area_name=ODŽAK;boundary_source_name=Odžak;source_categories_verbatim=Islamska=6290;Pravoslavna=586;Katolička=11566;Muslimanska=9;Rimokatolička=53;Srpska=0;Jehovini svjedoci=3;Grkokatolička=0;Protestantska=2;Romska=1;Hrišćanska=0;Bošnjačka=0;Hrvat=1;Adventistička=0;Bosanac=0;Agnostik=20;Ateist=94;Ostali=6;Ne izjašnjava se=134;Nepoznato=56"
