"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:st_michael","st_michael","St. Michael",2010,69604,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",52341,75.1983,16421,23.592,,,,40.978,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=3947;Anglican=13783;Baptist=1435;Brethren=275;Church of God=1008;Jehovah Witness=1157;Methodist=3726;Moravian=745;Mormon=83;Nazarene=1940;Pentecostal=13170;Roman Catholic=3474;Salvation Army=183;Wesleyan=1987;Other Christian=2600;Baha'i=25;Hindu=404;Jewish=33;Muslim=1125;Rastafarian=965;Other Non-Christian=276;None=16421;Not Stated=842"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:christ_church","christ_church","Christ Church",2010,43127,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",34741,80.5551,8002,18.5545,,,,60.6422,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=2053;Anglican=10606;Baptist=1021;Brethren=284;Church of God=702;Jehovah Witness=684;Methodist=2415;Moravian=300;Mormon=100;Nazarene=1109;Pentecostal=9160;Roman Catholic=2420;Salvation Army=113;Wesleyan=1244;Other Christian=1659;Baha'i=33;Hindu=221;Jewish=25;Muslim=168;Rastafarian=323;Other Non-Christian=101;None=8002;Not Stated=384"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:st_george","st_george","St. George",2010,18203,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",14024,77.0422,4018,22.0733,,,,43.1125,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=1242;Anglican=5090;Baptist=153;Brethren=165;Church of God=477;Jehovah Witness=364;Methodist=403;Moravian=198;Mormon=8;Nazarene=926;Pentecostal=2914;Roman Catholic=504;Salvation Army=3;Wesleyan=729;Other Christian=476;Baha'i=4;Hindu=93;Jewish=6;Muslim=27;Rastafarian=205;Other Non-Christian=37;None=4018;Not Stated=161"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:st_philip","st_philip","St. Philip",2010,23788,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",19495,81.9531,3878,16.3023,,,,62.3995,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=1218;Anglican=7107;Baptist=638;Brethren=37;Church of God=494;Jehovah Witness=762;Methodist=1158;Moravian=109;Mormon=24;Nazarene=1148;Pentecostal=4086;Roman Catholic=405;Salvation Army=148;Wesleyan=918;Other Christian=898;Baha'i=7;Hindu=91;Jewish=4;Muslim=33;Rastafarian=163;Other Non-Christian=47;None=3878;Not Stated=415"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:st_john","st_john","St. John",2010,8617,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",6736,78.1711,1789,20.7613,,,,34.4416,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=431;Anglican=3232;Baptist=43;Brethren=23;Church of God=66;Jehovah Witness=155;Methodist=60;Moravian=374;Mormon=1;Nazarene=147;Pentecostal=1176;Roman Catholic=144;Salvation Army=3;Wesleyan=556;Other Christian=131;Baha'i=2;Hindu=29;Jewish=0;Muslim=14;Rastafarian=125;Other Non-Christian=24;None=1789;Not Stated=92"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:st_james","st_james","St. James",2010,21258,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",17371,81.7151,3559,16.7419,,,,33.3445,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=1027;Anglican=5344;Baptist=203;Brethren=133;Church of God=893;Jehovah Witness=538;Methodist=1004;Moravian=175;Mormon=9;Nazarene=885;Pentecostal=4276;Roman Catholic=1067;Salvation Army=116;Wesleyan=434;Other Christian=700;Baha'i=16;Hindu=83;Jewish=20;Muslim=166;Rastafarian=207;Other Non-Christian=75;None=3559;Not Stated=328"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:st_thomas","st_thomas","St. Thomas",2010,12035,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",9497,78.9115,2404,19.9751,,,,33.5011,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=695;Anglican=2212;Baptist=81;Brethren=75;Church of God=530;Jehovah Witness=347;Methodist=176;Moravian=685;Mormon=1;Nazarene=503;Pentecostal=2841;Roman Catholic=271;Salvation Army=8;Wesleyan=412;Other Christian=438;Baha'i=1;Hindu=65;Jewish=13;Muslim=31;Rastafarian=89;Other Non-Christian=23;None=2404;Not Stated=134"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:st_joseph","st_joseph","St. Joseph",2010,5939,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",4371,73.5982,1529,25.7451,,,,23.1612,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=483;Anglican=1617;Baptist=91;Brethren=67;Church of God=72;Jehovah Witness=102;Methodist=33;Moravian=72;Mormon=1;Nazarene=109;Pentecostal=948;Roman Catholic=75;Salvation Army=0;Wesleyan=430;Other Christian=160;Baha'i=1;Hindu=20;Jewish=0;Muslim=4;Rastafarian=79;Other Non-Christian=7;None=1529;Not Stated=39"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:st_andrew","st_andrew","St. Andrew",2010,4631,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",3561,76.8948,1013,21.8743,,,,33.5936,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=345;Anglican=706;Baptist=99;Brethren=4;Church of God=277;Jehovah Witness=55;Methodist=10;Moravian=7;Mormon=0;Nazarene=160;Pentecostal=1360;Roman Catholic=22;Salvation Army=12;Wesleyan=261;Other Christian=137;Baha'i=0;Hindu=1;Jewish=1;Muslim=5;Rastafarian=94;Other Non-Christian=5;None=1013;Not Stated=57"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:st_peter","st_peter","St. Peter",2010,10382,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",8240,79.3681,2012,19.3797,,,,34.043,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=842;Anglican=2781;Baptist=236;Brethren=7;Church of God=584;Jehovah Witness=192;Methodist=273;Moravian=19;Mormon=5;Nazarene=215;Pentecostal=2299;Roman Catholic=226;Salvation Army=96;Wesleyan=191;Other Christian=161;Baha'i=5;Hindu=19;Jewish=1;Muslim=23;Rastafarian=42;Other Non-Christian=23;None=2012;Not Stated=130"
"BB","bb-parish-2005-geoboundaries-adm1","parish","bb-parish-2005-geoboundaries-adm1:st_lucy","st_lucy","St. Lucy",2010,8609,"2010 Population and Housing Census, Volume 1, Table 02.06 'Total Population by Parish, Sex and Religion' (Both Sexes), integer full-count. The denominator is the printed parish Total (Tabulable Population). Religious affiliation is the parish population minus the None and Not Stated lines.",6481,75.2817,1934,22.4649,,,,33.3744,,,"bb-census-2010-vol1-table-02-06-religion-by-parish|geoboundaries-brb-adm1-2005","frame_2010_twenty_three_category_integer_full_count;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;all_persons_universe;single_select_reported_denomination;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2010_parish_product;denominator_is_tabulable_population_226193_not_estimated_resident_277821;licence_accepted_bss_open_licence_agreement;boundary_cc_by_2_5_generic;source_categories_verbatim=Adventist=1154;Anglican=1491;Baptist=82;Brethren=5;Church of God=253;Jehovah Witness=159;Methodist=203;Moravian=8;Mormon=3;Nazarene=158;Pentecostal=1863;Roman Catholic=71;Salvation Army=197;Wesleyan=539;Other Christian=207;Baha'i=4;Hindu=29;Jewish=0;Muslim=9;Rastafarian=40;Other Non-Christian=6;None=1934;Not Stated=194"
