"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:bagerhat","bagerhat","Bagerhat",2011,1476090,"Sum of the five Table C-13 religion categories (Muslim, Hindu, Christian, Buddhist, Others) at the zila-total line of the 2011 Community Report; the full enumerated population. The 2011 census carried no third-gender (hijra) enumeration and Table C-13 has no not-stated category, so this is the complete enumerated zila population. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share.",1198593,81.2005,277497,18.7995,,,,3646.18,,,"bbs-phc-2011-community-report-table-c13-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=81.2005;minority_share_pct=18.7995;minority_share=Hindu+Christian+Buddhist+Others;Muslim=1198593;Hindu=270874;Christian=6115;Buddhist=43;Others=465;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;universe_2011_full_enumerated_population;no_hijra_enumeration_in_2011;not_stated_category_absent;exact_zila_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:bagerhat","bagerhat","Bagerhat",2022,1613005,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",1342772,83.2466,270233,16.7534,,,,3646.18,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=83.2466;minority_share_pct=16.7534;minority_share=Hindu+Christian+Buddhist+Others;Muslim=1342772;Hindu=264222;Christian=5890;Buddhist=81;Others=40;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_zila_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:bandarban","bandarban","Bandarban",2011,388335,"Sum of the five Table C-13 religion categories (Muslim, Hindu, Christian, Buddhist, Others) at the zila-total line of the 2011 Community Report; the full enumerated population. The 2011 census carried no third-gender (hijra) enumeration and Table C-13 has no not-stated category, so this is the complete enumerated zila population. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share.",197087,50.7518,191248,49.2482,,,,4595.26,,,"bbs-phc-2011-community-report-table-c13-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=50.7518;minority_share_pct=49.2482;minority_share=Hindu+Christian+Buddhist+Others;Muslim=197087;Hindu=13137;Christian=39333;Buddhist=123052;Others=15726;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;universe_2011_full_enumerated_population;no_hijra_enumeration_in_2011;not_stated_category_absent;exact_zila_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:bandarban","bandarban","Bandarban",2022,481093,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",253749,52.7443,227344,47.2557,,,,4595.26,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=52.7443;minority_share_pct=47.2557;minority_share=Hindu+Christian+Buddhist+Others;Muslim=253749;Hindu=16500;Christian=47053;Buddhist=142053;Others=21738;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_zila_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:barguna","barguna","Barguna",2011,892781,"Sum of the five Table C-13 religion categories (Muslim, Hindu, Christian, Buddhist, Others) at the zila-total line of the 2011 Community Report; the full enumerated population. The 2011 census carried no third-gender (hijra) enumeration and Table C-13 has no not-stated category, so this is the complete enumerated zila population. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share.",822652,92.1449,70129,7.8551,,,,1345.65,,,"bbs-phc-2011-community-report-table-c13-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=92.1449;minority_share_pct=7.8551;minority_share=Hindu+Christian+Buddhist+Others;Muslim=822652;Hindu=68678;Christian=283;Buddhist=1097;Others=71;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;universe_2011_full_enumerated_population;no_hijra_enumeration_in_2011;not_stated_category_absent;exact_zila_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:barguna","barguna","Barguna",2022,1010461,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",937495,92.7789,72966,7.2211,,,,1345.65,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=92.7789;minority_share_pct=7.2211;minority_share=Hindu+Christian+Buddhist+Others;Muslim=937495;Hindu=69481;Christian=252;Buddhist=3185;Others=48;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_zila_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:barishal","barishal","Barishal",2011,2324310,"Sum of the five Table C-13 religion categories (Muslim, Hindu, Christian, Buddhist, Others) at the zila-total line of the 2011 Community Report; the full enumerated population. The 2011 census carried no third-gender (hijra) enumeration and Table C-13 has no not-stated category, so this is the complete enumerated zila population. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share.",2040088,87.7718,284222,12.2282,,,,2219.58,,,"bbs-phc-2011-community-report-table-c13-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=87.7718;minority_share_pct=12.2282;minority_share=Hindu+Christian+Buddhist+Others;Muslim=2040088;Hindu=271706;Christian=12227;Buddhist=225;Others=64;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;universe_2011_full_enumerated_population;no_hijra_enumeration_in_2011;not_stated_category_absent;exact_zila_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:barishal","barishal","Barishal",2022,2570371,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",2283658,88.8455,286713,11.1545,,,,2219.58,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=88.8455;minority_share_pct=11.1545;minority_share=Hindu+Christian+Buddhist+Others;Muslim=2283658;Hindu=275258;Christian=11138;Buddhist=253;Others=64;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_zila_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:bhola","bhola","Bhola",2011,,"WITHHELD: the 2011 record for Bhola is unrecoverable from a text layer (the Community Report PDF omits printed pages 229-240 (the Table C-13 zila-total religion line and five upazilas' breakdown), and the authorized Zila-Series recovery failed because Zila_BHOLA.pdf is a scanned document whose religion tables carry no text layer (text layer required, never optical character recognition, per the conductor ruling 2026-07-12)); the religion composition is withheld and never substituted, estimated, or interpolated. The enumerated Bhola zila population is independently published in the Vol-2 union statistics as 1776795, used only to confirm the national frame closes.",,,,,,,,1948.54,,,"bbs-phc-2011-community-report-table-c13-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;minority_share=Hindu+Christian+Buddhist+Others;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;religion_composition_withheld_source_defect;withheld_reason=community_report_pdf_missing_printed_pages_229_240_C13_zila_total;zila_series_recovery_attempted_report_is_scanned_image_no_text_layer;published_zila_total=1776795;universe_2011_full_enumerated_population;no_hijra_enumeration_in_2011;not_stated_category_absent"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:bhola","bhola","Bhola",2022,1932444,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",1876690,97.1148,55754,2.8852,,,,1948.54,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=97.1148;minority_share_pct=2.8852;minority_share=Hindu+Christian+Buddhist+Others;Muslim=1876690;Hindu=55532;Christian=103;Buddhist=93;Others=26;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_zila_reconciliation"
