"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:bagerhat","bagerhat","Bagerhat",2022,1613005,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",1342772,83.2466,270233,16.7534,,,,3646.18,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=83.2466;minority_share_pct=16.7534;minority_share=Hindu+Christian+Buddhist+Others;Muslim=1342772;Hindu=264222;Christian=5890;Buddhist=81;Others=40;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_district_division_national_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:bandarban","bandarban","Bandarban",2022,481093,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",253749,52.7443,227344,47.2557,,,,4595.26,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=52.7443;minority_share_pct=47.2557;minority_share=Hindu+Christian+Buddhist+Others;Muslim=253749;Hindu=16500;Christian=47053;Buddhist=142053;Others=21738;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_district_division_national_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:barguna","barguna","Barguna",2022,1010461,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",937495,92.7789,72966,7.2211,,,,1345.65,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=92.7789;minority_share_pct=7.2211;minority_share=Hindu+Christian+Buddhist+Others;Muslim=937495;Hindu=69481;Christian=252;Buddhist=3185;Others=48;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_district_division_national_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:barishal","barishal","Barishal",2022,2570371,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",2283658,88.8455,286713,11.1545,,,,2219.58,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=88.8455;minority_share_pct=11.1545;minority_share=Hindu+Christian+Buddhist+Others;Muslim=2283658;Hindu=275258;Christian=11138;Buddhist=253;Others=64;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_district_division_national_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:bhola","bhola","Bhola",2022,1932444,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",1876690,97.1148,55754,2.8852,,,,1948.54,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=97.1148;minority_share_pct=2.8852;minority_share=Hindu+Christian+Buddhist+Others;Muslim=1876690;Hindu=55532;Christian=103;Buddhist=93;Others=26;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_district_division_national_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:bogura","bogura","Bogura",2022,3733963,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",3515831,94.1582,218132,5.8418,,,,2912.59,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=94.1582;minority_share_pct=5.8418;minority_share=Hindu+Christian+Buddhist+Others;Muslim=3515831;Hindu=216649;Christian=828;Buddhist=201;Others=454;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_district_division_national_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:brahmanbaria","brahmanbaria","Brahmanbaria",2022,3306407,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",3084488,93.2882,221919,6.7118,,,,1922.68,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=93.2882;minority_share_pct=6.7118;minority_share=Hindu+Christian+Buddhist+Others;Muslim=3084488;Hindu=220958;Christian=507;Buddhist=405;Others=49;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_district_division_national_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:chandpur","chandpur","Chandpur",2022,2635668,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",2488360,94.411,147308,5.589,,,,1469.44,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=94.411;minority_share_pct=5.589;minority_share=Hindu+Christian+Buddhist+Others;Muslim=2488360;Hindu=146519;Christian=416;Buddhist=209;Others=164;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_district_division_national_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:chapainawabganj","chapainawabganj","Chapainawabganj",2022,1835452,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",1753917,95.5578,81535,4.4422,,,,1685.47,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=95.5578;minority_share_pct=4.4422;minority_share=Hindu+Christian+Buddhist+Others;Muslim=1753917;Hindu=72178;Christian=7216;Buddhist=35;Others=2106;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_district_division_national_reconciliation"
"BD","bd-district-2022-geoboundaries-adm2","district","bd-district-2022-geoboundaries-adm2:chattogram","chattogram","Chattogram",2022,9169039,"Sum of the five Table P08 religion categories (Muslim, Hindu, Christian, Buddhist, Others), the male + female classified population; excludes hijra (third gender), who are religion-classified only at division level in Table 3.2.15. Under the minority-share design the two metric slots carry the reference-group (Muslim) share and its exact complement, the minority share; the recognised categories are Muslim, Hindu, Christian, Buddhist and Others, with no no-religion and no not-stated category.",8025722,87.5307,1143317,12.4693,,,,4450.86,,,"bbs-phc-2022-table-p08-religion-district|geoboundaries-bgd-adm2","census_flat_frame_minority_share_design;reference_group=Muslim;reference_share_pct=87.5307;minority_share_pct=12.4693;minority_share=Hindu+Christian+Buddhist+Others;Muslim=8025722;Hindu=982568;Christian=8096;Buddhist=149773;Others=2880;source_categories_verbatim=Muslim|Hindu|Christian|Buddhist|Others;no_religion_category_absent;not_stated_category_absent;sex_classified_basis_excludes_hijra;exact_district_division_national_reconciliation"
