"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:boucle-du-mouhoun","boucle-du-mouhoun","Boucle du Mouhoun",2006,1442749,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",1438272,99.69,4477,0.31,,,,34679.0555,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:cascades","cascades","Cascades",2006,531808,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",528030,99.29,3778,0.71,,,,18649.2558,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:centre","centre","Centre",2006,1727390,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",1725667,99.9,1723,0.1,,,,2880.3156,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:centre-est","centre-est","Centre-Est",2006,1132016,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",1129928,99.82,2088,0.18,,,,14755.8019,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:centre-nord","centre-nord","Centre-Nord",2006,1202025,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",1200261,99.85,1764,0.15,,,,19743.8932,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:centre-ouest","centre-ouest","Centre-Ouest",2006,1186566,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",1178194,99.29,8372,0.71,,,,21909.7907,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:centre-sud","centre-sud","Centre-Sud",2006,641443,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",640061,99.78,1382,0.22,,,,11557.5602,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:est","est","Est",2006,1212284,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",1196144,98.67,16140,1.33,,,,46742.6171,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:hauts-bassins","hauts-bassins","Hauts-Bassins",2006,1469604,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",1463008,99.55,6596,0.45,,,,25720.0068,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:nord","nord","Nord",2006,1185796,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",1185207,99.95,589,0.05,,,,16469.3946,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:plateau-central","plateau-central","Plateau Central",2006,696372,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",695729,99.91,643,0.09,,,,8636.6681,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:sahel","sahel","Sahel",2006,968442,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",967222,99.87,1220,0.13,,,,36288.897,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:sud-ouest","sud-ouest","Sud-Ouest",2006,620767,"INSD RGPH 2006 État et structure de la population, Table A5.5: full resident population. The six mutually exclusive category counts sum exactly to this regional total and, across regions, to the national total 14,017,262.",616610,99.33,4157,0.67,,,,16404.9581,,,"insd-rgph-2006-etat-structure|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_full_resident_population;published_census_counts;exact_row_reconciliation;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:boucle-du-mouhoun","boucle-du-mouhoun","Boucle du Mouhoun",2019,1762184,"INSD RGPH 2019 final-results report, Table 10: collected-person effectif (population whose data were collected during enumeration). Percentages are shares of this basis. Nationally 18,171,838 collected of 20,505,155 full residents, leaving 2,333,317 residents represented only by estimates for incompletely enumerated localities and outside this basis. This region: 1,762,184 collected; 139,085 residents outside the basis.",,99.2,,0.8,,,,34679.0555,,,"insd-rgph-2019-resultats-definitifs|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_collected_person_basis;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;row_sum_within_derived_rounding_bound;boundary_2017_geoboundaries;no_cross_wave_change"
"BF","bf-region-2017-geoboundaries-adm1","region","bf-region-2017-geoboundaries-adm1:cascades","cascades","Cascades",2019,764449,"INSD RGPH 2019 final-results report, Table 10: collected-person effectif (population whose data were collected during enumeration). Percentages are shares of this basis. Nationally 18,171,838 collected of 20,505,155 full residents, leaving 2,333,317 residents represented only by estimates for incompletely enumerated localities and outside this basis. This region: 764,449 collected; 48,017 residents outside the basis.",,98,,1.9,,,,18649.2558,,,"insd-rgph-2019-resultats-definitifs|geoboundaries-bfa-adm1-2017","census_affiliation;denominator_collected_person_basis;published_one_decimal_percent_shares;counts_withheld_no_derivation_from_percent;row_sum_within_derived_rounding_bound;boundary_2017_geoboundaries;no_cross_wave_change"
