"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BG","bg-district-2021-gisco-nuts3","district","bg-district-2021-gisco-nuts3:BLG","BLG","Blagoevgrad",2001,341173,"NSI's published presentation uses the full census population, including Cannot self-identify and Not shown. NSI, Structure of the population by religious denomination (https://www.nsi.bg/Census/StrReligion.htm).",333496,97.7498,,,,,,6449.6103,,,"nsi-bg-census-2001-religion-district|eurostat-gisco-nuts3-2021-bg","full_enumeration_census_affiliation;voluntary_question;nsi_published_full_population_denominator;source_nonresponse_share_percent=0.1932;no_no_religion_category_in_source;religious_change_withheld_across_instrument_break;exact_district_national_reconciliation;current_2021_boundary_frame"
"BG","bg-district-2021-gisco-nuts3","district","bg-district-2021-gisco-nuts3:BGS","BGS","Burgas",2001,423547,"NSI's published presentation uses the full census population, including Cannot self-identify and Not shown. NSI, Structure of the population by religious denomination (https://www.nsi.bg/Census/StrReligion.htm).",407749,96.2701,,,,,,7752.0576,,,"nsi-bg-census-2001-religion-district|eurostat-gisco-nuts3-2021-bg","full_enumeration_census_affiliation;voluntary_question;nsi_published_full_population_denominator;source_nonresponse_share_percent=0.2833;no_no_religion_category_in_source;religious_change_withheld_across_instrument_break;exact_district_national_reconciliation;current_2021_boundary_frame"
"BG","bg-district-2021-gisco-nuts3","district","bg-district-2021-gisco-nuts3:VAR","VAR","Varna",2001,462013,"NSI's published presentation uses the full census population, including Cannot self-identify and Not shown. NSI, Structure of the population by religious denomination (https://www.nsi.bg/Census/StrReligion.htm).",444000,96.1012,,,,,,3822.514,,,"nsi-bg-census-2001-religion-district|eurostat-gisco-nuts3-2021-bg","full_enumeration_census_affiliation;voluntary_question;nsi_published_full_population_denominator;source_nonresponse_share_percent=0.3180;no_no_religion_category_in_source;religious_change_withheld_across_instrument_break;exact_district_national_reconciliation;current_2021_boundary_frame"
"BG","bg-district-2021-gisco-nuts3","district","bg-district-2021-gisco-nuts3:VTR","VTR","Veliko Tarnovo",2001,293172,"NSI's published presentation uses the full census population, including Cannot self-identify and Not shown. NSI, Structure of the population by religious denomination (https://www.nsi.bg/Census/StrReligion.htm).",284730,97.1205,,,,,,4664.25,,,"nsi-bg-census-2001-religion-district|eurostat-gisco-nuts3-2021-bg","full_enumeration_census_affiliation;voluntary_question;nsi_published_full_population_denominator;source_nonresponse_share_percent=0.3199;no_no_religion_category_in_source;religious_change_withheld_across_instrument_break;exact_district_national_reconciliation;current_2021_boundary_frame"
"BG","bg-district-2021-gisco-nuts3","district","bg-district-2021-gisco-nuts3:VID","VID","Vidin",2001,130074,"NSI's published presentation uses the full census population, including Cannot self-identify and Not shown. NSI, Structure of the population by religious denomination (https://www.nsi.bg/Census/StrReligion.htm).",125819,96.7288,,,,,,3033.573,,,"nsi-bg-census-2001-religion-district|eurostat-gisco-nuts3-2021-bg","full_enumeration_census_affiliation;voluntary_question;nsi_published_full_population_denominator;source_nonresponse_share_percent=0.4036;no_no_religion_category_in_source;religious_change_withheld_across_instrument_break;exact_district_national_reconciliation;current_2021_boundary_frame"
"BG","bg-district-2021-gisco-nuts3","district","bg-district-2021-gisco-nuts3:VRC","VRC","Vratsa",2001,243036,"NSI's published presentation uses the full census population, including Cannot self-identify and Not shown. NSI, Structure of the population by religious denomination (https://www.nsi.bg/Census/StrReligion.htm).",235327,96.828,,,,,,3622.1355,,,"nsi-bg-census-2001-religion-district|eurostat-gisco-nuts3-2021-bg","full_enumeration_census_affiliation;voluntary_question;nsi_published_full_population_denominator;source_nonresponse_share_percent=0.3510;no_no_religion_category_in_source;religious_change_withheld_across_instrument_break;exact_district_national_reconciliation;current_2021_boundary_frame"
"BG","bg-district-2021-gisco-nuts3","district","bg-district-2021-gisco-nuts3:GAB","GAB","Gabrovo",2001,144125,"NSI's published presentation uses the full census population, including Cannot self-identify and Not shown. NSI, Structure of the population by religious denomination (https://www.nsi.bg/Census/StrReligion.htm).",141064,97.8761,,,,,,2023.1116,,,"nsi-bg-census-2001-religion-district|eurostat-gisco-nuts3-2021-bg","full_enumeration_census_affiliation;voluntary_question;nsi_published_full_population_denominator;source_nonresponse_share_percent=0.2477;no_no_religion_category_in_source;religious_change_withheld_across_instrument_break;exact_district_national_reconciliation;current_2021_boundary_frame"
"BG","bg-district-2021-gisco-nuts3","district","bg-district-2021-gisco-nuts3:DOB","DOB","Dobrich",2001,215217,"NSI's published presentation uses the full census population, including Cannot self-identify and Not shown. NSI, Structure of the population by religious denomination (https://www.nsi.bg/Census/StrReligion.htm).",208075,96.6815,,,,,,4718.6289,,,"nsi-bg-census-2001-religion-district|eurostat-gisco-nuts3-2021-bg","full_enumeration_census_affiliation;voluntary_question;nsi_published_full_population_denominator;source_nonresponse_share_percent=0.3211;no_no_religion_category_in_source;religious_change_withheld_across_instrument_break;exact_district_national_reconciliation;current_2021_boundary_frame"
"BG","bg-district-2021-gisco-nuts3","district","bg-district-2021-gisco-nuts3:KRZ","KRZ","Kardzhali",2001,164019,"NSI's published presentation uses the full census population, including Cannot self-identify and Not shown. NSI, Structure of the population by religious denomination (https://www.nsi.bg/Census/StrReligion.htm).",149839,91.3547,,,,,,3211.3542,,,"nsi-bg-census-2001-religion-district|eurostat-gisco-nuts3-2021-bg","full_enumeration_census_affiliation;voluntary_question;nsi_published_full_population_denominator;source_nonresponse_share_percent=0.4573;no_no_religion_category_in_source;religious_change_withheld_across_instrument_break;exact_district_national_reconciliation;current_2021_boundary_frame"
"BG","bg-district-2021-gisco-nuts3","district","bg-district-2021-gisco-nuts3:KNL","KNL","Kyustendil",2001,162534,"NSI's published presentation uses the full census population, including Cannot self-identify and Not shown. NSI, Structure of the population by religious denomination (https://www.nsi.bg/Census/StrReligion.htm).",156359,96.2008,,,,,,3053.3865,,,"nsi-bg-census-2001-religion-district|eurostat-gisco-nuts3-2021-bg","full_enumeration_census_affiliation;voluntary_question;nsi_published_full_population_denominator;source_nonresponse_share_percent=0.3236;no_no_religion_category_in_source;religious_change_withheld_across_instrument_break;exact_district_national_reconciliation;current_2021_boundary_frame"
