"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:11","11","Rondônia - RO",2000,1377823,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",1202396,87.27,175427,12.73,,,,240466.9,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:11","11","Rondônia - RO",2010,1560042,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",1335931,85.63,224111,14.37,,,,240466.9,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:11","11","Rondônia - RO",2022,1346663,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",1172089,87.04,174574,12.96,,,,240466.9,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:12","12","Acre - AC",2000,557085,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",502994,90.29,54091,9.71,,,,171427.79,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:12","12","Acre - AC",2010,733332,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",645968,88.09,87364,11.91,,,,171427.79,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:12","12","Acre - AC",2022,683240,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",606632,88.79,76608,11.21,,,,171427.79,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:13","13","Amazonas - AM",2000,2807580,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",2657229,94.64,150351,5.36,,,,1590034.09,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:13","13","Amazonas - AM",2010,3483930,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",3273978,93.97,209952,6.03,,,,1590034.09,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:13","13","Amazonas - AM",2022,3215833,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",2978066,92.61,237767,7.39,,,,1590034.09,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:14","14","Roraima - RR",2000,323610,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",295123,91.2,28487,8.8,,,,225448.16,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:14","14","Roraima - RR",2010,450479,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",391999,87.02,58480,12.98,,,,225448.16,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:14","14","Roraima - RR",2022,507168,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",420952,83,86216,17,,,,225448.16,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:15","15","Pará - PA",2000,6182240,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",5821495,94.16,360745,5.84,,,,1246939.19,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:15","15","Pará - PA",2010,7579715,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",7051468,93.03,528247,6.97,,,,1246939.19,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:15","15","Pará - PA",2022,6808131,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",6327092,92.93,481039,7.07,,,,1246939.19,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:16","16","Amapá - AP",2000,475407,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",448037,94.24,27370,5.76,,,,142570.66,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:16","16","Amapá - AP",2010,669523,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",630736,94.21,38787,5.79,,,,142570.66,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:16","16","Amapá - AP",2022,600141,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",554299,92.36,45842,7.64,,,,142570.66,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:17","17","Tocantins - TO",2000,1155926,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",1103245,95.44,52681,4.56,,,,278709.33,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
