"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BS","bs-island-2020-geoboundaries-adm1-dissolved","island","bs-island-2020-geoboundaries-adm1-dissolved:abaco","abaco","Abaco",2010,17224,"island total population from the report's Table 7.0 religion tabulation (equals the enumerated island population); the stated-response denominator for the percentages excludes the not-stated count",16693,99.26,124,0.74,,,,1432.65,,,"bnsi-2010-census-island-reports-table-7-religion|bnsi-2010-census-first-release-table-7-religion-all-bahamas|geoboundaries-bhs-adm1-2020","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;none_category_is_no_religion;island_reports_reconcile_to_national_first_release"
"BS","bs-island-2020-geoboundaries-adm1-dissolved","island","bs-island-2020-geoboundaries-adm1-dissolved:acklins","acklins","Acklins",2010,565,"island total population from the report's Table 7.0 religion tabulation (equals the enumerated island population); the stated-response denominator for the percentages excludes the not-stated count",522,97.75,12,2.25,,,,493.65,,,"bnsi-2010-census-island-reports-table-7-religion|bnsi-2010-census-first-release-table-7-religion-all-bahamas|geoboundaries-bhs-adm1-2020","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;none_category_is_no_religion;island_reports_reconcile_to_national_first_release"
"BS","bs-island-2020-geoboundaries-adm1-dissolved","island","bs-island-2020-geoboundaries-adm1-dissolved:andros","andros","Andros",2010,7490,"island total population from the report's Table 7.0 religion tabulation (equals the enumerated island population); the stated-response denominator for the percentages excludes the not-stated count",7031,97.91,150,2.09,,,,5655.92,,,"bnsi-2010-census-island-reports-table-7-religion|bnsi-2010-census-first-release-table-7-religion-all-bahamas|geoboundaries-bhs-adm1-2020","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;none_category_is_no_religion;island_reports_reconcile_to_national_first_release"
"BS","bs-island-2020-geoboundaries-adm1-dissolved","island","bs-island-2020-geoboundaries-adm1-dissolved:berry-islands","berry-islands","Berry Islands",2010,807,"island total population from the report's Table 7.0 religion tabulation (equals the enumerated island population); the stated-response denominator for the percentages excludes the not-stated count",774,98.6,11,1.4,,,,61.69,,,"bnsi-2010-census-island-reports-table-7-religion|bnsi-2010-census-first-release-table-7-religion-all-bahamas|geoboundaries-bhs-adm1-2020","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;none_category_is_no_religion;island_reports_reconcile_to_national_first_release"
"BS","bs-island-2020-geoboundaries-adm1-dissolved","island","bs-island-2020-geoboundaries-adm1-dissolved:bimini","bimini","Bimini",2010,1988,"island total population from the report's Table 7.0 religion tabulation (equals the enumerated island population); the stated-response denominator for the percentages excludes the not-stated count",1901,98.86,22,1.14,,,,34.27,,,"bnsi-2010-census-island-reports-table-7-religion|bnsi-2010-census-first-release-table-7-religion-all-bahamas|geoboundaries-bhs-adm1-2020","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;none_category_is_no_religion;island_reports_reconcile_to_national_first_release"
"BS","bs-island-2020-geoboundaries-adm1-dissolved","island","bs-island-2020-geoboundaries-adm1-dissolved:cat-island","cat-island","Cat Island",2010,1522,"island total population from the report's Table 7.0 religion tabulation (equals the enumerated island population); the stated-response denominator for the percentages excludes the not-stated count",1446,98.64,20,1.36,,,,369.31,,,"bnsi-2010-census-island-reports-table-7-religion|bnsi-2010-census-first-release-table-7-religion-all-bahamas|geoboundaries-bhs-adm1-2020","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;none_category_is_no_religion;island_reports_reconcile_to_national_first_release"
"BS","bs-island-2020-geoboundaries-adm1-dissolved","island","bs-island-2020-geoboundaries-adm1-dissolved:crooked-island","crooked-island","Crooked Island",2010,330,"island total population from the report's Table 7.0 religion tabulation (equals the enumerated island population); the stated-response denominator for the percentages excludes the not-stated count",312,99.68,1,0.32,,,,332.32,,,"bnsi-2010-census-island-reports-table-7-religion|bnsi-2010-census-first-release-table-7-religion-all-bahamas|geoboundaries-bhs-adm1-2020","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;none_category_is_no_religion;island_reports_reconcile_to_national_first_release"
"BS","bs-island-2020-geoboundaries-adm1-dissolved","island","bs-island-2020-geoboundaries-adm1-dissolved:eleuthera","eleuthera","Eleuthera",2010,8202,"island total population from the report's Table 7.0 religion tabulation (equals the enumerated island population); the stated-response denominator for the percentages excludes the not-stated count",7830,98.12,150,1.88,,,,463.25,,,"bnsi-2010-census-island-reports-table-7-religion|bnsi-2010-census-first-release-table-7-religion-all-bahamas|geoboundaries-bhs-adm1-2020","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;none_category_is_no_religion;island_reports_reconcile_to_national_first_release"
"BS","bs-island-2020-geoboundaries-adm1-dissolved","island","bs-island-2020-geoboundaries-adm1-dissolved:exuma-and-cays","exuma-and-cays","Exuma and Cays",2010,6928,"island total population from the report's Table 7.0 religion tabulation (equals the enumerated island population); the stated-response denominator for the percentages excludes the not-stated count",6409,97.85,141,2.15,,,,393.86,,,"bnsi-2010-census-island-reports-table-7-religion|bnsi-2010-census-first-release-table-7-religion-all-bahamas|geoboundaries-bhs-adm1-2020","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;none_category_is_no_religion;island_reports_reconcile_to_national_first_release"
"BS","bs-island-2020-geoboundaries-adm1-dissolved","island","bs-island-2020-geoboundaries-adm1-dissolved:grand-bahama","grand-bahama","Grand Bahama",2010,51368,"island total population from the report's Table 7.0 religion tabulation (equals the enumerated island population); the stated-response denominator for the percentages excludes the not-stated count",49044,97.93,1036,2.07,,,,1177.58,,,"bnsi-2010-census-island-reports-table-7-religion|bnsi-2010-census-first-release-table-7-religion-all-bahamas|geoboundaries-bhs-adm1-2020","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;none_category_is_no_religion;island_reports_reconcile_to_national_first_release"
