"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BZ","bz-district-2006-geoboundaries-adm1","district","bz-district-2006-geoboundaries-adm1:corozal","corozal","Corozal",2000,32209,"2000 Belize Census Report, Table B2 'Population by Religion and Sex for Major Divisions', integer full-count; the denominator is the printed district Total (tabulated population). Religious affiliation is the district population minus the None and DK/NS lines.",28699,89.1024,3438,10.674,,,,1959.1624,,,"bz-census-2000-report-table-b2-religion-by-district|geoboundaries-blz-adm1-2006","frame_2000_seventeen_category_integer_full_count;none_line=None;nonresponse_line=DK/NS;small_bodies_bahai_hindu_mormon_muslim_salvation_army_separate_in_2000_folded_into_other_in_2010_2022;denominator_is_tabulated_population_232111;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;non_response_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;headline_no_religion_and_affiliation_comparable_across_waves;fine_denomination_series_not_comparable_across_frame_break;licence_needs_review_build_then_ask_sib_attribution;boundary_cc_by_2_5_generic;source_categories_verbatim=Anglican=337;Bahai Faith=35;Baptist=440;Hindu=4;Jehovah Witness=462;Mennonite=2148;Methodist=400;Mormon=106;Muslim=4;Nazarene=645;Pentecostal=1425;Roman Catholic=17651;Seventh Day Adventist=3429;Salvation Army=14;Other=1599;None=3438;DK/NS=72"
"BZ","bz-district-2006-geoboundaries-adm1","district","bz-district-2006-geoboundaries-adm1:orange_walk","orange_walk","Orange Walk",2000,38060,"2000 Belize Census Report, Table B2 'Population by Religion and Sex for Major Divisions', integer full-count; the denominator is the printed district Total (tabulated population). Religious affiliation is the district population minus the None and DK/NS lines.",34190,89.8318,3717,9.7662,,,,4646.3605,,,"bz-census-2000-report-table-b2-religion-by-district|geoboundaries-blz-adm1-2006","frame_2000_seventeen_category_integer_full_count;none_line=None;nonresponse_line=DK/NS;small_bodies_bahai_hindu_mormon_muslim_salvation_army_separate_in_2000_folded_into_other_in_2010_2022;denominator_is_tabulated_population_232111;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;non_response_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;headline_no_religion_and_affiliation_comparable_across_waves;fine_denomination_series_not_comparable_across_frame_break;licence_needs_review_build_then_ask_sib_attribution;boundary_cc_by_2_5_generic;source_categories_verbatim=Anglican=379;Bahai Faith=13;Baptist=242;Hindu=80;Jehovah Witness=730;Mennonite=3924;Methodist=246;Mormon=185;Muslim=2;Nazarene=180;Pentecostal=1633;Roman Catholic=20707;Seventh Day Adventist=1808;Salvation Army=21;Other=4040;None=3717;DK/NS=153"
"BZ","bz-district-2006-geoboundaries-adm1","district","bz-district-2006-geoboundaries-adm1:belize","belize","Belize",2000,63061,"2000 Belize Census Report, Table B2 'Population by Religion and Sex for Major Divisions', integer full-count; the denominator is the printed district Total (tabulated population). Religious affiliation is the district population minus the None and DK/NS lines.",57797,91.6525,4547,7.2105,,,,3636.2913,,,"bz-census-2000-report-table-b2-religion-by-district|geoboundaries-blz-adm1-2006","frame_2000_seventeen_category_integer_full_count;none_line=None;nonresponse_line=DK/NS;small_bodies_bahai_hindu_mormon_muslim_salvation_army_separate_in_2000_folded_into_other_in_2010_2022;denominator_is_tabulated_population_232111;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;non_response_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;headline_no_religion_and_affiliation_comparable_across_waves;fine_denomination_series_not_comparable_across_frame_break;licence_needs_review_build_then_ask_sib_attribution;boundary_cc_by_2_5_generic;source_categories_verbatim=Anglican=8970;Bahai Faith=45;Baptist=3228;Hindu=224;Jehovah Witness=999;Mennonite=405;Methodist=5382;Mormon=255;Muslim=156;Nazarene=1716;Pentecostal=3025;Roman Catholic=27104;Seventh Day Adventist=3587;Salvation Army=270;Other=2431;None=4547;DK/NS=717"
"BZ","bz-district-2006-geoboundaries-adm1","district","bz-district-2006-geoboundaries-adm1:cayo","cayo","Cayo",2000,51221,"2000 Belize Census Report, Table B2 'Population by Religion and Sex for Major Divisions', integer full-count; the denominator is the printed district Total (tabulated population). Religious affiliation is the district population minus the None and DK/NS lines.",44596,87.0659,6395,12.4851,,,,5281.6163,,,"bz-census-2000-report-table-b2-religion-by-district|geoboundaries-blz-adm1-2006","frame_2000_seventeen_category_integer_full_count;none_line=None;nonresponse_line=DK/NS;small_bodies_bahai_hindu_mormon_muslim_salvation_army_separate_in_2000_folded_into_other_in_2010_2022;denominator_is_tabulated_population_232111;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;non_response_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;headline_no_religion_and_affiliation_comparable_across_waves;fine_denomination_series_not_comparable_across_frame_break;licence_needs_review_build_then_ask_sib_attribution;boundary_cc_by_2_5_generic;source_categories_verbatim=Anglican=1253;Bahai Faith=55;Baptist=946;Hindu=45;Jehovah Witness=673;Mennonite=2180;Methodist=397;Mormon=347;Muslim=22;Nazarene=1981;Pentecostal=7193;Roman Catholic=24039;Seventh Day Adventist=1969;Salvation Army=54;Other=3442;None=6395;DK/NS=230"
"BZ","bz-district-2006-geoboundaries-adm1","district","bz-district-2006-geoboundaries-adm1:stann_creek","stann_creek","Stann Creek",2000,24443,"2000 Belize Census Report, Table B2 'Population by Religion and Sex for Major Divisions', integer full-count; the denominator is the printed district Total (tabulated population). Religious affiliation is the district population minus the None and DK/NS lines.",22212,90.8726,2124,8.6896,,,,2368.0676,,,"bz-census-2000-report-table-b2-religion-by-district|geoboundaries-blz-adm1-2006","frame_2000_seventeen_category_integer_full_count;none_line=None;nonresponse_line=DK/NS;small_bodies_bahai_hindu_mormon_muslim_salvation_army_separate_in_2000_folded_into_other_in_2010_2022;denominator_is_tabulated_population_232111;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;non_response_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;headline_no_religion_and_affiliation_comparable_across_waves;fine_denomination_series_not_comparable_across_frame_break;licence_needs_review_build_then_ask_sib_attribution;boundary_cc_by_2_5_generic;source_categories_verbatim=Anglican=1349;Bahai Faith=29;Baptist=987;Hindu=3;Jehovah Witness=303;Mennonite=195;Methodist=972;Mormon=28;Muslim=49;Nazarene=580;Pentecostal=1912;Roman Catholic=13397;Seventh Day Adventist=1016;Salvation Army=9;Other=1383;None=2124;DK/NS=107"
"BZ","bz-district-2006-geoboundaries-adm1","district","bz-district-2006-geoboundaries-adm1:toledo","toledo","Toledo",2000,23117,"2000 Belize Census Report, Table B2 'Population by Religion and Sex for Major Divisions', integer full-count; the denominator is the printed district Total (tabulated population). Religious affiliation is the district population minus the None and DK/NS lines.",21455,92.8105,1574,6.8088,,,,4299.6488,,,"bz-census-2000-report-table-b2-religion-by-district|geoboundaries-blz-adm1-2006","frame_2000_seventeen_category_integer_full_count;none_line=None;nonresponse_line=DK/NS;small_bodies_bahai_hindu_mormon_muslim_salvation_army_separate_in_2000_folded_into_other_in_2010_2022;denominator_is_tabulated_population_232111;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;non_response_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;headline_no_religion_and_affiliation_comparable_across_waves;fine_denomination_series_not_comparable_across_frame_break;licence_needs_review_build_then_ask_sib_attribution;boundary_cc_by_2_5_generic;source_categories_verbatim=Anglican=98;Bahai Faith=28;Baptist=2234;Hindu=11;Jehovah Witness=199;Mennonite=645;Methodist=627;Mormon=7;Muslim=10;Nazarene=1015;Pentecostal=2001;Roman Catholic=12137;Seventh Day Adventist=351;Salvation Army=3;Other=2089;None=1574;DK/NS=88"
"BZ","bz-district-2006-geoboundaries-adm1","district","bz-district-2006-geoboundaries-adm1:corozal","corozal","Corozal",2010,41060,"2010 General Characteristics Tables (Excel), sheet Religion_by_District Table 9; weighted counts (SIB non-response adjustment); the denominator is the district Total. Religious affiliation is the district population minus the None and Don't Know/Not Stated lines.",34102,83.0537,6694,16.3016,,,,1959.1624,,,"bz-census-2010-general-characteristics-religion-by-district|geoboundaries-blz-adm1-2006","frame_2010_twelve_category_weighted;none_line=None;nonresponse_line=Don't Know/Not Stated;weighted_non_integer_counts_sib_non_response_adjustment;counts_rounded_to_integer_for_display_percentages_from_unrounded;alternative_2010_source_table_r1_1_integer_20_category_deferred;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;non_response_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;headline_no_religion_and_affiliation_comparable_across_waves;fine_denomination_series_not_comparable_across_frame_break;licence_needs_review_build_then_ask_sib_attribution;boundary_cc_by_2_5_generic;source_categories_verbatim=Anglican=413.8371;Baptist=646.8489;Jehovah's Witness=738.1220;Mennonite=2709.9245;Methodist=552.3662;Nazarene=858.5015;Pentecostal=1757.2791;Roman Catholic=19046.7819;Seventh Day Adventist=4122.9929;None=6693.5181;Other=3255.5584;Don't Know/Not Stated=264.6858"
"BZ","bz-district-2006-geoboundaries-adm1","district","bz-district-2006-geoboundaries-adm1:orange_walk","orange_walk","Orange Walk",2010,45936,"2010 General Characteristics Tables (Excel), sheet Religion_by_District Table 9; weighted counts (SIB non-response adjustment); the denominator is the district Total. Religious affiliation is the district population minus the None and Don't Know/Not Stated lines.",40159,87.4239,5635,12.2665,,,,4646.3605,,,"bz-census-2010-general-characteristics-religion-by-district|geoboundaries-blz-adm1-2006","frame_2010_twelve_category_weighted;none_line=None;nonresponse_line=Don't Know/Not Stated;weighted_non_integer_counts_sib_non_response_adjustment;counts_rounded_to_integer_for_display_percentages_from_unrounded;alternative_2010_source_table_r1_1_integer_20_category_deferred;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;non_response_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;headline_no_religion_and_affiliation_comparable_across_waves;fine_denomination_series_not_comparable_across_frame_break;licence_needs_review_build_then_ask_sib_attribution;boundary_cc_by_2_5_generic;source_categories_verbatim=Anglican=495.1266;Baptist=437.0757;Jehovah's Witness=1041.6998;Mennonite=5080.2702;Methodist=298.0876;Nazarene=152.9328;Pentecostal=2059.0766;Roman Catholic=20435.0323;Seventh Day Adventist=2341.4596;None=5634.7163;Other=7818.2428;Don't Know/Not Stated=142.2515"
"BZ","bz-district-2006-geoboundaries-adm1","district","bz-district-2006-geoboundaries-adm1:belize","belize","Belize",2010,95287,"2010 General Characteristics Tables (Excel), sheet Religion_by_District Table 9; weighted counts (SIB non-response adjustment); the denominator is the district Total. Religious affiliation is the district population minus the None and Don't Know/Not Stated lines.",81293,85.3139,13109,13.7577,,,,3636.2913,,,"bz-census-2010-general-characteristics-religion-by-district|geoboundaries-blz-adm1-2006","frame_2010_twelve_category_weighted;none_line=None;nonresponse_line=Don't Know/Not Stated;weighted_non_integer_counts_sib_non_response_adjustment;counts_rounded_to_integer_for_display_percentages_from_unrounded;alternative_2010_source_table_r1_1_integer_20_category_deferred;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;non_response_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;headline_no_religion_and_affiliation_comparable_across_waves;fine_denomination_series_not_comparable_across_frame_break;licence_needs_review_build_then_ask_sib_attribution;boundary_cc_by_2_5_generic;source_categories_verbatim=Anglican=10554.6146;Baptist=4201.1581;Jehovah's Witness=1552.9378;Mennonite=359.2960;Methodist=6667.7714;Nazarene=2076.5074;Pentecostal=5458.3787;Roman Catholic=36344.2038;Seventh Day Adventist=5868.3363;None=13109.2169;Other=8209.5177;Don't Know/Not Stated=884.6255"
"BZ","bz-district-2006-geoboundaries-adm1","district","bz-district-2006-geoboundaries-adm1:cayo","cayo","Cayo",2010,75034,"2010 General Characteristics Tables (Excel), sheet Religion_by_District Table 9; weighted counts (SIB non-response adjustment); the denominator is the district Total. Religious affiliation is the district population minus the None and Don't Know/Not Stated lines.",59986,79.9441,14633,19.5024,,,,5281.6163,,,"bz-census-2010-general-characteristics-religion-by-district|geoboundaries-blz-adm1-2006","frame_2010_twelve_category_weighted;none_line=None;nonresponse_line=Don't Know/Not Stated;weighted_non_integer_counts_sib_non_response_adjustment;counts_rounded_to_integer_for_display_percentages_from_unrounded;alternative_2010_source_table_r1_1_integer_20_category_deferred;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;non_response_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;headline_no_religion_and_affiliation_comparable_across_waves;fine_denomination_series_not_comparable_across_frame_break;licence_needs_review_build_then_ask_sib_attribution;boundary_cc_by_2_5_generic;source_categories_verbatim=Anglican=1634.9877;Baptist=2019.1302;Jehovah's Witness=1166.1500;Mennonite=3046.8300;Methodist=399.3997;Nazarene=2808.4594;Pentecostal=11600.2639;Roman Catholic=25973.9498;Seventh Day Adventist=3230.0969;None=14633.4956;Other=8106.2777;Don't Know/Not Stated=415.3391"
