"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","source_data_quality_flag","quality_flag"
"CA","ca-cd-2011-statcan","cd_2011","ca-cd-2011-statcan:4609","4609","Division No.  9",2011,21565,"total responses for religion for the population in private households, voluntary National Household Survey 2011",15235,70.65,6330,29.35,,,,3066.56,,,"statcan-2011-nhs-profile-religion-cd|statcan-2011-cd-cartographic-boundary","33.7","voluntary_survey_nhs"
"CA","ca-cd-2011-statcan","cd_2011","ca-cd-2011-statcan:5901","5901","East Kootenay",2011,55675,"total responses for religion for the population in private households, voluntary National Household Survey 2011",31680,56.9,23995,43.1,,,,27652.35,,,"statcan-2011-nhs-profile-religion-cd|statcan-2011-cd-cartographic-boundary","35.5","voluntary_survey_nhs"
"CA","ca-cd-2011-statcan","cd_2011","ca-cd-2011-statcan:5933","5933","Thompson-Nicola",2011,125960,"total responses for religion for the population in private households, voluntary National Household Survey 2011",66465,52.77,59495,47.23,,,,44823.11,,,"statcan-2011-nhs-profile-religion-cd|statcan-2011-cd-cartographic-boundary","30.4","voluntary_survey_nhs"
"CA","ca-cd-2011-statcan","cd_2011","ca-cd-2011-statcan:4816","4816","Division No. 16",2011,67005,"total responses for religion for the population in private households, voluntary National Household Survey 2011",50735,75.72,16270,24.28,,,,99804.68,,,"statcan-2011-nhs-profile-religion-cd|statcan-2011-cd-cartographic-boundary","30.5","voluntary_survey_nhs"
"CA","ca-cd-2011-statcan","cd_2011","ca-cd-2011-statcan:5919","5919","Cowichan Valley",2011,78675,"total responses for religion for the population in private households, voluntary National Household Survey 2011",38810,49.33,39865,50.67,,,,3582.97,,,"statcan-2011-nhs-profile-religion-cd|statcan-2011-cd-cartographic-boundary","24.9","voluntary_survey_nhs"
"CA","ca-cd-2011-statcan","cd_2011","ca-cd-2011-statcan:4621","4621","Division No. 21",2011,21145,"total responses for religion for the population in private households, voluntary National Household Survey 2011",15600,73.78,5545,26.22,,,,59403.3,,,"statcan-2011-nhs-profile-religion-cd|statcan-2011-cd-cartographic-boundary","31.2","voluntary_survey_nhs"
"CA","ca-cd-2011-statcan","cd_2011","ca-cd-2011-statcan:4608","4608","Division No.  8",2011,12650,"total responses for religion for the population in private households, voluntary National Household Survey 2011",9405,74.35,3245,25.65,,,,5853.76,,,"statcan-2011-nhs-profile-religion-cd|statcan-2011-cd-cartographic-boundary","31.2","voluntary_survey_nhs"
"CA","ca-cd-2011-statcan","cd_2011","ca-cd-2011-statcan:4811","4811","Division No. 11",2011,1181840,"total responses for religion for the population in private households, voluntary National Household Survey 2011",811980,68.7,369860,31.3,,,,15981.71,,,"statcan-2011-nhs-profile-religion-cd|statcan-2011-cd-cartographic-boundary","25.7","voluntary_survey_nhs"
"CA","ca-cd-2011-statcan","cd_2011","ca-cd-2011-statcan:4802","4802","Division No.  2",2011,150145,"total responses for religion for the population in private households, voluntary National Household Survey 2011",108205,72.07,41940,27.93,,,,18036.06,,,"statcan-2011-nhs-profile-religion-cd|statcan-2011-cd-cartographic-boundary","33.5","voluntary_survey_nhs"
"CA","ca-cd-2011-statcan","cd_2011","ca-cd-2011-statcan:5951","5951","Bulkley-Nechako",2011,38945,"total responses for religion for the population in private households, voluntary National Household Survey 2011",22180,56.95,16765,43.05,,,,75456.07,,,"statcan-2011-nhs-profile-religion-cd|statcan-2011-cd-cartographic-boundary","30.4","voluntary_survey_nhs"
