"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:ZH","ZH","Zürich",1970,1107788,"FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.",1087164,98.14,17560,1.59,,,,1728.9417,,,"bfs-px-x-4001000000-122-census-religion-canton-1970-2000|swisstopo-swissboundaries3d-cantons-2026-01","federal_census_full_count;economic_residence;current_26_canton_source_frame;ohne_angabe_excluded_from_religious_affiliation_numerator"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:BE","BE","Bern",1970,901706,"FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.",893337,99.07,5607,0.62,,,,5938.8925,,,"bfs-px-x-4001000000-122-census-religion-canton-1970-2000|swisstopo-swissboundaries3d-cantons-2026-01","federal_census_full_count;economic_residence;current_26_canton_source_frame;ohne_angabe_excluded_from_religious_affiliation_numerator"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:LU","LU","Luzern",1970,289641,"FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.",287783,99.36,1672,0.58,,,,1493.5172,,,"bfs-px-x-4001000000-122-census-religion-canton-1970-2000|swisstopo-swissboundaries3d-cantons-2026-01","federal_census_full_count;economic_residence;current_26_canton_source_frame;ohne_angabe_excluded_from_religious_affiliation_numerator"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:UR","UR","Uri",1970,34091,"FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.",34054,99.89,31,0.09,,,,1076.5348,,,"bfs-px-x-4001000000-122-census-religion-canton-1970-2000|swisstopo-swissboundaries3d-cantons-2026-01","federal_census_full_count;economic_residence;current_26_canton_source_frame;ohne_angabe_excluded_from_religious_affiliation_numerator"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:SZ","SZ","Schwyz",1970,92072,"FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.",91743,99.64,238,0.26,,,,907.8823,,,"bfs-px-x-4001000000-122-census-religion-canton-1970-2000|swisstopo-swissboundaries3d-cantons-2026-01","federal_census_full_count;economic_residence;current_26_canton_source_frame;ohne_angabe_excluded_from_religious_affiliation_numerator"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:OW","OW","Obwalden",1970,24509,"FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.",24479,99.88,18,0.07,,,,490.5833,,,"bfs-px-x-4001000000-122-census-religion-canton-1970-2000|swisstopo-swissboundaries3d-cantons-2026-01","federal_census_full_count;economic_residence;current_26_canton_source_frame;ohne_angabe_excluded_from_religious_affiliation_numerator"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:NW","NW","Nidwalden",1970,25634,"FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.",25531,99.6,92,0.36,,,,275.8451,,,"bfs-px-x-4001000000-122-census-religion-canton-1970-2000|swisstopo-swissboundaries3d-cantons-2026-01","federal_census_full_count;economic_residence;current_26_canton_source_frame;ohne_angabe_excluded_from_religious_affiliation_numerator"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:GL","GL","Glarus",1970,38155,"FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.",38059,99.75,66,0.17,,,,685.3143,,,"bfs-px-x-4001000000-122-census-religion-canton-1970-2000|swisstopo-swissboundaries3d-cantons-2026-01","federal_census_full_count;economic_residence;current_26_canton_source_frame;ohne_angabe_excluded_from_religious_affiliation_numerator"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:ZG","ZG","Zug",1970,67996,"FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.",67363,99.07,538,0.79,,,,238.7326,,,"bfs-px-x-4001000000-122-census-religion-canton-1970-2000|swisstopo-swissboundaries3d-cantons-2026-01","federal_census_full_count;economic_residence;current_26_canton_source_frame;ohne_angabe_excluded_from_religious_affiliation_numerator"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:FR","FR","Fribourg",1970,180309,"FSO federal population census religion indicator at economic residence; the denominator is Religion - Total, no-religion is Keine Zugehörigkeit, and Ohne Angabe remains in the denominator but outside religious_affiliation_count.",179508,99.56,510,0.28,,,,1672.4281,,,"bfs-px-x-4001000000-122-census-religion-canton-1970-2000|swisstopo-swissboundaries3d-cantons-2026-01","federal_census_full_count;economic_residence;current_26_canton_source_frame;ohne_angabe_excluded_from_religious_affiliation_numerator"
