"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:VD","VD","Vaud",2010,573030,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",408392,71.27,147504,25.74,,,,3212.0221,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:VS","VS","Valais",2010,256526,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",223420,87.09,26500,10.33,,,,5224.6356,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:GE","GE","Genève",2010,359847,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",218867,60.82,126462,35.14,,,,282.4872,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:BE","BE","Bern",2010,824336,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",685491,83.16,125366,15.21,,,,5938.8925,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:FR","FR","Fribourg",2010,224578,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",190064,84.63,28470,12.68,,,,1672.4281,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:SO","SO","Solothurn",2010,215052,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",160166,74.48,51906,24.14,,,,790.4562,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:NE","NE","Neuchâtel",2010,141068,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",84495,59.9,52145,36.96,,,,802.1643,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:JU","JU","Jura",2010,57490,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",49491,86.09,6616,11.51,,,,858.1254,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:BS","BS","Basel-Stadt",2010,153239,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",85342,55.69,64617,42.17,,,,36.9538,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:BL","BL","Basel-Landschaft",2010,231553,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",172738,74.6,54998,23.75,,,,517.6688,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:AG","AG","Aargau",2010,509900,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",397783,78.01,105675,20.72,,,,1403.798,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:ZH","ZH","Zürich",2010,1153705,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",877374,76.05,258833,22.43,,,,1728.9417,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:GL","GL","Glarus",2010,32272,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",27454,85.07,4105,12.72,,,,685.3143,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:SH","SH","Schaffhausen",2010,64315,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",50270,78.16,13259,20.62,,,,298.4184,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:AR","AR","Appenzell Ausserrhoden",2010,44128,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",37051,83.96,6528,14.79,,,,242.8365,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:AI","AI","Appenzell Innerrhoden",2010,12814,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",11573,90.32,940,7.33,,,,172.476,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:SG","SG","St. Gallen",2010,395992,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",334952,84.59,55702,14.07,,,,2028.1997,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:GR","GR","Graubünden",2010,162865,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",139855,85.87,20402,12.53,,,,7105.2963,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:TG","TG","Thurgau",2010,206477,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",171453,83.04,32417,15.7,,,,994.3293,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:LU","LU","Luzern",2010,310985,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",265302,85.31,41327,13.29,,,,1493.5172,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:UR","UR","Uri",2010,28915,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",26900,93.03,1555,5.38,,,,1076.5348,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:SZ","SZ","Schwyz",2010,121348,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",103920,85.64,15568,12.83,,,,907.8823,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:OW","OW","Obwalden",2010,29328,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",26031,88.76,2916,9.94,,,,490.5833,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:NW","NW","Nidwalden",2010,34624,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",29559,85.37,4507,13.02,,,,275.8451,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:ZG","ZG","Zug",2010,93173,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",75451,80.98,16536,17.75,,,,238.7326,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:TI","TI","Ticino",2010,281693,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",228745,81.2,44800,15.9,,,,2812.1543,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:VD","VD","Vaud",2011,585680,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",420665,71.83,152501,26.04,,,,3212.0221,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
"CH","ch-canton-2026-swissboundaries3d","canton","ch-canton-2026-swissboundaries3d:VS","VS","Valais",2011,263442,"FSO structural survey religion indicator, permanent resident population aged 15+; rows are weighted sample estimates with category confidence intervals in the source workbook.",230646,87.55,29087,11.04,,,,5224.6356,,,"bfs-je-d-01080202-structural-survey-religion-canton-2010-2024|swisstopo-swissboundaries3d-cantons-2026-01","sample_survey_estimate;weighted_count_estimate;resident_population_age15plus;confidence_intervals_in_source_workbook;not_comparable_to_census_counts"
