"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","displayed_resident_total","outside_religion_basis_count"
"CI","ci-local-2021-geoboundaries-adm3","sub_prefecture_or_commune","ci-local-2021-geoboundaries-adm3:97208781B10157612193250","97208781B10157612193250","Mankono",2021,74116,"ordinary-household religion basis, derived exactly as the sum of the 16 Table 11 categories; Ne sait pas and Non declaree remain inside this denominator and outside both headline numerators; the printed resident total (disclosed in quality_flag and in the CSV companion) additionally includes collective-household residents and people without housing, so its outside-basis count is positive for ordinary rows and negative and shipped unchanged for the 31 verified source-arithmetic rows",66260,89.4004,6747,9.1033,,,,1991.4651,,,"ins-rgph-2021-table-11-religion-local|geoboundaries-civ-adm3-2021","census_affiliation;ordinary_household_denominator=sum_of_16_categories;unknown_and_nonresponse_retained_in_denominator;2021_only_local_series;religious_change_withheld;displayed_resident_total=74165;outside_religion_basis_count=49;source_publication_all_rights_reserved_derived_summaries_published_with_attribution_under_pi_approval_2026_07_10;boundary_cc_by_3_0_igo",74165,49
"CI","ci-local-2021-geoboundaries-adm3","sub_prefecture_or_commune","ci-local-2021-geoboundaries-adm3:97208781B11201436549173","97208781B11201436549173","Ouragahio",2021,50128,"ordinary-household religion basis, derived exactly as the sum of the 16 Table 11 categories; Ne sait pas and Non declaree remain inside this denominator and outside both headline numerators; the printed resident total (disclosed in quality_flag and in the CSV companion) additionally includes collective-household residents and people without housing, so its outside-basis count is positive for ordinary rows and negative and shipped unchanged for the 31 verified source-arithmetic rows",42859,85.4991,6530,13.0267,,,,506.5815,,,"ins-rgph-2021-table-11-religion-local|geoboundaries-civ-adm3-2021","census_affiliation;ordinary_household_denominator=sum_of_16_categories;unknown_and_nonresponse_retained_in_denominator;2021_only_local_series;religious_change_withheld;displayed_resident_total=50150;outside_religion_basis_count=22;source_publication_all_rights_reserved_derived_summaries_published_with_attribution_under_pi_approval_2026_07_10;boundary_cc_by_3_0_igo",50150,22
"CI","ci-local-2021-geoboundaries-adm3","sub_prefecture_or_commune","ci-local-2021-geoboundaries-adm3:97208781B11679432118840","97208781B11679432118840","Tiémé",2021,11597,"ordinary-household religion basis, derived exactly as the sum of the 16 Table 11 categories; Ne sait pas and Non declaree remain inside this denominator and outside both headline numerators; the printed resident total (disclosed in quality_flag and in the CSV companion) additionally includes collective-household residents and people without housing, so its outside-basis count is positive for ordinary rows and negative and shipped unchanged for the 31 verified source-arithmetic rows",11493,99.1032,58,0.5001,,,,428.931,,,"ins-rgph-2021-table-11-religion-local|geoboundaries-civ-adm3-2021","census_affiliation;ordinary_household_denominator=sum_of_16_categories;unknown_and_nonresponse_retained_in_denominator;2021_only_local_series;religious_change_withheld;displayed_resident_total=11644;outside_religion_basis_count=47;source_publication_all_rights_reserved_derived_summaries_published_with_attribution_under_pi_approval_2026_07_10;boundary_cc_by_3_0_igo",11644,47
"CI","ci-local-2021-geoboundaries-adm3","sub_prefecture_or_commune","ci-local-2021-geoboundaries-adm3:97208781B11870825623553","97208781B11870825623553","Ouellé",2021,37465,"ordinary-household religion basis, derived exactly as the sum of the 16 Table 11 categories; Ne sait pas and Non declaree remain inside this denominator and outside both headline numerators; the printed resident total (disclosed in quality_flag and in the CSV companion) additionally includes collective-household residents and people without housing, so its outside-basis count is positive for ordinary rows and negative and shipped unchanged for the 31 verified source-arithmetic rows",29012,77.4376,7552,20.1575,,,,732.7079,,,"ins-rgph-2021-table-11-religion-local|geoboundaries-civ-adm3-2021","census_affiliation;ordinary_household_denominator=sum_of_16_categories;unknown_and_nonresponse_retained_in_denominator;2021_only_local_series;religious_change_withheld;displayed_resident_total=37641;outside_religion_basis_count=176;source_publication_all_rights_reserved_derived_summaries_published_with_attribution_under_pi_approval_2026_07_10;boundary_cc_by_3_0_igo",37641,176
"CI","ci-local-2021-geoboundaries-adm3","sub_prefecture_or_commune","ci-local-2021-geoboundaries-adm3:97208781B11881347899246","97208781B11881347899246","Mékro",2021,6541,"ordinary-household religion basis, derived exactly as the sum of the 16 Table 11 categories; Ne sait pas and Non declaree remain inside this denominator and outside both headline numerators; the printed resident total (disclosed in quality_flag and in the CSV companion) additionally includes collective-household residents and people without housing, so its outside-basis count is positive for ordinary rows and negative and shipped unchanged for the 31 verified source-arithmetic rows",5132,78.459,1373,20.9907,,,,246.5205,,,"ins-rgph-2021-table-11-religion-local|geoboundaries-civ-adm3-2021","census_affiliation;ordinary_household_denominator=sum_of_16_categories;unknown_and_nonresponse_retained_in_denominator;2021_only_local_series;religious_change_withheld;displayed_resident_total=6541;outside_religion_basis_count=0;source_publication_all_rights_reserved_derived_summaries_published_with_attribution_under_pi_approval_2026_07_10;boundary_cc_by_3_0_igo",6541,0
"CI","ci-local-2021-geoboundaries-adm3","sub_prefecture_or_commune","ci-local-2021-geoboundaries-adm3:97208781B11884428331085","97208781B11884428331085","Famienkro",2021,17161,"ordinary-household religion basis, derived exactly as the sum of the 16 Table 11 categories; Ne sait pas and Non declaree remain inside this denominator and outside both headline numerators; the printed resident total (disclosed in quality_flag and in the CSV companion) additionally includes collective-household residents and people without housing, so its outside-basis count is positive for ordinary rows and negative and shipped unchanged for the 31 verified source-arithmetic rows",16575,96.5853,471,2.7446,,,,568.877,,,"ins-rgph-2021-table-11-religion-local|geoboundaries-civ-adm3-2021","census_affiliation;ordinary_household_denominator=sum_of_16_categories;unknown_and_nonresponse_retained_in_denominator;2021_only_local_series;religious_change_withheld;displayed_resident_total=17163;outside_religion_basis_count=2;source_publication_all_rights_reserved_derived_summaries_published_with_attribution_under_pi_approval_2026_07_10;boundary_cc_by_3_0_igo",17163,2
"CI","ci-local-2021-geoboundaries-adm3","sub_prefecture_or_commune","ci-local-2021-geoboundaries-adm3:97208781B11986933289454","97208781B11986933289454","Guintéguéla",2021,34575,"ordinary-household religion basis, derived exactly as the sum of the 16 Table 11 categories; Ne sait pas and Non declaree remain inside this denominator and outside both headline numerators; the printed resident total (disclosed in quality_flag and in the CSV companion) additionally includes collective-household residents and people without housing, so its outside-basis count is positive for ordinary rows and negative and shipped unchanged for the 31 verified source-arithmetic rows",30416,87.9711,2015,5.8279,,,,1466.9797,,,"ins-rgph-2021-table-11-religion-local|geoboundaries-civ-adm3-2021","census_affiliation;ordinary_household_denominator=sum_of_16_categories;unknown_and_nonresponse_retained_in_denominator;2021_only_local_series;religious_change_withheld;displayed_resident_total=34575;outside_religion_basis_count=0;source_publication_all_rights_reserved_derived_summaries_published_with_attribution_under_pi_approval_2026_07_10;boundary_cc_by_3_0_igo",34575,0
"CI","ci-local-2021-geoboundaries-adm3","sub_prefecture_or_commune","ci-local-2021-geoboundaries-adm3:97208781B12116179323626","97208781B12116179323626","Guézon",2021,56303,"ordinary-household religion basis, derived exactly as the sum of the 16 Table 11 categories; Ne sait pas and Non declaree remain inside this denominator and outside both headline numerators; the printed resident total (disclosed in quality_flag and in the CSV companion) additionally includes collective-household residents and people without housing, so its outside-basis count is positive for ordinary rows and negative and shipped unchanged for the 31 verified source-arithmetic rows",47060,83.5835,7910,14.049,,,,726.9703,,,"ins-rgph-2021-table-11-religion-local|geoboundaries-civ-adm3-2021","census_affiliation;ordinary_household_denominator=sum_of_16_categories;unknown_and_nonresponse_retained_in_denominator;2021_only_local_series;religious_change_withheld;displayed_resident_total=56435;outside_religion_basis_count=132;source_publication_all_rights_reserved_derived_summaries_published_with_attribution_under_pi_approval_2026_07_10;boundary_cc_by_3_0_igo",56435,132
"CI","ci-local-2021-geoboundaries-adm3","sub_prefecture_or_commune","ci-local-2021-geoboundaries-adm3:97208781B13213820773721","97208781B13213820773721","Tienkoikro",2021,25344,"ordinary-household religion basis, derived exactly as the sum of the 16 Table 11 categories; Ne sait pas and Non declaree remain inside this denominator and outside both headline numerators; the printed resident total (disclosed in quality_flag and in the CSV companion) additionally includes collective-household residents and people without housing, so its outside-basis count is positive for ordinary rows and negative and shipped unchanged for the 31 verified source-arithmetic rows",22430,88.5022,2220,8.7595,,,,275.5935,,,"ins-rgph-2021-table-11-religion-local|geoboundaries-civ-adm3-2021","census_affiliation;ordinary_household_denominator=sum_of_16_categories;unknown_and_nonresponse_retained_in_denominator;2021_only_local_series;religious_change_withheld;displayed_resident_total=25409;outside_religion_basis_count=65;source_publication_all_rights_reserved_derived_summaries_published_with_attribution_under_pi_approval_2026_07_10;boundary_cc_by_3_0_igo",25409,65
"CI","ci-local-2021-geoboundaries-adm3","sub_prefecture_or_commune","ci-local-2021-geoboundaries-adm3:97208781B1322111589364","97208781B1322111589364","Ahouanou",2021,33894,"ordinary-household religion basis, derived exactly as the sum of the 16 Table 11 categories; Ne sait pas and Non declaree remain inside this denominator and outside both headline numerators; the printed resident total (disclosed in quality_flag and in the CSV companion) additionally includes collective-household residents and people without housing, so its outside-basis count is positive for ordinary rows and negative and shipped unchanged for the 31 verified source-arithmetic rows",30935,91.2698,2207,6.5115,,,,462.662,,,"ins-rgph-2021-table-11-religion-local|geoboundaries-civ-adm3-2021","census_affiliation;ordinary_household_denominator=sum_of_16_categories;unknown_and_nonresponse_retained_in_denominator;2021_only_local_series;religious_change_withheld;displayed_resident_total=33939;outside_religion_basis_count=45;source_publication_all_rights_reserved_derived_summaries_published_with_attribution_under_pi_approval_2026_07_10;boundary_cc_by_3_0_igo",33939,45
