"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"CK","ck-island-2021-composite-geoboundaries-adm0-osm","island","ck-island-2021-composite-geoboundaries-adm0-osm:rarotonga","rarotonga","Rarotonga",2011,10572,"Resident population, all ages, from the 2011 Cook Islands Census Report Table 2.4 (Resident Population by Religious Affiliation and Usual Residence, Both Sex); the printed island Total is the population denominator. Religious affiliation is the sum of the named religion categories; no religion is the published no-religion line for the wave. The religion question was not compulsory; a not-stated residual, where the wave prints it separately (2011: Objected/Not Stated), stays in the denominator and outside both numerators.",9539,90.2289,769,7.2739,,,,67.5963,,,"ciso-census-2011-table2-4-religion-by-island|geoboundaries-cok-adm0-2021|osm-cook-islands-northern-atolls-coastline","wave_2011_source_table_2_4;named_affiliation=CookIslandsChristianChurch+RomanCatholic+SeventhDayAdventist+ChurchofLatterdaysSaints+AssembliesofGod+ApostolicChurch+OtherReligion;no_religion=No_Religion_column_only;objected_or_not_stated_column_retained_in_denominator_outside_both_numerators;jehovahs_witness_folded_into_other_religion_in_island_table;census_affiliation;resident_population_all_ages_universe;religion_question_not_compulsory;denominator_is_island_total_population;composite_boundary_geoboundaries_cc_by_4_0_and_osm_odbl_1_0;licence_ciso_standards_clause_reproduce_with_acknowledgement"
"CK","ck-island-2021-composite-geoboundaries-adm0-osm","island","ck-island-2021-composite-geoboundaries-adm0-osm:aitutaki","aitutaki","Aitutaki",2011,1771,"Resident population, all ages, from the 2011 Cook Islands Census Report Table 2.4 (Resident Population by Religious Affiliation and Usual Residence, Both Sex); the printed island Total is the population denominator. Religious affiliation is the sum of the named religion categories; no religion is the published no-religion line for the wave. The religion question was not compulsory; a not-stated residual, where the wave prints it separately (2011: Objected/Not Stated), stays in the denominator and outside both numerators.",1693,95.5957,46,2.5974,,,,17.2786,,,"ciso-census-2011-table2-4-religion-by-island|geoboundaries-cok-adm0-2021|osm-cook-islands-northern-atolls-coastline","wave_2011_source_table_2_4;named_affiliation=CookIslandsChristianChurch+RomanCatholic+SeventhDayAdventist+ChurchofLatterdaysSaints+AssembliesofGod+ApostolicChurch+OtherReligion;no_religion=No_Religion_column_only;objected_or_not_stated_column_retained_in_denominator_outside_both_numerators;jehovahs_witness_folded_into_other_religion_in_island_table;census_affiliation;resident_population_all_ages_universe;religion_question_not_compulsory;denominator_is_island_total_population;composite_boundary_geoboundaries_cc_by_4_0_and_osm_odbl_1_0;licence_ciso_standards_clause_reproduce_with_acknowledgement"
"CK","ck-island-2021-composite-geoboundaries-adm0-osm","island","ck-island-2021-composite-geoboundaries-adm0-osm:mangaia","mangaia","Mangaia",2011,562,"Resident population, all ages, from the 2011 Cook Islands Census Report Table 2.4 (Resident Population by Religious Affiliation and Usual Residence, Both Sex); the printed island Total is the population denominator. Religious affiliation is the sum of the named religion categories; no religion is the published no-religion line for the wave. The religion question was not compulsory; a not-stated residual, where the wave prints it separately (2011: Objected/Not Stated), stays in the denominator and outside both numerators.",543,96.6192,6,1.0676,,,,48.1008,,,"ciso-census-2011-table2-4-religion-by-island|geoboundaries-cok-adm0-2021|osm-cook-islands-northern-atolls-coastline","wave_2011_source_table_2_4;named_affiliation=CookIslandsChristianChurch+RomanCatholic+SeventhDayAdventist+ChurchofLatterdaysSaints+AssembliesofGod+ApostolicChurch+OtherReligion;no_religion=No_Religion_column_only;objected_or_not_stated_column_retained_in_denominator_outside_both_numerators;jehovahs_witness_folded_into_other_religion_in_island_table;census_affiliation;resident_population_all_ages_universe;religion_question_not_compulsory;denominator_is_island_total_population;composite_boundary_geoboundaries_cc_by_4_0_and_osm_odbl_1_0;licence_ciso_standards_clause_reproduce_with_acknowledgement"
"CK","ck-island-2021-composite-geoboundaries-adm0-osm","island","ck-island-2021-composite-geoboundaries-adm0-osm:atiu","atiu","Atiu",2011,468,"Resident population, all ages, from the 2011 Cook Islands Census Report Table 2.4 (Resident Population by Religious Affiliation and Usual Residence, Both Sex); the printed island Total is the population denominator. Religious affiliation is the sum of the named religion categories; no religion is the published no-religion line for the wave. The religion question was not compulsory; a not-stated residual, where the wave prints it separately (2011: Objected/Not Stated), stays in the denominator and outside both numerators.",463,98.9316,2,0.4274,,,,28.2152,,,"ciso-census-2011-table2-4-religion-by-island|geoboundaries-cok-adm0-2021|osm-cook-islands-northern-atolls-coastline","wave_2011_source_table_2_4;named_affiliation=CookIslandsChristianChurch+RomanCatholic+SeventhDayAdventist+ChurchofLatterdaysSaints+AssembliesofGod+ApostolicChurch+OtherReligion;no_religion=No_Religion_column_only;objected_or_not_stated_column_retained_in_denominator_outside_both_numerators;jehovahs_witness_folded_into_other_religion_in_island_table;census_affiliation;resident_population_all_ages_universe;religion_question_not_compulsory;denominator_is_island_total_population;composite_boundary_geoboundaries_cc_by_4_0_and_osm_odbl_1_0;licence_ciso_standards_clause_reproduce_with_acknowledgement"
"CK","ck-island-2021-composite-geoboundaries-adm0-osm","island","ck-island-2021-composite-geoboundaries-adm0-osm:mauke","mauke","Mauke",2011,300,"Resident population, all ages, from the 2011 Cook Islands Census Report Table 2.4 (Resident Population by Religious Affiliation and Usual Residence, Both Sex); the printed island Total is the population denominator. Religious affiliation is the sum of the named religion categories; no religion is the published no-religion line for the wave. The religion question was not compulsory; a not-stated residual, where the wave prints it separately (2011: Objected/Not Stated), stays in the denominator and outside both numerators.",296,98.6667,3,1,,,,18.8707,,,"ciso-census-2011-table2-4-religion-by-island|geoboundaries-cok-adm0-2021|osm-cook-islands-northern-atolls-coastline","wave_2011_source_table_2_4;named_affiliation=CookIslandsChristianChurch+RomanCatholic+SeventhDayAdventist+ChurchofLatterdaysSaints+AssembliesofGod+ApostolicChurch+OtherReligion;no_religion=No_Religion_column_only;objected_or_not_stated_column_retained_in_denominator_outside_both_numerators;jehovahs_witness_folded_into_other_religion_in_island_table;census_affiliation;resident_population_all_ages_universe;religion_question_not_compulsory;denominator_is_island_total_population;composite_boundary_geoboundaries_cc_by_4_0_and_osm_odbl_1_0;licence_ciso_standards_clause_reproduce_with_acknowledgement"
"CK","ck-island-2021-composite-geoboundaries-adm0-osm","island","ck-island-2021-composite-geoboundaries-adm0-osm:mitiaro","mitiaro","Mitiaro",2011,189,"Resident population, all ages, from the 2011 Cook Islands Census Report Table 2.4 (Resident Population by Religious Affiliation and Usual Residence, Both Sex); the printed island Total is the population denominator. Religious affiliation is the sum of the named religion categories; no religion is the published no-religion line for the wave. The religion question was not compulsory; a not-stated residual, where the wave prints it separately (2011: Objected/Not Stated), stays in the denominator and outside both numerators.",182,96.2963,5,2.6455,,,,22.6693,,,"ciso-census-2011-table2-4-religion-by-island|geoboundaries-cok-adm0-2021|osm-cook-islands-northern-atolls-coastline","wave_2011_source_table_2_4;named_affiliation=CookIslandsChristianChurch+RomanCatholic+SeventhDayAdventist+ChurchofLatterdaysSaints+AssembliesofGod+ApostolicChurch+OtherReligion;no_religion=No_Religion_column_only;objected_or_not_stated_column_retained_in_denominator_outside_both_numerators;jehovahs_witness_folded_into_other_religion_in_island_table;census_affiliation;resident_population_all_ages_universe;religion_question_not_compulsory;denominator_is_island_total_population;composite_boundary_geoboundaries_cc_by_4_0_and_osm_odbl_1_0;licence_ciso_standards_clause_reproduce_with_acknowledgement"
"CK","ck-island-2021-composite-geoboundaries-adm0-osm","island","ck-island-2021-composite-geoboundaries-adm0-osm:palmerston","palmerston","Palmerston",2011,60,"Resident population, all ages, from the 2011 Cook Islands Census Report Table 2.4 (Resident Population by Religious Affiliation and Usual Residence, Both Sex); the printed island Total is the population denominator. Religious affiliation is the sum of the named religion categories; no religion is the published no-religion line for the wave. The religion question was not compulsory; a not-stated residual, where the wave prints it separately (2011: Objected/Not Stated), stays in the denominator and outside both numerators.",59,98.3333,0,0,,,,2.9007,,,"ciso-census-2011-table2-4-religion-by-island|geoboundaries-cok-adm0-2021|osm-cook-islands-northern-atolls-coastline","wave_2011_source_table_2_4;named_affiliation=CookIslandsChristianChurch+RomanCatholic+SeventhDayAdventist+ChurchofLatterdaysSaints+AssembliesofGod+ApostolicChurch+OtherReligion;no_religion=No_Religion_column_only;objected_or_not_stated_column_retained_in_denominator_outside_both_numerators;jehovahs_witness_folded_into_other_religion_in_island_table;census_affiliation;resident_population_all_ages_universe;religion_question_not_compulsory;denominator_is_island_total_population;composite_boundary_geoboundaries_cc_by_4_0_and_osm_odbl_1_0;licence_ciso_standards_clause_reproduce_with_acknowledgement"
"CK","ck-island-2021-composite-geoboundaries-adm0-osm","island","ck-island-2021-composite-geoboundaries-adm0-osm:pukapuka","pukapuka","Pukapuka",2011,451,"Resident population, all ages, from the 2011 Cook Islands Census Report Table 2.4 (Resident Population by Religious Affiliation and Usual Residence, Both Sex); the printed island Total is the population denominator. Religious affiliation is the sum of the named religion categories; no religion is the published no-religion line for the wave. The religion question was not compulsory; a not-stated residual, where the wave prints it separately (2011: Objected/Not Stated), stays in the denominator and outside both numerators.",447,99.1131,2,0.4435,,,,4.3747,,,"ciso-census-2011-table2-4-religion-by-island|geoboundaries-cok-adm0-2021|osm-cook-islands-northern-atolls-coastline","wave_2011_source_table_2_4;named_affiliation=CookIslandsChristianChurch+RomanCatholic+SeventhDayAdventist+ChurchofLatterdaysSaints+AssembliesofGod+ApostolicChurch+OtherReligion;no_religion=No_Religion_column_only;objected_or_not_stated_column_retained_in_denominator_outside_both_numerators;jehovahs_witness_folded_into_other_religion_in_island_table;census_affiliation;resident_population_all_ages_universe;religion_question_not_compulsory;denominator_is_island_total_population;composite_boundary_geoboundaries_cc_by_4_0_and_osm_odbl_1_0;licence_ciso_standards_clause_reproduce_with_acknowledgement"
"CK","ck-island-2021-composite-geoboundaries-adm0-osm","island","ck-island-2021-composite-geoboundaries-adm0-osm:nassau","nassau","Nassau",2011,73,"Resident population, all ages, from the 2011 Cook Islands Census Report Table 2.4 (Resident Population by Religious Affiliation and Usual Residence, Both Sex); the printed island Total is the population denominator. Religious affiliation is the sum of the named religion categories; no religion is the published no-religion line for the wave. The religion question was not compulsory; a not-stated residual, where the wave prints it separately (2011: Objected/Not Stated), stays in the denominator and outside both numerators.",73,100,0,0,,,,1.2461,,,"ciso-census-2011-table2-4-religion-by-island|geoboundaries-cok-adm0-2021|osm-cook-islands-northern-atolls-coastline","wave_2011_source_table_2_4;named_affiliation=CookIslandsChristianChurch+RomanCatholic+SeventhDayAdventist+ChurchofLatterdaysSaints+AssembliesofGod+ApostolicChurch+OtherReligion;no_religion=No_Religion_column_only;objected_or_not_stated_column_retained_in_denominator_outside_both_numerators;jehovahs_witness_folded_into_other_religion_in_island_table;census_affiliation;resident_population_all_ages_universe;religion_question_not_compulsory;denominator_is_island_total_population;composite_boundary_geoboundaries_cc_by_4_0_and_osm_odbl_1_0;licence_ciso_standards_clause_reproduce_with_acknowledgement"
"CK","ck-island-2021-composite-geoboundaries-adm0-osm","island","ck-island-2021-composite-geoboundaries-adm0-osm:manihiki","manihiki","Manihiki",2011,238,"Resident population, all ages, from the 2011 Cook Islands Census Report Table 2.4 (Resident Population by Religious Affiliation and Usual Residence, Both Sex); the printed island Total is the population denominator. Religious affiliation is the sum of the named religion categories; no religion is the published no-religion line for the wave. The religion question was not compulsory; a not-stated residual, where the wave prints it separately (2011: Objected/Not Stated), stays in the denominator and outside both numerators.",229,96.2185,5,2.1008,,,,5.2489,,,"ciso-census-2011-table2-4-religion-by-island|geoboundaries-cok-adm0-2021|osm-cook-islands-northern-atolls-coastline","wave_2011_source_table_2_4;named_affiliation=CookIslandsChristianChurch+RomanCatholic+SeventhDayAdventist+ChurchofLatterdaysSaints+AssembliesofGod+ApostolicChurch+OtherReligion;no_religion=No_Religion_column_only;objected_or_not_stated_column_retained_in_denominator_outside_both_numerators;jehovahs_witness_folded_into_other_religion_in_island_table;census_affiliation;resident_population_all_ages_universe;religion_question_not_compulsory;denominator_is_island_total_population;composite_boundary_geoboundaries_cc_by_4_0_and_osm_odbl_1_0;licence_ciso_standards_clause_reproduce_with_acknowledgement"
