"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1101","1101","IQUIQUE",2002,156274,"2002 National Census of Chile (INE), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r ('Poblacion total en encuesta Religion'). Affiliation = total_r - Ninguna (no 'No declara' line in 2002).",142944,91.4701,13330,8.5299,,,,2288.6387,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;change_withheld_2004_reclassification_parent_2002_combines_later_child;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=112855;Evangélica o Protestante=16693;Testigos de Jehová=2524;Judaica=76;Mormón=1997;Musulmana=205;Ortodoxa=44;Otro religión o credo=8550;Ninguna religión, ateo o agnóstico=13330;No declara religión=0"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1101","1101","IQUIQUE",2024,161992,"2024 National Census of Chile (INE, question 31), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r. Affiliation = total_r - Ninguna - 'No declara religion'.",121746,75.1556,38582,23.8172,,,,2288.6387,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;change_withheld_2004_reclassification_parent_2002_combines_later_child;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=97841;Evangélica o Protestante=15635;Testigos de Jehová=1383;Judaica=213;Mormón=1174;Musulmana=753;Ortodoxa=0;Otro religión o credo=4597;Ninguna religión, ateo o agnóstico=38582;No declara religión=1664"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1107","1107","ALTO HOSPICIO",2002,,"2002 National Census of Chile (INE), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r ('Poblacion total en encuesta Religion'). Affiliation = total_r - Ninguna (no 'No declara' line in 2002).",,,,,,,,574.1638,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;no_2002_commune_data_created_2004_or_bcn_gap"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1107","1107","ALTO HOSPICIO",2024,105922,"2024 National Census of Chile (INE, question 31), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r. Affiliation = total_r - Ninguna - 'No declara religion'.",80134,75.6538,25090,23.6872,,,,574.1638,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=55976;Evangélica o Protestante=19142;Testigos de Jehová=990;Judaica=134;Mormón=1013;Musulmana=100;Ortodoxa=0;Otro religión o credo=2702;Ninguna religión, ateo o agnóstico=25090;No declara religión=698"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1401","1401","POZO ALMONTE",2002,8001,"2002 National Census of Chile (INE), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r ('Poblacion total en encuesta Religion'). Affiliation = total_r - Ninguna (no 'No declara' line in 2002).",7340,91.7385,661,8.2615,,,,13780.7362,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=5518;Evangélica o Protestante=1317;Testigos de Jehová=133;Judaica=1;Mormón=98;Musulmana=4;Ortodoxa=2;Otro religión o credo=267;Ninguna religión, ateo o agnóstico=661;No declara religión=0"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1401","1401","POZO ALMONTE",2024,12825,"2024 National Census of Chile (INE, question 31), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r. Affiliation = total_r - Ninguna - 'No declara religion'.",10314,80.4211,2431,18.9552,,,,13780.7362,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=7037;Evangélica o Protestante=2939;Testigos de Jehová=124;Judaica=0;Mormón=77;Musulmana=0;Ortodoxa=0;Otro religión o credo=54;Ninguna religión, ateo o agnóstico=2431;No declara religión=80"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1402","1402","CAMIÑA",2002,813,"2002 National Census of Chile (INE), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r ('Poblacion total en encuesta Religion'). Affiliation = total_r - Ninguna (no 'No declara' line in 2002).",744,91.5129,69,8.4871,,,,2201.2681,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=402;Evangélica o Protestante=296;Testigos de Jehová=3;Judaica=0;Mormón=1;Musulmana=0;Ortodoxa=0;Otro religión o credo=42;Ninguna religión, ateo o agnóstico=69;No declara religión=0"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1402","1402","CAMIÑA",2024,1000,"2024 National Census of Chile (INE, question 31), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r. Affiliation = total_r - Ninguna - 'No declara religion'.",877,87.7,122,12.2,,,,2201.2681,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=465;Evangélica o Protestante=396;Testigos de Jehová=0;Judaica=0;Mormón=0;Musulmana=0;Ortodoxa=0;Otro religión o credo=0;Ninguna religión, ateo o agnóstico=122;No declara religión=1"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1403","1403","COLCHANE",2002,1182,"2002 National Census of Chile (INE), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r ('Poblacion total en encuesta Religion'). Affiliation = total_r - Ninguna (no 'No declara' line in 2002).",1116,94.4162,66,5.5838,,,,4009.8303,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=565;Evangélica o Protestante=454;Testigos de Jehová=4;Judaica=1;Mormón=3;Musulmana=0;Ortodoxa=0;Otro religión o credo=89;Ninguna religión, ateo o agnóstico=66;No declara religión=0"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1403","1403","COLCHANE",2024,596,"2024 National Census of Chile (INE, question 31), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r. Affiliation = total_r - Ninguna - 'No declara religion'.",594,99.6644,0,0,,,,4009.8303,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=208;Evangélica o Protestante=330;Testigos de Jehová=0;Judaica=0;Mormón=0;Musulmana=0;Ortodoxa=0;Otro religión o credo=0;Ninguna religión, ateo o agnóstico=0;No declara religión=2"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1404","1404","HUARA",2002,1851,"2002 National Census of Chile (INE), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r ('Poblacion total en encuesta Religion'). Affiliation = total_r - Ninguna (no 'No declara' line in 2002).",1717,92.7607,134,7.2393,,,,10477.8086,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=1279;Evangélica o Protestante=356;Testigos de Jehová=9;Judaica=0;Mormón=10;Musulmana=1;Ortodoxa=0;Otro religión o credo=62;Ninguna religión, ateo o agnóstico=134;No declara religión=0"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1404","1404","HUARA",2024,2160,"2024 National Census of Chile (INE, question 31), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r. Affiliation = total_r - Ninguna - 'No declara religion'.",1847,85.5093,298,13.7963,,,,10477.8086,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=1314;Evangélica o Protestante=473;Testigos de Jehová=0;Judaica=0;Mormón=0;Musulmana=0;Ortodoxa=0;Otro religión o credo=0;Ninguna religión, ateo o agnóstico=298;No declara religión=15"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1405","1405","PICA",2002,5282,"2002 National Census of Chile (INE), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r ('Poblacion total en encuesta Religion'). Affiliation = total_r - Ninguna (no 'No declara' line in 2002).",4697,88.9246,585,11.0754,,,,8991.2495,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=3828;Evangélica o Protestante=562;Testigos de Jehová=74;Judaica=2;Mormón=34;Musulmana=0;Ortodoxa=1;Otro religión o credo=196;Ninguna religión, ateo o agnóstico=585;No declara religión=0"
"CL","cl-commune-2024-ine-dpa","commune","cl-commune-2024-ine-dpa:1405","1405","PICA",2024,4779,"2024 National Census of Chile (INE, question 31), population aged 15+, disseminated as BCN Estadisticas Territoriales theme 101 'Religion Declarada' at commune level. Denominator is the printed commune total_r. Affiliation = total_r - Ninguna - 'No declara religion'.",3990,83.4903,778,16.2796,,,,8991.2495,,,"cl-bcn-estadisticas-territoriales-101-religion-declarada-comuna|ine-dpa-censal-comunas-simp16r","census_affiliation;aged_15_plus_universe;single_select_reported_religion;bcn_harmonised_ten_category_frame;religious_affiliation_percent_is_total_minus_none_minus_no_declara;no_religion_percent_is_ninguna_line_only;no_declara_residual_in_denominator_neither_slot_2024_only;shares_over_total_r_ine_headline_uses_responder_base_no_declara_excluded;shares_need_not_sum_to_100;single_current_346_commune_frame_2002_recoded_by_cut_then_name;census_licence_cc_by_sa_4_0;source_region=REGIÓN DE TARAPACÁ;source_categories_verbatim=Católica=3044;Evangélica o Protestante=769;Testigos de Jehová=62;Judaica=0;Mormón=0;Musulmana=0;Ortodoxa=0;Otro religión o credo=67;Ninguna religión, ateo o agnóstico=778;No declara religión=11"
