"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"CV","cv-concelho-2017-geoboundaries-adm1","concelho","cv-concelho-2017-geoboundaries-adm1:ribeira_grande_santo_antao","ribeira_grande_santo_antao","Ribeira Grande",2010,13395,"IV Recenseamento Geral da Populacao e Habitacao (Censo 2010), Cabo Verde em Numeros national workbook, sheet Relig_3 (Tabela 12): Populacao residente com 15 anos ou mais segundo a religiao por sexo e concelho. The denominator is the printed concelho 15+ Total; religious affiliation is that total minus the 'Sem religiao' line and minus the 'ND' non-response line.",12362,92.2882,920,6.8682,,,,175.125,,,"cv-census-2010-cvnumeros-table-12-religion-by-concelho|geoboundaries-cpv-adm1-2017","frame_2010_fourteen_category_integer_counts;no_religion_line=Sem religiao;nonresponse_line=ND;census_affiliation;voluntary_question;denominator_population_age_15_plus;religion_or_spirituality_construct;single_select_reported_religion_or_spirituality;religious_affiliation_percent_excludes_no_religion_and_nonresponse;no_religion_percent_is_sem_religiao_line_only;nonresponse_line_in_denominator_not_in_either_slot;two_shares_need_not_sum_to_100;stable_22_concelho_frame_2010_and_2021;religious_change_withheld_across_2010_2021_instrument_break;licence_needs_review_ine_politica_de_difusao_free_universal_access_build_then_ask;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Adventista=24;Assembleia de Deus=143;Católica=11699;Deus é amor=6;Igreja do Nazareno=113;Islâmica=71;Judaica=0;Nova Apastólica=39;Racionalismo Cristão=116;Testemunho de Jeová=98;Universal do Reino de Deus=16;Outra=37;Sem religião=920;ND=113"
"CV","cv-concelho-2017-geoboundaries-adm1","concelho","cv-concelho-2017-geoboundaries-adm1:paul","paul","Paul",2010,4995,"IV Recenseamento Geral da Populacao e Habitacao (Censo 2010), Cabo Verde em Numeros national workbook, sheet Relig_3 (Tabela 12): Populacao residente com 15 anos ou mais segundo a religiao por sexo e concelho. The denominator is the printed concelho 15+ Total; religious affiliation is that total minus the 'Sem religiao' line and minus the 'ND' non-response line.",4215,84.3844,759,15.1952,,,,51.0691,,,"cv-census-2010-cvnumeros-table-12-religion-by-concelho|geoboundaries-cpv-adm1-2017","frame_2010_fourteen_category_integer_counts;no_religion_line=Sem religiao;nonresponse_line=ND;census_affiliation;voluntary_question;denominator_population_age_15_plus;religion_or_spirituality_construct;single_select_reported_religion_or_spirituality;religious_affiliation_percent_excludes_no_religion_and_nonresponse;no_religion_percent_is_sem_religiao_line_only;nonresponse_line_in_denominator_not_in_either_slot;two_shares_need_not_sum_to_100;stable_22_concelho_frame_2010_and_2021;religious_change_withheld_across_2010_2021_instrument_break;licence_needs_review_ine_politica_de_difusao_free_universal_access_build_then_ask;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Adventista=3;Assembleia de Deus=54;Católica=3863;Deus é amor=2;Igreja do Nazareno=63;Islâmica=1;Judaica=0;Nova Apastólica=4;Racionalismo Cristão=179;Testemunho de Jeová=13;Universal do Reino de Deus=9;Outra=24;Sem religião=759;ND=21"
"CV","cv-concelho-2017-geoboundaries-adm1","concelho","cv-concelho-2017-geoboundaries-adm1:porto_novo","porto_novo","Porto Novo",2010,12409,"IV Recenseamento Geral da Populacao e Habitacao (Censo 2010), Cabo Verde em Numeros national workbook, sheet Relig_3 (Tabela 12): Populacao residente com 15 anos ou mais segundo a religiao por sexo e concelho. The denominator is the printed concelho 15+ Total; religious affiliation is that total minus the 'Sem religiao' line and minus the 'ND' non-response line.",11123,89.6366,1215,9.7913,,,,558.9649,,,"cv-census-2010-cvnumeros-table-12-religion-by-concelho|geoboundaries-cpv-adm1-2017","frame_2010_fourteen_category_integer_counts;no_religion_line=Sem religiao;nonresponse_line=ND;census_affiliation;voluntary_question;denominator_population_age_15_plus;religion_or_spirituality_construct;single_select_reported_religion_or_spirituality;religious_affiliation_percent_excludes_no_religion_and_nonresponse;no_religion_percent_is_sem_religiao_line_only;nonresponse_line_in_denominator_not_in_either_slot;two_shares_need_not_sum_to_100;stable_22_concelho_frame_2010_and_2021;religious_change_withheld_across_2010_2021_instrument_break;licence_needs_review_ine_politica_de_difusao_free_universal_access_build_then_ask;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Adventista=5;Assembleia de Deus=142;Católica=10301;Deus é amor=42;Igreja do Nazareno=172;Islâmica=73;Judaica=1;Nova Apastólica=16;Racionalismo Cristão=61;Testemunho de Jeová=200;Universal do Reino de Deus=31;Outra=79;Sem religião=1215;ND=71"
"CV","cv-concelho-2017-geoboundaries-adm1","concelho","cv-concelho-2017-geoboundaries-adm1:sao_vicente","sao_vicente","São Vicente",2010,55740,"IV Recenseamento Geral da Populacao e Habitacao (Censo 2010), Cabo Verde em Numeros national workbook, sheet Relig_3 (Tabela 12): Populacao residente com 15 anos ou mais segundo a religiao por sexo e concelho. The denominator is the printed concelho 15+ Total; religious affiliation is that total minus the 'Sem religiao' line and minus the 'ND' non-response line.",37333,66.977,17204,30.8647,,,,224.2875,,,"cv-census-2010-cvnumeros-table-12-religion-by-concelho|geoboundaries-cpv-adm1-2017","frame_2010_fourteen_category_integer_counts;no_religion_line=Sem religiao;nonresponse_line=ND;census_affiliation;voluntary_question;denominator_population_age_15_plus;religion_or_spirituality_construct;single_select_reported_religion_or_spirituality;religious_affiliation_percent_excludes_no_religion_and_nonresponse;no_religion_percent_is_sem_religiao_line_only;nonresponse_line_in_denominator_not_in_either_slot;two_shares_need_not_sum_to_100;stable_22_concelho_frame_2010_and_2021;religious_change_withheld_across_2010_2021_instrument_break;licence_needs_review_ine_politica_de_difusao_free_universal_access_build_then_ask;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Adventista=307;Assembleia de Deus=384;Católica=29118;Deus é amor=36;Igreja do Nazareno=726;Islâmica=220;Judaica=4;Nova Apastólica=90;Racionalismo Cristão=4053;Testemunho de Jeová=894;Universal do Reino de Deus=436;Outra=1065;Sem religião=17204;ND=1203"
"CV","cv-concelho-2017-geoboundaries-adm1","concelho","cv-concelho-2017-geoboundaries-adm1:ribeira_brava","ribeira_brava","Ribeira Brava",2010,5364,"IV Recenseamento Geral da Populacao e Habitacao (Censo 2010), Cabo Verde em Numeros national workbook, sheet Relig_3 (Tabela 12): Populacao residente com 15 anos ou mais segundo a religiao por sexo e concelho. The denominator is the printed concelho 15+ Total; religious affiliation is that total minus the 'Sem religiao' line and minus the 'ND' non-response line.",4557,84.9553,754,14.0567,,,,224.8078,,,"cv-census-2010-cvnumeros-table-12-religion-by-concelho|geoboundaries-cpv-adm1-2017","frame_2010_fourteen_category_integer_counts;no_religion_line=Sem religiao;nonresponse_line=ND;census_affiliation;voluntary_question;denominator_population_age_15_plus;religion_or_spirituality_construct;single_select_reported_religion_or_spirituality;religious_affiliation_percent_excludes_no_religion_and_nonresponse;no_religion_percent_is_sem_religiao_line_only;nonresponse_line_in_denominator_not_in_either_slot;two_shares_need_not_sum_to_100;stable_22_concelho_frame_2010_and_2021;religious_change_withheld_across_2010_2021_instrument_break;licence_needs_review_ine_politica_de_difusao_free_universal_access_build_then_ask;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Adventista=10;Assembleia de Deus=56;Católica=4099;Deus é amor=6;Igreja do Nazareno=105;Islâmica=4;Judaica=1;Nova Apastólica=36;Racionalismo Cristão=138;Testemunho de Jeová=51;Universal do Reino de Deus=12;Outra=39;Sem religião=754;ND=53"
"CV","cv-concelho-2017-geoboundaries-adm1","concelho","cv-concelho-2017-geoboundaries-adm1:tarrafal_sao_nicolau","tarrafal_sao_nicolau","Tarrafal de São Nicolau",2010,3575,"IV Recenseamento Geral da Populacao e Habitacao (Censo 2010), Cabo Verde em Numeros national workbook, sheet Relig_3 (Tabela 12): Populacao residente com 15 anos ou mais segundo a religiao por sexo e concelho. The denominator is the printed concelho 15+ Total; religious affiliation is that total minus the 'Sem religiao' line and minus the 'ND' non-response line.",2854,79.8322,663,18.5455,,,,162.5588,,,"cv-census-2010-cvnumeros-table-12-religion-by-concelho|geoboundaries-cpv-adm1-2017","frame_2010_fourteen_category_integer_counts;no_religion_line=Sem religiao;nonresponse_line=ND;census_affiliation;voluntary_question;denominator_population_age_15_plus;religion_or_spirituality_construct;single_select_reported_religion_or_spirituality;religious_affiliation_percent_excludes_no_religion_and_nonresponse;no_religion_percent_is_sem_religiao_line_only;nonresponse_line_in_denominator_not_in_either_slot;two_shares_need_not_sum_to_100;stable_22_concelho_frame_2010_and_2021;religious_change_withheld_across_2010_2021_instrument_break;licence_needs_review_ine_politica_de_difusao_free_universal_access_build_then_ask;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Adventista=30;Assembleia de Deus=43;Católica=2310;Deus é amor=3;Igreja do Nazareno=52;Islâmica=31;Judaica=0;Nova Apastólica=6;Racionalismo Cristão=237;Testemunho de Jeová=72;Universal do Reino de Deus=25;Outra=45;Sem religião=663;ND=58"
"CV","cv-concelho-2017-geoboundaries-adm1","concelho","cv-concelho-2017-geoboundaries-adm1:sal","sal","Sal",2010,18371,"IV Recenseamento Geral da Populacao e Habitacao (Censo 2010), Cabo Verde em Numeros national workbook, sheet Relig_3 (Tabela 12): Populacao residente com 15 anos ou mais segundo a religiao por sexo e concelho. The denominator is the printed concelho 15+ Total; religious affiliation is that total minus the 'Sem religiao' line and minus the 'ND' non-response line.",15414,83.904,2854,15.5354,,,,219.8834,,,"cv-census-2010-cvnumeros-table-12-religion-by-concelho|geoboundaries-cpv-adm1-2017","frame_2010_fourteen_category_integer_counts;no_religion_line=Sem religiao;nonresponse_line=ND;census_affiliation;voluntary_question;denominator_population_age_15_plus;religion_or_spirituality_construct;single_select_reported_religion_or_spirituality;religious_affiliation_percent_excludes_no_religion_and_nonresponse;no_religion_percent_is_sem_religiao_line_only;nonresponse_line_in_denominator_not_in_either_slot;two_shares_need_not_sum_to_100;stable_22_concelho_frame_2010_and_2021;religious_change_withheld_across_2010_2021_instrument_break;licence_needs_review_ine_politica_de_difusao_free_universal_access_build_then_ask;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Adventista=222;Assembleia de Deus=190;Católica=11860;Deus é amor=50;Igreja do Nazareno=519;Islâmica=1216;Judaica=4;Nova Apastólica=56;Racionalismo Cristão=575;Testemunho de Jeová=270;Universal do Reino de Deus=248;Outra=204;Sem religião=2854;ND=103"
"CV","cv-concelho-2017-geoboundaries-adm1","concelho","cv-concelho-2017-geoboundaries-adm1:boa_vista","boa_vista","Boa Vista",2010,7088,"IV Recenseamento Geral da Populacao e Habitacao (Censo 2010), Cabo Verde em Numeros national workbook, sheet Relig_3 (Tabela 12): Populacao residente com 15 anos ou mais segundo a religiao por sexo e concelho. The denominator is the printed concelho 15+ Total; religious affiliation is that total minus the 'Sem religiao' line and minus the 'ND' non-response line.",5620,79.2889,1383,19.5119,,,,631.673,,,"cv-census-2010-cvnumeros-table-12-religion-by-concelho|geoboundaries-cpv-adm1-2017","frame_2010_fourteen_category_integer_counts;no_religion_line=Sem religiao;nonresponse_line=ND;census_affiliation;voluntary_question;denominator_population_age_15_plus;religion_or_spirituality_construct;single_select_reported_religion_or_spirituality;religious_affiliation_percent_excludes_no_religion_and_nonresponse;no_religion_percent_is_sem_religiao_line_only;nonresponse_line_in_denominator_not_in_either_slot;two_shares_need_not_sum_to_100;stable_22_concelho_frame_2010_and_2021;religious_change_withheld_across_2010_2021_instrument_break;licence_needs_review_ine_politica_de_difusao_free_universal_access_build_then_ask;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Adventista=75;Assembleia de Deus=55;Católica=3874;Deus é amor=12;Igreja do Nazareno=290;Islâmica=726;Judaica=0;Nova Apastólica=58;Racionalismo Cristão=409;Testemunho de Jeová=34;Universal do Reino de Deus=23;Outra=64;Sem religião=1383;ND=85"
"CV","cv-concelho-2017-geoboundaries-adm1","concelho","cv-concelho-2017-geoboundaries-adm1:maio","maio","Maio",2010,4828,"IV Recenseamento Geral da Populacao e Habitacao (Censo 2010), Cabo Verde em Numeros national workbook, sheet Relig_3 (Tabela 12): Populacao residente com 15 anos ou mais segundo a religiao por sexo e concelho. The denominator is the printed concelho 15+ Total; religious affiliation is that total minus the 'Sem religiao' line and minus the 'ND' non-response line.",4725,97.8666,91,1.8848,,,,272.6113,,,"cv-census-2010-cvnumeros-table-12-religion-by-concelho|geoboundaries-cpv-adm1-2017","frame_2010_fourteen_category_integer_counts;no_religion_line=Sem religiao;nonresponse_line=ND;census_affiliation;voluntary_question;denominator_population_age_15_plus;religion_or_spirituality_construct;single_select_reported_religion_or_spirituality;religious_affiliation_percent_excludes_no_religion_and_nonresponse;no_religion_percent_is_sem_religiao_line_only;nonresponse_line_in_denominator_not_in_either_slot;two_shares_need_not_sum_to_100;stable_22_concelho_frame_2010_and_2021;religious_change_withheld_across_2010_2021_instrument_break;licence_needs_review_ine_politica_de_difusao_free_universal_access_build_then_ask;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Adventista=31;Assembleia de Deus=61;Católica=4393;Deus é amor=2;Igreja do Nazareno=141;Islâmica=29;Judaica=0;Nova Apastólica=16;Racionalismo Cristão=7;Testemunho de Jeová=25;Universal do Reino de Deus=4;Outra=16;Sem religião=91;ND=12"
"CV","cv-concelho-2017-geoboundaries-adm1","concelho","cv-concelho-2017-geoboundaries-adm1:tarrafal","tarrafal","Tarrafal",2010,11873,"IV Recenseamento Geral da Populacao e Habitacao (Censo 2010), Cabo Verde em Numeros national workbook, sheet Relig_3 (Tabela 12): Populacao residente com 15 anos ou mais segundo a religiao por sexo e concelho. The denominator is the printed concelho 15+ Total; religious affiliation is that total minus the 'Sem religiao' line and minus the 'ND' non-response line.",11492,96.791,309,2.6025,,,,120.0154,,,"cv-census-2010-cvnumeros-table-12-religion-by-concelho|geoboundaries-cpv-adm1-2017","frame_2010_fourteen_category_integer_counts;no_religion_line=Sem religiao;nonresponse_line=ND;census_affiliation;voluntary_question;denominator_population_age_15_plus;religion_or_spirituality_construct;single_select_reported_religion_or_spirituality;religious_affiliation_percent_excludes_no_religion_and_nonresponse;no_religion_percent_is_sem_religiao_line_only;nonresponse_line_in_denominator_not_in_either_slot;two_shares_need_not_sum_to_100;stable_22_concelho_frame_2010_and_2021;religious_change_withheld_across_2010_2021_instrument_break;licence_needs_review_ine_politica_de_difusao_free_universal_access_build_then_ask;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Adventista=76;Assembleia de Deus=185;Católica=10841;Deus é amor=4;Igreja do Nazareno=107;Islâmica=98;Judaica=0;Nova Apastólica=6;Racionalismo Cristão=7;Testemunho de Jeová=72;Universal do Reino de Deus=13;Outra=83;Sem religião=309;ND=72"
