"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"CZ","cz-kraj-2021-gisco-nuts3","kraj","cz-kraj-2021-gisco-nuts3:CZ010","CZ010","Hlavní město Praha",2021,933048,"stated religion-response denominator: obyvatelstvo celkem minus neuvedeno (not stated)",287092,30.77,645956,69.23,,,,497.2,,,"czso-sld008t02-religion-by-kraj-2021|gisco-nuts3-2021-cz","stated_response_denominator;neuvedeno_excluded_from_denominator;believers_without_church_in_religious_affiliation"
"CZ","cz-kraj-2021-gisco-nuts3","kraj","cz-kraj-2021-gisco-nuts3:CZ031","CZ031","Jihočeský kraj",2021,420291,"stated religion-response denominator: obyvatelstvo celkem minus neuvedeno (not stated)",137854,32.8,282437,67.2,,,,10058.57,,,"czso-sld008t02-religion-by-kraj-2021|gisco-nuts3-2021-cz","stated_response_denominator;neuvedeno_excluded_from_denominator;believers_without_church_in_religious_affiliation"
"CZ","cz-kraj-2021-gisco-nuts3","kraj","cz-kraj-2021-gisco-nuts3:CZ064","CZ064","Jihomoravský kraj",2021,860869,"stated religion-response denominator: obyvatelstvo celkem minus neuvedeno (not stated)",365097,42.41,495772,57.59,,,,7187.8,,,"czso-sld008t02-religion-by-kraj-2021|gisco-nuts3-2021-cz","stated_response_denominator;neuvedeno_excluded_from_denominator;believers_without_church_in_religious_affiliation"
"CZ","cz-kraj-2021-gisco-nuts3","kraj","cz-kraj-2021-gisco-nuts3:CZ041","CZ041","Karlovarský kraj",2021,190559,"stated religion-response denominator: obyvatelstvo celkem minus neuvedeno (not stated)",39170,20.56,151389,79.44,,,,3311.13,,,"czso-sld008t02-religion-by-kraj-2021|gisco-nuts3-2021-cz","stated_response_denominator;neuvedeno_excluded_from_denominator;believers_without_church_in_religious_affiliation"
"CZ","cz-kraj-2021-gisco-nuts3","kraj","cz-kraj-2021-gisco-nuts3:CZ063","CZ063","Kraj Vysočina",2021,342118,"stated religion-response denominator: obyvatelstvo celkem minus neuvedeno (not stated)",152792,44.66,189326,55.34,,,,6795.38,,,"czso-sld008t02-religion-by-kraj-2021|gisco-nuts3-2021-cz","stated_response_denominator;neuvedeno_excluded_from_denominator;believers_without_church_in_religious_affiliation"
"CZ","cz-kraj-2021-gisco-nuts3","kraj","cz-kraj-2021-gisco-nuts3:CZ052","CZ052","Královéhradecký kraj",2021,371749,"stated religion-response denominator: obyvatelstvo celkem minus neuvedeno (not stated)",92003,24.75,279746,75.25,,,,4758.94,,,"czso-sld008t02-religion-by-kraj-2021|gisco-nuts3-2021-cz","stated_response_denominator;neuvedeno_excluded_from_denominator;believers_without_church_in_religious_affiliation"
"CZ","cz-kraj-2021-gisco-nuts3","kraj","cz-kraj-2021-gisco-nuts3:CZ051","CZ051","Liberecký kraj",2021,302955,"stated religion-response denominator: obyvatelstvo celkem minus neuvedeno (not stated)",58784,19.4,244171,80.6,,,,3163.62,,,"czso-sld008t02-religion-by-kraj-2021|gisco-nuts3-2021-cz","stated_response_denominator;neuvedeno_excluded_from_denominator;believers_without_church_in_religious_affiliation"
"CZ","cz-kraj-2021-gisco-nuts3","kraj","cz-kraj-2021-gisco-nuts3:CZ080","CZ080","Moravskoslezský kraj",2021,818611,"stated religion-response denominator: obyvatelstvo celkem minus neuvedeno (not stated)",323698,39.54,494913,60.46,,,,5429.7,,,"czso-sld008t02-religion-by-kraj-2021|gisco-nuts3-2021-cz","stated_response_denominator;neuvedeno_excluded_from_denominator;believers_without_church_in_religious_affiliation"
"CZ","cz-kraj-2021-gisco-nuts3","kraj","cz-kraj-2021-gisco-nuts3:CZ071","CZ071","Olomoucký kraj",2021,434116,"stated religion-response denominator: obyvatelstvo celkem minus neuvedeno (not stated)",152658,35.17,281458,64.83,,,,5270.48,,,"czso-sld008t02-religion-by-kraj-2021|gisco-nuts3-2021-cz","stated_response_denominator;neuvedeno_excluded_from_denominator;believers_without_church_in_religious_affiliation"
"CZ","cz-kraj-2021-gisco-nuts3","kraj","cz-kraj-2021-gisco-nuts3:CZ053","CZ053","Pardubický kraj",2021,352083,"stated religion-response denominator: obyvatelstvo celkem minus neuvedeno (not stated)",103371,29.36,248712,70.64,,,,4518.76,,,"czso-sld008t02-religion-by-kraj-2021|gisco-nuts3-2021-cz","stated_response_denominator;neuvedeno_excluded_from_denominator;believers_without_church_in_religious_affiliation"
