"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0101","0101","København",2011,539542,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",320099,59.3279,219443,40.6721,,,,91.659,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0147","0147","Frederiksberg",2011,98782,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",65131,65.9341,33651,34.0659,,,,8.7052,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0151","0151","Ballerup",2011,47930,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",34818,72.6434,13112,27.3566,,,,33.8862,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0153","0153","Brøndby",2011,34021,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",21481,63.1404,12540,36.8596,,,,20.9828,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0155","0155","Dragør",2011,13717,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",11252,82.0296,2465,17.9704,,,,18.3996,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0157","0157","Gentofte",2011,71714,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",52368,73.0234,19346,26.9766,,,,25.6138,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0159","0159","Gladsaxe",2011,64951,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",45486,70.0313,19465,29.9687,,,,24.9185,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0161","0161","Glostrup",2011,21384,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",16111,75.3414,5273,24.6586,,,,13.2918,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0163","0163","Herlev",2011,26597,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",18929,71.1697,7668,28.8303,,,,12.0582,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0165","0165","Albertslund",2011,27800,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",16474,59.259,11326,40.741,,,,23.4241,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0167","0167","Hvidovre",2011,50081,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",35997,71.8776,14084,28.1224,,,,22.9541,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0169","0169","Høje-Taastrup",2011,47753,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",32918,68.9339,14835,31.0661,,,,78.1787,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0173","0173","Lyngby-Taarbæk",2011,52754,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",39343,74.5782,13411,25.4218,,,,38.7859,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0175","0175","Rødovre",2011,36524,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",26299,72.0047,10225,27.9953,,,,12.1661,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0183","0183","Ishøj",2011,20797,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",11720,56.3543,9077,43.6457,,,,26.4956,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0185","0185","Tårnby",2011,40835,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",31947,78.2344,8888,21.7656,,,,65.9542,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0187","0187","Vallensbæk",2011,14445,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",10429,72.198,4016,27.802,,,,9.4913,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0190","0190","Furesø",2011,38286,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",27660,72.2457,10626,27.7543,,,,56.785,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0201","0201","Allerød",2011,24096,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",19694,81.7314,4402,18.2686,,,,67.4077,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0210","0210","Fredensborg",2011,39341,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",29209,74.2457,10132,25.7543,,,,112.0999,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0217","0217","Helsingør",2011,61368,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",46421,75.6437,14947,24.3563,,,,121.6798,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
"DK","dk-kommune-2026-dawa-dagi","kommune","dk-kommune-2026-dawa-dagi:0219","0219","Hillerød",2011,47916,"StatBank KM6 1 January municipality row; population_total is member plus not member of the National Church after summing sex and age groups.",37924,79.1468,9992,20.8532,,,,213.3639,,,"dst-statbank-km6-church-membership-kommune-q1-2011-2026|dawa-dagi-kommune-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;annual_january_km6;current_dawa_dagi_kommune_boundary_join"
