"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7002","7002","Helligånds",2023,5686,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",2885,50.7387,2801,49.2613,,,,0.8698,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7003","7003","Trinitatis",2023,3828,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",2146,56.0606,1682,43.9394,,,,0.6091,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7011","7011","Betlehems",2023,2912,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",1356,46.5659,1556,53.4341,,,,0.1224,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7024","7024","Valby",2023,11313,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",6463,57.129,4850,42.871,,,,0.8549,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7026","7026","Timotheus",2023,11359,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",6463,56.8976,4896,43.1024,,,,1.2501,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7027","7027","Vigerslev",2023,7841,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",3822,48.7438,4019,51.2562,,,,1.3486,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7028","7028","Aalholm",2023,8112,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",4947,60.9837,3165,39.0163,,,,1.2657,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7036","7036","Holmens",2023,2802,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",1570,56.0314,1232,43.9686,,,,0.5217,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7037","7037","Garnisons",2023,3339,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",1901,56.9332,1438,43.0668,,,,0.4915,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7038","7038","Frederiks",2023,3590,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",2143,59.6936,1447,40.3064,,,,0.1558,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7039","7039","Sankt Pauls",2023,4637,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",2563,55.2728,2074,44.7272,,,,0.3037,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7040","7040","Østervold",2023,6766,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",3859,57.0352,2907,42.9648,,,,0.723,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7041","7041","Kastels",2023,7016,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",3883,55.3449,3133,44.6551,,,,1.2411,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7043","7043","Rosenvængets",2023,15621,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",9201,58.9015,6420,41.0985,,,,0.5353,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7044","7044","Sankt Jakobs",2023,13016,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",7040,54.0873,5976,45.9127,,,,0.8197,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7046","7046","Hans Egedes",2023,10604,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",6208,58.5439,4396,41.4561,,,,3.6037,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7050","7050","Anna",2023,7442,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",4147,55.7243,3295,44.2757,,,,0.2203,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7051","7051","Sankt Stefans",2023,12674,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",6320,49.8659,6354,50.1341,,,,0.5642,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7053","7053","Kingo-Samuel",2023,21797,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",9484,43.5106,12313,56.4894,,,,1.0581,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7054","7054","Aldersro",2023,8541,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",4269,49.9824,4272,50.0176,,,,0.9081,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7055","7055","Kildevælds",2023,10894,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",6061,55.6361,4833,44.3639,,,,0.5622,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7056","7056","Sions",2023,10405,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",5883,56.5401,4522,43.4599,,,,2.4857,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7057","7057","Hyltebjerg",2023,10267,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",6192,60.3097,4075,39.6903,,,,1.913,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7058","7058","Vanløse",2023,11774,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",6807,57.8138,4967,42.1862,,,,2.1125,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
