"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"EE","ee-county-2000-maaamet","county","ee-county-2000-maaamet:0037","0037","HARJU COUNTY",2000,438942,"Statistics Estonia RL229.PX published population aged 15 and over; this age-15-plus count is the denominator.",138638,31.58,172813,39.37,,,,4338.2835,,,"stat-ee-rl229-census-religion-2000|maaamet-historical-county-2000-12-04","census_affiliation;denominator_population_age_15_plus;published_census_counts;period_boundary_vintage;no_cross_wave_county_concordance"
"EE","ee-county-2000-maaamet","county","ee-county-2000-maaamet:0039","0039","HIIU COUNTY",2000,8105,"Statistics Estonia RL229.PX published population aged 15 and over; this age-15-plus count is the denominator.",1504,18.56,3183,39.27,,,,1024.4604,,,"stat-ee-rl229-census-religion-2000|maaamet-historical-county-2000-12-04","census_affiliation;denominator_population_age_15_plus;published_census_counts;period_boundary_vintage;no_cross_wave_county_concordance"
"EE","ee-county-2000-maaamet","county","ee-county-2000-maaamet:0044","0044","IDA-VIRU COUNTY",2000,150049,"Statistics Estonia RL229.PX published population aged 15 and over; this age-15-plus count is the denominator.",55136,36.75,50551,33.69,,,,3337.2975,,,"stat-ee-rl229-census-religion-2000|maaamet-historical-county-2000-12-04","census_affiliation;denominator_population_age_15_plus;published_census_counts;period_boundary_vintage;no_cross_wave_county_concordance"
"EE","ee-county-2000-maaamet","county","ee-county-2000-maaamet:0049","0049","JÕGEVA COUNTY",2000,30280,"Statistics Estonia RL229.PX published population aged 15 and over; this age-15-plus count is the denominator.",7928,26.18,12838,42.4,,,,2604.3021,,,"stat-ee-rl229-census-religion-2000|maaamet-historical-county-2000-12-04","census_affiliation;denominator_population_age_15_plus;published_census_counts;period_boundary_vintage;no_cross_wave_county_concordance"
"EE","ee-county-2000-maaamet","county","ee-county-2000-maaamet:0051","0051","JÄRVA COUNTY",2000,30818,"Statistics Estonia RL229.PX published population aged 15 and over; this age-15-plus count is the denominator.",5856,19,14796,48.01,,,,2622.8399,,,"stat-ee-rl229-census-religion-2000|maaamet-historical-county-2000-12-04","census_affiliation;denominator_population_age_15_plus;published_census_counts;period_boundary_vintage;no_cross_wave_county_concordance"
"EE","ee-county-2000-maaamet","county","ee-county-2000-maaamet:0057","0057","LÄÄNE COUNTY",2000,22840,"Statistics Estonia RL229.PX published population aged 15 and over; this age-15-plus count is the denominator.",5294,23.18,8632,37.79,,,,2414.096,,,"stat-ee-rl229-census-religion-2000|maaamet-historical-county-2000-12-04","census_affiliation;denominator_population_age_15_plus;published_census_counts;period_boundary_vintage;no_cross_wave_county_concordance"
"EE","ee-county-2000-maaamet","county","ee-county-2000-maaamet:0059","0059","LÄÄNE-VIRU COUNTY",2000,53957,"Statistics Estonia RL229.PX published population aged 15 and over; this age-15-plus count is the denominator.",11024,20.43,24820,46,,,,3464.5368,,,"stat-ee-rl229-census-religion-2000|maaamet-historical-county-2000-12-04","census_affiliation;denominator_population_age_15_plus;published_census_counts;period_boundary_vintage;no_cross_wave_county_concordance"
"EE","ee-county-2000-maaamet","county","ee-county-2000-maaamet:0065","0065","PÕLVA COUNTY",2000,26054,"Statistics Estonia RL229.PX published population aged 15 and over; this age-15-plus count is the denominator.",8411,32.28,10706,41.09,,,,2163.5495,,,"stat-ee-rl229-census-religion-2000|maaamet-historical-county-2000-12-04","census_affiliation;denominator_population_age_15_plus;published_census_counts;period_boundary_vintage;no_cross_wave_county_concordance"
"EE","ee-county-2000-maaamet","county","ee-county-2000-maaamet:0067","0067","PÄRNU COUNTY",2000,73487,"Statistics Estonia RL229.PX published population aged 15 and over; this age-15-plus count is the denominator.",17853,24.29,30849,41.98,,,,4807.8335,,,"stat-ee-rl229-census-religion-2000|maaamet-historical-county-2000-12-04","census_affiliation;denominator_population_age_15_plus;published_census_counts;period_boundary_vintage;no_cross_wave_county_concordance"
"EE","ee-county-2000-maaamet","county","ee-county-2000-maaamet:0070","0070","RAPLA COUNTY",2000,29632,"Statistics Estonia RL229.PX published population aged 15 and over; this age-15-plus count is the denominator.",7933,26.77,11839,39.95,,,,2979.6976,,,"stat-ee-rl229-census-religion-2000|maaamet-historical-county-2000-12-04","census_affiliation;denominator_population_age_15_plus;published_census_counts;period_boundary_vintage;no_cross_wave_county_concordance"
