"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","mass_attendance_monthly_or_more_percent","mass_attendance_weekly_or_more_percent"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:01","01","Andalucía",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Mass-attendance asked subset (self-defined Catholic or believer of another religion) n=422 of community realised n=671. Survey estimates as weighted percentages with 95% intervals, no counts published.",,,,,,,,87552.3442,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;small_cell_wash_denominator_unweighted_survey_respondent_n_pi_ruling_2026_07_12;ccaa_code_01_Andalucia;construct_mass_attendance_p28a;base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;data_only_not_wired_to_map;overview_and_popup_context;mass_attendance_base_n=422;mass_attendance_neff=337.7;monthly_or_more_pct=32.7_ci95=27.7-37.7;weekly_or_more_pct=20.1_ci95=15.8-24.3;ficha_community_maxerror_pct=3.9;licence_open_datos_gob_es_federation_grant_with_cis_citation",32.7,20.1
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:02","02","Aragón",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Mass-attendance asked subset (self-defined Catholic or believer of another religion) n=49 of community realised n=98. Survey estimates as weighted percentages with 95% intervals, no counts published.",,,,,,,,47654.0582,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;small_cell_wash_denominator_unweighted_survey_respondent_n_pi_ruling_2026_07_12;ccaa_code_02_Aragon;construct_mass_attendance_p28a;base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;data_only_not_wired_to_map;overview_and_popup_context;mass_attendance_base_n=49;mass_attendance_neff=36.6;monthly_or_more_pct=30.2_ci95=15.4-45.1;weekly_or_more_pct=21.7_ci95=8.4-35;ficha_community_maxerror_pct=10.1;small_denominator_under_100:mass_attendance_base_n=49;small_cell_under_10:mass_attendance:weekly_or_more_n=8;licence_open_datos_gob_es_federation_grant_with_cis_citation",30.2,21.7
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:03","03","Asturias (Principado de)",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Mass-attendance asked subset (self-defined Catholic or believer of another religion) n=50 of community realised n=95. Survey estimates as weighted percentages with 95% intervals, no counts published.",,,,,,,,10583.9822,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;small_cell_wash_denominator_unweighted_survey_respondent_n_pi_ruling_2026_07_12;ccaa_code_03_Asturias_Principado_de_;construct_mass_attendance_p28a;base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;data_only_not_wired_to_map;overview_and_popup_context;mass_attendance_base_n=50;mass_attendance_neff=37.4;monthly_or_more_pct=25.2_ci95=11.2-39.1;weekly_or_more_pct=7.8_ci95=0-16.5;ficha_community_maxerror_pct=10.2;small_denominator_under_100:mass_attendance_base_n=50;small_cell_under_10:mass_attendance:weekly_or_more_n=4;licence_open_datos_gob_es_federation_grant_with_cis_citation",25.2,7.8
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:04","04","Balears (Illes)",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Mass-attendance asked subset (self-defined Catholic or believer of another religion) n=49 of community realised n=102. Survey estimates as weighted percentages with 95% intervals, no counts published.",,,,,,,,4985.3164,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;small_cell_wash_denominator_unweighted_survey_respondent_n_pi_ruling_2026_07_12;ccaa_code_04_Balears_Illes_;construct_mass_attendance_p28a;base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;data_only_not_wired_to_map;overview_and_popup_context;mass_attendance_base_n=49;mass_attendance_neff=46.1;monthly_or_more_pct=31.7_ci95=18.2-45.1;weekly_or_more_pct=21.1_ci95=9.3-32.9;ficha_community_maxerror_pct=9.9;small_denominator_under_100:mass_attendance_base_n=49;licence_open_datos_gob_es_federation_grant_with_cis_citation",31.7,21.1
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:05","05","Canarias",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Mass-attendance asked subset (self-defined Catholic or believer of another religion) n=87 of community realised n=171. Survey estimates as weighted percentages with 95% intervals, no counts published.",,,,,,,,7454.8425,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;small_cell_wash_denominator_unweighted_survey_respondent_n_pi_ruling_2026_07_12;ccaa_code_05_Canarias;construct_mass_attendance_p28a;base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;data_only_not_wired_to_map;overview_and_popup_context;mass_attendance_base_n=87;mass_attendance_neff=66.7;monthly_or_more_pct=23.6_ci95=13.4-33.7;weekly_or_more_pct=12.9_ci95=4.8-20.9;ficha_community_maxerror_pct=7.6;small_denominator_under_100:mass_attendance_base_n=87;licence_open_datos_gob_es_federation_grant_with_cis_citation",23.6,12.9
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:06","06","Cantabria",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Mass-attendance asked subset (self-defined Catholic or believer of another religion) n=59 of community realised n=109. Survey estimates as weighted percentages with 95% intervals, no counts published.",,,,,,,,5319.8301,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;small_cell_wash_denominator_unweighted_survey_respondent_n_pi_ruling_2026_07_12;ccaa_code_06_Cantabria;construct_mass_attendance_p28a;base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;data_only_not_wired_to_map;overview_and_popup_context;mass_attendance_base_n=59;mass_attendance_neff=54.5;monthly_or_more_pct=26.9_ci95=15.2-38.7;weekly_or_more_pct=16.6_ci95=6.7-26.5;ficha_community_maxerror_pct=9.6;small_denominator_under_100:mass_attendance_base_n=59;licence_open_datos_gob_es_federation_grant_with_cis_citation",26.9,16.6
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:07","07","Castilla-La Mancha",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Mass-attendance asked subset (self-defined Catholic or believer of another religion) n=101 of community realised n=162. Survey estimates as weighted percentages with 95% intervals, no counts published.",,,,,,,,79382.1134,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;small_cell_wash_denominator_unweighted_survey_respondent_n_pi_ruling_2026_07_12;ccaa_code_07_Castilla_La_Mancha;construct_mass_attendance_p28a;base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;data_only_not_wired_to_map;overview_and_popup_context;mass_attendance_base_n=101;mass_attendance_neff=88.4;monthly_or_more_pct=33_ci95=23.2-42.8;weekly_or_more_pct=26.4_ci95=17.2-35.6;ficha_community_maxerror_pct=7.9;licence_open_datos_gob_es_federation_grant_with_cis_citation",33,26.4
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:08","08","Castilla y León",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Mass-attendance asked subset (self-defined Catholic or believer of another religion) n=127 of community realised n=202. Survey estimates as weighted percentages with 95% intervals, no counts published.",,,,,,,,94085.3464,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;small_cell_wash_denominator_unweighted_survey_respondent_n_pi_ruling_2026_07_12;ccaa_code_08_Castilla_y_Leon;construct_mass_attendance_p28a;base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;data_only_not_wired_to_map;overview_and_popup_context;mass_attendance_base_n=127;mass_attendance_neff=96.1;monthly_or_more_pct=30.4_ci95=21.2-39.6;weekly_or_more_pct=26.3_ci95=17.5-35.1;ficha_community_maxerror_pct=7;licence_open_datos_gob_es_federation_grant_with_cis_citation",30.4,26.3
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:09","09","Cataluña",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Mass-attendance asked subset (self-defined Catholic or believer of another religion) n=252 of community realised n=573. Survey estimates as weighted percentages with 95% intervals, no counts published.",,,,,,,,32067.242,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;small_cell_wash_denominator_unweighted_survey_respondent_n_pi_ruling_2026_07_12;ccaa_code_09_Cataluna;construct_mass_attendance_p28a;base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;data_only_not_wired_to_map;overview_and_popup_context;mass_attendance_base_n=252;mass_attendance_neff=214.7;monthly_or_more_pct=22.9_ci95=17.3-28.5;weekly_or_more_pct=17.2_ci95=12.2-22.3;ficha_community_maxerror_pct=4.2;licence_open_datos_gob_es_federation_grant_with_cis_citation",22.9,17.2
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:10","10","Comunitat Valenciana",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Mass-attendance asked subset (self-defined Catholic or believer of another religion) n=206 of community realised n=407. Survey estimates as weighted percentages with 95% intervals, no counts published.",,,,,,,,23240.1236,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;small_cell_wash_denominator_unweighted_survey_respondent_n_pi_ruling_2026_07_12;ccaa_code_10_Comunitat_Valenciana;construct_mass_attendance_p28a;base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;data_only_not_wired_to_map;overview_and_popup_context;mass_attendance_base_n=206;mass_attendance_neff=185;monthly_or_more_pct=25.1_ci95=18.9-31.4;weekly_or_more_pct=15.6_ci95=10.4-20.9;ficha_community_maxerror_pct=5;licence_open_datos_gob_es_federation_grant_with_cis_citation",25.1,15.6
