"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","mass_attendance_monthly_or_more_percent","mass_attendance_weekly_or_more_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:01","01","Andalucía",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Community realised n=671 (weighted 671); mass-attendance asked subset n=422. Survey estimates as weighted percentages with 95% intervals, no counts published.",,63,,35.6,32.7,20.1,,,,87552.3442,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;ccaa_code_01_Andalucia;metric1_self_definition_affiliation=religion_1_2_3;no_religion=religion_4_5_6;nc=9_residual;metric2_mass_attendance_base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;self_definition_base_n=671;self_definition_neff=538.2;affiliation_pct=63_ci95=59-67.1;no_religion_pct=35.6_ci95=31.6-39.7;mass_attendance_base_n=422;mass_attendance_neff=337.7;monthly_or_more_pct=32.7_ci95=27.7-37.7;weekly_or_more_pct=20.1_ci95=15.8-24.3;ficha_community_maxerror_pct=3.9;licence_open_datos_gob_es_federation_grant_with_cis_citation"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:02","02","Aragón",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Community realised n=98 (weighted 98); mass-attendance asked subset n=49. Survey estimates as weighted percentages with 95% intervals, no counts published.",,51.9,,44.2,30.2,21.7,,,,47654.0582,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;ccaa_code_02_Aragon;metric1_self_definition_affiliation=religion_1_2_3;no_religion=religion_4_5_6;nc=9_residual;metric2_mass_attendance_base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;self_definition_base_n=98;self_definition_neff=79.4;affiliation_pct=51.9_ci95=40.9-62.9;no_religion_pct=44.2_ci95=33.3-55.1;mass_attendance_base_n=49;mass_attendance_neff=36.6;monthly_or_more_pct=30.2_ci95=15.4-45.1;weekly_or_more_pct=21.7_ci95=8.4-35;ficha_community_maxerror_pct=10.1;small_denominator_under_100:self_definition_base_n=98;small_denominator_under_100:mass_attendance_base_n=49;small_cell_under_10:mass_attendance:weekly_or_more_n=8;licence_open_datos_gob_es_federation_grant_with_cis_citation"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:03","03","Asturias (Principado de)",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Community realised n=95 (weighted 95); mass-attendance asked subset n=50. Survey estimates as weighted percentages with 95% intervals, no counts published.",,57.6,,40.2,25.2,7.8,,,,10583.9822,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;ccaa_code_03_Asturias_Principado_de_;metric1_self_definition_affiliation=religion_1_2_3;no_religion=religion_4_5_6;nc=9_residual;metric2_mass_attendance_base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;self_definition_base_n=95;self_definition_neff=72.2;affiliation_pct=57.6_ci95=46.2-69;no_religion_pct=40.2_ci95=28.9-51.5;mass_attendance_base_n=50;mass_attendance_neff=37.4;monthly_or_more_pct=25.2_ci95=11.2-39.1;weekly_or_more_pct=7.8_ci95=0-16.5;ficha_community_maxerror_pct=10.2;small_denominator_under_100:self_definition_base_n=95;small_denominator_under_100:mass_attendance_base_n=50;small_cell_under_10:mass_attendance:weekly_or_more_n=4;licence_open_datos_gob_es_federation_grant_with_cis_citation"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:04","04","Balears (Illes)",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Community realised n=102 (weighted 102); mass-attendance asked subset n=49. Survey estimates as weighted percentages with 95% intervals, no counts published.",,48,,50.2,31.7,21.1,,,,4985.3164,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;ccaa_code_04_Balears_Illes_;metric1_self_definition_affiliation=religion_1_2_3;no_religion=religion_4_5_6;nc=9_residual;metric2_mass_attendance_base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;self_definition_base_n=102;self_definition_neff=94.5;affiliation_pct=48_ci95=37.9-58.1;no_religion_pct=50.2_ci95=40.1-60.3;mass_attendance_base_n=49;mass_attendance_neff=46.1;monthly_or_more_pct=31.7_ci95=18.2-45.1;weekly_or_more_pct=21.1_ci95=9.3-32.9;ficha_community_maxerror_pct=9.9;small_denominator_under_100:mass_attendance_base_n=49;licence_open_datos_gob_es_federation_grant_with_cis_citation"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:05","05","Canarias",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Community realised n=171 (weighted 171); mass-attendance asked subset n=87. Survey estimates as weighted percentages with 95% intervals, no counts published.",,50.7,,47.8,23.6,12.9,,,,7454.8425,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;ccaa_code_05_Canarias;metric1_self_definition_affiliation=religion_1_2_3;no_religion=religion_4_5_6;nc=9_residual;metric2_mass_attendance_base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;self_definition_base_n=171;self_definition_neff=130.5;affiliation_pct=50.7_ci95=42.1-59.3;no_religion_pct=47.8_ci95=39.2-56.3;mass_attendance_base_n=87;mass_attendance_neff=66.7;monthly_or_more_pct=23.6_ci95=13.4-33.7;weekly_or_more_pct=12.9_ci95=4.8-20.9;ficha_community_maxerror_pct=7.6;small_denominator_under_100:mass_attendance_base_n=87;licence_open_datos_gob_es_federation_grant_with_cis_citation"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:06","06","Cantabria",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Community realised n=109 (weighted 109); mass-attendance asked subset n=59. Survey estimates as weighted percentages with 95% intervals, no counts published.",,52.7,,45.3,26.9,16.6,,,,5319.8301,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;ccaa_code_06_Cantabria;metric1_self_definition_affiliation=religion_1_2_3;no_religion=religion_4_5_6;nc=9_residual;metric2_mass_attendance_base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;self_definition_base_n=109;self_definition_neff=99.8;affiliation_pct=52.7_ci95=42.9-62.5;no_religion_pct=45.3_ci95=35.5-55.1;mass_attendance_base_n=59;mass_attendance_neff=54.5;monthly_or_more_pct=26.9_ci95=15.2-38.7;weekly_or_more_pct=16.6_ci95=6.7-26.5;ficha_community_maxerror_pct=9.6;small_denominator_under_100:mass_attendance_base_n=59;licence_open_datos_gob_es_federation_grant_with_cis_citation"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:07","07","Castilla-La Mancha",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Community realised n=162 (weighted 162); mass-attendance asked subset n=101. Survey estimates as weighted percentages with 95% intervals, no counts published.",,61.6,,36.3,33,26.4,,,,79382.1134,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;ccaa_code_07_Castilla_La_Mancha;metric1_self_definition_affiliation=religion_1_2_3;no_religion=religion_4_5_6;nc=9_residual;metric2_mass_attendance_base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;self_definition_base_n=162;self_definition_neff=141.9;affiliation_pct=61.6_ci95=53.6-69.6;no_religion_pct=36.3_ci95=28.4-44.2;mass_attendance_base_n=101;mass_attendance_neff=88.4;monthly_or_more_pct=33_ci95=23.2-42.8;weekly_or_more_pct=26.4_ci95=17.2-35.6;ficha_community_maxerror_pct=7.9;licence_open_datos_gob_es_federation_grant_with_cis_citation"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:08","08","Castilla y León",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Community realised n=202 (weighted 202); mass-attendance asked subset n=127. Survey estimates as weighted percentages with 95% intervals, no counts published.",,63.6,,36,30.4,26.3,,,,94085.3464,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;ccaa_code_08_Castilla_y_Leon;metric1_self_definition_affiliation=religion_1_2_3;no_religion=religion_4_5_6;nc=9_residual;metric2_mass_attendance_base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;self_definition_base_n=202;self_definition_neff=149.3;affiliation_pct=63.6_ci95=55.9-71.4;no_religion_pct=36_ci95=28.3-43.7;mass_attendance_base_n=127;mass_attendance_neff=96.1;monthly_or_more_pct=30.4_ci95=21.2-39.6;weekly_or_more_pct=26.3_ci95=17.5-35.1;ficha_community_maxerror_pct=7;licence_open_datos_gob_es_federation_grant_with_cis_citation"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:09","09","Cataluña",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Community realised n=573 (weighted 573); mass-attendance asked subset n=252. Survey estimates as weighted percentages with 95% intervals, no counts published.",,44.7,,54,22.9,17.2,,,,32067.242,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;ccaa_code_09_Cataluna;metric1_self_definition_affiliation=religion_1_2_3;no_religion=religion_4_5_6;nc=9_residual;metric2_mass_attendance_base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;self_definition_base_n=573;self_definition_neff=472.8;affiliation_pct=44.7_ci95=40.2-49.2;no_religion_pct=54_ci95=49.6-58.5;mass_attendance_base_n=252;mass_attendance_neff=214.7;monthly_or_more_pct=22.9_ci95=17.3-28.5;weekly_or_more_pct=17.2_ci95=12.2-22.3;ficha_community_maxerror_pct=4.2;licence_open_datos_gob_es_federation_grant_with_cis_citation"
"ES","es-ccaa-cis-3505","autonomous_community","es-ccaa-cis-3505:10","10","Comunitat Valenciana",2025,,"CIS Barómetro Abril 2025 (Estudio 3505), CATI, fieldwork April 2025; autonomous-community estimation weight PESOCCAA. Community realised n=407 (weighted 407); mass-attendance asked subset n=206. Survey estimates as weighted percentages with 95% intervals, no counts published.",,52,,46.6,25.1,15.6,,,,23240.1236,,,"cis-3505-barometro-abril-2025-microdatos|geoboundaries-esp-adm1-cc-by-4-0","survey_construct_cis_barometro_estudio_3505_abril_2025;own_datanoun_survey_never_blended_with_census_affiliation_spain_census_has_no_religion_question;weighted_estimates_pesoccaa_per_community_weight;no_counts_shipped;design_2020_onward_cati_min_100_interviews_per_community_pesoccaa_weight;uncertainty_95pct_wald_on_kish_effective_n;ficha_published_community_maxerror_carried;ccaa_code_10_Comunitat_Valenciana;metric1_self_definition_affiliation=religion_1_2_3;no_religion=religion_4_5_6;nc=9_residual;metric2_mass_attendance_base=self_defined_catholic_or_other_believer_practicarelig6_ne_0;self_definition_base_n=407;self_definition_neff=368.8;affiliation_pct=52_ci95=46.9-57.1;no_religion_pct=46.6_ci95=41.5-51.7;mass_attendance_base_n=206;mass_attendance_neff=185;monthly_or_more_pct=25.1_ci95=18.9-31.4;weekly_or_more_pct=15.6_ci95=10.4-20.9;ficha_community_maxerror_pct=5;licence_open_datos_gob_es_federation_grant_with_cis_citation"
