"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"FI","fi-adm0-2017-geoboundaries-9469f09","adm0","fi-adm0-2017-geoboundaries-9469f09:FI","FI","Finland",1990,4998478,"Statistics Finland StatFin table 11rx (Population 31.12.), register-based religious-community membership from the Population Information System; national total (Sex=Total, Age=Total), 1990 = 4998478. Membership is an administrative REGISTER construct, not census affiliation, belief, or practice. religious_affiliation = TOTAL minus PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY (the sum of the 22 registered religious-community leaves); no_religion = PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY; the two sum to the register universe (100% by construction).",4487962,89.7866,510516,10.2134,,,,335164.094,,,"statfin-px-11rx-religious-community-membership-1990-2025|geoboundaries-gbopen-fin-adm0-9469f09","administrative_register_membership;national_only_adm0;register_construct_not_census_affiliation_not_belief_not_practice;religious_affiliation=total_minus_persons_not_members_of_any_religious_community;no_religion=persons_not_members_of_any_religious_community_register_line_not_irreligion_claim;affiliation_plus_not_member_equals_100_by_construction;verbatim_statfin_26_category_frame_preserved_no_merge_no_zeroing;23_leaves_reconcile_to_published_total;f00_christianity_g00_other_groups_are_roll_up_headings;no_suppressed_cells_in_national_total_slice;statfin_11rx_cc_by_4_0;boundary_geoboundaries_fin_adm0_odbl_1_0_osm_not_cc_by_4_0"
"FI","fi-adm0-2017-geoboundaries-9469f09","adm0","fi-adm0-2017-geoboundaries-9469f09:FI","FI","Finland",1991,5029002,"Statistics Finland StatFin table 11rx (Population 31.12.), register-based religious-community membership from the Population Information System; national total (Sex=Total, Age=Total), 1991 = 5029002. Membership is an administrative REGISTER construct, not census affiliation, belief, or practice. religious_affiliation = TOTAL minus PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY (the sum of the 22 registered religious-community leaves); no_religion = PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY; the two sum to the register universe (100% by construction).",4495513,89.3918,533489,10.6082,,,,335164.094,,,"statfin-px-11rx-religious-community-membership-1990-2025|geoboundaries-gbopen-fin-adm0-9469f09","administrative_register_membership;national_only_adm0;register_construct_not_census_affiliation_not_belief_not_practice;religious_affiliation=total_minus_persons_not_members_of_any_religious_community;no_religion=persons_not_members_of_any_religious_community_register_line_not_irreligion_claim;affiliation_plus_not_member_equals_100_by_construction;verbatim_statfin_26_category_frame_preserved_no_merge_no_zeroing;23_leaves_reconcile_to_published_total;f00_christianity_g00_other_groups_are_roll_up_headings;no_suppressed_cells_in_national_total_slice;statfin_11rx_cc_by_4_0;boundary_geoboundaries_fin_adm0_odbl_1_0_osm_not_cc_by_4_0"
"FI","fi-adm0-2017-geoboundaries-9469f09","adm0","fi-adm0-2017-geoboundaries-9469f09:FI","FI","Finland",1992,5054982,"Statistics Finland StatFin table 11rx (Population 31.12.), register-based religious-community membership from the Population Information System; national total (Sex=Total, Age=Total), 1992 = 5054982. Membership is an administrative REGISTER construct, not census affiliation, belief, or practice. religious_affiliation = TOTAL minus PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY (the sum of the 22 registered religious-community leaves); no_religion = PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY; the two sum to the register universe (100% by construction).",4489638,88.8161,565344,11.1839,,,,335164.094,,,"statfin-px-11rx-religious-community-membership-1990-2025|geoboundaries-gbopen-fin-adm0-9469f09","administrative_register_membership;national_only_adm0;register_construct_not_census_affiliation_not_belief_not_practice;religious_affiliation=total_minus_persons_not_members_of_any_religious_community;no_religion=persons_not_members_of_any_religious_community_register_line_not_irreligion_claim;affiliation_plus_not_member_equals_100_by_construction;verbatim_statfin_26_category_frame_preserved_no_merge_no_zeroing;23_leaves_reconcile_to_published_total;f00_christianity_g00_other_groups_are_roll_up_headings;no_suppressed_cells_in_national_total_slice;statfin_11rx_cc_by_4_0;boundary_geoboundaries_fin_adm0_odbl_1_0_osm_not_cc_by_4_0"
"FI","fi-adm0-2017-geoboundaries-9469f09","adm0","fi-adm0-2017-geoboundaries-9469f09:FI","FI","Finland",1993,5077912,"Statistics Finland StatFin table 11rx (Population 31.12.), register-based religious-community membership from the Population Information System; national total (Sex=Total, Age=Total), 1993 = 5077912. Membership is an administrative REGISTER construct, not census affiliation, belief, or practice. religious_affiliation = TOTAL minus PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY (the sum of the 22 registered religious-community leaves); no_religion = PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY; the two sum to the register universe (100% by construction).",4481374,88.2523,596538,11.7477,,,,335164.094,,,"statfin-px-11rx-religious-community-membership-1990-2025|geoboundaries-gbopen-fin-adm0-9469f09","administrative_register_membership;national_only_adm0;register_construct_not_census_affiliation_not_belief_not_practice;religious_affiliation=total_minus_persons_not_members_of_any_religious_community;no_religion=persons_not_members_of_any_religious_community_register_line_not_irreligion_claim;affiliation_plus_not_member_equals_100_by_construction;verbatim_statfin_26_category_frame_preserved_no_merge_no_zeroing;23_leaves_reconcile_to_published_total;f00_christianity_g00_other_groups_are_roll_up_headings;no_suppressed_cells_in_national_total_slice;statfin_11rx_cc_by_4_0;boundary_geoboundaries_fin_adm0_odbl_1_0_osm_not_cc_by_4_0"
"FI","fi-adm0-2017-geoboundaries-9469f09","adm0","fi-adm0-2017-geoboundaries-9469f09:FI","FI","Finland",1994,5098754,"Statistics Finland StatFin table 11rx (Population 31.12.), register-based religious-community membership from the Population Information System; national total (Sex=Total, Age=Total), 1994 = 5098754. Membership is an administrative REGISTER construct, not census affiliation, belief, or practice. religious_affiliation = TOTAL minus PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY (the sum of the 22 registered religious-community leaves); no_religion = PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY; the two sum to the register universe (100% by construction).",4489196,88.045,609558,11.955,,,,335164.094,,,"statfin-px-11rx-religious-community-membership-1990-2025|geoboundaries-gbopen-fin-adm0-9469f09","administrative_register_membership;national_only_adm0;register_construct_not_census_affiliation_not_belief_not_practice;religious_affiliation=total_minus_persons_not_members_of_any_religious_community;no_religion=persons_not_members_of_any_religious_community_register_line_not_irreligion_claim;affiliation_plus_not_member_equals_100_by_construction;verbatim_statfin_26_category_frame_preserved_no_merge_no_zeroing;23_leaves_reconcile_to_published_total;f00_christianity_g00_other_groups_are_roll_up_headings;no_suppressed_cells_in_national_total_slice;statfin_11rx_cc_by_4_0;boundary_geoboundaries_fin_adm0_odbl_1_0_osm_not_cc_by_4_0"
"FI","fi-adm0-2017-geoboundaries-9469f09","adm0","fi-adm0-2017-geoboundaries-9469f09:FI","FI","Finland",1995,5116826,"Statistics Finland StatFin table 11rx (Population 31.12.), register-based religious-community membership from the Population Information System; national total (Sex=Total, Age=Total), 1995 = 5116826. Membership is an administrative REGISTER construct, not census affiliation, belief, or practice. religious_affiliation = TOTAL minus PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY (the sum of the 22 registered religious-community leaves); no_religion = PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY; the two sum to the register universe (100% by construction).",4497200,87.8904,619626,12.1096,,,,335164.094,,,"statfin-px-11rx-religious-community-membership-1990-2025|geoboundaries-gbopen-fin-adm0-9469f09","administrative_register_membership;national_only_adm0;register_construct_not_census_affiliation_not_belief_not_practice;religious_affiliation=total_minus_persons_not_members_of_any_religious_community;no_religion=persons_not_members_of_any_religious_community_register_line_not_irreligion_claim;affiliation_plus_not_member_equals_100_by_construction;verbatim_statfin_26_category_frame_preserved_no_merge_no_zeroing;23_leaves_reconcile_to_published_total;f00_christianity_g00_other_groups_are_roll_up_headings;no_suppressed_cells_in_national_total_slice;statfin_11rx_cc_by_4_0;boundary_geoboundaries_fin_adm0_odbl_1_0_osm_not_cc_by_4_0"
"FI","fi-adm0-2017-geoboundaries-9469f09","adm0","fi-adm0-2017-geoboundaries-9469f09:FI","FI","Finland",1996,5132320,"Statistics Finland StatFin table 11rx (Population 31.12.), register-based religious-community membership from the Population Information System; national total (Sex=Total, Age=Total), 1996 = 5132320. Membership is an administrative REGISTER construct, not census affiliation, belief, or practice. religious_affiliation = TOTAL minus PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY (the sum of the 22 registered religious-community leaves); no_religion = PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY; the two sum to the register universe (100% by construction).",4505365,87.7842,626955,12.2158,,,,335164.094,,,"statfin-px-11rx-religious-community-membership-1990-2025|geoboundaries-gbopen-fin-adm0-9469f09","administrative_register_membership;national_only_adm0;register_construct_not_census_affiliation_not_belief_not_practice;religious_affiliation=total_minus_persons_not_members_of_any_religious_community;no_religion=persons_not_members_of_any_religious_community_register_line_not_irreligion_claim;affiliation_plus_not_member_equals_100_by_construction;verbatim_statfin_26_category_frame_preserved_no_merge_no_zeroing;23_leaves_reconcile_to_published_total;f00_christianity_g00_other_groups_are_roll_up_headings;no_suppressed_cells_in_national_total_slice;statfin_11rx_cc_by_4_0;boundary_geoboundaries_fin_adm0_odbl_1_0_osm_not_cc_by_4_0"
"FI","fi-adm0-2017-geoboundaries-9469f09","adm0","fi-adm0-2017-geoboundaries-9469f09:FI","FI","Finland",1997,5147349,"Statistics Finland StatFin table 11rx (Population 31.12.), register-based religious-community membership from the Population Information System; national total (Sex=Total, Age=Total), 1997 = 5147349. Membership is an administrative REGISTER construct, not census affiliation, belief, or practice. religious_affiliation = TOTAL minus PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY (the sum of the 22 registered religious-community leaves); no_religion = PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY; the two sum to the register universe (100% by construction).",4512912,87.6745,634437,12.3255,,,,335164.094,,,"statfin-px-11rx-religious-community-membership-1990-2025|geoboundaries-gbopen-fin-adm0-9469f09","administrative_register_membership;national_only_adm0;register_construct_not_census_affiliation_not_belief_not_practice;religious_affiliation=total_minus_persons_not_members_of_any_religious_community;no_religion=persons_not_members_of_any_religious_community_register_line_not_irreligion_claim;affiliation_plus_not_member_equals_100_by_construction;verbatim_statfin_26_category_frame_preserved_no_merge_no_zeroing;23_leaves_reconcile_to_published_total;f00_christianity_g00_other_groups_are_roll_up_headings;no_suppressed_cells_in_national_total_slice;statfin_11rx_cc_by_4_0;boundary_geoboundaries_fin_adm0_odbl_1_0_osm_not_cc_by_4_0"
"FI","fi-adm0-2017-geoboundaries-9469f09","adm0","fi-adm0-2017-geoboundaries-9469f09:FI","FI","Finland",1998,5159646,"Statistics Finland StatFin table 11rx (Population 31.12.), register-based religious-community membership from the Population Information System; national total (Sex=Total, Age=Total), 1998 = 5159646. Membership is an administrative REGISTER construct, not census affiliation, belief, or practice. religious_affiliation = TOTAL minus PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY (the sum of the 22 registered religious-community leaves); no_religion = PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY; the two sum to the register universe (100% by construction).",4517959,87.5634,641687,12.4366,,,,335164.094,,,"statfin-px-11rx-religious-community-membership-1990-2025|geoboundaries-gbopen-fin-adm0-9469f09","administrative_register_membership;national_only_adm0;register_construct_not_census_affiliation_not_belief_not_practice;religious_affiliation=total_minus_persons_not_members_of_any_religious_community;no_religion=persons_not_members_of_any_religious_community_register_line_not_irreligion_claim;affiliation_plus_not_member_equals_100_by_construction;verbatim_statfin_26_category_frame_preserved_no_merge_no_zeroing;23_leaves_reconcile_to_published_total;f00_christianity_g00_other_groups_are_roll_up_headings;no_suppressed_cells_in_national_total_slice;statfin_11rx_cc_by_4_0;boundary_geoboundaries_fin_adm0_odbl_1_0_osm_not_cc_by_4_0"
"FI","fi-adm0-2017-geoboundaries-9469f09","adm0","fi-adm0-2017-geoboundaries-9469f09:FI","FI","Finland",1999,5171302,"Statistics Finland StatFin table 11rx (Population 31.12.), register-based religious-community membership from the Population Information System; national total (Sex=Total, Age=Total), 1999 = 5171302. Membership is an administrative REGISTER construct, not census affiliation, belief, or practice. religious_affiliation = TOTAL minus PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY (the sum of the 22 registered religious-community leaves); no_religion = PERSONS NOT MEMBERS OF ANY RELIGIOUS COMMUNITY; the two sum to the register universe (100% by construction).",4518712,87.3805,652590,12.6195,,,,335164.094,,,"statfin-px-11rx-religious-community-membership-1990-2025|geoboundaries-gbopen-fin-adm0-9469f09","administrative_register_membership;national_only_adm0;register_construct_not_census_affiliation_not_belief_not_practice;religious_affiliation=total_minus_persons_not_members_of_any_religious_community;no_religion=persons_not_members_of_any_religious_community_register_line_not_irreligion_claim;affiliation_plus_not_member_equals_100_by_construction;verbatim_statfin_26_category_frame_preserved_no_merge_no_zeroing;23_leaves_reconcile_to_published_total;f00_christianity_g00_other_groups_are_roll_up_headings;no_suppressed_cells_in_national_total_slice;statfin_11rx_cc_by_4_0;boundary_geoboundaries_fin_adm0_odbl_1_0_osm_not_cc_by_4_0"
