"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"FJ","fj-province-2020-geoboundaries-adm2","province","fj-province-2020-geoboundaries-adm2:14151628B98370545668292","14151628B98370545668292","Ba",2007,231760,"population enumerated by province in the 2007 census Table P01-3 religion margin; an unprinted not-stated residual (province Total minus the six printed religion categories) remains in the denominator and outside both headline numerators",230400,99.4132,1216,0.5247,,,,3216.4343,,,"fbos-census-2007-table-p01-3-religion-province|geoboundaries-fji-adm2-2020","census_affiliation;religion_by_province_margin;ethnicity_dimension_out_of_scope;unprinted_not_stated_residual_retained_in_denominator;2007_only_change_withheld;fbos_all_rights_reserved_research_reuse_with_attribution;boundary_cc_by_4_0"
"FJ","fj-province-2020-geoboundaries-adm2","province","fj-province-2020-geoboundaries-adm2:14151628B59272471160482","14151628B59272471160482","Bua",2007,14176,"population enumerated by province in the 2007 census Table P01-3 religion margin; an unprinted not-stated residual (province Total minus the six printed religion categories) remains in the denominator and outside both headline numerators",14122,99.6191,51,0.3598,,,,1604.06,,,"fbos-census-2007-table-p01-3-religion-province|geoboundaries-fji-adm2-2020","census_affiliation;religion_by_province_margin;ethnicity_dimension_out_of_scope;unprinted_not_stated_residual_retained_in_denominator;2007_only_change_withheld;fbos_all_rights_reserved_research_reuse_with_attribution;boundary_cc_by_4_0"
"FJ","fj-province-2020-geoboundaries-adm2","province","fj-province-2020-geoboundaries-adm2:14151628B95966095088914","14151628B95966095088914","Cakaudrove",2007,49344,"population enumerated by province in the 2007 census Table P01-3 religion margin; an unprinted not-stated residual (province Total minus the six printed religion categories) remains in the denominator and outside both headline numerators",49169,99.6453,136,0.2756,,,,3246.8012,,,"fbos-census-2007-table-p01-3-religion-province|geoboundaries-fji-adm2-2020","census_affiliation;religion_by_province_margin;ethnicity_dimension_out_of_scope;unprinted_not_stated_residual_retained_in_denominator;2007_only_change_withheld;fbos_all_rights_reserved_research_reuse_with_attribution;boundary_cc_by_4_0"
"FJ","fj-province-2020-geoboundaries-adm2","province","fj-province-2020-geoboundaries-adm2:14151628B61046117406534","14151628B61046117406534","Kadavu",2007,10167,"population enumerated by province in the 2007 census Table P01-3 religion margin; an unprinted not-stated residual (province Total minus the six printed religion categories) remains in the denominator and outside both headline numerators",10160,99.9311,5,0.0492,,,,860.2563,,,"fbos-census-2007-table-p01-3-religion-province|geoboundaries-fji-adm2-2020","census_affiliation;religion_by_province_margin;ethnicity_dimension_out_of_scope;unprinted_not_stated_residual_retained_in_denominator;2007_only_change_withheld;fbos_all_rights_reserved_research_reuse_with_attribution;boundary_cc_by_4_0"
"FJ","fj-province-2020-geoboundaries-adm2","province","fj-province-2020-geoboundaries-adm2:14151628B80423492752803","14151628B80423492752803","Lau",2007,10683,"population enumerated by province in the 2007 census Table P01-3 religion margin; an unprinted not-stated residual (province Total minus the six printed religion categories) remains in the denominator and outside both headline numerators",10625,99.4571,3,0.0281,,,,500.2885,,,"fbos-census-2007-table-p01-3-religion-province|geoboundaries-fji-adm2-2020","census_affiliation;religion_by_province_margin;ethnicity_dimension_out_of_scope;unprinted_not_stated_residual_retained_in_denominator;2007_only_change_withheld;fbos_all_rights_reserved_research_reuse_with_attribution;boundary_cc_by_4_0"
"FJ","fj-province-2020-geoboundaries-adm2","province","fj-province-2020-geoboundaries-adm2:14151628B20319301670654","14151628B20319301670654","Lomaiviti",2007,16253,"population enumerated by province in the 2007 census Table P01-3 religion margin; an unprinted not-stated residual (province Total minus the six printed religion categories) remains in the denominator and outside both headline numerators",16179,99.5447,69,0.4245,,,,485.7181,,,"fbos-census-2007-table-p01-3-religion-province|geoboundaries-fji-adm2-2020","census_affiliation;religion_by_province_margin;ethnicity_dimension_out_of_scope;unprinted_not_stated_residual_retained_in_denominator;2007_only_change_withheld;fbos_all_rights_reserved_research_reuse_with_attribution;boundary_cc_by_4_0"
"FJ","fj-province-2020-geoboundaries-adm2","province","fj-province-2020-geoboundaries-adm2:14151628B42533076410957","14151628B42533076410957","Macuata",2007,72441,"population enumerated by province in the 2007 census Table P01-3 religion margin; an unprinted not-stated residual (province Total minus the six printed religion categories) remains in the denominator and outside both headline numerators",72101,99.5307,265,0.3658,,,,2281.4423,,,"fbos-census-2007-table-p01-3-religion-province|geoboundaries-fji-adm2-2020","census_affiliation;religion_by_province_margin;ethnicity_dimension_out_of_scope;unprinted_not_stated_residual_retained_in_denominator;2007_only_change_withheld;fbos_all_rights_reserved_research_reuse_with_attribution;boundary_cc_by_4_0"
"FJ","fj-province-2020-geoboundaries-adm2","province","fj-province-2020-geoboundaries-adm2:14151628B53702400461405","14151628B53702400461405","Nadroga/Navosa",2007,58387,"population enumerated by province in the 2007 census Table P01-3 religion margin; an unprinted not-stated residual (province Total minus the six printed religion categories) remains in the denominator and outside both headline numerators",58174,99.6352,200,0.3425,,,,2672.2012,,,"fbos-census-2007-table-p01-3-religion-province|geoboundaries-fji-adm2-2020","census_affiliation;religion_by_province_margin;ethnicity_dimension_out_of_scope;unprinted_not_stated_residual_retained_in_denominator;2007_only_change_withheld;fbos_all_rights_reserved_research_reuse_with_attribution;boundary_cc_by_4_0"
"FJ","fj-province-2020-geoboundaries-adm2","province","fj-province-2020-geoboundaries-adm2:14151628B8492423103487","14151628B8492423103487","Naitasiri",2007,160760,"population enumerated by province in the 2007 census Table P01-3 religion margin; an unprinted not-stated residual (province Total minus the six printed religion categories) remains in the denominator and outside both headline numerators",159902,99.4663,695,0.4323,,,,1667.3179,,,"fbos-census-2007-table-p01-3-religion-province|geoboundaries-fji-adm2-2020","census_affiliation;religion_by_province_margin;ethnicity_dimension_out_of_scope;unprinted_not_stated_residual_retained_in_denominator;2007_only_change_withheld;fbos_all_rights_reserved_research_reuse_with_attribution;boundary_cc_by_4_0"
"FJ","fj-province-2020-geoboundaries-adm2","province","fj-province-2020-geoboundaries-adm2:14151628B28251361437248","14151628B28251361437248","Namosi",2007,6898,"population enumerated by province in the 2007 census Table P01-3 religion margin; an unprinted not-stated residual (province Total minus the six printed religion categories) remains in the denominator and outside both headline numerators",6875,99.6666,17,0.2464,,,,608.0166,,,"fbos-census-2007-table-p01-3-religion-province|geoboundaries-fji-adm2-2020","census_affiliation;religion_by_province_margin;ethnicity_dimension_out_of_scope;unprinted_not_stated_residual_retained_in_denominator;2007_only_change_withheld;fbos_all_rights_reserved_research_reuse_with_attribution;boundary_cc_by_4_0"
