"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"FM","fm-state-2019-geoboundaries-adm1","state","fm-state-2019-geoboundaries-adm1:FM-YAP","FM-YAP","Yap",2000,11241,"2000 FSM Census state-report Table B10/B10a-d 'Marital Status and Religion by ... Usual Residence', all persons of all ages; the denominator is the printed state All-persons total. Broad affiliation is population minus the combined No Religion and Refused cells.",10592,94.2265,649,5.7735,,,,106.8068,,,"fm-census-2000-state-reports-table-b10-religion|geoboundaries-fsm-adm1-2019","frame_2000_eight_way;no_religion_is_no_religion_plus_refused_combined;denominations_assembly_apostolic_pentecostal_jehovah_folded_into_other_religion;census_affiliation;all_persons_all_ages_universe;no_universe_break_2000_to_2023;broad_affiliation_comparable_across_all_three_waves;denomination_detail_confined_to_2010_2023;licence_needs_review_pending_pi_task_15;boundary_ccby30igo"
"FM","fm-state-2019-geoboundaries-adm1","state","fm-state-2019-geoboundaries-adm1:FM-TRK","FM-TRK","Chuuk",2000,53595,"2000 FSM Census state-report Table B10/B10a-d 'Marital Status and Religion by ... Usual Residence', all persons of all ages; the denominator is the printed state All-persons total. Broad affiliation is population minus the combined No Religion and Refused cells.",53569,99.9515,26,0.0485,,,,107.7708,,,"fm-census-2000-state-reports-table-b10-religion|geoboundaries-fsm-adm1-2019","frame_2000_eight_way;no_religion_is_no_religion_plus_refused_combined;denominations_assembly_apostolic_pentecostal_jehovah_folded_into_other_religion;census_affiliation;all_persons_all_ages_universe;no_universe_break_2000_to_2023;broad_affiliation_comparable_across_all_three_waves;denomination_detail_confined_to_2010_2023;licence_needs_review_pending_pi_task_15;boundary_ccby30igo"
"FM","fm-state-2019-geoboundaries-adm1","state","fm-state-2019-geoboundaries-adm1:FM-PNI","FM-PNI","Pohnpei",2000,34486,"2000 FSM Census state-report Table B10/B10a-d 'Marital Status and Religion by ... Usual Residence', all persons of all ages; the denominator is the printed state All-persons total. Broad affiliation is population minus the combined No Religion and Refused cells.",34363,99.6433,123,0.3567,,,,364.4798,,,"fm-census-2000-state-reports-table-b10-religion|geoboundaries-fsm-adm1-2019","frame_2000_eight_way;no_religion_is_no_religion_plus_refused_combined;denominations_assembly_apostolic_pentecostal_jehovah_folded_into_other_religion;census_affiliation;all_persons_all_ages_universe;no_universe_break_2000_to_2023;broad_affiliation_comparable_across_all_three_waves;denomination_detail_confined_to_2010_2023;licence_needs_review_pending_pi_task_15;boundary_ccby30igo"
"FM","fm-state-2019-geoboundaries-adm1","state","fm-state-2019-geoboundaries-adm1:FM-KSA","FM-KSA","Kosrae",2000,7686,"2000 FSM Census state-report Table B10/B10a-d 'Marital Status and Religion by ... Usual Residence', all persons of all ages; the denominator is the printed state All-persons total. Broad affiliation is population minus the combined No Religion and Refused cells.",7674,99.8439,12,0.1561,,,,108.904,,,"fm-census-2000-state-reports-table-b10-religion|geoboundaries-fsm-adm1-2019","frame_2000_eight_way;no_religion_is_no_religion_plus_refused_combined;denominations_assembly_apostolic_pentecostal_jehovah_folded_into_other_religion;census_affiliation;all_persons_all_ages_universe;no_universe_break_2000_to_2023;broad_affiliation_comparable_across_all_three_waves;denomination_detail_confined_to_2010_2023;licence_needs_review_pending_pi_task_15;boundary_ccby30igo"
"FM","fm-state-2019-geoboundaries-adm1","state","fm-state-2019-geoboundaries-adm1:FM-YAP","FM-YAP","Yap",2010,11377,"2010 FSM Census Basic Tabulation Table B09 'Religion by State of Usual Residence', all persons; the denominator is the printed state Total. Broad affiliation is population minus the combined No religion and Refused cells.",11084,97.4246,293,2.5754,,,,106.8068,,,"fm-census-2010-basic-tabulation-table-b09-religion|geoboundaries-fsm-adm1-2019","frame_2010_twelve_way;no_religion_is_no_religion_plus_refused_combined;census_affiliation;all_persons_all_ages_universe;no_universe_break_2000_to_2023;broad_affiliation_comparable_across_all_three_waves;denomination_detail_confined_to_2010_2023;licence_needs_review_pending_pi_task_15;boundary_ccby30igo"
"FM","fm-state-2019-geoboundaries-adm1","state","fm-state-2019-geoboundaries-adm1:FM-TRK","FM-TRK","Chuuk",2010,48654,"2010 FSM Census Basic Tabulation Table B09 'Religion by State of Usual Residence', all persons; the denominator is the printed state Total. Broad affiliation is population minus the combined No religion and Refused cells.",48602,99.8931,52,0.1069,,,,107.7708,,,"fm-census-2010-basic-tabulation-table-b09-religion|geoboundaries-fsm-adm1-2019","frame_2010_twelve_way;no_religion_is_no_religion_plus_refused_combined;census_affiliation;all_persons_all_ages_universe;no_universe_break_2000_to_2023;broad_affiliation_comparable_across_all_three_waves;denomination_detail_confined_to_2010_2023;licence_needs_review_pending_pi_task_15;boundary_ccby30igo"
"FM","fm-state-2019-geoboundaries-adm1","state","fm-state-2019-geoboundaries-adm1:FM-PNI","FM-PNI","Pohnpei",2010,36196,"2010 FSM Census Basic Tabulation Table B09 'Religion by State of Usual Residence', all persons; the denominator is the printed state Total. Broad affiliation is population minus the combined No religion and Refused cells.",35777,98.8424,419,1.1576,,,,364.4798,,,"fm-census-2010-basic-tabulation-table-b09-religion|geoboundaries-fsm-adm1-2019","frame_2010_twelve_way;no_religion_is_no_religion_plus_refused_combined;census_affiliation;all_persons_all_ages_universe;no_universe_break_2000_to_2023;broad_affiliation_comparable_across_all_three_waves;denomination_detail_confined_to_2010_2023;licence_needs_review_pending_pi_task_15;boundary_ccby30igo"
"FM","fm-state-2019-geoboundaries-adm1","state","fm-state-2019-geoboundaries-adm1:FM-KSA","FM-KSA","Kosrae",2010,6616,"2010 FSM Census Basic Tabulation Table B09 'Religion by State of Usual Residence', all persons; the denominator is the printed state Total. Broad affiliation is population minus the combined No religion and Refused cells.",6585,99.5314,31,0.4686,,,,108.904,,,"fm-census-2010-basic-tabulation-table-b09-religion|geoboundaries-fsm-adm1-2019","frame_2010_twelve_way;no_religion_is_no_religion_plus_refused_combined;census_affiliation;all_persons_all_ages_universe;no_universe_break_2000_to_2023;broad_affiliation_comparable_across_all_three_waves;denomination_detail_confined_to_2010_2023;licence_needs_review_pending_pi_task_15;boundary_ccby30igo"
"FM","fm-state-2019-geoboundaries-adm1","state","fm-state-2019-geoboundaries-adm1:FM-YAP","FM-YAP","Yap",2023,10739,"2023 FSM Census Basic Tables Table B6 'Religion by State', all persons; the denominator is the printed state Total. Broad affiliation is population minus the merged No religion/Refused cell. The Kosrae No religion/Refused cell is asterisk-suppressed, so both no-religion and affiliation are null for Kosrae 2023 and are never imputed from the national margin.",10351,96.387,388,3.613,,,,106.8068,,,"fm-census-2023-basic-tables-table-b6-religion|geoboundaries-fsm-adm1-2019","frame_2023_eleven_way;no_religion_is_no_religion_refused_merged_line;source_national_total_one_below_state_sum_disclosed;source_row_totals_baptist_sda_other_religion_one_above_state_sum_disclosed;small_cells_asterisk_suppressed_rendered_null_never_imputed;census_affiliation;all_persons_all_ages_universe;no_universe_break_2000_to_2023;broad_affiliation_comparable_across_all_three_waves;denomination_detail_confined_to_2010_2023;licence_needs_review_pending_pi_task_15;boundary_ccby30igo"
"FM","fm-state-2019-geoboundaries-adm1","state","fm-state-2019-geoboundaries-adm1:FM-TRK","FM-TRK","Chuuk",2023,33885,"2023 FSM Census Basic Tables Table B6 'Religion by State', all persons; the denominator is the printed state Total. Broad affiliation is population minus the merged No religion/Refused cell. The Kosrae No religion/Refused cell is asterisk-suppressed, so both no-religion and affiliation are null for Kosrae 2023 and are never imputed from the national margin.",33849,99.8938,36,0.1062,,,,107.7708,,,"fm-census-2023-basic-tables-table-b6-religion|geoboundaries-fsm-adm1-2019","frame_2023_eleven_way;no_religion_is_no_religion_refused_merged_line;source_national_total_one_below_state_sum_disclosed;source_row_totals_baptist_sda_other_religion_one_above_state_sum_disclosed;small_cells_asterisk_suppressed_rendered_null_never_imputed;census_affiliation;all_persons_all_ages_universe;no_universe_break_2000_to_2023;broad_affiliation_comparable_across_all_three_waves;denomination_detail_confined_to_2010_2023;licence_needs_review_pending_pi_task_15;boundary_ccby30igo"
