"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"GE","ge-region-geoboundaries-adm1","region","ge-region-geoboundaries-adm1:tbilisi","tbilisi","Tbilisi",2002,1081679,"2002 General Population Census of Georgia, Volume I, Table #29 (population by religion across regions), whole enumerated population of all ages; the denominator is the printed region total. Affiliation is a recorded LOWER BOUND = Orthodox + Catholic + Armenian-Gregorian + Judaism + Muslim (the residual 'other religion' column bundles other-religion with no-religion and cannot be split at region level, so no-religion is null).",1056824,97.7022,,,,,,248.7919,,,"ge-census-2002-vol1-table29-religion-by-region|geoboundaries-geo-adm1-2015","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;region_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;occupied_territories_abkhazia_and_south_ossetia_not_enumerated;census_licence_open_reuse_with_attribution;affiliation_is_recorded_lower_bound_named_religions_only_residual_excluded;no_religion_null_residual_bundles_none;source_categories_verbatim=მართლმადიდებელი=988664;კათოლიკური=2715;სომხურ-გრიგორიანული=51687;იუდეური=2320;მაჰმადიანური=11438;სხვა სარწმუნოება=24855"
"GE","ge-region-geoboundaries-adm1","region","ge-region-geoboundaries-adm1:abkhazia","abkhazia","Abkhazia A.R.",2002,1956,"2002 General Population Census of Georgia, Volume I, Table #29 (population by religion across regions), whole enumerated population of all ages; the denominator is the printed region total. Affiliation is a recorded LOWER BOUND = Orthodox + Catholic + Armenian-Gregorian + Judaism + Muslim (the residual 'other religion' column bundles other-religion with no-religion and cannot be split at region level, so no-religion is null).",1951,99.7444,,,,,,8658.4059,,,"ge-census-2002-vol1-table29-religion-by-region|geoboundaries-geo-adm1-2015","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;region_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;occupied_territories_abkhazia_and_south_ossetia_not_enumerated;census_licence_open_reuse_with_attribution;affiliation_is_recorded_lower_bound_named_religions_only_residual_excluded;no_religion_null_residual_bundles_none;source_categories_verbatim=მართლმადიდებელი=1940;კათოლიკური=1;სომხურ-გრიგორიანული=1;იუდეური=0;მაჰმადიანური=9;სხვა სარწმუნოება=5;territorial_scope=abkhazia_enumerated_fraction_only_1956_persons_in_2002_not_representative_of_abkhazia"
"GE","ge-region-geoboundaries-adm1","region","ge-region-geoboundaries-adm1:adjara","adjara","Adjara A.R.",2002,376016,"2002 General Population Census of Georgia, Volume I, Table #29 (population by religion across regions), whole enumerated population of all ages; the denominator is the printed region total. Affiliation is a recorded LOWER BOUND = Orthodox + Catholic + Armenian-Gregorian + Judaism + Muslim (the residual 'other religion' column bundles other-religion with no-religion and cannot be split at region level, so no-religion is null).",359719,95.6659,,,,,,3014.6438,,,"ge-census-2002-vol1-table29-religion-by-region|geoboundaries-geo-adm1-2015","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;region_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;occupied_territories_abkhazia_and_south_ossetia_not_enumerated;census_licence_open_reuse_with_attribution;affiliation_is_recorded_lower_bound_named_religions_only_residual_excluded;no_religion_null_residual_bundles_none;source_categories_verbatim=მართლმადიდებელი=240552;კათოლიკური=683;სომხურ-გრიგორიანული=3162;იუდეური=161;მაჰმადიანური=115161;სხვა სარწმუნოება=16297"
"GE","ge-region-geoboundaries-adm1","region","ge-region-geoboundaries-adm1:guria","guria","Guria",2002,143357,"2002 General Population Census of Georgia, Volume I, Table #29 (population by religion across regions), whole enumerated population of all ages; the denominator is the printed region total. Affiliation is a recorded LOWER BOUND = Orthodox + Catholic + Armenian-Gregorian + Judaism + Muslim (the residual 'other religion' column bundles other-religion with no-religion and cannot be split at region level, so no-religion is null).",142031,99.075,,,,,,2004.8584,,,"ge-census-2002-vol1-table29-religion-by-region|geoboundaries-geo-adm1-2015","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;region_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;occupied_territories_abkhazia_and_south_ossetia_not_enumerated;census_licence_open_reuse_with_attribution;affiliation_is_recorded_lower_bound_named_religions_only_residual_excluded;no_religion_null_residual_bundles_none;source_categories_verbatim=მართლმადიდებელი=127217;კათოლიკური=724;სომხურ-გრიგორიანული=341;იუდეური=13;მაჰმადიანური=13736;სხვა სარწმუნოება=1326"
"GE","ge-region-geoboundaries-adm1","region","ge-region-geoboundaries-adm1:imereti","imereti","Imereti",2002,699666,"2002 General Population Census of Georgia, Volume I, Table #29 (population by religion across regions), whole enumerated population of all ages; the denominator is the printed region total. Affiliation is a recorded LOWER BOUND = Orthodox + Catholic + Armenian-Gregorian + Judaism + Muslim (the residual 'other religion' column bundles other-religion with no-religion and cannot be split at region level, so no-religion is null).",696445,99.5396,,,,,,6466.1997,,,"ge-census-2002-vol1-table29-religion-by-region|geoboundaries-geo-adm1-2015","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;region_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;occupied_territories_abkhazia_and_south_ossetia_not_enumerated;census_licence_open_reuse_with_attribution;affiliation_is_recorded_lower_bound_named_religions_only_residual_excluded;no_religion_null_residual_bundles_none;source_categories_verbatim=მართლმადიდებელი=693462;კათოლიკური=478;სომხურ-გრიგორიანული=591;იუდეური=365;მაჰმადიანური=1549;სხვა სარწმუნოება=3221"
"GE","ge-region-geoboundaries-adm1","region","ge-region-geoboundaries-adm1:kakheti","kakheti","Kakheti",2002,407182,"2002 General Population Census of Georgia, Volume I, Table #29 (population by religion across regions), whole enumerated population of all ages; the denominator is the printed region total. Affiliation is a recorded LOWER BOUND = Orthodox + Catholic + Armenian-Gregorian + Judaism + Muslim (the residual 'other religion' column bundles other-religion with no-religion and cannot be split at region level, so no-religion is null).",403338,99.056,,,,,,11477.8782,,,"ge-census-2002-vol1-table29-religion-by-region|geoboundaries-geo-adm1-2015","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;region_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;occupied_territories_abkhazia_and_south_ossetia_not_enumerated;census_licence_open_reuse_with_attribution;affiliation_is_recorded_lower_bound_named_religions_only_residual_excluded;no_religion_null_residual_bundles_none;source_categories_verbatim=მართლმადიდებელი=350126;კათოლიკური=737;სომხურ-გრიგორიანული=1146;იუდეური=73;მაჰმადიანური=51256;სხვა სარწმუნოება=3844"
"GE","ge-region-geoboundaries-adm1","region","ge-region-geoboundaries-adm1:mtskheta_mtianeti","mtskheta_mtianeti","Mtskheta-Mtianeti",2002,125443,"2002 General Population Census of Georgia, Volume I, Table #29 (population by religion across regions), whole enumerated population of all ages; the denominator is the printed region total. Affiliation is a recorded LOWER BOUND = Orthodox + Catholic + Armenian-Gregorian + Judaism + Muslim (the residual 'other religion' column bundles other-religion with no-religion and cannot be split at region level, so no-religion is null).",124089,98.9206,,,,,,6869.6719,,,"ge-census-2002-vol1-table29-religion-by-region|geoboundaries-geo-adm1-2015","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;region_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;occupied_territories_abkhazia_and_south_ossetia_not_enumerated;census_licence_open_reuse_with_attribution;affiliation_is_recorded_lower_bound_named_religions_only_residual_excluded;no_religion_null_residual_bundles_none;source_categories_verbatim=მართლმადიდებელი=121690;კათოლიკური=43;სომხურ-გრიგორიანული=101;იუდეური=15;მაჰმადიანური=2240;სხვა სარწმუნოება=1354"
"GE","ge-region-geoboundaries-adm1","region","ge-region-geoboundaries-adm1:racha_lechkhumi_kvemo_svaneti","racha_lechkhumi_kvemo_svaneti","Racha-Lechkhumi and Kvemo Svaneti",2002,50969,"2002 General Population Census of Georgia, Volume I, Table #29 (population by religion across regions), whole enumerated population of all ages; the denominator is the printed region total. Affiliation is a recorded LOWER BOUND = Orthodox + Catholic + Armenian-Gregorian + Judaism + Muslim (the residual 'other religion' column bundles other-religion with no-religion and cannot be split at region level, so no-religion is null).",50786,99.641,,,,,,4996.412,,,"ge-census-2002-vol1-table29-religion-by-region|geoboundaries-geo-adm1-2015","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;region_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;occupied_territories_abkhazia_and_south_ossetia_not_enumerated;census_licence_open_reuse_with_attribution;affiliation_is_recorded_lower_bound_named_religions_only_residual_excluded;no_religion_null_residual_bundles_none;source_categories_verbatim=მართლმადიდებელი=50670;კათოლიკური=3;სომხურ-გრიგორიანული=6;იუდეური=32;მაჰმადიანური=75;სხვა სარწმუნოება=183"
"GE","ge-region-geoboundaries-adm1","region","ge-region-geoboundaries-adm1:samegrelo_zemo_svaneti","samegrelo_zemo_svaneti","Samegrelo-Zemo Svaneti",2002,466100,"2002 General Population Census of Georgia, Volume I, Table #29 (population by religion across regions), whole enumerated population of all ages; the denominator is the printed region total. Affiliation is a recorded LOWER BOUND = Orthodox + Catholic + Armenian-Gregorian + Judaism + Muslim (the residual 'other religion' column bundles other-religion with no-religion and cannot be split at region level, so no-religion is null).",463755,99.4969,,,,,,7453.6515,,,"ge-census-2002-vol1-table29-religion-by-region|geoboundaries-geo-adm1-2015","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;region_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;occupied_territories_abkhazia_and_south_ossetia_not_enumerated;census_licence_open_reuse_with_attribution;affiliation_is_recorded_lower_bound_named_religions_only_residual_excluded;no_religion_null_residual_bundles_none;source_categories_verbatim=მართლმადიდებელი=462435;კათოლიკური=64;სომხურ-გრიგორიანული=190;იუდეური=51;მაჰმადიანური=1015;სხვა სარწმუნოება=2345"
"GE","ge-region-geoboundaries-adm1","region","ge-region-geoboundaries-adm1:samtskhe_javakheti","samtskhe_javakheti","Samtskhe-Javakheti",2002,207598,"2002 General Population Census of Georgia, Volume I, Table #29 (population by religion across regions), whole enumerated population of all ages; the denominator is the printed region total. Affiliation is a recorded LOWER BOUND = Orthodox + Catholic + Armenian-Gregorian + Judaism + Muslim (the residual 'other religion' column bundles other-religion with no-religion and cannot be split at region level, so no-religion is null).",206637,99.5371,,,,,,6398.4362,,,"ge-census-2002-vol1-table29-religion-by-region|geoboundaries-geo-adm1-2015","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;region_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;occupied_territories_abkhazia_and_south_ossetia_not_enumerated;census_licence_open_reuse_with_attribution;affiliation_is_recorded_lower_bound_named_religions_only_residual_excluded;no_religion_null_residual_bundles_none;source_categories_verbatim=მართლმადიდებელი=85011;კათოლიკური=27871;სომხურ-გრიგორიანული=87827;იუდეური=69;მაჰმადიანური=5859;სხვა სარწმუნოება=961"
