"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"GH","gh-region-2019-geoboundaries-adm1","region","gh-region-2019-geoboundaries-adm1:GH-AF","GH-AF","Ahafo",2021,563643,"table 5.7 regional total (all locality types, both sexes); the census allocates every person to one of eight religious groups, so no not-stated residual is excluded",546351,96.93,17292,3.07,,,,5046.35,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation"
"GH","gh-region-2019-geoboundaries-adm1","region","gh-region-2019-geoboundaries-adm1:GH-AH","GH-AH","Ashanti",2021,5428181,"table 5.7 regional total (all locality types, both sexes); the census allocates every person to one of eight religious groups, so no not-stated residual is excluded",5378992,99.09,49189,0.91,,,,24550.07,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation"
"GH","gh-region-2019-geoboundaries-adm1","region","gh-region-2019-geoboundaries-adm1:GH-BO","GH-BO","Bono",2021,1205462,"table 5.7 regional total (all locality types, both sexes); the census allocates every person to one of eight religious groups, so no not-stated residual is excluded",1190856,98.79,14606,1.21,,,,11647.3,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation"
"GH","gh-region-2019-geoboundaries-adm1","region","gh-region-2019-geoboundaries-adm1:GH-BE","GH-BE","Bono East",2021,1199786,"table 5.7 regional total (all locality types, both sexes); the census allocates every person to one of eight religious groups, so no not-stated residual is excluded",1177017,98.1,22769,1.9,,,,23147.69,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation"
"GH","gh-region-2019-geoboundaries-adm1","region","gh-region-2019-geoboundaries-adm1:GH-CP","GH-CP","Central",2021,2853335,"table 5.7 regional total (all locality types, both sexes); the census allocates every person to one of eight religious groups, so no not-stated residual is excluded",2815245,98.67,38090,1.33,,,,10013.78,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation"
"GH","gh-region-2019-geoboundaries-adm1","region","gh-region-2019-geoboundaries-adm1:GH-EP","GH-EP","Eastern",2021,2918623,"table 5.7 regional total (all locality types, both sexes); the census allocates every person to one of eight religious groups, so no not-stated residual is excluded",2877852,98.6,40771,1.4,,,,18680.23,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation"
"GH","gh-region-2019-geoboundaries-adm1","region","gh-region-2019-geoboundaries-adm1:GH-AA","GH-AA","Greater Accra",2021,5437084,"table 5.7 regional total (all locality types, both sexes); the census allocates every person to one of eight religious groups, so no not-stated residual is excluded",5386384,99.07,50700,0.93,,,,3203.11,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation"
"GH","gh-region-2019-geoboundaries-adm1","region","gh-region-2019-geoboundaries-adm1:GH-NE","GH-NE","North East",2021,657833,"table 5.7 regional total (all locality types, both sexes); the census allocates every person to one of eight religious groups, so no not-stated residual is excluded",655689,99.67,2144,0.33,,,,9241.22,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation"
"GH","gh-region-2019-geoboundaries-adm1","region","gh-region-2019-geoboundaries-adm1:GH-NP","GH-NP","Northern",2021,2306808,"table 5.7 regional total (all locality types, both sexes); the census allocates every person to one of eight religious groups, so no not-stated residual is excluded",2298595,99.64,8213,0.36,,,,24508.23,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation"
"GH","gh-region-2019-geoboundaries-adm1","region","gh-region-2019-geoboundaries-adm1:GH-OT","GH-OT","Oti",2021,744483,"table 5.7 regional total (all locality types, both sexes); the census allocates every person to one of eight religious groups, so no not-stated residual is excluded",733450,98.52,11033,1.48,,,,11027.88,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation"
