"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"GH","gh-region-2010-ten-geoboundaries-adm1-dissolved","region","gh-region-2010-ten-geoboundaries-adm1-dissolved:GH-WP","GH-WP","Western",2010,2376021,"GSS StatsBank PHC2010 POP16 exact counts, aggregated to the printed pre-2019 ten-region frame and checked against National Analytical Report table 4.17",2215792,93.26,160229,6.74,,,,24121.78,,,"gss-statsbank-phc2010-pop16-religion-by-region|gss-2010-phc-national-analytical-report-table-4-17|geoboundaries-gha-adm1-2019-dissolved-to-2010-ten-region","full_response_denominator;statsbank_exact_counts;ten_region_concordance;printed_table_4_17_checked"
"GH","gh-region-2010-ten-geoboundaries-adm1-dissolved","region","gh-region-2010-ten-geoboundaries-adm1-dissolved:GH-WP","GH-WP","Western",2021,2933718,"exact sum of the existing 2021 sixteen-region area-summary rows on the pre-2019 ten-region frame",2896522,98.73,37196,1.27,,,,24121.78,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019-dissolved-to-2010-ten-region","full_response_denominator;exact_sum_from_2021_sixteen_region_product;ten_region_concordance"
"GH","gh-region-2010-ten-geoboundaries-adm1-dissolved","region","gh-region-2010-ten-geoboundaries-adm1-dissolved:GH-CP","GH-CP","Central",2010,2201863,"GSS StatsBank PHC2010 POP16 exact counts, aggregated to the printed pre-2019 ten-region frame and checked against National Analytical Report table 4.17",2056971,93.42,144892,6.58,,,,10013.78,,,"gss-statsbank-phc2010-pop16-religion-by-region|gss-2010-phc-national-analytical-report-table-4-17|geoboundaries-gha-adm1-2019-dissolved-to-2010-ten-region","full_response_denominator;statsbank_exact_counts;ten_region_concordance;printed_table_4_17_checked"
"GH","gh-region-2010-ten-geoboundaries-adm1-dissolved","region","gh-region-2010-ten-geoboundaries-adm1-dissolved:GH-CP","GH-CP","Central",2021,2853335,"exact sum of the existing 2021 sixteen-region area-summary rows on the pre-2019 ten-region frame",2815245,98.67,38090,1.33,,,,10013.78,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019-dissolved-to-2010-ten-region","full_response_denominator;exact_sum_from_2021_sixteen_region_product;ten_region_concordance"
"GH","gh-region-2010-ten-geoboundaries-adm1-dissolved","region","gh-region-2010-ten-geoboundaries-adm1-dissolved:GH-AA","GH-AA","Greater Accra",2010,4010054,"GSS StatsBank PHC2010 POP16 exact counts, aggregated to the printed pre-2019 ten-region frame and checked against National Analytical Report table 4.17",3873343,96.59,136711,3.41,,,,3203.11,,,"gss-statsbank-phc2010-pop16-religion-by-region|gss-2010-phc-national-analytical-report-table-4-17|geoboundaries-gha-adm1-2019-dissolved-to-2010-ten-region","full_response_denominator;statsbank_exact_counts;ten_region_concordance;printed_table_4_17_checked"
"GH","gh-region-2010-ten-geoboundaries-adm1-dissolved","region","gh-region-2010-ten-geoboundaries-adm1-dissolved:GH-AA","GH-AA","Greater Accra",2021,5437084,"exact sum of the existing 2021 sixteen-region area-summary rows on the pre-2019 ten-region frame",5386384,99.07,50700,0.93,,,,3203.11,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019-dissolved-to-2010-ten-region","full_response_denominator;exact_sum_from_2021_sixteen_region_product;ten_region_concordance"
"GH","gh-region-2010-ten-geoboundaries-adm1-dissolved","region","gh-region-2010-ten-geoboundaries-adm1-dissolved:GH-TV","GH-TV","Volta",2010,2118252,"GSS StatsBank PHC2010 POP16 exact counts, aggregated to the printed pre-2019 ten-region frame and checked against National Analytical Report table 4.17",1978564,93.41,139688,6.59,,,,21358.47,,,"gss-statsbank-phc2010-pop16-religion-by-region|gss-2010-phc-national-analytical-report-table-4-17|geoboundaries-gha-adm1-2019-dissolved-to-2010-ten-region","full_response_denominator;statsbank_exact_counts;ten_region_concordance;printed_table_4_17_checked"
"GH","gh-region-2010-ten-geoboundaries-adm1-dissolved","region","gh-region-2010-ten-geoboundaries-adm1-dissolved:GH-TV","GH-TV","Volta",2021,2399133,"exact sum of the existing 2021 sixteen-region area-summary rows on the pre-2019 ten-region frame",2372139,98.87,26994,1.13,,,,21358.47,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019-dissolved-to-2010-ten-region","full_response_denominator;exact_sum_from_2021_sixteen_region_product;ten_region_concordance"
"GH","gh-region-2010-ten-geoboundaries-adm1-dissolved","region","gh-region-2010-ten-geoboundaries-adm1-dissolved:GH-EP","GH-EP","Eastern",2010,2633154,"GSS StatsBank PHC2010 POP16 exact counts, aggregated to the printed pre-2019 ten-region frame and checked against National Analytical Report table 4.17",2460773,93.45,172381,6.55,,,,18680.23,,,"gss-statsbank-phc2010-pop16-religion-by-region|gss-2010-phc-national-analytical-report-table-4-17|geoboundaries-gha-adm1-2019-dissolved-to-2010-ten-region","full_response_denominator;statsbank_exact_counts;ten_region_concordance;printed_table_4_17_checked"
"GH","gh-region-2010-ten-geoboundaries-adm1-dissolved","region","gh-region-2010-ten-geoboundaries-adm1-dissolved:GH-EP","GH-EP","Eastern",2021,2918623,"exact sum of the existing 2021 sixteen-region area-summary rows on the pre-2019 ten-region frame",2877852,98.6,40771,1.4,,,,18680.23,,,"gss-2021-phc-vol3c-table-5-7-religion-by-region|geoboundaries-gha-adm1-2019-dissolved-to-2010-ten-region","full_response_denominator;exact_sum_from_2021_sixteen_region_product;ten_region_concordance"
