"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"GY","gy-region-2017-geoboundaries-adm1","region","gy-region-2017-geoboundaries-adm1:region_01","region_01","Barima-Waini",2012,27643,"2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.",26811,96.9902,832,3.0098,,,,19220.5218,,,"gy-census-2012-compendium2-table-2-19-religion-by-region|geoboundaries-guy-adm1-2017","frame_2012_thirteen_category_integer_counts;none_line=None;no_nonresponse_line_prorated;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;no_not_stated_line_source_prorated_not_stated_nocontact_institutional;two_shares_sum_to_100_by_construction;single_wave_2012_region_product;denominator_is_whole_census_population_746955;licence_accepted_bos_open_licence_agreement;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Anglican=682;Methodist=31;Pentecostal=11030;Roman Catholic=9357;Jehovah Witness=554;Seventh Day Adventist=941;Bahai=3;Muslim=70;Hindu=114;Rastafarian=40;Other Christians=3792;None=832;Other=197"
"GY","gy-region-2017-geoboundaries-adm1","region","gy-region-2017-geoboundaries-adm1:region_02","region_02","Pomeroon-Supenaam",2012,46810,"2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.",45743,97.7206,1067,2.2794,,,,5778.2905,,,"gy-census-2012-compendium2-table-2-19-religion-by-region|geoboundaries-guy-adm1-2017","frame_2012_thirteen_category_integer_counts;none_line=None;no_nonresponse_line_prorated;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;no_not_stated_line_source_prorated_not_stated_nocontact_institutional;two_shares_sum_to_100_by_construction;single_wave_2012_region_product;denominator_is_whole_census_population_746955;licence_accepted_bos_open_licence_agreement;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Anglican=3225;Methodist=490;Pentecostal=7667;Roman Catholic=1623;Jehovah Witness=449;Seventh Day Adventist=3792;Bahai=25;Muslim=3201;Hindu=15556;Rastafarian=35;Other Christians=9407;None=1067;Other=273"
"GY","gy-region-2017-geoboundaries-adm1","region","gy-region-2017-geoboundaries-adm1:region_03","region_03","Essequibo Islands-West Demerara",2012,107785,"2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.",106128,98.4627,1657,1.5373,,,,3464.3748,,,"gy-census-2012-compendium2-table-2-19-religion-by-region|geoboundaries-guy-adm1-2017","frame_2012_thirteen_category_integer_counts;none_line=None;no_nonresponse_line_prorated;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;no_not_stated_line_source_prorated_not_stated_nocontact_institutional;two_shares_sum_to_100_by_construction;single_wave_2012_region_product;denominator_is_whole_census_population_746955;licence_accepted_bos_open_licence_agreement;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Anglican=3124;Methodist=1389;Pentecostal=18251;Roman Catholic=2268;Jehovah Witness=1128;Seventh Day Adventist=2899;Bahai=56;Muslim=12688;Hindu=40666;Rastafarian=317;Other Christians=22996;None=1657;Other=346"
"GY","gy-region-2017-geoboundaries-adm1","region","gy-region-2017-geoboundaries-adm1:region_04","region_04","Demerara-Mahaica",2012,311563,"2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.",300015,96.2935,11548,3.7065,,,,2061.3789,,,"gy-census-2012-compendium2-table-2-19-religion-by-region|geoboundaries-guy-adm1-2017","frame_2012_thirteen_category_integer_counts;none_line=None;no_nonresponse_line_prorated;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;no_not_stated_line_source_prorated_not_stated_nocontact_institutional;two_shares_sum_to_100_by_construction;single_wave_2012_region_product;denominator_is_whole_census_population_746955;licence_accepted_bos_open_licence_agreement;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Anglican=16259;Methodist=6194;Pentecostal=84424;Roman Catholic=19150;Jehovah Witness=4207;Seventh Day Adventist=14262;Bahai=234;Muslim=18702;Hindu=64752;Rastafarian=2056;Other Christians=67093;None=11548;Other=2682"
"GY","gy-region-2017-geoboundaries-adm1","region","gy-region-2017-geoboundaries-adm1:region_05","region_05","Mahaica-Berbice",2012,49820,"2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.",48496,97.3424,1324,2.6576,,,,3891.3703,,,"gy-census-2012-compendium2-table-2-19-religion-by-region|geoboundaries-guy-adm1-2017","frame_2012_thirteen_category_integer_counts;none_line=None;no_nonresponse_line_prorated;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;no_not_stated_line_source_prorated_not_stated_nocontact_institutional;two_shares_sum_to_100_by_construction;single_wave_2012_region_product;denominator_is_whole_census_population_746955;licence_accepted_bos_open_licence_agreement;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Anglican=3025;Methodist=792;Pentecostal=10611;Roman Catholic=376;Jehovah Witness=638;Seventh Day Adventist=2896;Bahai=7;Muslim=4494;Hindu=17006;Rastafarian=123;Other Christians=8231;None=1324;Other=297"
"GY","gy-region-2017-geoboundaries-adm1","region","gy-region-2017-geoboundaries-adm1:region_06","region_06","East Berbice-Corentyne",2012,109652,"2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.",107622,98.1487,2030,1.8513,,,,37496.5121,,,"gy-census-2012-compendium2-table-2-19-religion-by-region|geoboundaries-guy-adm1-2017","frame_2012_thirteen_category_integer_counts;none_line=None;no_nonresponse_line_prorated;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;no_not_stated_line_source_prorated_not_stated_nocontact_institutional;two_shares_sum_to_100_by_construction;single_wave_2012_region_product;denominator_is_whole_census_population_746955;licence_accepted_bos_open_licence_agreement;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Anglican=3452;Methodist=630;Pentecostal=18086;Roman Catholic=1891;Jehovah Witness=1408;Seventh Day Adventist=5670;Bahai=47;Muslim=10448;Hindu=46196;Rastafarian=234;Other Christians=19193;None=2030;Other=367"
"GY","gy-region-2017-geoboundaries-adm1","region","gy-region-2017-geoboundaries-adm1:region_07","region_07","Cuyuni-Mazaruni",2012,18375,"2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.",17269,93.981,1106,6.019,,,,47648.4322,,,"gy-census-2012-compendium2-table-2-19-religion-by-region|geoboundaries-guy-adm1-2017","frame_2012_thirteen_category_integer_counts;none_line=None;no_nonresponse_line_prorated;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;no_not_stated_line_source_prorated_not_stated_nocontact_institutional;two_shares_sum_to_100_by_construction;single_wave_2012_region_product;denominator_is_whole_census_population_746955;licence_accepted_bos_open_licence_agreement;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Anglican=3217;Methodist=72;Pentecostal=4347;Roman Catholic=932;Jehovah Witness=118;Seventh Day Adventist=3182;Bahai=3;Muslim=350;Hindu=637;Rastafarian=49;Other Christians=3084;None=1106;Other=1278"
"GY","gy-region-2017-geoboundaries-adm1","region","gy-region-2017-geoboundaries-adm1:region_08","region_08","Potaro-Siparuni",2012,11077,"2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.",10399,93.8792,678,6.1208,,,,20555.0635,,,"gy-census-2012-compendium2-table-2-19-religion-by-region|geoboundaries-guy-adm1-2017","frame_2012_thirteen_category_integer_counts;none_line=None;no_nonresponse_line_prorated;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;no_not_stated_line_source_prorated_not_stated_nocontact_institutional;two_shares_sum_to_100_by_construction;single_wave_2012_region_product;denominator_is_whole_census_population_746955;licence_accepted_bos_open_licence_agreement;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Anglican=694;Methodist=68;Pentecostal=1062;Roman Catholic=4408;Jehovah Witness=62;Seventh Day Adventist=293;Bahai=3;Muslim=67;Hindu=116;Rastafarian=79;Other Christians=3498;None=678;Other=49"
"GY","gy-region-2017-geoboundaries-adm1","region","gy-region-2017-geoboundaries-adm1:region_09","region_09","Upper Takutu-Upper Essequibo",2012,24238,"2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.",23959,98.8489,279,1.1511,,,,54483.2055,,,"gy-census-2012-compendium2-table-2-19-religion-by-region|geoboundaries-guy-adm1-2017","frame_2012_thirteen_category_integer_counts;none_line=None;no_nonresponse_line_prorated;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;no_not_stated_line_source_prorated_not_stated_nocontact_institutional;two_shares_sum_to_100_by_construction;single_wave_2012_region_product;denominator_is_whole_census_population_746955;licence_accepted_bos_open_licence_agreement;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Anglican=3608;Methodist=6;Pentecostal=397;Roman Catholic=12145;Jehovah Witness=208;Seventh Day Adventist=505;Bahai=29;Muslim=135;Hindu=88;Rastafarian=25;Other Christians=6498;None=279;Other=315"
"GY","gy-region-2017-geoboundaries-adm1","region","gy-region-2017-geoboundaries-adm1:region_10","region_10","Upper Demerara-Berbice",2012,39992,"2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.",37094,92.7536,2898,7.2464,,,,16128.7855,,,"gy-census-2012-compendium2-table-2-19-religion-by-region|geoboundaries-guy-adm1-2017","frame_2012_thirteen_category_integer_counts;none_line=None;no_nonresponse_line_prorated;census_affiliation;all_persons_universe;single_select_reported_religion;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_none_line_only;no_not_stated_line_source_prorated_not_stated_nocontact_institutional;two_shares_sum_to_100_by_construction;single_wave_2012_region_product;denominator_is_whole_census_population_746955;licence_accepted_bos_open_licence_agreement;boundary_odbl_1_0_openstreetmap;source_categories_verbatim=Anglican=1676;Methodist=434;Pentecostal=14414;Roman Catholic=751;Jehovah Witness=830;Seventh Day Adventist=5934;Bahai=14;Muslim=417;Hindu=308;Rastafarian=538;Other Christians=11258;None=2898;Other=520"
