"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"HR","hr-county-2026-dgu-au","county","hr-county-2026-dgu-au:01","01","Zagrebačka županija",2001,309696,"Croatian Bureau of Statistics census population total; headline percentages use the whole census population and retain all response and non-response categories in the denominator.",299123,96.586,3060,0.9881,,,,3062.169,,,"dzs-census-religion-county-2001-2021|dgu-inspire-administrative-units-counties-2026","full_enumeration_census_affiliation;voluntary_declaration;whole_population_denominator;exact_county_national_reconciliation;current_dgu_boundary_frame;boundary_stability_2001_2021_unverified;agnostic_category_outside_headline_no_religion"
"HR","hr-county-2026-dgu-au","county","hr-county-2026-dgu-au:02","02","Krapinsko-zagorska županija",2001,142432,"Croatian Bureau of Statistics census population total; headline percentages use the whole census population and retain all response and non-response categories in the denominator.",139449,97.9057,715,0.502,,,,1229.8222,,,"dzs-census-religion-county-2001-2021|dgu-inspire-administrative-units-counties-2026","full_enumeration_census_affiliation;voluntary_declaration;whole_population_denominator;exact_county_national_reconciliation;current_dgu_boundary_frame;boundary_stability_2001_2021_unverified;agnostic_category_outside_headline_no_religion"
"HR","hr-county-2026-dgu-au","county","hr-county-2026-dgu-au:03","03","Sisačko-moslavačka županija",2001,185387,"Croatian Bureau of Statistics census population total; headline percentages use the whole census population and retain all response and non-response categories in the denominator.",174856,94.3195,3429,1.8496,,,,4467.5744,,,"dzs-census-religion-county-2001-2021|dgu-inspire-administrative-units-counties-2026","full_enumeration_census_affiliation;voluntary_declaration;whole_population_denominator;exact_county_national_reconciliation;current_dgu_boundary_frame;boundary_stability_2001_2021_unverified;agnostic_category_outside_headline_no_religion"
"HR","hr-county-2026-dgu-au","county","hr-county-2026-dgu-au:04","04","Karlovačka županija",2001,141787,"Croatian Bureau of Statistics census population total; headline percentages use the whole census population and retain all response and non-response categories in the denominator.",134223,94.6652,2224,1.5686,,,,3624.5653,,,"dzs-census-religion-county-2001-2021|dgu-inspire-administrative-units-counties-2026","full_enumeration_census_affiliation;voluntary_declaration;whole_population_denominator;exact_county_national_reconciliation;current_dgu_boundary_frame;boundary_stability_2001_2021_unverified;agnostic_category_outside_headline_no_religion"
"HR","hr-county-2026-dgu-au","county","hr-county-2026-dgu-au:05","05","Varaždinska županija",2001,184769,"Croatian Bureau of Statistics census population total; headline percentages use the whole census population and retain all response and non-response categories in the denominator.",179444,97.118,1655,0.8957,,,,1260.01,,,"dzs-census-religion-county-2001-2021|dgu-inspire-administrative-units-counties-2026","full_enumeration_census_affiliation;voluntary_declaration;whole_population_denominator;exact_county_national_reconciliation;current_dgu_boundary_frame;boundary_stability_2001_2021_unverified;agnostic_category_outside_headline_no_religion"
"HR","hr-county-2026-dgu-au","county","hr-county-2026-dgu-au:06","06","Koprivničko-križevačka županija",2001,124467,"Croatian Bureau of Statistics census population total; headline percentages use the whole census population and retain all response and non-response categories in the denominator.",120728,96.996,1082,0.8693,,,,1748.2325,,,"dzs-census-religion-county-2001-2021|dgu-inspire-administrative-units-counties-2026","full_enumeration_census_affiliation;voluntary_declaration;whole_population_denominator;exact_county_national_reconciliation;current_dgu_boundary_frame;boundary_stability_2001_2021_unverified;agnostic_category_outside_headline_no_religion"
"HR","hr-county-2026-dgu-au","county","hr-county-2026-dgu-au:07","07","Bjelovarsko-bilogorska županija",2001,133084,"Croatian Bureau of Statistics census population total; headline percentages use the whole census population and retain all response and non-response categories in the denominator.",126219,94.8416,2057,1.5456,,,,2639.0295,,,"dzs-census-religion-county-2001-2021|dgu-inspire-administrative-units-counties-2026","full_enumeration_census_affiliation;voluntary_declaration;whole_population_denominator;exact_county_national_reconciliation;current_dgu_boundary_frame;boundary_stability_2001_2021_unverified;agnostic_category_outside_headline_no_religion"
"HR","hr-county-2026-dgu-au","county","hr-county-2026-dgu-au:08","08","Primorsko-goranska županija",2001,305505,"Croatian Bureau of Statistics census population total; headline percentages use the whole census population and retain all response and non-response categories in the denominator.",273410,89.4944,12435,4.0703,,,,3588.1624,,,"dzs-census-religion-county-2001-2021|dgu-inspire-administrative-units-counties-2026","full_enumeration_census_affiliation;voluntary_declaration;whole_population_denominator;exact_county_national_reconciliation;current_dgu_boundary_frame;boundary_stability_2001_2021_unverified;agnostic_category_outside_headline_no_religion"
"HR","hr-county-2026-dgu-au","county","hr-county-2026-dgu-au:09","09","Ličko-senjska županija",2001,53677,"Croatian Bureau of Statistics census population total; headline percentages use the whole census population and retain all response and non-response categories in the denominator.",52136,97.1291,409,0.762,,,,5355.0727,,,"dzs-census-religion-county-2001-2021|dgu-inspire-administrative-units-counties-2026","full_enumeration_census_affiliation;voluntary_declaration;whole_population_denominator;exact_county_national_reconciliation;current_dgu_boundary_frame;boundary_stability_2001_2021_unverified;agnostic_category_outside_headline_no_religion"
"HR","hr-county-2026-dgu-au","county","hr-county-2026-dgu-au:10","10","Virovitičko-podravska županija",2001,93389,"Croatian Bureau of Statistics census population total; headline percentages use the whole census population and retain all response and non-response categories in the denominator.",89748,96.1013,864,0.9252,,,,2022.5952,,,"dzs-census-religion-county-2001-2021|dgu-inspire-administrative-units-counties-2026","full_enumeration_census_affiliation;voluntary_declaration;whole_population_denominator;exact_county_national_reconciliation;current_dgu_boundary_frame;boundary_stability_2001_2021_unverified;agnostic_category_outside_headline_no_religion"
