"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU110","HU110","Budapest",2001,1777921,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",1144128,76.7183,347209,23.2817,,,,525.9295,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=16.1191;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU120","HU120","Pest vármegye",2001,1083877,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",818057,86.2893,129983,13.7107,,,,6389.0207,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=12.5325;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU211","HU211","Fejér vármegye",2001,434317,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",307932,80.1164,76424,19.8836,,,,4358.1731,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=11.5033;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU212","HU212","Komárom-Esztergom vármegye",2001,316590,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",222099,78.7501,59931,21.2499,,,,2264.5248,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=10.9163;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU213","HU213","Veszprém vármegye",2001,368573,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",298522,88.8916,37305,11.1084,,,,4462.8756,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=8.8845;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU221","HU221","Győr-Moson-Sopron vármegye",2001,438773,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",372281,92.7334,29172,7.2666,,,,4208.4789,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=8.5055;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU222","HU222","Vas vármegye",2001,268123,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",239031,96.3442,9070,3.6558,,,,3336.0429,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=7.4675;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU223","HU223","Zala vármegye",2001,297404,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",255436,93.3502,18196,6.6498,,,,3783.8671,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=7.9932;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU231","HU231","Baranya vármegye",2001,407448,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",308950,85.0027,54509,14.9973,,,,4430.4906,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=10.7962;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU232","HU232","Somogy vármegye",2001,336391,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",277651,90.4192,29420,9.5808,,,,6062.8734,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=8.7160;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU233","HU233","Tolna vármegye",2001,249683,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",200401,86.7199,30689,13.2801,,,,3703.6313,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=7.4466;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU311","HU311","Borsod-Abaúj-Zemplén vármegye",2001,744404,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",614222,89.8063,69719,10.1937,,,,7246.3067,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=8.1223;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU312","HU312","Heves vármegye",2001,325727,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",259759,87.7902,36127,12.2098,,,,3634.7833,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=9.1614;exact_county_national_reconciliation;current_2021_boundary_frame"
"HU","hu-county-2021-gisco-nuts3","county","hu-county-2021-gisco-nuts3:HU313","HU313","Nógrád vármegye",2001,220261,"KSH census population total; headline percentages use respondents to the voluntary religion question (TOTAL minus Nem válaszolt / No answer).",176890,88.4609,23074,11.5391,,,,2544.9511,,,"ksh-census-wbs008-religion-county-2001-2022-v67|eurostat-gisco-nuts3-2021-hu","full_enumeration_census_affiliation;voluntary_question;stated_response_denominator_excludes_no_answer;source_no_answer_category=Nem válaszolt;no_answer_share_of_residents_percent=9.2150;exact_county_national_reconciliation;current_2021_boundary_frame"
