"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"ID","id-province-2019-cod-adm1","province","id-province-2019-cod-adm1:id11","id11","Aceh",2010,4494410,"BPS Sensus Penduduk 2010, 'Penduduk Menurut Wilayah dan Agama yang Dianut'; the denominator is the printed province Total (all persons of all ages, including the Tidak Terjawab and Tidak Ditanyakan residual columns).",4413244,98.1941,,,,,,56778.562,,,"id-sp2010-religion-by-province|geoboundaries-idn-adm1-gbhum-2019","census_flat_frame_minority_share_design;census_affiliation;all_persons_universe;single_select_reported_religion;official_frame_has_no_no_religion_category;no_religion_slot_carries_named_minority_share_not_no_religion;non_response_residual_tidak_terjawab_and_tidak_ditanyakan_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_sp2010_sp2020_dropped_religion;dukcapil_2020plus_is_separate_administrative_construct_not_merged;licence_needs_review_build_then_ask_bps_attribution;boundary_cc_by_3_0_igo;kalimantan_utara_dissolved_into_kalimantan_timur_2010_frame;reference_group=Islam;reference_share_pct=98.1941;minority_share_pct=1.3602;minority_share=Kristen+Katolik+Hindu+Budha+Khong Hu Chu+Lainnya;bps_province_code=11;census_name=NANGGROE ACEH DARUSSALAM;source_categories_verbatim=Islam=4413244;Kristen=50309;Katolik=3315;Hindu=136;Budha=7062;Khong Hu Chu=36;Lainnya=277;Tidak Terjawab=1;Tidak Ditanyakan=20030"
"ID","id-province-2019-cod-adm1","province","id-province-2019-cod-adm1:id12","id12","Sumatera Utara",2010,12982204,"BPS Sensus Penduduk 2010, 'Penduduk Menurut Wilayah dan Agama yang Dianut'; the denominator is the printed province Total (all persons of all ages, including the Tidak Terjawab and Tidak Ditanyakan residual columns).",8579830,66.0892,,,,,,72320.6688,,,"id-sp2010-religion-by-province|geoboundaries-idn-adm1-gbhum-2019","census_flat_frame_minority_share_design;census_affiliation;all_persons_universe;single_select_reported_religion;official_frame_has_no_no_religion_category;no_religion_slot_carries_named_minority_share_not_no_religion;non_response_residual_tidak_terjawab_and_tidak_ditanyakan_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_sp2010_sp2020_dropped_religion;dukcapil_2020plus_is_separate_administrative_construct_not_merged;licence_needs_review_build_then_ask_bps_attribution;boundary_cc_by_3_0_igo;kalimantan_utara_dissolved_into_kalimantan_timur_2010_frame;reference_group=Islam;reference_share_pct=66.0892;minority_share_pct=33.5074;minority_share=Kristen+Katolik+Hindu+Budha+Khong Hu Chu+Lainnya;bps_province_code=12;census_name=SUMATERA UTARA;source_categories_verbatim=Islam=8579830;Kristen=3509700;Katolik=516037;Hindu=14644;Budha=303548;Khong Hu Chu=984;Lainnya=5088;Tidak Terjawab=1760;Tidak Ditanyakan=50613"
"ID","id-province-2019-cod-adm1","province","id-province-2019-cod-adm1:id13","id13","Sumatera Barat",2010,4846909,"BPS Sensus Penduduk 2010, 'Penduduk Menurut Wilayah dan Agama yang Dianut'; the denominator is the printed province Total (all persons of all ages, including the Tidak Terjawab and Tidak Ditanyakan residual columns).",4721924,97.4213,,,,,,42224.7614,,,"id-sp2010-religion-by-province|geoboundaries-idn-adm1-gbhum-2019","census_flat_frame_minority_share_design;census_affiliation;all_persons_universe;single_select_reported_religion;official_frame_has_no_no_religion_category;no_religion_slot_carries_named_minority_share_not_no_religion;non_response_residual_tidak_terjawab_and_tidak_ditanyakan_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_sp2010_sp2020_dropped_religion;dukcapil_2020plus_is_separate_administrative_construct_not_merged;licence_needs_review_build_then_ask_bps_attribution;boundary_cc_by_3_0_igo;kalimantan_utara_dissolved_into_kalimantan_timur_2010_frame;reference_group=Islam;reference_share_pct=97.4213;minority_share_pct=2.3499;minority_share=Kristen+Katolik+Hindu+Budha+Khong Hu Chu+Lainnya;bps_province_code=13;census_name=SUMATERA BARAT;source_categories_verbatim=Islam=4721924;Kristen=69253;Katolik=40428;Hindu=234;Budha=3419;Khong Hu Chu=70;Lainnya=493;Tidak Terjawab=1930;Tidak Ditanyakan=9158"
"ID","id-province-2019-cod-adm1","province","id-province-2019-cod-adm1:id14","id14","Riau",2010,5538367,"BPS Sensus Penduduk 2010, 'Penduduk Menurut Wilayah dan Agama yang Dianut'; the denominator is the printed province Total (all persons of all ages, including the Tidak Terjawab and Tidak Ditanyakan residual columns).",4872873,87.9839,,,,,,89807.8145,,,"id-sp2010-religion-by-province|geoboundaries-idn-adm1-gbhum-2019","census_flat_frame_minority_share_design;census_affiliation;all_persons_universe;single_select_reported_religion;official_frame_has_no_no_religion_category;no_religion_slot_carries_named_minority_share_not_no_religion;non_response_residual_tidak_terjawab_and_tidak_ditanyakan_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_sp2010_sp2020_dropped_religion;dukcapil_2020plus_is_separate_administrative_construct_not_merged;licence_needs_review_build_then_ask_bps_attribution;boundary_cc_by_3_0_igo;kalimantan_utara_dissolved_into_kalimantan_timur_2010_frame;reference_group=Islam;reference_share_pct=87.9839;minority_share_pct=11.7423;minority_share=Kristen+Katolik+Hindu+Budha+Khong Hu Chu+Lainnya;bps_province_code=14;census_name=RIAU;source_categories_verbatim=Islam=4872873;Kristen=484895;Katolik=44183;Hindu=1076;Budha=114332;Khong Hu Chu=3755;Lainnya=2088;Tidak Terjawab=517;Tidak Ditanyakan=14648"
"ID","id-province-2019-cod-adm1","province","id-province-2019-cod-adm1:id15","id15","Jambi",2010,3092265,"BPS Sensus Penduduk 2010, 'Penduduk Menurut Wilayah dan Agama yang Dianut'; the denominator is the printed province Total (all persons of all ages, including the Tidak Terjawab and Tidak Ditanyakan residual columns).",2950195,95.4056,,,,,,48939.4267,,,"id-sp2010-religion-by-province|geoboundaries-idn-adm1-gbhum-2019","census_flat_frame_minority_share_design;census_affiliation;all_persons_universe;single_select_reported_religion;official_frame_has_no_no_religion_category;no_religion_slot_carries_named_minority_share_not_no_religion;non_response_residual_tidak_terjawab_and_tidak_ditanyakan_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_sp2010_sp2020_dropped_religion;dukcapil_2020plus_is_separate_administrative_construct_not_merged;licence_needs_review_build_then_ask_bps_attribution;boundary_cc_by_3_0_igo;kalimantan_utara_dissolved_into_kalimantan_timur_2010_frame;reference_group=Islam;reference_share_pct=95.4056;minority_share_pct=4.1378;minority_share=Kristen+Katolik+Hindu+Budha+Khong Hu Chu+Lainnya;bps_province_code=15;census_name=JAMBI;source_categories_verbatim=Islam=2950195;Kristen=82311;Katolik=13250;Hindu=582;Budha=30014;Khong Hu Chu=1491;Lainnya=303;Tidak Terjawab=313;Tidak Ditanyakan=13806"
"ID","id-province-2019-cod-adm1","province","id-province-2019-cod-adm1:id16","id16","Sumatera Selatan",2010,7450394,"BPS Sensus Penduduk 2010, 'Penduduk Menurut Wilayah dan Agama yang Dianut'; the denominator is the printed province Total (all persons of all ages, including the Tidak Terjawab and Tidak Ditanyakan residual columns).",7218951,96.8935,,,,,,86961.6303,,,"id-sp2010-religion-by-province|geoboundaries-idn-adm1-gbhum-2019","census_flat_frame_minority_share_design;census_affiliation;all_persons_universe;single_select_reported_religion;official_frame_has_no_no_religion_category;no_religion_slot_carries_named_minority_share_not_no_religion;non_response_residual_tidak_terjawab_and_tidak_ditanyakan_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_sp2010_sp2020_dropped_religion;dukcapil_2020plus_is_separate_administrative_construct_not_merged;licence_needs_review_build_then_ask_bps_attribution;boundary_cc_by_3_0_igo;kalimantan_utara_dissolved_into_kalimantan_timur_2010_frame;reference_group=Islam;reference_share_pct=96.8935;minority_share_pct=2.8771;minority_share=Kristen+Katolik+Hindu+Budha+Khong Hu Chu+Lainnya;bps_province_code=16;census_name=SUMATERA SELATAN;source_categories_verbatim=Islam=7218951;Kristen=72235;Katolik=42436;Hindu=39206;Budha=59655;Khong Hu Chu=663;Lainnya=164;Tidak Terjawab=1928;Tidak Ditanyakan=15156"
"ID","id-province-2019-cod-adm1","province","id-province-2019-cod-adm1:id17","id17","Bengkulu",2010,1715518,"BPS Sensus Penduduk 2010, 'Penduduk Menurut Wilayah dan Agama yang Dianut'; the denominator is the printed province Total (all persons of all ages, including the Tidak Terjawab and Tidak Ditanyakan residual columns).",1669081,97.2931,,,,,,20026.3653,,,"id-sp2010-religion-by-province|geoboundaries-idn-adm1-gbhum-2019","census_flat_frame_minority_share_design;census_affiliation;all_persons_universe;single_select_reported_religion;official_frame_has_no_no_religion_category;no_religion_slot_carries_named_minority_share_not_no_religion;non_response_residual_tidak_terjawab_and_tidak_ditanyakan_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_sp2010_sp2020_dropped_religion;dukcapil_2020plus_is_separate_administrative_construct_not_merged;licence_needs_review_build_then_ask_bps_attribution;boundary_cc_by_3_0_igo;kalimantan_utara_dissolved_into_kalimantan_timur_2010_frame;reference_group=Islam;reference_share_pct=97.2931;minority_share_pct=2.3992;minority_share=Kristen+Katolik+Hindu+Budha+Khong Hu Chu+Lainnya;bps_province_code=17;census_name=BENGKULU;source_categories_verbatim=Islam=1669081;Kristen=28724;Katolik=6364;Hindu=3727;Budha=2173;Khong Hu Chu=41;Lainnya=130;Tidak Terjawab=1538;Tidak Ditanyakan=3740"
"ID","id-province-2019-cod-adm1","province","id-province-2019-cod-adm1:id18","id18","Lampung",2010,7608405,"BPS Sensus Penduduk 2010, 'Penduduk Menurut Wilayah dan Agama yang Dianut'; the denominator is the printed province Total (all persons of all ages, including the Tidak Terjawab and Tidak Ditanyakan residual columns).",7264783,95.4837,,,,,,33602.2213,,,"id-sp2010-religion-by-province|geoboundaries-idn-adm1-gbhum-2019","census_flat_frame_minority_share_design;census_affiliation;all_persons_universe;single_select_reported_religion;official_frame_has_no_no_religion_category;no_religion_slot_carries_named_minority_share_not_no_religion;non_response_residual_tidak_terjawab_and_tidak_ditanyakan_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_sp2010_sp2020_dropped_religion;dukcapil_2020plus_is_separate_administrative_construct_not_merged;licence_needs_review_build_then_ask_bps_attribution;boundary_cc_by_3_0_igo;kalimantan_utara_dissolved_into_kalimantan_timur_2010_frame;reference_group=Islam;reference_share_pct=95.4837;minority_share_pct=4.2474;minority_share=Kristen+Katolik+Hindu+Budha+Khong Hu Chu+Lainnya;bps_province_code=18;census_name=LAMPUNG;source_categories_verbatim=Islam=7264783;Kristen=115255;Katolik=69014;Hindu=113512;Budha=24122;Khong Hu Chu=596;Lainnya=664;Tidak Terjawab=3442;Tidak Ditanyakan=17017"
"ID","id-province-2019-cod-adm1","province","id-province-2019-cod-adm1:id19","id19","Kepulauan Bangka Belitung",2010,1223296,"BPS Sensus Penduduk 2010, 'Penduduk Menurut Wilayah dan Agama yang Dianut'; the denominator is the printed province Total (all persons of all ages, including the Tidak Terjawab and Tidak Ditanyakan residual columns).",1088791,89.0047,,,,,,16706.3667,,,"id-sp2010-religion-by-province|geoboundaries-idn-adm1-gbhum-2019","census_flat_frame_minority_share_design;census_affiliation;all_persons_universe;single_select_reported_religion;official_frame_has_no_no_religion_category;no_religion_slot_carries_named_minority_share_not_no_religion;non_response_residual_tidak_terjawab_and_tidak_ditanyakan_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_sp2010_sp2020_dropped_religion;dukcapil_2020plus_is_separate_administrative_construct_not_merged;licence_needs_review_build_then_ask_bps_attribution;boundary_cc_by_3_0_igo;kalimantan_utara_dissolved_into_kalimantan_timur_2010_frame;reference_group=Islam;reference_share_pct=89.0047;minority_share_pct=10.6128;minority_share=Kristen+Katolik+Hindu+Budha+Khong Hu Chu+Lainnya;bps_province_code=19;census_name=KEPULAUAN BANGKA BELITUNG;source_categories_verbatim=Islam=1088791;Kristen=22053;Katolik=14738;Hindu=1040;Budha=51882;Khong Hu Chu=39790;Lainnya=323;Tidak Terjawab=862;Tidak Ditanyakan=3817"
"ID","id-province-2019-cod-adm1","province","id-province-2019-cod-adm1:id21","id21","Kepulauan Riau",2010,1679163,"BPS Sensus Penduduk 2010, 'Penduduk Menurut Wilayah dan Agama yang Dianut'; the denominator is the printed province Total (all persons of all ages, including the Tidak Terjawab and Tidak Ditanyakan residual columns).",1332201,79.3372,,,,,,8249.7892,,,"id-sp2010-religion-by-province|geoboundaries-idn-adm1-gbhum-2019","census_flat_frame_minority_share_design;census_affiliation;all_persons_universe;single_select_reported_religion;official_frame_has_no_no_religion_category;no_religion_slot_carries_named_minority_share_not_no_religion;non_response_residual_tidak_terjawab_and_tidak_ditanyakan_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_sp2010_sp2020_dropped_religion;dukcapil_2020plus_is_separate_administrative_construct_not_merged;licence_needs_review_build_then_ask_bps_attribution;boundary_cc_by_3_0_igo;kalimantan_utara_dissolved_into_kalimantan_timur_2010_frame;reference_group=Islam;reference_share_pct=79.3372;minority_share_pct=20.4081;minority_share=Kristen+Katolik+Hindu+Budha+Khong Hu Chu+Lainnya;bps_province_code=21;census_name=KEPULAUAN RIAU;source_categories_verbatim=Islam=1332201;Kristen=187576;Katolik=38252;Hindu=1541;Budha=111730;Khong Hu Chu=3389;Lainnya=198;Tidak Terjawab=620;Tidak Ditanyakan=3656"
