"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"IE","ie-county-city-2019-derived","county_city","ie-county-city-2019-derived:2ae19629-1492-13a3-e055-000000000001","2ae19629-1492-13a3-e055-000000000001","Carlow",2011,53380,"population usually resident and present in the State with a stated religion response (All religions minus Not stated)",51307,96.12,2073,3.88,,,,896.31,,,"cso-pxstat-f5051-county-city-2011-2022|tailte-administrative-areas-2019",""
"IE","ie-county-city-2019-derived","county_city","ie-county-city-2019-derived:2ae19629-1492-13a3-e055-000000000001","2ae19629-1492-13a3-e055-000000000001","Carlow",2016,55414,"population usually resident and present in the State with a stated religion response (All religions minus Not stated)",51632,93.18,3782,6.82,,,,896.31,,,"cso-pxstat-f5051-county-city-2011-2022|tailte-administrative-areas-2019",""
"IE","ie-county-city-2019-derived","county_city","ie-county-city-2019-derived:2ae19629-1492-13a3-e055-000000000001","2ae19629-1492-13a3-e055-000000000001","Carlow",2022,57623,"population usually resident and present in the State with a stated religion response (All religions minus Not stated)",50995,88.5,6628,11.5,,,,896.31,,,"cso-pxstat-f5051-county-city-2011-2022|tailte-administrative-areas-2019",""
"IE","ie-county-city-2019-derived","county_city","ie-county-city-2019-derived:2ae19629-149d-13a3-e055-000000000001","2ae19629-149d-13a3-e055-000000000001","Cavan",2011,71606,"population usually resident and present in the State with a stated religion response (All religions minus Not stated)",69411,96.93,2195,3.07,,,,1931.22,,,"cso-pxstat-f5051-county-city-2011-2022|tailte-administrative-areas-2019",""
"IE","ie-county-city-2019-derived","county_city","ie-county-city-2019-derived:2ae19629-149d-13a3-e055-000000000001","2ae19629-149d-13a3-e055-000000000001","Cavan",2016,74161,"population usually resident and present in the State with a stated religion response (All religions minus Not stated)",70376,94.9,3785,5.1,,,,1931.22,,,"cso-pxstat-f5051-county-city-2011-2022|tailte-administrative-areas-2019",""
"IE","ie-county-city-2019-derived","county_city","ie-county-city-2019-derived:2ae19629-149d-13a3-e055-000000000001","2ae19629-149d-13a3-e055-000000000001","Cavan",2022,76503,"population usually resident and present in the State with a stated religion response (All religions minus Not stated)",69761,91.19,6742,8.81,,,,1931.22,,,"cso-pxstat-f5051-county-city-2011-2022|tailte-administrative-areas-2019",""
"IE","ie-county-city-2019-derived","county_city","ie-county-city-2019-derived:2ae19629-14a2-13a3-e055-000000000001","2ae19629-14a2-13a3-e055-000000000001","Clare",2011,113644,"population usually resident and present in the State with a stated religion response (All religions minus Not stated)",107684,94.76,5960,5.24,,,,3443.37,,,"cso-pxstat-f5051-county-city-2011-2022|tailte-administrative-areas-2019",""
"IE","ie-county-city-2019-derived","county_city","ie-county-city-2019-derived:2ae19629-14a2-13a3-e055-000000000001","2ae19629-14a2-13a3-e055-000000000001","Clare",2016,114100,"population usually resident and present in the State with a stated religion response (All religions minus Not stated)",104508,91.59,9592,8.41,,,,3443.37,,,"cso-pxstat-f5051-county-city-2011-2022|tailte-administrative-areas-2019",""
"IE","ie-county-city-2019-derived","county_city","ie-county-city-2019-derived:2ae19629-14a2-13a3-e055-000000000001","2ae19629-14a2-13a3-e055-000000000001","Clare",2022,117910,"population usually resident and present in the State with a stated religion response (All religions minus Not stated)",102237,86.71,15673,13.29,,,,3443.37,,,"cso-pxstat-f5051-county-city-2011-2022|tailte-administrative-areas-2019",""
"IE","ie-county-city-2019-derived","county_city","ie-county-city-2019-derived:2ae19629-1451-13a3-e055-000000000001","2ae19629-1451-13a3-e055-000000000001","Cork City and Cork County",2011,505920,"population usually resident and present in the State with a stated religion response (All religions minus Not stated)",475623,94.01,30297,5.99,,,,7502.64,,,"cso-pxstat-f5051-county-city-2011-2022|tailte-administrative-areas-2019","cork_city_and_county_boundary_dissolved_from_two_tailte_features"
