"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"IL","il-district-2022-cbs-moin","district","il-district-2022-cbs-moin:1","1","Jerusalem District",1948,87100,"CBS Statistical Abstract table 2.11, reference date 8 November 1948; counts are published in thousands rounded to one decimal. The 1948 wave is recorded context: CBS publishes district total and Jewish counts but suppresses the Muslim, Christian, and Druze district distributions; both ruled construct fields are therefore null. This is a Population Register classification for residents without a recognised religious classification (notably many immigrants and their descendants not registered in a religion group); it is not a measure of no religion, irreligion, or secularity. These fields report Population Register classification, never belief or practice.",,,,,,,,653.6863,,,"cbs-statistical-abstract-table-2-11-2025|cbs-arcgis-moin-subdistrict-boundaries|cbs-statistical-areas-2022","population_register_classification;cbs_counts_rounded_to_0.1_thousand;published_district_group_entries_summed_without_residual_distribution;recorded_context_construct_unavailable;not_classified_category_not_published;current_2022_boundary_frame"
"IL","il-district-2022-cbs-moin","district","il-district-2022-cbs-moin:2","2","Northern District",1948,144000,"CBS Statistical Abstract table 2.11, reference date 8 November 1948; counts are published in thousands rounded to one decimal. The 1948 wave is recorded context: CBS publishes district total and Jewish counts but suppresses the Muslim, Christian, and Druze district distributions; both ruled construct fields are therefore null. This is a Population Register classification for residents without a recognised religious classification (notably many immigrants and their descendants not registered in a religion group); it is not a measure of no religion, irreligion, or secularity. These fields report Population Register classification, never belief or practice.",,,,,,,,4638.8457,,,"cbs-statistical-abstract-table-2-11-2025|cbs-arcgis-moin-subdistrict-boundaries|cbs-statistical-areas-2022","population_register_classification;cbs_counts_rounded_to_0.1_thousand;published_district_group_entries_summed_without_residual_distribution;recorded_context_construct_unavailable;not_classified_category_not_published;current_2022_boundary_frame"
"IL","il-district-2022-cbs-moin","district","il-district-2022-cbs-moin:3","3","Haifa District",1948,175100,"CBS Statistical Abstract table 2.11, reference date 8 November 1948; counts are published in thousands rounded to one decimal. The 1948 wave is recorded context: CBS publishes district total and Jewish counts but suppresses the Muslim, Christian, and Druze district distributions; both ruled construct fields are therefore null. This is a Population Register classification for residents without a recognised religious classification (notably many immigrants and their descendants not registered in a religion group); it is not a measure of no religion, irreligion, or secularity. These fields report Population Register classification, never belief or practice.",,,,,,,,876.362,,,"cbs-statistical-abstract-table-2-11-2025|cbs-arcgis-moin-subdistrict-boundaries|cbs-statistical-areas-2022","population_register_classification;cbs_counts_rounded_to_0.1_thousand;published_district_group_entries_summed_without_residual_distribution;recorded_context_construct_unavailable;not_classified_category_not_published;current_2022_boundary_frame"
"IL","il-district-2022-cbs-moin","district","il-district-2022-cbs-moin:4","4","Central District",1948,122300,"CBS Statistical Abstract table 2.11, reference date 8 November 1948; counts are published in thousands rounded to one decimal. The 1948 wave is recorded context: CBS publishes district total and Jewish counts but suppresses the Muslim, Christian, and Druze district distributions; both ruled construct fields are therefore null. This is a Population Register classification for residents without a recognised religious classification (notably many immigrants and their descendants not registered in a religion group); it is not a measure of no religion, irreligion, or secularity. These fields report Population Register classification, never belief or practice.",,,,,,,,1294.5285,,,"cbs-statistical-abstract-table-2-11-2025|cbs-arcgis-moin-subdistrict-boundaries|cbs-statistical-areas-2022","population_register_classification;cbs_counts_rounded_to_0.1_thousand;published_district_group_entries_summed_without_residual_distribution;recorded_context_construct_unavailable;not_classified_category_not_published;current_2022_boundary_frame"
"IL","il-district-2022-cbs-moin","district","il-district-2022-cbs-moin:5","5","Tel Aviv District",1948,305700,"CBS Statistical Abstract table 2.11, reference date 8 November 1948; counts are published in thousands rounded to one decimal. The 1948 wave is recorded context: CBS publishes district total and Jewish counts but suppresses the Muslim, Christian, and Druze district distributions; both ruled construct fields are therefore null. This is a Population Register classification for residents without a recognised religious classification (notably many immigrants and their descendants not registered in a religion group); it is not a measure of no religion, irreligion, or secularity. These fields report Population Register classification, never belief or practice.",,,,,,,,175.63,,,"cbs-statistical-abstract-table-2-11-2025|cbs-arcgis-moin-subdistrict-boundaries|cbs-statistical-areas-2022","population_register_classification;cbs_counts_rounded_to_0.1_thousand;published_district_group_entries_summed_without_residual_distribution;recorded_context_construct_unavailable;not_classified_category_not_published;current_2022_boundary_frame"
"IL","il-district-2022-cbs-moin","district","il-district-2022-cbs-moin:6","6","Southern District",1948,21400,"CBS Statistical Abstract table 2.11, reference date 8 November 1948; counts are published in thousands rounded to one decimal. The 1948 wave is recorded context: CBS publishes district total and Jewish counts but suppresses the Muslim, Christian, and Druze district distributions; both ruled construct fields are therefore null. This is a Population Register classification for residents without a recognised religious classification (notably many immigrants and their descendants not registered in a religion group); it is not a measure of no religion, irreligion, or secularity. These fields report Population Register classification, never belief or practice.",,,,,,,,14454.2456,,,"cbs-statistical-abstract-table-2-11-2025|cbs-arcgis-moin-subdistrict-boundaries|cbs-statistical-areas-2022","population_register_classification;cbs_counts_rounded_to_0.1_thousand;published_district_group_entries_summed_without_residual_distribution;recorded_context_construct_unavailable;not_classified_category_not_published;current_2022_boundary_frame"
"IL","il-district-2022-cbs-moin","district","il-district-2022-cbs-moin:7","7","Judea and Samaria Area",1948,,"CBS Statistical Abstract table 2.11, reference date 8 November 1948; counts are published in thousands rounded to one decimal. The 1948 wave is recorded context: CBS publishes district total and Jewish counts but suppresses the Muslim, Christian, and Druze district distributions; both ruled construct fields are therefore null. This is a Population Register classification for residents without a recognised religious classification (notably many immigrants and their descendants not registered in a religion group); it is not a measure of no religion, irreligion, or secularity. These fields report Population Register classification, never belief or practice.",,,,,,,,92.0685,,,"cbs-statistical-abstract-table-2-11-2025|cbs-arcgis-moin-subdistrict-boundaries|cbs-statistical-areas-2022","population_register_classification;cbs_counts_rounded_to_0.1_thousand;published_district_group_entries_summed_without_residual_distribution;recorded_context_construct_unavailable;not_classified_category_not_published;current_2022_boundary_frame"
"IL","il-district-2022-cbs-moin","district","il-district-2022-cbs-moin:1","1","Jerusalem District",1961,191900,"CBS Statistical Abstract table 2.11, reference date 22 May 1961; counts are published in thousands rounded to one decimal. The classified count sums the CBS district entries for Jewish, Muslim, Christian, and Druze classifications. CBS does not publish the Not classified by religion category for this wave; that field is therefore null. This is a Population Register classification for residents without a recognised religious classification (notably many immigrants and their descendants not registered in a religion group); it is not a measure of no religion, irreligion, or secularity. These fields report Population Register classification, never belief or practice.",191700,99.8958,,,,,,653.6863,,,"cbs-statistical-abstract-table-2-11-2025|cbs-arcgis-moin-subdistrict-boundaries|cbs-statistical-areas-2022","population_register_classification;cbs_counts_rounded_to_0.1_thousand;published_district_group_entries_summed_without_residual_distribution;recognised_group_sum;not_classified_category_not_published;current_2022_boundary_frame"
"IL","il-district-2022-cbs-moin","district","il-district-2022-cbs-moin:2","2","Northern District",1961,337100,"CBS Statistical Abstract table 2.11, reference date 22 May 1961; counts are published in thousands rounded to one decimal. The classified count sums the CBS district entries for Jewish, Muslim, Christian, and Druze classifications. CBS does not publish the Not classified by religion category for this wave; that field is therefore null. This is a Population Register classification for residents without a recognised religious classification (notably many immigrants and their descendants not registered in a religion group); it is not a measure of no religion, irreligion, or secularity. These fields report Population Register classification, never belief or practice.",337100,100,,,,,,4638.8457,,,"cbs-statistical-abstract-table-2-11-2025|cbs-arcgis-moin-subdistrict-boundaries|cbs-statistical-areas-2022","population_register_classification;cbs_counts_rounded_to_0.1_thousand;published_district_group_entries_summed_without_residual_distribution;recognised_group_sum;not_classified_category_not_published;current_2022_boundary_frame"
"IL","il-district-2022-cbs-moin","district","il-district-2022-cbs-moin:3","3","Haifa District",1961,370300,"CBS Statistical Abstract table 2.11, reference date 22 May 1961; counts are published in thousands rounded to one decimal. The classified count sums the CBS district entries for Jewish, Muslim, Christian, and Druze classifications. CBS does not publish the Not classified by religion category for this wave; that field is therefore null. This is a Population Register classification for residents without a recognised religious classification (notably many immigrants and their descendants not registered in a religion group); it is not a measure of no religion, irreligion, or secularity. These fields report Population Register classification, never belief or practice.",370400,100.027,,,,,,876.362,,,"cbs-statistical-abstract-table-2-11-2025|cbs-arcgis-moin-subdistrict-boundaries|cbs-statistical-areas-2022","population_register_classification;cbs_counts_rounded_to_0.1_thousand;published_district_group_entries_summed_without_residual_distribution;recognised_group_sum;not_classified_category_not_published;current_2022_boundary_frame"
