"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"IN","in-district-2011-datameet","district_2011","in-district-2011-datameet:001","001","Kupwara, Jammu & Kashmir",2011,870354,"Census of India 2011 C-01 Total persons; religious_affiliation_count excludes Religion not stated, which is not a no-religion category",867832,99.71,,,,,,2008.56,,,"censusindia-2011-c01-religious-community|datameet-india-districts-census-2011","no_religion_category_absent;uses_2011_period_district_boundary"
"IN","in-district-2011-datameet","district_2011","in-district-2011-datameet:002","002","Badgam, Jammu & Kashmir",2011,753745,"Census of India 2011 C-01 Total persons; religious_affiliation_count excludes Religion not stated, which is not a no-religion category",753267,99.94,,,,,,1284.73,,,"censusindia-2011-c01-religious-community|datameet-india-districts-census-2011","no_religion_category_absent;uses_2011_period_district_boundary"
"IN","in-district-2011-datameet","district_2011","in-district-2011-datameet:003","003","Leh (ladakh), Jammu & Kashmir",2011,133487,"Census of India 2011 C-01 Total persons; religious_affiliation_count excludes Religion not stated, which is not a no-religion category",132481,99.25,,,,,,80274.57,,,"censusindia-2011-c01-religious-community|datameet-india-districts-census-2011","no_religion_category_absent;uses_2011_period_district_boundary"
"IN","in-district-2011-datameet","district_2011","in-district-2011-datameet:004","004","Kargil, Jammu & Kashmir",2011,140802,"Census of India 2011 C-01 Total persons; religious_affiliation_count excludes Religion not stated, which is not a no-religion category",140513,99.79,,,,,,14890.65,,,"censusindia-2011-c01-religious-community|datameet-india-districts-census-2011","no_religion_category_absent;uses_2011_period_district_boundary"
"IN","in-district-2011-datameet","district_2011","in-district-2011-datameet:005","005","Punch, Jammu & Kashmir",2011,476835,"Census of India 2011 C-01 Total persons; religious_affiliation_count excludes Religion not stated, which is not a no-religion category",476124,99.85,,,,,,2397.49,,,"censusindia-2011-c01-religious-community|datameet-india-districts-census-2011","no_religion_category_absent;uses_2011_period_district_boundary"
"IN","in-district-2011-datameet","district_2011","in-district-2011-datameet:006","006","Rajouri, Jammu & Kashmir",2011,642415,"Census of India 2011 C-01 Total persons; religious_affiliation_count excludes Religion not stated, which is not a no-religion category",641473,99.85,,,,,,1929.28,,,"censusindia-2011-c01-religious-community|datameet-india-districts-census-2011","no_religion_category_absent;uses_2011_period_district_boundary"
"IN","in-district-2011-datameet","district_2011","in-district-2011-datameet:007","007","Kathua, Jammu & Kashmir",2011,616435,"Census of India 2011 C-01 Total persons; religious_affiliation_count excludes Religion not stated, which is not a no-religion category",615718,99.88,,,,,,2356.93,,,"censusindia-2011-c01-religious-community|datameet-india-districts-census-2011","no_religion_category_absent;uses_2011_period_district_boundary"
"IN","in-district-2011-datameet","district_2011","in-district-2011-datameet:008","008","Baramula, Jammu & Kashmir",2011,1008039,"Census of India 2011 C-01 Total persons; religious_affiliation_count excludes Religion not stated, which is not a no-religion category",1006249,99.82,,,,,,1773.36,,,"censusindia-2011-c01-religious-community|datameet-india-districts-census-2011","no_religion_category_absent;uses_2011_period_district_boundary"
"IN","in-district-2011-datameet","district_2011","in-district-2011-datameet:009","009","Bandipore, Jammu & Kashmir",2011,392232,"Census of India 2011 C-01 Total persons; religious_affiliation_count excludes Religion not stated, which is not a no-religion category",391635,99.85,,,,,,2297.87,,,"censusindia-2011-c01-religious-community|datameet-india-districts-census-2011","no_religion_category_absent;uses_2011_period_district_boundary"
"IN","in-district-2011-datameet","district_2011","in-district-2011-datameet:010","010","Srinagar, Jammu & Kashmir",2011,1236829,"Census of India 2011 C-01 Total persons; religious_affiliation_count excludes Religion not stated, which is not a no-religion category",1235176,99.87,,,,,,1066.51,,,"censusindia-2011-c01-religious-community|datameet-india-districts-census-2011","no_religion_category_absent;uses_2011_period_district_boundary"
