"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:ardabil","ardabil","Ardabil",2006,1228155,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1225628,99.7942,,,,,,20182.4907,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1224886;christian=618;zoroastrian=104;jew=2;other=18;not_stated=2527;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=ardabil;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:bushehr","bushehr","Bushehr",2006,886267,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",882736,99.6016,,,,,,23663.0204,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=879940;christian=1487;zoroastrian=51;jew=31;other=1227;not_stated=3531;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=bushehr;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:chahar_mahaal_bakhtiari","chahar_mahaal_bakhtiari","Chahar Mahaal and Bakhtiari",2006,857910,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",854901,99.6493,,,,,,15223.6487,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=854192;christian=520;zoroastrian=72;jew=1;other=116;not_stated=3009;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=chahar_mahaal_bakhtiari;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:east_azarbaijan","east_azarbaijan","East Azarbaijan",2006,3603456,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",3590277,99.6343,,,,,,46443.1117,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=3586695;christian=2692;zoroastrian=138;jew=6;other=746;not_stated=13179;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=east_azarbaijan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:esfahan","esfahan","Esfahan",2006,4559256,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",4549606,99.7883,,,,,,110490.7189,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=4532030;christian=9130;zoroastrian=445;jew=951;other=7050;not_stated=9650;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=esfahan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:fars","fars","Fars",2006,4336878,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",4324374,99.7117,,,,,,125717.2788,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=4311738;christian=3267;zoroastrian=569;jew=2798;other=6002;not_stated=12504;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=fars;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:gilan","gilan","Gilan",2006,2404861,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",2400094,99.8018,,,,,,14413.9174,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=2397548;christian=1758;zoroastrian=466;jew=16;other=306;not_stated=4767;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=gilan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:golestan","golestan","Golestan",2006,1617087,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1613833,99.7988,,,,,,20742.1163,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1611533;christian=860;zoroastrian=70;jew=1;other=1369;not_stated=3254;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=golestan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:hamadan","hamadan","Hamadan",2006,1703267,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1698439,99.7165,,,,,,20495.343,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1696594;christian=1138;zoroastrian=182;jew=32;other=493;not_stated=4828;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=hamadan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:hormozgan","hormozgan","Hormozgan",2006,1403674,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1400006,99.7387,,,,,,67323.0593,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1398314;christian=1255;zoroastrian=106;jew=7;other=324;not_stated=3668;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=hormozgan;boundary_stability_unverified"
