"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"IS","is-adm0-2020-geoboundaries-9469f09","adm0","is-adm0-2020-geoboundaries-9469f09:IS","IS","Iceland",1998,272381,"Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.",263251,96.6481,5591,2.0526,,,,102006.017,,,"statice-px-man10001-membership-1998-2026|geoboundaries-gbopen-isl-adm0-9469f09","administrative_register_membership;national_only_adm0;named_organisation_rows_summed;other_and_not_specified_excluded_from_headline_fields;no_religious_organisation_source_label_not_irreligion;population_method_revised_from_2011_in_march_2024"
"IS","is-adm0-2020-geoboundaries-9469f09","adm0","is-adm0-2020-geoboundaries-9469f09:IS","IS","Iceland",1999,275712,"Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.",265505,96.2979,5767,2.0917,,,,102006.017,,,"statice-px-man10001-membership-1998-2026|geoboundaries-gbopen-isl-adm0-9469f09","administrative_register_membership;national_only_adm0;named_organisation_rows_summed;other_and_not_specified_excluded_from_headline_fields;no_religious_organisation_source_label_not_irreligion;population_method_revised_from_2011_in_march_2024"
"IS","is-adm0-2020-geoboundaries-9469f09","adm0","is-adm0-2020-geoboundaries-9469f09:IS","IS","Iceland",2000,279049,"Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.",267959,96.0258,5996,2.1487,,,,102006.017,,,"statice-px-man10001-membership-1998-2026|geoboundaries-gbopen-isl-adm0-9469f09","administrative_register_membership;national_only_adm0;named_organisation_rows_summed;other_and_not_specified_excluded_from_headline_fields;no_religious_organisation_source_label_not_irreligion;population_method_revised_from_2011_in_march_2024"
"IS","is-adm0-2020-geoboundaries-9469f09","adm0","is-adm0-2020-geoboundaries-9469f09:IS","IS","Iceland",2001,283361,"Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.",270443,95.4412,6367,2.247,,,,102006.017,,,"statice-px-man10001-membership-1998-2026|geoboundaries-gbopen-isl-adm0-9469f09","administrative_register_membership;national_only_adm0;named_organisation_rows_summed;other_and_not_specified_excluded_from_headline_fields;no_religious_organisation_source_label_not_irreligion;population_method_revised_from_2011_in_march_2024"
"IS","is-adm0-2020-geoboundaries-9469f09","adm0","is-adm0-2020-geoboundaries-9469f09:IS","IS","Iceland",2002,286575,"Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.",272514,95.0934,6585,2.2978,,,,102006.017,,,"statice-px-man10001-membership-1998-2026|geoboundaries-gbopen-isl-adm0-9469f09","administrative_register_membership;national_only_adm0;named_organisation_rows_summed;other_and_not_specified_excluded_from_headline_fields;no_religious_organisation_source_label_not_irreligion;population_method_revised_from_2011_in_march_2024"
"IS","is-adm0-2020-geoboundaries-9469f09","adm0","is-adm0-2020-geoboundaries-9469f09:IS","IS","Iceland",2003,288471,"Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.",273974,94.9745,6713,2.3271,,,,102006.017,,,"statice-px-man10001-membership-1998-2026|geoboundaries-gbopen-isl-adm0-9469f09","administrative_register_membership;national_only_adm0;named_organisation_rows_summed;other_and_not_specified_excluded_from_headline_fields;no_religious_organisation_source_label_not_irreligion;population_method_revised_from_2011_in_march_2024"
"IS","is-adm0-2020-geoboundaries-9469f09","adm0","is-adm0-2020-geoboundaries-9469f09:IS","IS","Iceland",2004,290570,"Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.",275847,94.9331,6941,2.3888,,,,102006.017,,,"statice-px-man10001-membership-1998-2026|geoboundaries-gbopen-isl-adm0-9469f09","administrative_register_membership;national_only_adm0;named_organisation_rows_summed;other_and_not_specified_excluded_from_headline_fields;no_religious_organisation_source_label_not_irreligion;population_method_revised_from_2011_in_march_2024"
"IS","is-adm0-2020-geoboundaries-9469f09","adm0","is-adm0-2020-geoboundaries-9469f09:IS","IS","Iceland",2005,293577,"Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.",277648,94.5742,7152,2.4362,,,,102006.017,,,"statice-px-man10001-membership-1998-2026|geoboundaries-gbopen-isl-adm0-9469f09","administrative_register_membership;national_only_adm0;named_organisation_rows_summed;other_and_not_specified_excluded_from_headline_fields;no_religious_organisation_source_label_not_irreligion;population_method_revised_from_2011_in_march_2024"
"IS","is-adm0-2020-geoboundaries-9469f09","adm0","is-adm0-2020-geoboundaries-9469f09:IS","IS","Iceland",2006,299891,"Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.",280468,93.5233,7418,2.4736,,,,102006.017,,,"statice-px-man10001-membership-1998-2026|geoboundaries-gbopen-isl-adm0-9469f09","administrative_register_membership;national_only_adm0;named_organisation_rows_summed;other_and_not_specified_excluded_from_headline_fields;no_religious_organisation_source_label_not_irreligion;population_method_revised_from_2011_in_march_2024"
"IS","is-adm0-2020-geoboundaries-9469f09","adm0","is-adm0-2020-geoboundaries-9469f09:IS","IS","Iceland",2007,307672,"Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.",282765,91.9047,8011,2.6037,,,,102006.017,,,"statice-px-man10001-membership-1998-2026|geoboundaries-gbopen-isl-adm0-9469f09","administrative_register_membership;national_only_adm0;named_organisation_rows_summed;other_and_not_specified_excluded_from_headline_fields;no_religious_organisation_source_label_not_irreligion;population_method_revised_from_2011_in_march_2024"
