"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:01","01","Piemonte",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,34.8,,14.9,,,,25388.84,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:02","02","Valle d'Aosta/Vallée d'Aoste",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,26.9,,16.1,,,,3260.04,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:03","03","Lombardia",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,36.6,,19.5,,,,23861.44,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:04","04","Trentino-Alto Adige/Südtirol",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,43.1,,10.2,,,,13606.18,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:05","05","Veneto",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,44.8,,12.4,,,,18353.81,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:06","06","Friuli-Venezia Giulia",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,28.4,,21.1,,,,7932.88,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:07","07","Liguria",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,24.9,,23.4,,,,5418.37,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:08","08","Emilia-Romagna",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,25.7,,25.6,,,,22501.29,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:09","09","Toscana",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,26.4,,23.1,,,,22990.9,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:10","10","Umbria",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,29.7,,15.6,,,,8462.87,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
"IT","it-region-2026-istat-generalised","region","it-region-2026-istat-generalised:11","11","Marche",2001,,"Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.",,40.9,,12,,,,9345.53,,,"istat-avq-religious-observances-regions-2001-2025|istat-confini-amministrativi-regioni-2026-generalizzati","sample_survey_estimate;sampling_error_not_machine_readable;regional_sampling_error_bands_in_annual_nota_metodologica;self_reported_attendance;resident_population_aged_6_plus"
