"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"JM","jm-parish-2011-geoboundaries-adm1","parish","jm-parish-2011-geoboundaries-adm1:JM-01","JM-01","Kingston",2011,84606,"2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.",52864,62.4826,28794,34.033,,,,16.4935,,,"statin-jm-2011-vol6-table5-religion-parish|geoboundaries-jam-adm1","source_statin_2011_census_vol6_table5_religion_by_parish;universe_2011_religion_universe_de_jure_2684115;heterogeneous_printed_parish_frame_19_to_23_categories_shipped_verbatim;printed_frame_19_categories_small_non_christian_groups_in_other;parish_other_absorbs_unbroken_small_group_residuals_by_source_design;no_religion_slot_printed_line_no_religious_affiliation_denomination;non_response_printed_line_not_reported_inside_denominator_outside_slots;single_wave_2011;religious_change_withheld;boundary_geoboundaries_jam_adm1_ccbysa20"
"JM","jm-parish-2011-geoboundaries-adm1","parish","jm-parish-2011-geoboundaries-adm1:JM-02","JM-02","Saint Andrew",2011,571194,"2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.",405729,71.0317,148025,25.915,,,,446.7565,,,"statin-jm-2011-vol6-table5-religion-parish|geoboundaries-jam-adm1","source_statin_2011_census_vol6_table5_religion_by_parish;universe_2011_religion_universe_de_jure_2684115;heterogeneous_printed_parish_frame_19_to_23_categories_shipped_verbatim;printed_frame_23_categories_bahai_hinduism_islam_judaism_broken_out;parish_other_absorbs_unbroken_small_group_residuals_by_source_design;no_religion_slot_printed_line_no_religion_denomination;non_response_printed_line_not_reported_inside_denominator_outside_slots;single_wave_2011;religious_change_withheld;boundary_geoboundaries_jam_adm1_ccbysa20"
"JM","jm-parish-2011-geoboundaries-adm1","parish","jm-parish-2011-geoboundaries-adm1:JM-03","JM-03","Saint Thomas",2011,93742,"2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.",70092,74.7712,21155,22.5673,,,,733.4011,,,"statin-jm-2011-vol6-table5-religion-parish|geoboundaries-jam-adm1","source_statin_2011_census_vol6_table5_religion_by_parish;universe_2011_religion_universe_de_jure_2684115;heterogeneous_printed_parish_frame_19_to_23_categories_shipped_verbatim;printed_frame_19_categories_small_non_christian_groups_in_other;parish_other_absorbs_unbroken_small_group_residuals_by_source_design;no_religion_slot_printed_line_no_religion_denomination;non_response_printed_line_not_reported_inside_denominator_outside_slots;single_wave_2011;religious_change_withheld;boundary_geoboundaries_jam_adm1_ccbysa20"
"JM","jm-parish-2011-geoboundaries-adm1","parish","jm-parish-2011-geoboundaries-adm1:JM-04","JM-04","Portland",2011,81566,"2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.",62321,76.4056,18248,22.3721,,,,839.3172,,,"statin-jm-2011-vol6-table5-religion-parish|geoboundaries-jam-adm1","source_statin_2011_census_vol6_table5_religion_by_parish;universe_2011_religion_universe_de_jure_2684115;heterogeneous_printed_parish_frame_19_to_23_categories_shipped_verbatim;printed_frame_19_categories_small_non_christian_groups_in_other;parish_other_absorbs_unbroken_small_group_residuals_by_source_design;no_religion_slot_printed_line_no_religious_affiliation_denomination;non_response_printed_line_not_reported_inside_denominator_outside_slots;single_wave_2011;religious_change_withheld;boundary_geoboundaries_jam_adm1_ccbysa20"
"JM","jm-parish-2011-geoboundaries-adm1","parish","jm-parish-2011-geoboundaries-adm1:JM-05","JM-05","Saint Mary",2011,113172,"2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.",85005,75.1113,25872,22.8608,,,,623.5644,,,"statin-jm-2011-vol6-table5-religion-parish|geoboundaries-jam-adm1","source_statin_2011_census_vol6_table5_religion_by_parish;universe_2011_religion_universe_de_jure_2684115;heterogeneous_printed_parish_frame_19_to_23_categories_shipped_verbatim;printed_frame_19_categories_small_non_christian_groups_in_other;parish_other_absorbs_unbroken_small_group_residuals_by_source_design;no_religion_slot_printed_line_no_religious_affiliation_denomination;non_response_printed_line_not_reported_inside_denominator_outside_slots;single_wave_2011;religious_change_withheld;boundary_geoboundaries_jam_adm1_ccbysa20"
"JM","jm-parish-2011-geoboundaries-adm1","parish","jm-parish-2011-geoboundaries-adm1:JM-06","JM-06","Saint Ann",2011,171740,"2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.",143214,83.39,24506,14.2692,,,,1252.0109,,,"statin-jm-2011-vol6-table5-religion-parish|geoboundaries-jam-adm1","source_statin_2011_census_vol6_table5_religion_by_parish;universe_2011_religion_universe_de_jure_2684115;heterogeneous_printed_parish_frame_19_to_23_categories_shipped_verbatim;printed_frame_19_categories_small_non_christian_groups_in_other;parish_other_absorbs_unbroken_small_group_residuals_by_source_design;no_religion_slot_printed_line_no_religious_affiliation_denomination;non_response_printed_line_not_reported_inside_denominator_outside_slots;single_wave_2011;religious_change_withheld;boundary_geoboundaries_jam_adm1_ccbysa20"
"JM","jm-parish-2011-geoboundaries-adm1","parish","jm-parish-2011-geoboundaries-adm1:JM-07","JM-07","Trelawny",2011,74991,"2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.",60412,80.559,12955,17.2754,,,,903.0021,,,"statin-jm-2011-vol6-table5-religion-parish|geoboundaries-jam-adm1","source_statin_2011_census_vol6_table5_religion_by_parish;universe_2011_religion_universe_de_jure_2684115;heterogeneous_printed_parish_frame_19_to_23_categories_shipped_verbatim;printed_frame_19_categories_small_non_christian_groups_in_other;parish_other_absorbs_unbroken_small_group_residuals_by_source_design;no_religion_slot_printed_line_no_religion_denomination;non_response_printed_line_not_reported_inside_denominator_outside_slots;single_wave_2011;religious_change_withheld;boundary_geoboundaries_jam_adm1_ccbysa20"
"JM","jm-parish-2011-geoboundaries-adm1","parish","jm-parish-2011-geoboundaries-adm1:JM-08","JM-08","Saint James",2011,182820,"2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.",140838,77.0364,37989,20.7795,,,,604.2922,,,"statin-jm-2011-vol6-table5-religion-parish|geoboundaries-jam-adm1","source_statin_2011_census_vol6_table5_religion_by_parish;universe_2011_religion_universe_de_jure_2684115;heterogeneous_printed_parish_frame_19_to_23_categories_shipped_verbatim;printed_frame_20_categories_hinduism_broken_out_remaining_small_groups_in_other;parish_other_absorbs_unbroken_small_group_residuals_by_source_design;no_religion_slot_printed_line_no_religious_affiliation_denomination;non_response_printed_line_not_reported_inside_denominator_outside_slots;single_wave_2011;religious_change_withheld;boundary_geoboundaries_jam_adm1_ccbysa20"
"JM","jm-parish-2011-geoboundaries-adm1","parish","jm-parish-2011-geoboundaries-adm1:JM-09","JM-09","Hanover",2011,69398,"2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.",53136,76.567,14751,21.2557,,,,464.7748,,,"statin-jm-2011-vol6-table5-religion-parish|geoboundaries-jam-adm1","source_statin_2011_census_vol6_table5_religion_by_parish;universe_2011_religion_universe_de_jure_2684115;heterogeneous_printed_parish_frame_19_to_23_categories_shipped_verbatim;printed_frame_19_categories_small_non_christian_groups_in_other;parish_other_absorbs_unbroken_small_group_residuals_by_source_design;no_religion_slot_printed_line_no_religious_affiliation_denomination;non_response_printed_line_not_reported_inside_denominator_outside_slots;single_wave_2011;religious_change_withheld;boundary_geoboundaries_jam_adm1_ccbysa20"
"JM","jm-parish-2011-geoboundaries-adm1","parish","jm-parish-2011-geoboundaries-adm1:JM-10","JM-10","Westmoreland",2011,143847,"2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.",111789,77.7138,29155,20.2681,,,,761.0339,,,"statin-jm-2011-vol6-table5-religion-parish|geoboundaries-jam-adm1","source_statin_2011_census_vol6_table5_religion_by_parish;universe_2011_religion_universe_de_jure_2684115;heterogeneous_printed_parish_frame_19_to_23_categories_shipped_verbatim;printed_frame_19_categories_small_non_christian_groups_in_other;parish_other_absorbs_unbroken_small_group_residuals_by_source_design;no_religion_slot_printed_line_no_religious_affiliation_denomination;non_response_printed_line_not_stated_inside_denominator_outside_slots;single_wave_2011;religious_change_withheld;boundary_geoboundaries_jam_adm1_ccbysa20"
