"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-01","KE-01","Baringo",2019,660813,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",637116,96.41,23697,3.59,,,,10795.83,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-02","KE-02","Bomet",2019,872007,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",848594,97.32,23413,2.68,,,,2818.7,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-03","KE-03","Bungoma",2019,1662304,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1650491,99.29,11813,0.71,,,,3025.03,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-04","KE-04","Busia",2019,886116,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",879579,99.26,6537,0.74,,,,1815.02,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-05","KE-05","Elgeyo-Marakwet",2019,452962,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",447752,98.85,5210,1.15,,,,3018.36,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-06","KE-06","Embu",2019,604048,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",597175,98.86,6873,1.14,,,,2826.69,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-07","KE-07","Garissa",2019,835170,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",835072,99.99,98,0.01,,,,44824.69,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-08","KE-08","Homa Bay",2019,1125376,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1120597,99.58,4779,0.42,,,,4755.58,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-09","KE-09","Isiolo",2019,267892,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",266960,99.65,932,0.35,,,,25351.21,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-10","KE-10","Kajiado",2019,1102966,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1087895,98.63,15071,1.37,,,,21822.59,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-11","KE-11","Kakamega",2019,1859763,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1851188,99.54,8575,0.46,,,,2988.49,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-12","KE-12","Kericho",2019,895862,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",870832,97.21,25030,2.79,,,,2102.11,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-13","KE-13","Kiambu",2019,2398544,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",2367774,98.72,30770,1.28,,,,2574.5,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-14","KE-14","Kilifi",2019,1438782,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1292113,89.81,146669,10.19,,,,12497.98,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-15","KE-15","Kirinyaga",2019,604878,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",599298,99.08,5580,0.92,,,,1477.53,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-16","KE-16","Kisii",2019,1260057,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1251483,99.32,8574,0.68,,,,1306.14,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-17","KE-17","Kisumu",2019,1143852,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1137199,99.42,6653,0.58,,,,2674.97,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-18","KE-18","Kitui",2019,1127755,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1103977,97.89,23778,2.11,,,,30556.41,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-19","KE-19","Kwale",2019,857925,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",845374,98.54,12551,1.46,,,,8241.43,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-20","KE-20","Laikipia",2019,512630,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",496935,96.94,15695,3.06,,,,9683.3,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-21","KE-21","Lamu",2019,141813,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",139806,98.58,2007,1.42,,,,6169.69,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-22","KE-22","Machakos",2019,1412479,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1403095,99.34,9384,0.66,,,,6219.75,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-23","KE-23","Makueni",2019,975436,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",966619,99.1,8817,0.9,,,,7986.6,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-24","KE-24","Mandera",2019,861917,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",861893,100,24,0,,,,26016.13,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-25","KE-25","Marsabit",2019,446207,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",444501,99.62,1706,0.38,,,,75926.96,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-26","KE-26","Meru",2019,1533045,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1512060,98.63,20985,1.37,,,,6899.6,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-27","KE-27","Migori",2019,1108101,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1100731,99.33,7370,0.67,,,,3165.41,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-28","KE-28","Mombasa",2019,1189757,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1178609,99.06,11148,0.94,,,,226.8,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-29","KE-29","Murang'a",2019,1052049,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1040553,98.91,11496,1.09,,,,2541.29,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
