"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:banteay-meanchey","banteay-meanchey","Banteay Meanchey",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,99.2,,0.8,,,,6168.8407,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=99.2|Muslims=0.5|Christians=0.3|Other=0.0;buddhist_share=99.2;minority_share=0.8;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:banteay-meanchey","banteay-meanchey","Banteay Meanchey",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,99.3,,0.7,,,,6168.8407,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=99.3|Muslims=0.4|Christian=0.2|Other=0.0;buddhist_share=99.3;minority_share=0.7;printed_row_sum=99.9;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:battambang","battambang","Battambang",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,98.3,,1.7,,,,12181.0718,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=98.3|Muslims=1.3|Christians=0.3|Other=0.0;buddhist_share=98.3;minority_share=1.7;printed_row_sum=99.9;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:battambang","battambang","Battambang",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,98.3,,1.7,,,,12181.0718,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=98.3|Muslims=1.4|Christian=0.3|Other=0.0;buddhist_share=98.3;minority_share=1.7;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kampong-cham","kampong-cham","Kampong Cham",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,97.6,,2.4,,,,4565.1307,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=97.6|Muslims=2.3|Christians=0.1|Other=0.0;buddhist_share=97.6;minority_share=2.4;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kampong-cham","kampong-cham","Kampong Cham",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,97.6,,2.4,,,,4565.1307,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=97.6|Muslims=2.3|Christian=0.1|Other=0.0;buddhist_share=97.6;minority_share=2.4;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kampong-chhnang","kampong-chhnang","Kampong Chhnang",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,94.7,,5.3,,,,5452.4751,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=94.7|Muslims=4.2|Christians=0.4|Other=0.7;buddhist_share=94.7;minority_share=5.3;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kampong-chhnang","kampong-chhnang","Kampong Chhnang",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,93.1,,6.9,,,,5452.4751,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=93.1|Muslims=5.8|Christian=0.3|Other=0.9;buddhist_share=93.1;minority_share=6.9;printed_row_sum=100.1;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kampong-speu","kampong-speu","Kampong Speu",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,99.7,,0.3,,,,7001.7306,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=99.7|Muslims=0.1|Christians=0.2|Other=0.0;buddhist_share=99.7;minority_share=0.3;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kampong-speu","kampong-speu","Kampong Speu",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,99.8,,0.2,,,,7001.7306,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=99.8|Muslims=0.1|Christian=0.1|Other=0.0;buddhist_share=99.8;minority_share=0.2;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
