"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"KI","ki-island-2017-geoboundaries-adm2","island","ki-island-2017-geoboundaries-adm2:32618148B87111691848014","32618148B87111691848014","Banaba",1990,284,"1990 Kiribati Census Table 10 Religion by Island (all persons); the printed island Total is the population denominator. Religious affiliation is the sum of the named-religion categories; a not-stated/unaccounted residual, where present, stays in the denominator and outside both headline numerators.",273,96.1268,11,3.8732,,,,7.1253,,,"kinso-census-1990-table10-religion-by-island|geoboundaries-kir-adm2-2017","frame_1990_eight_category;no_not_stated_category;nine_person_unaccounted_residual_disclosed_south_tarawa_abemama_tabiteuea;census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;broad_affiliation_comparable_1990_2015;denomination_detail_widens_over_time;licence_needs_review_pending_pi_task_15;boundary_odbl_1_0"
"KI","ki-island-2017-geoboundaries-adm2","island","ki-island-2017-geoboundaries-adm2:32618148B36161086078232","32618148B36161086078232","Makin",1990,1762,"1990 Kiribati Census Table 10 Religion by Island (all persons); the printed island Total is the population denominator. Religious affiliation is the sum of the named-religion categories; a not-stated/unaccounted residual, where present, stays in the denominator and outside both headline numerators.",1762,100,0,0,,,,5.1565,,,"kinso-census-1990-table10-religion-by-island|geoboundaries-kir-adm2-2017","frame_1990_eight_category;no_not_stated_category;nine_person_unaccounted_residual_disclosed_south_tarawa_abemama_tabiteuea;census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;broad_affiliation_comparable_1990_2015;denomination_detail_widens_over_time;licence_needs_review_pending_pi_task_15;boundary_odbl_1_0"
"KI","ki-island-2017-geoboundaries-adm2","island","ki-island-2017-geoboundaries-adm2:32618148B6165010807042","32618148B6165010807042","Butaritari",1990,3774,"1990 Kiribati Census Table 10 Religion by Island (all persons); the printed island Total is the population denominator. Religious affiliation is the sum of the named-religion categories; a not-stated/unaccounted residual, where present, stays in the denominator and outside both headline numerators.",3773,99.9735,1,0.0265,,,,20.0028,,,"kinso-census-1990-table10-religion-by-island|geoboundaries-kir-adm2-2017","frame_1990_eight_category;no_not_stated_category;nine_person_unaccounted_residual_disclosed_south_tarawa_abemama_tabiteuea;census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;broad_affiliation_comparable_1990_2015;denomination_detail_widens_over_time;licence_needs_review_pending_pi_task_15;boundary_odbl_1_0"
"KI","ki-island-2017-geoboundaries-adm2","island","ki-island-2017-geoboundaries-adm2:32618148B21694904403100","32618148B21694904403100","Marakei",1990,2863,"1990 Kiribati Census Table 10 Religion by Island (all persons); the printed island Total is the population denominator. Religious affiliation is the sum of the named-religion categories; a not-stated/unaccounted residual, where present, stays in the denominator and outside both headline numerators.",2861,99.9301,2,0.0699,,,,13.7632,,,"kinso-census-1990-table10-religion-by-island|geoboundaries-kir-adm2-2017","frame_1990_eight_category;no_not_stated_category;nine_person_unaccounted_residual_disclosed_south_tarawa_abemama_tabiteuea;census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;broad_affiliation_comparable_1990_2015;denomination_detail_widens_over_time;licence_needs_review_pending_pi_task_15;boundary_odbl_1_0"
"KI","ki-island-2017-geoboundaries-adm2","island","ki-island-2017-geoboundaries-adm2:32618148B42331431520024","32618148B42331431520024","Abaiang",1990,5233,"1990 Kiribati Census Table 10 Religion by Island (all persons); the printed island Total is the population denominator. Religious affiliation is the sum of the named-religion categories; a not-stated/unaccounted residual, where present, stays in the denominator and outside both headline numerators.",5233,100,0,0,,,,14.6989,,,"kinso-census-1990-table10-religion-by-island|geoboundaries-kir-adm2-2017","frame_1990_eight_category;no_not_stated_category;nine_person_unaccounted_residual_disclosed_south_tarawa_abemama_tabiteuea;census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;broad_affiliation_comparable_1990_2015;denomination_detail_widens_over_time;licence_needs_review_pending_pi_task_15;boundary_odbl_1_0"
"KI","ki-island-2017-geoboundaries-adm2","island","ki-island-2017-geoboundaries-adm2:32618148B16368966755916","32618148B16368966755916","North Tarawa",1990,3648,"1990 Kiribati Census Table 10 Religion by Island (all persons); the printed island Total is the population denominator. Religious affiliation is the sum of the named-religion categories; a not-stated/unaccounted residual, where present, stays in the denominator and outside both headline numerators.",3648,100,0,0,,,,16.1438,,,"kinso-census-1990-table10-religion-by-island|geoboundaries-kir-adm2-2017","frame_1990_eight_category;no_not_stated_category;nine_person_unaccounted_residual_disclosed_south_tarawa_abemama_tabiteuea;census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;broad_affiliation_comparable_1990_2015;denomination_detail_widens_over_time;licence_needs_review_pending_pi_task_15;boundary_odbl_1_0"
"KI","ki-island-2017-geoboundaries-adm2","island","ki-island-2017-geoboundaries-adm2:32618148B40735312671902","32618148B40735312671902","South Tarawa",1990,25379,"1990 Kiribati Census Table 10 Religion by Island (all persons); the printed island Total is the population denominator. Religious affiliation is the sum of the named-religion categories; a not-stated/unaccounted residual, where present, stays in the denominator and outside both headline numerators.",25345,99.866,31,0.1221,,,,11.6284,,,"kinso-census-1990-table10-religion-by-island|geoboundaries-kir-adm2-2017","count_includes_betio_enumerated_within_south_tarawa_through_2010;frame_1990_eight_category;no_not_stated_category;nine_person_unaccounted_residual_disclosed_south_tarawa_abemama_tabiteuea;census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;broad_affiliation_comparable_1990_2015;denomination_detail_widens_over_time;licence_needs_review_pending_pi_task_15;boundary_odbl_1_0"
"KI","ki-island-2017-geoboundaries-adm2","island","ki-island-2017-geoboundaries-adm2:32618148B78495147867108","32618148B78495147867108","Betio",1990,,"The 1990 census did not enumerate Betio as a separate island unit (betio_enumerated_within_south_tarawa_through_2010); no population is placed on this feature.",,,,,,,,1.6814,,,"kinso-census-1990-table10-religion-by-island|geoboundaries-kir-adm2-2017","unit_absent_this_wave;betio_enumerated_within_south_tarawa_through_2010;frame_1990_eight_category;no_not_stated_category;nine_person_unaccounted_residual_disclosed_south_tarawa_abemama_tabiteuea;census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;broad_affiliation_comparable_1990_2015;denomination_detail_widens_over_time;licence_needs_review_pending_pi_task_15;boundary_odbl_1_0"
"KI","ki-island-2017-geoboundaries-adm2","island","ki-island-2017-geoboundaries-adm2:32618148B78617285071843","32618148B78617285071843","Maiana",1990,2180,"1990 Kiribati Census Table 10 Religion by Island (all persons); the printed island Total is the population denominator. Religious affiliation is the sum of the named-religion categories; a not-stated/unaccounted residual, where present, stays in the denominator and outside both headline numerators.",2178,99.9083,2,0.0917,,,,20.4667,,,"kinso-census-1990-table10-religion-by-island|geoboundaries-kir-adm2-2017","frame_1990_eight_category;no_not_stated_category;nine_person_unaccounted_residual_disclosed_south_tarawa_abemama_tabiteuea;census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;broad_affiliation_comparable_1990_2015;denomination_detail_widens_over_time;licence_needs_review_pending_pi_task_15;boundary_odbl_1_0"
"KI","ki-island-2017-geoboundaries-adm2","island","ki-island-2017-geoboundaries-adm2:32618148B16013882827848","32618148B16013882827848","Abemama",1990,3218,"1990 Kiribati Census Table 10 Religion by Island (all persons); the printed island Total is the population denominator. Religious affiliation is the sum of the named-religion categories; a not-stated/unaccounted residual, where present, stays in the denominator and outside both headline numerators.",3212,99.8135,2,0.0622,,,,29.4811,,,"kinso-census-1990-table10-religion-by-island|geoboundaries-kir-adm2-2017","frame_1990_eight_category;no_not_stated_category;nine_person_unaccounted_residual_disclosed_south_tarawa_abemama_tabiteuea;census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;broad_affiliation_comparable_1990_2015;denomination_detail_widens_over_time;licence_needs_review_pending_pi_task_15;boundary_odbl_1_0"
