"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:11","11","Seoul",1995,10217177,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. 1995 source row maps one-to-one to the current sido frame.",5539185,54.21,4677376,45.78,,,,605.21,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_sido_one_to_one"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:11","11","Seoul",2005,9762546,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 source row maps one-to-one to the current sido frame.",5335856,54.66,4369245,44.76,,,,605.21,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:11","11","Seoul",2015,9444796,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",4386827,46.45,5057969,53.55,,,,605.21,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:21","21","Busan",1995,3809618,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. 1995 source row maps one-to-one to the current sido frame.",2101756,55.17,1706677,44.8,,,,783.25,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_sido_one_to_one"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:21","21","Busan",2005,3512547,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 source row maps one-to-one to the current sido frame.",2043772,58.18,1453045,41.37,,,,783.25,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:21","21","Busan",2015,3359946,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",1574615,46.86,1785331,53.14,,,,783.25,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:22","22","Daegu",1995,2445288,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. 1995 source row maps one-to-one to the current sido frame.",1285645,52.58,1159634,47.42,,,,879.58,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_sido_one_to_one"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:22","22","Daegu",2005,2456016,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 source row maps one-to-one to the current sido frame.",1337542,54.46,1113964,45.36,,,,879.58,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:22","22","Daegu",2015,2402746,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",1061583,44.18,1341163,55.82,,,,879.58,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:23","23","Incheon",1995,2304176,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. 1995 source row maps one-to-one to the current sido frame.",1160486,50.36,1143675,49.63,,,,1097.64,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_sido_one_to_one"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:23","23","Incheon",2005,2517680,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 source row maps one-to-one to the current sido frame.",1277726,50.75,1226085,48.7,,,,1097.64,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:23","23","Incheon",2015,2783565,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",1170740,42.06,1612825,57.94,,,,1097.64,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:24","24","Gwangju",1995,1257063,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. 1995 source row maps one-to-one to the current sido frame.",597040,47.49,660023,52.51,,,,497.9,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_sido_one_to_one"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:24","24","Gwangju",2005,1413644,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 source row maps one-to-one to the current sido frame.",679874,48.09,731497,51.75,,,,497.9,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:24","24","Gwangju",2015,1461127,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",569103,38.95,892024,61.05,,,,497.9,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
