"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"KZ","kz-region-2009-geoboundaries-adm1","region","kz-region-2009-geoboundaries-adm1:akmola","akmola","Akmola",2009,737495,"2009 National Census of Kazakhstan, Brief Results (Краткие итоги), Section 7.1 'Население по вероисповеданию по полу' (Все население / Оба пола), all persons of all ages; the denominator is the printed region total. Religious affiliation is the region population minus the Non-believers (неверующие) and Refused-to- indicate (отказались указать) lines.",700490,94.9823,32275,4.3763,,,,146070.6273,,,"kz-census-2009-brief-results-7-1-religion-by-region|geoboundaries-kaz-adm1-2017","census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believers_line_only;refused_to_indicate_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;region_frame_break_2018_no_cross_wave_region_change;census_licence_open_reuse_with_attribution;source_region_name=Акмолинская;source_categories_verbatim=ислам=368459;христианство=326864;иудаизм=142;буддизм=193;другое=4832;неверующие=32275;отказались указать=4730"
"KZ","kz-region-2009-geoboundaries-adm1","region","kz-region-2009-geoboundaries-adm1:aktobe","aktobe","Aktobe",2009,757768,"2009 National Census of Kazakhstan, Brief Results (Краткие итоги), Section 7.1 'Население по вероисповеданию по полу' (Все население / Оба пола), all persons of all ages; the denominator is the printed region total. Religious affiliation is the region population minus the Non-believers (неверующие) and Refused-to- indicate (отказались указать) lines.",734564,96.9378,18876,2.491,,,,300076.9405,,,"kz-census-2009-brief-results-7-1-religion-by-region|geoboundaries-kaz-adm1-2017","census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believers_line_only;refused_to_indicate_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;region_frame_break_2018_no_cross_wave_region_change;census_licence_open_reuse_with_attribution;source_region_name=Актюбинская;source_categories_verbatim=ислам=602680;христианство=130138;иудаизм=275;буддизм=355;другое=1116;неверующие=18876;отказались указать=4328"
"KZ","kz-region-2009-geoboundaries-adm1","region","kz-region-2009-geoboundaries-adm1:almaty_region","almaty_region","Almaty Region",2009,1807894,"2009 National Census of Kazakhstan, Brief Results (Краткие итоги), Section 7.1 'Население по вероисповеданию по полу' (Все население / Оба пола), all persons of all ages; the denominator is the printed region total. Religious affiliation is the region population minus the Non-believers (неверующие) and Refused-to- indicate (отказались указать) lines.",1778249,98.3602,24621,1.3619,,,,223047.347,,,"kz-census-2009-brief-results-7-1-religion-by-region|geoboundaries-kaz-adm1-2017","census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believers_line_only;refused_to_indicate_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;region_frame_break_2018_no_cross_wave_region_change;census_licence_open_reuse_with_attribution;source_region_name=Алматинская;source_categories_verbatim=ислам=1458685;христианство=313898;иудаизм=418;буддизм=2910;другое=2338;неверующие=24621;отказались указать=5024"
"KZ","kz-region-2009-geoboundaries-adm1","region","kz-region-2009-geoboundaries-adm1:atyrau","atyrau","Atyrau",2009,510377,"2009 National Census of Kazakhstan, Brief Results (Краткие итоги), Section 7.1 'Население по вероисповеданию по полу' (Все население / Оба пола), all persons of all ages; the denominator is the printed region total. Religious affiliation is the region population minus the Non-believers (неверующие) and Refused-to- indicate (отказались указать) lines.",505957,99.134,2913,0.5708,,,,111902.4088,,,"kz-census-2009-brief-results-7-1-religion-by-region|geoboundaries-kaz-adm1-2017","census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believers_line_only;refused_to_indicate_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;region_frame_break_2018_no_cross_wave_region_change;census_licence_open_reuse_with_attribution;source_region_name=Атырауская;source_categories_verbatim=ислам=468606;христианство=36192;иудаизм=79;буддизм=806;другое=274;неверующие=2913;отказались указать=1507"
"KZ","kz-region-2009-geoboundaries-adm1","region","kz-region-2009-geoboundaries-adm1:west_kazakhstan","west_kazakhstan","West Kazakhstan",2009,598880,"2009 National Census of Kazakhstan, Brief Results (Краткие итоги), Section 7.1 'Население по вероисповеданию по полу' (Все население / Оба пола), all persons of all ages; the denominator is the printed region total. Religious affiliation is the region population minus the Non-believers (неверующие) and Refused-to- indicate (отказались указать) lines.",579327,96.7351,17008,2.84,,,,153330.8202,,,"kz-census-2009-brief-results-7-1-religion-by-region|geoboundaries-kaz-adm1-2017","census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believers_line_only;refused_to_indicate_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;region_frame_break_2018_no_cross_wave_region_change;census_licence_open_reuse_with_attribution;source_region_name=Западно-Казахстанская;source_categories_verbatim=ислам=430363;христианство=148137;иудаизм=443;буддизм=133;другое=251;неверующие=17008;отказались указать=2545"
"KZ","kz-region-2009-geoboundaries-adm1","region","kz-region-2009-geoboundaries-adm1:jambyl","jambyl","Jambyl",2009,1022129,"2009 National Census of Kazakhstan, Brief Results (Краткие итоги), Section 7.1 'Население по вероисповеданию по полу' (Все население / Оба пола), all persons of all ages; the denominator is the printed region total. Religious affiliation is the region population minus the Non-believers (неверующие) and Refused-to- indicate (отказались указать) lines.",1013884,99.1934,6695,0.655,,,,144326.9087,,,"kz-census-2009-brief-results-7-1-religion-by-region|geoboundaries-kaz-adm1-2017","census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believers_line_only;refused_to_indicate_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;region_frame_break_2018_no_cross_wave_region_change;census_licence_open_reuse_with_attribution;source_region_name=Жамбылская;source_categories_verbatim=ислам=873572;христианство=137672;иудаизм=147;буддизм=1632;другое=861;неверующие=6695;отказались указать=1550"
"KZ","kz-region-2009-geoboundaries-adm1","region","kz-region-2009-geoboundaries-adm1:karaganda","karaganda","Karaganda",2009,1341700,"2009 National Census of Kazakhstan, Brief Results (Краткие итоги), Section 7.1 'Население по вероисповеданию по полу' (Все население / Оба пола), all persons of all ages; the denominator is the printed region total. Religious affiliation is the region population minus the Non-believers (неверующие) and Refused-to- indicate (отказались указать) lines.",1259823,93.8975,68405,5.0984,,,,427615.6659,,,"kz-census-2009-brief-results-7-1-religion-by-region|geoboundaries-kaz-adm1-2017","census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believers_line_only;refused_to_indicate_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;region_frame_break_2018_no_cross_wave_region_change;census_licence_open_reuse_with_attribution;source_region_name=Карагандинская;source_categories_verbatim=ислам=649133;христианство=601315;иудаизм=407;буддизм=1227;другое=7741;неверующие=68405;отказались указать=13472"
"KZ","kz-region-2009-geoboundaries-adm1","region","kz-region-2009-geoboundaries-adm1:kostanay","kostanay","Kostanay",2009,885570,"2009 National Census of Kazakhstan, Brief Results (Краткие итоги), Section 7.1 'Население по вероисповеданию по полу' (Все население / Оба пола), all persons of all ages; the denominator is the printed region total. Religious affiliation is the region population minus the Non-believers (неверующие) and Refused-to- indicate (отказались указать) lines.",819210,92.5065,59840,6.7572,,,,196087.5189,,,"kz-census-2009-brief-results-7-1-religion-by-region|geoboundaries-kaz-adm1-2017","census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believers_line_only;refused_to_indicate_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;region_frame_break_2018_no_cross_wave_region_change;census_licence_open_reuse_with_attribution;source_region_name=Костанайская;source_categories_verbatim=ислам=344056;христианство=473306;иудаизм=169;буддизм=515;другое=1164;неверующие=59840;отказались указать=6520"
"KZ","kz-region-2009-geoboundaries-adm1","region","kz-region-2009-geoboundaries-adm1:kyzylorda","kyzylorda","Kyzylorda",2009,678794,"2009 National Census of Kazakhstan, Brief Results (Краткие итоги), Section 7.1 'Население по вероисповеданию по полу' (Все население / Оба пола), all persons of all ages; the denominator is the printed region total. Religious affiliation is the region population minus the Non-believers (неверующие) and Refused-to- indicate (отказались указать) lines.",672772,99.1128,5173,0.7621,,,,225064.4244,,,"kz-census-2009-brief-results-7-1-religion-by-region|geoboundaries-kaz-adm1-2017","census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believers_line_only;refused_to_indicate_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;region_frame_break_2018_no_cross_wave_region_change;census_licence_open_reuse_with_attribution;source_region_name=Кызылординская;source_categories_verbatim=ислам=652206;христианство=19007;иудаизм=91;буддизм=1359;другое=109;неверующие=5173;отказались указать=849"
"KZ","kz-region-2009-geoboundaries-adm1","region","kz-region-2009-geoboundaries-adm1:mangystau","mangystau","Mangystau",2009,485392,"2009 National Census of Kazakhstan, Brief Results (Краткие итоги), Section 7.1 'Население по вероисповеданию по полу' (Все население / Оба пола), all persons of all ages; the denominator is the printed region total. Religious affiliation is the region population minus the Non-believers (неверующие) and Refused-to- indicate (отказались указать) lines.",480742,99.042,3604,0.7425,,,,155681.4746,,,"kz-census-2009-brief-results-7-1-religion-by-region|geoboundaries-kaz-adm1-2017","census_affiliation;all_persons_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believers_line_only;refused_to_indicate_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;region_frame_break_2018_no_cross_wave_region_change;census_licence_open_reuse_with_attribution;source_region_name=Мангистауская;source_categories_verbatim=ислам=435429;христианство=44122;иудаизм=631;буддизм=260;другое=300;неверующие=3604;отказались указать=1046"
