"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"LC","lc-district-2015-geoboundaries-adm1","district","lc-district-2015-geoboundaries-adm1:castries","castries","Castries",2001,61943,"2001 CSO REDATAM weighted district total 63361 less 1418 Not stated responses gives the stated-response denominator 61943; the source's printed district total and its published category cells differ by +5 people, shipped as published without repair; the national REDATAM religion total 156733 is 98 above the 2001 final report's enumerated resident population 156635 (disclosed, unresolved)",58752,94.8485,3196,5.1596,,,,94.0336,,,"cso-redatam-phc2001-religion-district|geoboundaries-lca-adm1-2015","census_affiliation;stated_response_denominator;source_printed_total_overrun=+5;not_stated_excluded_from_denominator;cross_wave_change_withheld;cso_open_licence_agreement_value_added_acknowledgement_required;boundary_cc0"
"LC","lc-district-2015-geoboundaries-adm1","district","lc-district-2015-geoboundaries-adm1:anse-la-raye","anse-la-raye","Anse La Raye",2001,6225,"2001 CSO REDATAM weighted district total 6312 less 87 Not stated responses gives the stated-response denominator 6225; the source's printed district total and its published category cells differ by +2 people, shipped as published without repair; the national REDATAM religion total 156733 is 98 above the 2001 final report's enumerated resident population 156635 (disclosed, unresolved)",5750,92.3695,477,7.6627,,,,36.5469,,,"cso-redatam-phc2001-religion-district|geoboundaries-lca-adm1-2015","census_affiliation;stated_response_denominator;source_printed_total_overrun=+2;not_stated_excluded_from_denominator;cross_wave_change_withheld;cso_open_licence_agreement_value_added_acknowledgement_required;boundary_cc0"
"LC","lc-district-2015-geoboundaries-adm1","district","lc-district-2015-geoboundaries-adm1:canaries","canaries","Canaries",2001,1756,"2001 CSO REDATAM weighted district total 1769 less 13 Not stated responses gives the stated-response denominator 1756; the source's printed district total and its published category cells differ by +0 people, shipped as published without repair; the national REDATAM religion total 156733 is 98 above the 2001 final report's enumerated resident population 156635 (disclosed, unresolved)",1669,95.0456,87,4.9544,,,,25.3182,,,"cso-redatam-phc2001-religion-district|geoboundaries-lca-adm1-2015","census_affiliation;stated_response_denominator;source_category_cells_match_printed_total;not_stated_excluded_from_denominator;cross_wave_change_withheld;cso_open_licence_agreement_value_added_acknowledgement_required;boundary_cc0"
"LC","lc-district-2015-geoboundaries-adm1","district","lc-district-2015-geoboundaries-adm1:soufriere","soufriere","Soufriere",2001,7359,"2001 CSO REDATAM weighted district total 7417 less 58 Not stated responses gives the stated-response denominator 7359; the source's printed district total and its published category cells differ by -1 people, shipped as published without repair; the national REDATAM religion total 156733 is 98 above the 2001 final report's enumerated resident population 156635 (disclosed, unresolved)",7096,96.4261,262,3.5603,,,,60.7233,,,"cso-redatam-phc2001-religion-district|geoboundaries-lca-adm1-2015","census_affiliation;stated_response_denominator;source_printed_total_overrun=-1;not_stated_excluded_from_denominator;cross_wave_change_withheld;cso_open_licence_agreement_value_added_acknowledgement_required;boundary_cc0"
"LC","lc-district-2015-geoboundaries-adm1","district","lc-district-2015-geoboundaries-adm1:choiseul","choiseul","Choiseul",2001,6048,"2001 CSO REDATAM weighted district total 6080 less 32 Not stated responses gives the stated-response denominator 6048; the source's printed district total and its published category cells differ by +0 people, shipped as published without repair; the national REDATAM religion total 156733 is 98 above the 2001 final report's enumerated resident population 156635 (disclosed, unresolved)",5977,98.8261,71,1.1739,,,,26.5056,,,"cso-redatam-phc2001-religion-district|geoboundaries-lca-adm1-2015","census_affiliation;stated_response_denominator;source_category_cells_match_printed_total;not_stated_excluded_from_denominator;cross_wave_change_withheld;cso_open_licence_agreement_value_added_acknowledgement_required;boundary_cc0"
"LC","lc-district-2015-geoboundaries-adm1","district","lc-district-2015-geoboundaries-adm1:laborie","laborie","Laborie",2001,7111,"2001 CSO REDATAM weighted district total 7241 less 130 Not stated responses gives the stated-response denominator 7111; the source's printed district total and its published category cells differ by +0 people, shipped as published without repair; the national REDATAM religion total 156733 is 98 above the 2001 final report's enumerated resident population 156635 (disclosed, unresolved)",6976,98.1015,135,1.8985,,,,33.4123,,,"cso-redatam-phc2001-religion-district|geoboundaries-lca-adm1-2015","census_affiliation;stated_response_denominator;source_category_cells_match_printed_total;not_stated_excluded_from_denominator;cross_wave_change_withheld;cso_open_licence_agreement_value_added_acknowledgement_required;boundary_cc0"
"LC","lc-district-2015-geoboundaries-adm1","district","lc-district-2015-geoboundaries-adm1:vieux-fort","vieux-fort","Vieux Fort",2001,14985,"2001 CSO REDATAM weighted district total 15135 less 150 Not stated responses gives the stated-response denominator 14985; the source's printed district total and its published category cells differ by +2 people, shipped as published without repair; the national REDATAM religion total 156733 is 98 above the 2001 final report's enumerated resident population 156635 (disclosed, unresolved)",14465,96.5299,522,3.4835,,,,50.6499,,,"cso-redatam-phc2001-religion-district|geoboundaries-lca-adm1-2015","census_affiliation;stated_response_denominator;source_printed_total_overrun=+2;not_stated_excluded_from_denominator;cross_wave_change_withheld;cso_open_licence_agreement_value_added_acknowledgement_required;boundary_cc0"
"LC","lc-district-2015-geoboundaries-adm1","district","lc-district-2015-geoboundaries-adm1:micoud","micoud","Micoud",2001,15626,"2001 CSO REDATAM weighted district total 15734 less 108 Not stated responses gives the stated-response denominator 15626; the source's printed district total and its published category cells differ by +1 people, shipped as published without repair; the national REDATAM religion total 156733 is 98 above the 2001 final report's enumerated resident population 156635 (disclosed, unresolved)",15042,96.2626,585,3.7438,,,,109.0309,,,"cso-redatam-phc2001-religion-district|geoboundaries-lca-adm1-2015","census_affiliation;stated_response_denominator;source_printed_total_overrun=+1;not_stated_excluded_from_denominator;cross_wave_change_withheld;cso_open_licence_agreement_value_added_acknowledgement_required;boundary_cc0"
"LC","lc-district-2015-geoboundaries-adm1","district","lc-district-2015-geoboundaries-adm1:dennery","dennery","Dennery",2001,12296,"2001 CSO REDATAM weighted district total 12408 less 112 Not stated responses gives the stated-response denominator 12296; the source's printed district total and its published category cells differ by +0 people, shipped as published without repair; the national REDATAM religion total 156733 is 98 above the 2001 final report's enumerated resident population 156635 (disclosed, unresolved)",11517,93.6646,779,6.3354,,,,73.1365,,,"cso-redatam-phc2001-religion-district|geoboundaries-lca-adm1-2015","census_affiliation;stated_response_denominator;source_category_cells_match_printed_total;not_stated_excluded_from_denominator;cross_wave_change_withheld;cso_open_licence_agreement_value_added_acknowledgement_required;boundary_cc0"
"LC","lc-district-2015-geoboundaries-adm1","district","lc-district-2015-geoboundaries-adm1:gros-islet","gros-islet","Gros Islet",2001,20899,"2001 CSO REDATAM weighted district total 21277 less 378 Not stated responses gives the stated-response denominator 20899; the source's printed district total and its published category cells differ by +0 people, shipped as published without repair; the national REDATAM religion total 156733 is 98 above the 2001 final report's enumerated resident population 156635 (disclosed, unresolved)",19871,95.0811,1028,4.9189,,,,100.7213,,,"cso-redatam-phc2001-religion-district|geoboundaries-lca-adm1-2015","census_affiliation;stated_response_denominator;source_category_cells_match_printed_total;not_stated_excluded_from_denominator;cross_wave_change_withheld;cso_open_licence_agreement_value_added_acknowledgement_required;boundary_cc0"
