"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"LK","lk-district-geoboundaries-adm3-dissolved-25","district","lk-district-geoboundaries-adm3-dissolved-25:colombo","colombo","Colombo",1981,1699241,"DCS Census 1981 district population; Statistical Abstract 2023 Table 2.14. Percentages use the district total religion population. This product renders the Department of Census and Statistics (DCS) published district religion counts exactly, on the stable 25-district frame in force for the 2012 and 2024 censuses. The 2001 census enumerated religion for only 18 of 25 districts; the seven northern and eastern districts (Jaffna, Mannar, Vavuniya, Mullaitivu, Kilinochchi, Batticaloa, Trincomalee) carry the DCS estimated total population and null religion, with the DCS footnote quoted verbatim. Kilinochchi did not exist in 1981 (it was carved from Jaffna in 1984); its 1981 row is null and Jaffna's printed 1981 row covers present-day Jaffna plus Kilinochchi. No 1981 split is invented.",1699241,100,,,,,,685.6209,,,"dcs-census-religion-district-1981-2024|geoboundaries-lka-adm3-dissolved-25","full_enumeration_census_religion;six_category_partition;no_no_religion_or_not_stated_category;affiliation=total_all_six_named_categories;label_convention=abstract;source_categories_verbatim=Buddhist=1196964;Hindus=130215;Muslims=168863;Catholics=159947;Christians=40598;Others=2654;exact_within_row_and_national_reconciliation;district_counts_rendered_as_published_no_small_cell_treatment"
"LK","lk-district-geoboundaries-adm3-dissolved-25","district","lk-district-geoboundaries-adm3-dissolved-25:gampaha","gampaha","Gampaha",1981,1390862,"DCS Census 1981 district population; Statistical Abstract 2023 Table 2.14. Percentages use the district total religion population. This product renders the Department of Census and Statistics (DCS) published district religion counts exactly, on the stable 25-district frame in force for the 2012 and 2024 censuses. The 2001 census enumerated religion for only 18 of 25 districts; the seven northern and eastern districts (Jaffna, Mannar, Vavuniya, Mullaitivu, Kilinochchi, Batticaloa, Trincomalee) carry the DCS estimated total population and null religion, with the DCS footnote quoted verbatim. Kilinochchi did not exist in 1981 (it was carved from Jaffna in 1984); its 1981 row is null and Jaffna's printed 1981 row covers present-day Jaffna plus Kilinochchi. No 1981 split is invented.",1390862,100,,,,,,1385.4866,,,"dcs-census-religion-district-1981-2024|geoboundaries-lka-adm3-dissolved-25","full_enumeration_census_religion;six_category_partition;no_no_religion_or_not_stated_category;affiliation=total_all_six_named_categories;label_convention=abstract;source_categories_verbatim=Buddhist=989212;Hindus=26750;Muslims=48117;Catholics=313352;Christians=12563;Others=868;exact_within_row_and_national_reconciliation;district_counts_rendered_as_published_no_small_cell_treatment"
"LK","lk-district-geoboundaries-adm3-dissolved-25","district","lk-district-geoboundaries-adm3-dissolved-25:kalutara","kalutara","Kalutara",1981,829704,"DCS Census 1981 district population; Statistical Abstract 2023 Table 2.14. Percentages use the district total religion population. This product renders the Department of Census and Statistics (DCS) published district religion counts exactly, on the stable 25-district frame in force for the 2012 and 2024 censuses. The 2001 census enumerated religion for only 18 of 25 districts; the seven northern and eastern districts (Jaffna, Mannar, Vavuniya, Mullaitivu, Kilinochchi, Batticaloa, Trincomalee) carry the DCS estimated total population and null religion, with the DCS footnote quoted verbatim. Kilinochchi did not exist in 1981 (it was carved from Jaffna in 1984); its 1981 row is null and Jaffna's printed 1981 row covers present-day Jaffna plus Kilinochchi. No 1981 split is invented.",829704,100,,,,,,1647.2939,,,"dcs-census-religion-district-1981-2024|geoboundaries-lka-adm3-dissolved-25","full_enumeration_census_religion;six_category_partition;no_no_religion_or_not_stated_category;affiliation=total_all_six_named_categories;label_convention=abstract;source_categories_verbatim=Buddhist=699613;Hindus=37035;Muslims=62659;Catholics=27697;Christians=2424;Others=276;exact_within_row_and_national_reconciliation;district_counts_rendered_as_published_no_small_cell_treatment"
"LK","lk-district-geoboundaries-adm3-dissolved-25","district","lk-district-geoboundaries-adm3-dissolved-25:kandy","kandy","Kandy",1981,1048317,"DCS Census 1981 district population; Statistical Abstract 2023 Table 2.14. Percentages use the district total religion population. This product renders the Department of Census and Statistics (DCS) published district religion counts exactly, on the stable 25-district frame in force for the 2012 and 2024 censuses. The 2001 census enumerated religion for only 18 of 25 districts; the seven northern and eastern districts (Jaffna, Mannar, Vavuniya, Mullaitivu, Kilinochchi, Batticaloa, Trincomalee) carry the DCS estimated total population and null religion, with the DCS footnote quoted verbatim. Kilinochchi did not exist in 1981 (it was carved from Jaffna in 1984); its 1981 row is null and Jaffna's printed 1981 row covers present-day Jaffna plus Kilinochchi. No 1981 split is invented.",1048317,100,,,,,,1928.0415,,,"dcs-census-religion-district-1981-2024|geoboundaries-lka-adm3-dissolved-25","full_enumeration_census_religion;six_category_partition;no_no_religion_or_not_stated_category;affiliation=total_all_six_named_categories;label_convention=abstract;source_categories_verbatim=Buddhist=771435;Hindus=132943;Muslims=115941;Catholics=20067;Christians=7498;Others=433;exact_within_row_and_national_reconciliation;district_counts_rendered_as_published_no_small_cell_treatment"
"LK","lk-district-geoboundaries-adm3-dissolved-25","district","lk-district-geoboundaries-adm3-dissolved-25:matale","matale","Matale",1981,357354,"DCS Census 1981 district population; Statistical Abstract 2023 Table 2.14. Percentages use the district total religion population. This product renders the Department of Census and Statistics (DCS) published district religion counts exactly, on the stable 25-district frame in force for the 2012 and 2024 censuses. The 2001 census enumerated religion for only 18 of 25 districts; the seven northern and eastern districts (Jaffna, Mannar, Vavuniya, Mullaitivu, Kilinochchi, Batticaloa, Trincomalee) carry the DCS estimated total population and null religion, with the DCS footnote quoted verbatim. Kilinochchi did not exist in 1981 (it was carved from Jaffna in 1984); its 1981 row is null and Jaffna's printed 1981 row covers present-day Jaffna plus Kilinochchi. No 1981 split is invented.",357354,100,,,,,,2059.1301,,,"dcs-census-religion-district-1981-2024|geoboundaries-lka-adm3-dissolved-25","full_enumeration_census_religion;six_category_partition;no_no_religion_or_not_stated_category;affiliation=total_all_six_named_categories;label_convention=abstract;source_categories_verbatim=Buddhist=281004;Hindus=41352;Muslims=26265;Catholics=7443;Christians=1202;Others=88;exact_within_row_and_national_reconciliation;district_counts_rendered_as_published_no_small_cell_treatment"
"LK","lk-district-geoboundaries-adm3-dissolved-25","district","lk-district-geoboundaries-adm3-dissolved-25:nuwara_eliya","nuwara_eliya","Nuwara Eliya",1981,603577,"DCS Census 1981 district population; Statistical Abstract 2023 Table 2.14. Percentages use the district total religion population. This product renders the Department of Census and Statistics (DCS) published district religion counts exactly, on the stable 25-district frame in force for the 2012 and 2024 censuses. The 2001 census enumerated religion for only 18 of 25 districts; the seven northern and eastern districts (Jaffna, Mannar, Vavuniya, Mullaitivu, Kilinochchi, Batticaloa, Trincomalee) carry the DCS estimated total population and null religion, with the DCS footnote quoted verbatim. Kilinochchi did not exist in 1981 (it was carved from Jaffna in 1984); its 1981 row is null and Jaffna's printed 1981 row covers present-day Jaffna plus Kilinochchi. No 1981 split is invented.",603577,100,,,,,,1745.1366,,,"dcs-census-religion-district-1981-2024|geoboundaries-lka-adm3-dissolved-25","full_enumeration_census_religion;six_category_partition;no_no_religion_or_not_stated_category;affiliation=total_all_six_named_categories;label_convention=abstract;source_categories_verbatim=Buddhist=251247;Hindus=303571;Muslims=14902;Catholics=28382;Christians=5312;Others=163;exact_within_row_and_national_reconciliation;district_counts_rendered_as_published_no_small_cell_treatment"
"LK","lk-district-geoboundaries-adm3-dissolved-25","district","lk-district-geoboundaries-adm3-dissolved-25:galle","galle","Galle",1981,814531,"DCS Census 1981 district population; Statistical Abstract 2023 Table 2.14. Percentages use the district total religion population. This product renders the Department of Census and Statistics (DCS) published district religion counts exactly, on the stable 25-district frame in force for the 2012 and 2024 censuses. The 2001 census enumerated religion for only 18 of 25 districts; the seven northern and eastern districts (Jaffna, Mannar, Vavuniya, Mullaitivu, Kilinochchi, Batticaloa, Trincomalee) carry the DCS estimated total population and null religion, with the DCS footnote quoted verbatim. Kilinochchi did not exist in 1981 (it was carved from Jaffna in 1984); its 1981 row is null and Jaffna's printed 1981 row covers present-day Jaffna plus Kilinochchi. No 1981 split is invented.",814531,100,,,,,,1613.7452,,,"dcs-census-religion-district-1981-2024|geoboundaries-lka-adm3-dissolved-25","full_enumeration_census_religion;six_category_partition;no_no_religion_or_not_stated_category;affiliation=total_all_six_named_categories;label_convention=abstract;source_categories_verbatim=Buddhist=767661;Hindus=15086;Muslims=26301;Catholics=3586;Christians=1452;Others=445;exact_within_row_and_national_reconciliation;district_counts_rendered_as_published_no_small_cell_treatment"
"LK","lk-district-geoboundaries-adm3-dissolved-25","district","lk-district-geoboundaries-adm3-dissolved-25:matara","matara","Matara",1981,643786,"DCS Census 1981 district population; Statistical Abstract 2023 Table 2.14. Percentages use the district total religion population. This product renders the Department of Census and Statistics (DCS) published district religion counts exactly, on the stable 25-district frame in force for the 2012 and 2024 censuses. The 2001 census enumerated religion for only 18 of 25 districts; the seven northern and eastern districts (Jaffna, Mannar, Vavuniya, Mullaitivu, Kilinochchi, Batticaloa, Trincomalee) carry the DCS estimated total population and null religion, with the DCS footnote quoted verbatim. Kilinochchi did not exist in 1981 (it was carved from Jaffna in 1984); its 1981 row is null and Jaffna's printed 1981 row covers present-day Jaffna plus Kilinochchi. No 1981 split is invented.",643786,100,,,,,,1306.7933,,,"dcs-census-religion-district-1981-2024|geoboundaries-lka-adm3-dissolved-25","full_enumeration_census_religion;six_category_partition;no_no_religion_or_not_stated_category;affiliation=total_all_six_named_categories;label_convention=abstract;source_categories_verbatim=Buddhist=608714;Hindus=15356;Muslims=16670;Catholics=2026;Christians=818;Others=202;exact_within_row_and_national_reconciliation;district_counts_rendered_as_published_no_small_cell_treatment"
"LK","lk-district-geoboundaries-adm3-dissolved-25","district","lk-district-geoboundaries-adm3-dissolved-25:hambantota","hambantota","Hambantota",1981,424344,"DCS Census 1981 district population; Statistical Abstract 2023 Table 2.14. Percentages use the district total religion population. This product renders the Department of Census and Statistics (DCS) published district religion counts exactly, on the stable 25-district frame in force for the 2012 and 2024 censuses. The 2001 census enumerated religion for only 18 of 25 districts; the seven northern and eastern districts (Jaffna, Mannar, Vavuniya, Mullaitivu, Kilinochchi, Batticaloa, Trincomalee) carry the DCS estimated total population and null religion, with the DCS footnote quoted verbatim. Kilinochchi did not exist in 1981 (it was carved from Jaffna in 1984); its 1981 row is null and Jaffna's printed 1981 row covers present-day Jaffna plus Kilinochchi. No 1981 split is invented.",424344,100,,,,,,2623.3611,,,"dcs-census-religion-district-1981-2024|geoboundaries-lka-adm3-dissolved-25","full_enumeration_census_religion;six_category_partition;no_no_religion_or_not_stated_category;affiliation=total_all_six_named_categories;label_convention=abstract;source_categories_verbatim=Buddhist=411919;Hindus=2174;Muslims=9408;Catholics=542;Christians=174;Others=127;exact_within_row_and_national_reconciliation;district_counts_rendered_as_published_no_small_cell_treatment"
"LK","lk-district-geoboundaries-adm3-dissolved-25","district","lk-district-geoboundaries-adm3-dissolved-25:jaffna","jaffna","Jaffna",1981,830552,"DCS Census 1981 district population; Statistical Abstract 2023 Table 2.14. Percentages use the district total religion population. This product renders the Department of Census and Statistics (DCS) published district religion counts exactly, on the stable 25-district frame in force for the 2012 and 2024 censuses. The 2001 census enumerated religion for only 18 of 25 districts; the seven northern and eastern districts (Jaffna, Mannar, Vavuniya, Mullaitivu, Kilinochchi, Batticaloa, Trincomalee) carry the DCS estimated total population and null religion, with the DCS footnote quoted verbatim. Kilinochchi did not exist in 1981 (it was carved from Jaffna in 1984); its 1981 row is null and Jaffna's printed 1981 row covers present-day Jaffna plus Kilinochchi. No 1981 split is invented.",830552,100,,,,,,1091.4417,,,"dcs-census-religion-district-1981-2024|geoboundaries-lka-adm3-dissolved-25","full_enumeration_census_religion;six_category_partition;no_no_religion_or_not_stated_category;affiliation=total_all_six_named_categories;label_convention=abstract;source_categories_verbatim=Buddhist=5104;Hindus=705705;Muslims=14844;Catholics=95613;Christians=9153;Others=133;exact_within_row_and_national_reconciliation;district_counts_rendered_as_published_no_small_cell_treatment;jaffna_1981_row_covers_present_day_jaffna_plus_kilinochchi"
