"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"LT","lt-municipality-2025-registers-centre","municipality","lt-municipality-2025-registers-centre:11","11","Alytaus m. sav.",2001,71491,"Full-enumeration population census municipality total; Nenurodyta remains in the denominator.",63725,89.1371,4530,6.3365,,,,39.436,,,"osp-s3r778-gbs010306-1-religion-municipality-2001-2021|lt-registers-centre-address-register-municipalities-2025","census_affiliation;full_enumeration_population_census;source_categories_as_published;not_indicated_in_denominator;exact_municipality_national_headline_reconciliation;current_2025_boundary_frame;no_cross_instrument_change_metric"
"LT","lt-municipality-2025-registers-centre","municipality","lt-municipality-2025-registers-centre:12","12","Birštono sav.",2001,5439,"Full-enumeration population census municipality total; Nenurodyta remains in the denominator.",5148,94.6498,218,4.0081,,,,121.7239,,,"osp-s3r778-gbs010306-1-religion-municipality-2001-2021|lt-registers-centre-address-register-municipalities-2025","census_affiliation;full_enumeration_population_census;source_categories_as_published;not_indicated_in_denominator;exact_municipality_national_headline_reconciliation;current_2025_boundary_frame;no_cross_instrument_change_metric"
"LT","lt-municipality-2025-registers-centre","municipality","lt-municipality-2025-registers-centre:13","13","Vilniaus m. sav.",2001,553904,"Full-enumeration population census municipality total; Nenurodyta remains in the denominator.",434650,78.4703,71526,12.9131,,,,400.4471,,,"osp-s3r778-gbs010306-1-religion-municipality-2001-2021|lt-registers-centre-address-register-municipalities-2025","census_affiliation;full_enumeration_population_census;source_categories_as_published;not_indicated_in_denominator;exact_municipality_national_headline_reconciliation;current_2025_boundary_frame;no_cross_instrument_change_metric"
"LT","lt-municipality-2025-registers-centre","municipality","lt-municipality-2025-registers-centre:15","15","Druskininkų sav.",2001,25440,"Full-enumeration population census municipality total; Nenurodyta remains in the denominator.",22731,89.3514,1165,4.5794,,,,453.0128,,,"osp-s3r778-gbs010306-1-religion-municipality-2001-2021|lt-registers-centre-address-register-municipalities-2025","census_affiliation;full_enumeration_population_census;source_categories_as_published;not_indicated_in_denominator;exact_municipality_national_headline_reconciliation;current_2025_boundary_frame;no_cross_instrument_change_metric"
"LT","lt-municipality-2025-registers-centre","municipality","lt-municipality-2025-registers-centre:18","18","Marijampolės sav.",2001,70823,"Full-enumeration population census municipality total; Nenurodyta remains in the denominator.",62864,88.7621,5201,7.3437,,,,754.8652,,,"osp-s3r778-gbs010306-1-religion-municipality-2001-2021|lt-registers-centre-address-register-municipalities-2025","census_affiliation;full_enumeration_population_census;source_categories_as_published;not_indicated_in_denominator;exact_municipality_national_headline_reconciliation;current_2025_boundary_frame;no_cross_instrument_change_metric"
"LT","lt-municipality-2025-registers-centre","municipality","lt-municipality-2025-registers-centre:19","19","Kauno m. sav.",2001,378943,"Full-enumeration population census municipality total; Nenurodyta remains in the denominator.",306350,80.8433,33655,8.8813,,,,156.8849,,,"osp-s3r778-gbs010306-1-religion-municipality-2001-2021|lt-registers-centre-address-register-municipalities-2025","census_affiliation;full_enumeration_population_census;source_categories_as_published;not_indicated_in_denominator;exact_municipality_national_headline_reconciliation;current_2025_boundary_frame;no_cross_instrument_change_metric"
"LT","lt-municipality-2025-registers-centre","municipality","lt-municipality-2025-registers-centre:21","21","Klaipėdos m. sav.",2001,192954,"Full-enumeration population census municipality total; Nenurodyta remains in the denominator.",149784,77.6268,29914,15.5032,,,,97.9516,,,"osp-s3r778-gbs010306-1-religion-municipality-2001-2021|lt-registers-centre-address-register-municipalities-2025","census_affiliation;full_enumeration_population_census;source_categories_as_published;not_indicated_in_denominator;exact_municipality_national_headline_reconciliation;current_2025_boundary_frame;no_cross_instrument_change_metric"
"LT","lt-municipality-2025-registers-centre","municipality","lt-municipality-2025-registers-centre:23","23","Neringos sav.",2001,2386,"Full-enumeration population census municipality total; Nenurodyta remains in the denominator.",1992,83.487,332,13.9145,,,,138.7677,,,"osp-s3r778-gbs010306-1-religion-municipality-2001-2021|lt-registers-centre-address-register-municipalities-2025","census_affiliation;full_enumeration_population_census;source_categories_as_published;not_indicated_in_denominator;exact_municipality_national_headline_reconciliation;current_2025_boundary_frame;no_cross_instrument_change_metric"
"LT","lt-municipality-2025-registers-centre","municipality","lt-municipality-2025-registers-centre:25","25","Palangos m. sav.",2001,17623,"Full-enumeration population census municipality total; Nenurodyta remains in the denominator.",14612,82.9144,1663,9.4365,,,,79.1099,,,"osp-s3r778-gbs010306-1-religion-municipality-2001-2021|lt-registers-centre-address-register-municipalities-2025","census_affiliation;full_enumeration_population_census;source_categories_as_published;not_indicated_in_denominator;exact_municipality_national_headline_reconciliation;current_2025_boundary_frame;no_cross_instrument_change_metric"
"LT","lt-municipality-2025-registers-centre","municipality","lt-municipality-2025-registers-centre:27","27","Panevėžio m. sav.",2001,119749,"Full-enumeration population census municipality total; Nenurodyta remains in the denominator.",97676,81.5673,12973,10.8335,,,,50.1123,,,"osp-s3r778-gbs010306-1-religion-municipality-2001-2021|lt-registers-centre-address-register-municipalities-2025","census_affiliation;full_enumeration_population_census;source_categories_as_published;not_indicated_in_denominator;exact_municipality_national_headline_reconciliation;current_2025_boundary_frame;no_cross_instrument_change_metric"
