"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"MD","md-raion-geoboundaries-adm1","raion","md-raion-geoboundaries-adm1:chisinau","chisinau","Mun. Chişinău",2004,712218,"2004 Population Census of Moldova, Volume I, Table 5.2 (Populaţia după religie, în profil teritorial), whole enumerated resident population of all ages as of 5 October 2004; the denominator is the printed unit total. Right bank only ('cu excepţia raioanelor de Est şi a municipiului Bender'). Affiliation = total - Atei - Fără religie - Nedeclarată; no-religion = Atei + Fără religie; Nedeclarată stays in the denominator, outside both slots.",647716,90.9435,20467,2.8737,,,,569.9177,,,"md-census-2004-vol1-table5-2-religion-by-territory|geoboundaries-mda-adm1-2020","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_declared_religion_share;raion_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;fine_category_cross_wave_change_withheld;right_bank_only_transnistria_and_bender_not_enumerated;census_licence_open_reuse_with_attribution_cc_by_4_0"
"MD","md-raion-geoboundaries-adm1","raion","md-raion-geoboundaries-adm1:balti","balti","Mun. Bălţi",2004,127561,"2004 Population Census of Moldova, Volume I, Table 5.2 (Populaţia după religie, în profil teritorial), whole enumerated resident population of all ages as of 5 October 2004; the denominator is the printed unit total. Right bank only ('cu excepţia raioanelor de Est şi a municipiului Bender'). Affiliation = total - Atei - Fără religie - Nedeclarată; no-religion = Atei + Fără religie; Nedeclarată stays in the denominator, outside both slots.",118520,92.9124,3848,3.0166,,,,77.9128,,,"md-census-2004-vol1-table5-2-religion-by-territory|geoboundaries-mda-adm1-2020","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_declared_religion_share;raion_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;fine_category_cross_wave_change_withheld;right_bank_only_transnistria_and_bender_not_enumerated;census_licence_open_reuse_with_attribution_cc_by_4_0"
"MD","md-raion-geoboundaries-adm1","raion","md-raion-geoboundaries-adm1:anenii_noi","anenii_noi","Anenii Noi",2004,81710,"2004 Population Census of Moldova, Volume I, Table 5.2 (Populaţia după religie, în profil teritorial), whole enumerated resident population of all ages as of 5 October 2004; the denominator is the printed unit total. Right bank only ('cu excepţia raioanelor de Est şi a municipiului Bender'). Affiliation = total - Atei - Fără religie - Nedeclarată; no-religion = Atei + Fără religie; Nedeclarată stays in the denominator, outside both slots.",79482,97.2733,1035,1.2667,,,,887.5501,,,"md-census-2004-vol1-table5-2-religion-by-territory|geoboundaries-mda-adm1-2020","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_declared_religion_share;raion_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;fine_category_cross_wave_change_withheld;right_bank_only_transnistria_and_bender_not_enumerated;census_licence_open_reuse_with_attribution_cc_by_4_0"
"MD","md-raion-geoboundaries-adm1","raion","md-raion-geoboundaries-adm1:basarabeasca","basarabeasca","Basarabeasca",2004,28978,"2004 Population Census of Moldova, Volume I, Table 5.2 (Populaţia după religie, în profil teritorial), whole enumerated resident population of all ages as of 5 October 2004; the denominator is the printed unit total. Right bank only ('cu excepţia raioanelor de Est şi a municipiului Bender'). Affiliation = total - Atei - Fără religie - Nedeclarată; no-religion = Atei + Fără religie; Nedeclarată stays in the denominator, outside both slots.",28319,97.7259,326,1.125,,,,294.8294,,,"md-census-2004-vol1-table5-2-religion-by-territory|geoboundaries-mda-adm1-2020","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_declared_religion_share;raion_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;fine_category_cross_wave_change_withheld;right_bank_only_transnistria_and_bender_not_enumerated;census_licence_open_reuse_with_attribution_cc_by_4_0;small_cell_under_10"
"MD","md-raion-geoboundaries-adm1","raion","md-raion-geoboundaries-adm1:briceni","briceni","Briceni",2004,78027,"2004 Population Census of Moldova, Volume I, Table 5.2 (Populaţia după religie, în profil teritorial), whole enumerated resident population of all ages as of 5 October 2004; the denominator is the printed unit total. Right bank only ('cu excepţia raioanelor de Est şi a municipiului Bender'). Affiliation = total - Atei - Fără religie - Nedeclarată; no-religion = Atei + Fără religie; Nedeclarată stays in the denominator, outside both slots.",71615,91.7823,3401,4.3587,,,,816.8248,,,"md-census-2004-vol1-table5-2-religion-by-territory|geoboundaries-mda-adm1-2020","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_declared_religion_share;raion_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;fine_category_cross_wave_change_withheld;right_bank_only_transnistria_and_bender_not_enumerated;census_licence_open_reuse_with_attribution_cc_by_4_0;small_cell_under_10"
"MD","md-raion-geoboundaries-adm1","raion","md-raion-geoboundaries-adm1:cahul","cahul","Cahul",2004,119231,"2004 Population Census of Moldova, Volume I, Table 5.2 (Populaţia după religie, în profil teritorial), whole enumerated resident population of all ages as of 5 October 2004; the denominator is the printed unit total. Right bank only ('cu excepţia raioanelor de Est şi a municipiului Bender'). Affiliation = total - Atei - Fără religie - Nedeclarată; no-religion = Atei + Fără religie; Nedeclarată stays in the denominator, outside both slots.",113234,94.9703,3282,2.7526,,,,1546.1384,,,"md-census-2004-vol1-table5-2-religion-by-territory|geoboundaries-mda-adm1-2020","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_declared_religion_share;raion_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;fine_category_cross_wave_change_withheld;right_bank_only_transnistria_and_bender_not_enumerated;census_licence_open_reuse_with_attribution_cc_by_4_0"
"MD","md-raion-geoboundaries-adm1","raion","md-raion-geoboundaries-adm1:cantemir","cantemir","Cantemir",2004,60001,"2004 Population Census of Moldova, Volume I, Table 5.2 (Populaţia după religie, în profil teritorial), whole enumerated resident population of all ages as of 5 October 2004; the denominator is the printed unit total. Right bank only ('cu excepţia raioanelor de Est şi a municipiului Bender'). Affiliation = total - Atei - Fără religie - Nedeclarată; no-religion = Atei + Fără religie; Nedeclarată stays in the denominator, outside both slots.",59174,98.6217,492,0.82,,,,868.1708,,,"md-census-2004-vol1-table5-2-religion-by-territory|geoboundaries-mda-adm1-2020","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_declared_religion_share;raion_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;fine_category_cross_wave_change_withheld;right_bank_only_transnistria_and_bender_not_enumerated;census_licence_open_reuse_with_attribution_cc_by_4_0;small_cell_under_10"
"MD","md-raion-geoboundaries-adm1","raion","md-raion-geoboundaries-adm1:calarasi","calarasi","Călăraşi",2004,75075,"2004 Population Census of Moldova, Volume I, Table 5.2 (Populaţia după religie, în profil teritorial), whole enumerated resident population of all ages as of 5 October 2004; the denominator is the printed unit total. Right bank only ('cu excepţia raioanelor de Est şi a municipiului Bender'). Affiliation = total - Atei - Fără religie - Nedeclarată; no-religion = Atei + Fără religie; Nedeclarată stays in the denominator, outside both slots.",74201,98.8358,271,0.361,,,,751.9519,,,"md-census-2004-vol1-table5-2-religion-by-territory|geoboundaries-mda-adm1-2020","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_declared_religion_share;raion_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;fine_category_cross_wave_change_withheld;right_bank_only_transnistria_and_bender_not_enumerated;census_licence_open_reuse_with_attribution_cc_by_4_0;small_cell_under_10"
"MD","md-raion-geoboundaries-adm1","raion","md-raion-geoboundaries-adm1:causeni","causeni","Căuşeni",2004,90612,"2004 Population Census of Moldova, Volume I, Table 5.2 (Populaţia după religie, în profil teritorial), whole enumerated resident population of all ages as of 5 October 2004; the denominator is the printed unit total. Right bank only ('cu excepţia raioanelor de Est şi a municipiului Bender'). Affiliation = total - Atei - Fără religie - Nedeclarată; no-religion = Atei + Fără religie; Nedeclarată stays in the denominator, outside both slots.",89673,98.9637,430,0.4746,,,,1314.296,,,"md-census-2004-vol1-table5-2-religion-by-territory|geoboundaries-mda-adm1-2020","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_declared_religion_share;raion_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;fine_category_cross_wave_change_withheld;right_bank_only_transnistria_and_bender_not_enumerated;census_licence_open_reuse_with_attribution_cc_by_4_0;territorial_scope=causeni_enumerated_in_controlled_part_only_left_bank_localities_cremenciug_and_gisca_not_enumerated_polygon_spans_full_extent;small_cell_under_10"
"MD","md-raion-geoboundaries-adm1","raion","md-raion-geoboundaries-adm1:cimislia","cimislia","Cimişlia",2004,60925,"2004 Population Census of Moldova, Volume I, Table 5.2 (Populaţia după religie, în profil teritorial), whole enumerated resident population of all ages as of 5 October 2004; the denominator is the printed unit total. Right bank only ('cu excepţia raioanelor de Est şi a municipiului Bender'). Affiliation = total - Atei - Fără religie - Nedeclarată; no-religion = Atei + Fără religie; Nedeclarată stays in the denominator, outside both slots.",59898,98.3143,514,0.8437,,,,923.7145,,,"md-census-2004-vol1-table5-2-religion-by-territory|geoboundaries-mda-adm1-2020","census_affiliation;whole_enumerated_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_declared_religion_share;raion_frame_stable_across_waves;category_frames_differ_per_wave_no_cross_wave_category_change;fine_category_cross_wave_change_withheld;right_bank_only_transnistria_and_bender_not_enumerated;census_licence_open_reuse_with_attribution_cc_by_4_0;small_cell_under_10"
