"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"ME","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved","municipality","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved:andrijevica","andrijevica","Andrijevica",2003,5785,"MONSTAT census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora.",5655,97.7528,6,0.1037,,,,343.9897,,,"monstat-census-religion-municipality-2003-2023|geoboundaries-mne-adm1-dissolved-21","full_enumeration_census_affiliation;total_population_denominator;exact_within_and_national_reconciliation;This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora."
"ME","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved","municipality","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved:bar","bar","Bar",2003,40037,"MONSTAT census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora.",38184,95.3718,417,1.0415,,,,627.2186,,,"monstat-census-religion-municipality-2003-2023|geoboundaries-mne-adm1-dissolved-21","full_enumeration_census_affiliation;total_population_denominator;exact_within_and_national_reconciliation;This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora."
"ME","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved","municipality","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved:berane","berane","Berane",2003,35068,"MONSTAT census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora.",34158,97.405,117,0.3336,,,,708.3376,,,"monstat-census-religion-municipality-2003-2023|geoboundaries-mne-adm1-dissolved-21","full_enumeration_census_affiliation;total_population_denominator;exact_within_and_national_reconciliation;This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora."
"ME","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved","municipality","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved:bijelo_polje","bijelo_polje","Bijelo Polje",2003,50284,"MONSTAT census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora.",49248,97.9397,100,0.1989,,,,955.3643,,,"monstat-census-religion-municipality-2003-2023|geoboundaries-mne-adm1-dissolved-21","full_enumeration_census_affiliation;total_population_denominator;exact_within_and_national_reconciliation;This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora."
"ME","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved","municipality","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved:budva","budva","Budva",2003,15909,"MONSTAT census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora.",14959,94.0285,267,1.6783,,,,112.8501,,,"monstat-census-religion-municipality-2003-2023|geoboundaries-mne-adm1-dissolved-21","full_enumeration_census_affiliation;total_population_denominator;exact_within_and_national_reconciliation;This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora."
"ME","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved","municipality","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved:cetinje","cetinje","Cetinje",2003,18482,"MONSTAT census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora.",17792,96.2666,150,0.8116,,,,915.3916,,,"monstat-census-religion-municipality-2003-2023|geoboundaries-mne-adm1-dissolved-21","full_enumeration_census_affiliation;total_population_denominator;exact_within_and_national_reconciliation;This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora."
"ME","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved","municipality","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved:danilovgrad","danilovgrad","Danilovgrad",2003,16523,"MONSTAT census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora.",16031,97.0223,80,0.4842,,,,528.0448,,,"monstat-census-religion-municipality-2003-2023|geoboundaries-mne-adm1-dissolved-21","full_enumeration_census_affiliation;total_population_denominator;exact_within_and_national_reconciliation;This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora."
"ME","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved","municipality","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved:herceg_novi","herceg_novi","Herceg Novi",2003,33034,"MONSTAT census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora.",30076,91.0456,770,2.3309,,,,233.7834,,,"monstat-census-religion-municipality-2003-2023|geoboundaries-mne-adm1-dissolved-21","full_enumeration_census_affiliation;total_population_denominator;exact_within_and_national_reconciliation;This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora."
"ME","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved","municipality","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved:kolasin","kolasin","Kolašin",2003,9949,"MONSTAT census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora.",9722,97.7184,46,0.4624,,,,884.9965,,,"monstat-census-religion-municipality-2003-2023|geoboundaries-mne-adm1-dissolved-21","full_enumeration_census_affiliation;total_population_denominator;exact_within_and_national_reconciliation;This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora."
"ME","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved","municipality","me-municipality-2003-2011-frame-geoboundaries-adm1-dissolved:kotor","kotor","Kotor",2003,22947,"MONSTAT census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora.",21170,92.2561,430,1.8739,,,,294.847,,,"monstat-census-religion-municipality-2003-2023|geoboundaries-mne-adm1-dissolved-21","full_enumeration_census_affiliation;total_population_denominator;exact_within_and_national_reconciliation;This product follows the territorial coverage published by the Statistical Office of Montenegro (MONSTAT). The stable frame is the 21-municipality administrative division in force for the 2003 and 2011 censuses. The 2023 census reports 25 municipalities; the four units created after 2011 are summed back into their historical parents as complete partitions: Petnjica into Berane (created 2013), Gusinje into Plav (2014), and Tuzi (2018) and Zeta (2024) into Podgorica. In 2003 Montenegro was a constituent republic of the State Union of Serbia and Montenegro; the source reports it as Republika Crna Gora."
