"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"MH","mh-atoll-2017-geoboundaries-adm1","atoll","mh-atoll-2017-geoboundaries-adm1:ailinglaplap","ailinglaplap","Ailinglaplap",2021,1172,"2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).",1172,100,0,0,,,,11.3011,,,"mh-census-2021-vol1-table-9-religion|geoboundaries-mhl-adm1-2017","census_affiliation;all_persons_all_ages_universe;denominator_resident_population_atoll_total;affiliation=sum_of_fifteen_religious_categories;no_religion=none_line_only_no_separate_refused_or_notstated;single_wave_2021;source_frame_2021_sixteen_category;licence_needs_review_pending_pi_ruling_eppso_spc_partial_reproduction_clause;boundary_odbl_1_0"
"MH","mh-atoll-2017-geoboundaries-adm1","atoll","mh-atoll-2017-geoboundaries-adm1:ailuk","ailuk","Ailuk",2021,235,"2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).",235,100,0,0,,,,3302.5631,,,"mh-census-2021-vol1-table-9-religion|geoboundaries-mhl-adm1-2017","census_affiliation;all_persons_all_ages_universe;denominator_resident_population_atoll_total;affiliation=sum_of_fifteen_religious_categories;no_religion=none_line_only_no_separate_refused_or_notstated;single_wave_2021;source_frame_2021_sixteen_category;licence_needs_review_pending_pi_ruling_eppso_spc_partial_reproduction_clause;boundary_odbl_1_0"
"MH","mh-atoll-2017-geoboundaries-adm1","atoll","mh-atoll-2017-geoboundaries-adm1:arno","arno","Arno",2021,1140,"2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).",1129,99.0351,11,0.9649,,,,11.7662,,,"mh-census-2021-vol1-table-9-religion|geoboundaries-mhl-adm1-2017","census_affiliation;all_persons_all_ages_universe;denominator_resident_population_atoll_total;affiliation=sum_of_fifteen_religious_categories;no_religion=none_line_only_no_separate_refused_or_notstated;single_wave_2021;source_frame_2021_sixteen_category;licence_needs_review_pending_pi_ruling_eppso_spc_partial_reproduction_clause;boundary_odbl_1_0"
"MH","mh-atoll-2017-geoboundaries-adm1","atoll","mh-atoll-2017-geoboundaries-adm1:aur","aur","Aur",2021,317,"2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).",316,99.6845,1,0.3155,,,,1.3451,,,"mh-census-2021-vol1-table-9-religion|geoboundaries-mhl-adm1-2017","census_affiliation;all_persons_all_ages_universe;denominator_resident_population_atoll_total;affiliation=sum_of_fifteen_religious_categories;no_religion=none_line_only_no_separate_refused_or_notstated;single_wave_2021;source_frame_2021_sixteen_category;licence_needs_review_pending_pi_ruling_eppso_spc_partial_reproduction_clause;boundary_odbl_1_0"
"MH","mh-atoll-2017-geoboundaries-adm1","atoll","mh-atoll-2017-geoboundaries-adm1:bikini","bikini","Bikini",2021,0,"2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).",0,,0,,,,,,,,"mh-census-2021-vol1-table-9-religion|geoboundaries-mhl-adm1-2017","census_affiliation;all_persons_all_ages_universe;denominator_resident_population_atoll_total;affiliation=sum_of_fifteen_religious_categories;no_religion=none_line_only_no_separate_refused_or_notstated;single_wave_2021;source_frame_2021_sixteen_category;licence_needs_review_pending_pi_ruling_eppso_spc_partial_reproduction_clause;boundary_odbl_1_0;zero_population_atoll;no_boundary_feature_map_join_excludes_bikini;shares_null_zero_denominator"
"MH","mh-atoll-2017-geoboundaries-adm1","atoll","mh-atoll-2017-geoboundaries-adm1:ebon","ebon","Ebon",2021,469,"2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).",468,99.7868,1,0.2132,,,,4.2301,,,"mh-census-2021-vol1-table-9-religion|geoboundaries-mhl-adm1-2017","census_affiliation;all_persons_all_ages_universe;denominator_resident_population_atoll_total;affiliation=sum_of_fifteen_religious_categories;no_religion=none_line_only_no_separate_refused_or_notstated;single_wave_2021;source_frame_2021_sixteen_category;licence_needs_review_pending_pi_ruling_eppso_spc_partial_reproduction_clause;boundary_odbl_1_0"
"MH","mh-atoll-2017-geoboundaries-adm1","atoll","mh-atoll-2017-geoboundaries-adm1:enewetak","enewetak","Enewetak",2021,296,"2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).",294,99.3243,2,0.6757,,,,3.3962,,,"mh-census-2021-vol1-table-9-religion|geoboundaries-mhl-adm1-2017","census_affiliation;all_persons_all_ages_universe;denominator_resident_population_atoll_total;affiliation=sum_of_fifteen_religious_categories;no_religion=none_line_only_no_separate_refused_or_notstated;single_wave_2021;source_frame_2021_sixteen_category;licence_needs_review_pending_pi_ruling_eppso_spc_partial_reproduction_clause;boundary_odbl_1_0"
"MH","mh-atoll-2017-geoboundaries-adm1","atoll","mh-atoll-2017-geoboundaries-adm1:jabat","jabat","Jabat",2021,75,"2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).",75,100,0,0,,,,1100.5233,,,"mh-census-2021-vol1-table-9-religion|geoboundaries-mhl-adm1-2017","census_affiliation;all_persons_all_ages_universe;denominator_resident_population_atoll_total;affiliation=sum_of_fifteen_religious_categories;no_religion=none_line_only_no_separate_refused_or_notstated;single_wave_2021;source_frame_2021_sixteen_category;licence_needs_review_pending_pi_ruling_eppso_spc_partial_reproduction_clause;boundary_odbl_1_0"
"MH","mh-atoll-2017-geoboundaries-adm1","atoll","mh-atoll-2017-geoboundaries-adm1:jaluit","jaluit","Jaluit",2021,1058,"2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).",1058,100,0,0,,,,17.7132,,,"mh-census-2021-vol1-table-9-religion|geoboundaries-mhl-adm1-2017","census_affiliation;all_persons_all_ages_universe;denominator_resident_population_atoll_total;affiliation=sum_of_fifteen_religious_categories;no_religion=none_line_only_no_separate_refused_or_notstated;single_wave_2021;source_frame_2021_sixteen_category;licence_needs_review_pending_pi_ruling_eppso_spc_partial_reproduction_clause;boundary_odbl_1_0"
"MH","mh-atoll-2017-geoboundaries-adm1","atoll","mh-atoll-2017-geoboundaries-adm1:kili","kili","Kili",2021,415,"2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).",415,100,0,0,,,,3.5375,,,"mh-census-2021-vol1-table-9-religion|geoboundaries-mhl-adm1-2017","census_affiliation;all_persons_all_ages_universe;denominator_resident_population_atoll_total;affiliation=sum_of_fifteen_religious_categories;no_religion=none_line_only_no_separate_refused_or_notstated;single_wave_2021;source_frame_2021_sixteen_category;licence_needs_review_pending_pi_ruling_eppso_spc_partial_reproduction_clause;boundary_odbl_1_0"
