"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:aerodrom","aerodrom","Aerodrom",2021,77735,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",70555,90.7635,1525,1.9618,,,,21.1658,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=57492;Муслимани (ислам)=2184;Католици=455;Христијани=10096;Протестанти=76;Евангелисти=44;Евангелисти-методисти=24;Јеховини сведоци=44;Друго=140;Не е верник (атеист)=1525;Не се изјаснил=303;Непознато=104;Лица за кои податоците се преземени од административни извори=5248"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:arachinovo","arachinovo","Arachinovo",2021,12676,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",12366,97.5544,0,0,,,,31.6002,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=1;Муслимани (ислам)=12363;Католици=1;Христијани=0;Протестанти=0;Евангелисти=0;Евангелисти-методисти=0;Јеховини сведоци=0;Друго=1;Не е верник (атеист)=0;Не се изјаснил=0;Непознато=0;Лица за кои податоците се преземени од административни извори=310"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:berovo","berovo","Berovo",2021,10890,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",10377,95.2893,8,0.0735,,,,597.9621,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=6272;Муслимани (ислам)=514;Католици=4;Христијани=3575;Протестанти=2;Евангелисти=1;Евангелисти-методисти=0;Јеховини сведоци=9;Друго=0;Не е верник (атеист)=8;Не се изјаснил=1;Непознато=2;Лица за кои податоците се преземени од административни извори=502"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:bitola","bitola","Bitola",2021,85164,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",79203,93.0006,357,0.4192,,,,789.547,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=57143;Муслимани (ислам)=8232;Католици=193;Христијани=13496;Протестанти=28;Евангелисти=8;Евангелисти-методисти=1;Јеховини сведоци=36;Друго=66;Не е верник (атеист)=357;Не се изјаснил=72;Непознато=27;Лица за кои податоците се преземени од административни извори=5505"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:bogdanci","bogdanci","Bogdanci",2021,7339,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",7017,95.6125,16,0.218,,,,114.0396,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=5477;Муслимани (ислам)=52;Католици=152;Христијани=1321;Протестанти=6;Евангелисти=2;Евангелисти-методисти=0;Јеховини сведоци=2;Друго=5;Не е верник (атеист)=16;Не се изјаснил=10;Непознато=1;Лица за кои податоците се преземени од административни извори=295"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:bogovinje","bogovinje","Bogovinje",2021,22906,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",21335,93.1415,1,0.0044,,,,141.6374,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=3;Муслимани (ислам)=21329;Католици=2;Христијани=0;Протестанти=1;Евангелисти=0;Евангелисти-методисти=0;Јеховини сведоци=0;Друго=0;Не е верник (атеист)=1;Не се изјаснил=2;Непознато=1;Лица за кои податоците се преземени од административни извори=1567"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:bosilovo","bosilovo","Bosilovo",2021,11508,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",10472,90.9976,11,0.0956,,,,161.6924,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=6748;Муслимани (ислам)=702;Католици=927;Христијани=1919;Протестанти=17;Евангелисти=16;Евангелисти-методисти=141;Јеховини сведоци=2;Друго=0;Не е верник (атеист)=11;Не се изјаснил=0;Непознато=0;Лица за кои податоците се преземени од административни извори=1025"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:brvenica","brvenica","Brvenica",2021,13645,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",13165,96.4822,2,0.0147,,,,164.9282,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=5571;Муслимани (ислам)=7386;Католици=28;Христијани=173;Протестанти=1;Евангелисти=0;Евангелисти-методисти=0;Јеховини сведоци=3;Друго=3;Не е верник (атеист)=2;Не се изјаснил=0;Непознато=1;Лица за кои податоците се преземени од административни извори=477"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:butel","butel","Butel",2021,37968,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",35101,92.4489,157,0.4135,,,,54.3909,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=13564;Муслимани (ислам)=17438;Католици=89;Христијани=3936;Протестанти=4;Евангелисти=14;Евангелисти-методисти=11;Јеховини сведоци=12;Друго=33;Не е верник (атеист)=157;Не се изјаснил=31;Непознато=26;Лица за кои податоците се преземени од административни извори=2653"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:centar","centar","Centar",2021,43893,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",36390,82.9062,1957,4.4586,,,,7.0328,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=29412;Муслимани (ислам)=2507;Католици=324;Христијани=3941;Протестанти=35;Евангелисти=34;Евангелисти-методисти=17;Јеховини сведоци=25;Друго=95;Не е верник (атеист)=1957;Не се изјаснил=406;Непознато=127;Лица за кои податоците се преземени од административни извори=5013"
"MK","mk-municipality-2021-ocha-codab-adm2","municipality","mk-municipality-2021-ocha-codab-adm2:centar_zhupa","centar_zhupa","Centar Zhupa",2021,3720,"2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.",3365,90.457,0,0,,,,103.3835,,,"mk-census-2021-book-t06-religion-by-municipality|ocha-codab-mkd-adm2-2025","census_affiliation;total_resident_population_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_non_believer_atheist_line_only;undeclared_unknown_admin_sources_residuals_in_denominator_neither_slot;administratively_sourced_component_rendered_as_published_never_repaired;shares_need_not_sum_to_100;single_wave_2002_held_frame_break_no_cross_wave_change;sso_copyright_ships_with_attribution_courtesy_ask_recorded;source_categories_verbatim=Православни=18;Муслимани (ислам)=3346;Католици=1;Христијани=0;Протестанти=0;Евангелисти=0;Евангелисти-методисти=0;Јеховини сведоци=0;Друго=0;Не е верник (атеист)=0;Не се изјаснил=0;Непознато=1;Лица за кои податоците се преземени од административни извори=354"
