"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"MM","mm-state-region-2014-ocha-codab-adm1","state_region","mm-state-region-2014-ocha-codab-adm1:kachin","kachin","Kachin",2014,1642841,"2014 Myanmar Census, Union Report Volume 2-C (Religion), Table 1: printed ENUMERATED state/region total. The denominator is the enumerated population. The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share. This state/region has a non-enumerated population; see the disclosure.",1642620,99.9865,221,0.0135,,,,88977.6261,,,"mm-census-2014-union-report-2c-religion-table1-state-region|ocha-codab-mmr-adm1-mimu","census_affiliation;enumerated_population_count_basis;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share_enumerated;no_religion_percent_is_no_religion_category_enumerated;seven_categories_sum_exactly_to_enumerated_total_no_residual;estimated_non_enumerated_disclosed_context_never_blended;estimated_total_presentation_union_level_only_see_manifest;change_withhold_2014_vs_2024_frame_and_universe_break;census_licence_bare_copyright_attribution_derived_rates_staged;estimated_non_enumerated=46600;non_enumeration_affected=true;source_categories_verbatim=Buddhist=1050610;Christian=555037;Islam=26789;Hindu=5738;Animist=3972;Other religion=474;No religion=221;non_enumeration_note=The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share."
"MM","mm-state-region-2014-ocha-codab-adm1","state_region","mm-state-region-2014-ocha-codab-adm1:kayah","kayah","Kayah",2014,286627,"2014 Myanmar Census, Union Report Volume 2-C (Religion), Table 1: printed ENUMERATED state/region total. The denominator is the enumerated population. The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share.",286568,99.9794,59,0.0206,,,,11763.8419,,,"mm-census-2014-union-report-2c-religion-table1-state-region|ocha-codab-mmr-adm1-mimu","census_affiliation;enumerated_population_count_basis;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share_enumerated;no_religion_percent_is_no_religion_category_enumerated;seven_categories_sum_exactly_to_enumerated_total_no_residual;estimated_non_enumerated_disclosed_context_never_blended;estimated_total_presentation_union_level_only_see_manifest;change_withhold_2014_vs_2024_frame_and_universe_break;census_licence_bare_copyright_attribution_derived_rates_staged;estimated_non_enumerated=0;non_enumeration_affected=false;source_categories_verbatim=Buddhist=142896;Christian=131237;Islam=3197;Hindu=269;Animist=5518;Other religion=3451;No religion=59"
"MM","mm-state-region-2014-ocha-codab-adm1","state_region","mm-state-region-2014-ocha-codab-adm1:kayin","kayin","Kayin",2014,1504326,"2014 Myanmar Census, Union Report Volume 2-C (Religion), Table 1: printed ENUMERATED state/region total. The denominator is the enumerated population. The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share. This state/region has a non-enumerated population; see the disclosure.",1504219,99.9929,107,0.0071,,,,30346.8291,,,"mm-census-2014-union-report-2c-religion-table1-state-region|ocha-codab-mmr-adm1-mimu","census_affiliation;enumerated_population_count_basis;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share_enumerated;no_religion_percent_is_no_religion_category_enumerated;seven_categories_sum_exactly_to_enumerated_total_no_residual;estimated_non_enumerated_disclosed_context_never_blended;estimated_total_presentation_union_level_only_see_manifest;change_withhold_2014_vs_2024_frame_and_universe_break;census_licence_bare_copyright_attribution_derived_rates_staged;estimated_non_enumerated=69753;non_enumeration_affected=true;source_categories_verbatim=Buddhist=1271766;Christian=142875;Islam=68459;Hindu=9585;Animist=1340;Other religion=10194;No religion=107;non_enumeration_note=The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share."
"MM","mm-state-region-2014-ocha-codab-adm1","state_region","mm-state-region-2014-ocha-codab-adm1:chin","chin","Chin",2014,478801,"2014 Myanmar Census, Union Report Volume 2-C (Religion), Table 1: printed ENUMERATED state/region total. The denominator is the enumerated population. The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share.",478727,99.9845,74,0.0155,,,,36017.5453,,,"mm-census-2014-union-report-2c-religion-table1-state-region|ocha-codab-mmr-adm1-mimu","census_affiliation;enumerated_population_count_basis;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share_enumerated;no_religion_percent_is_no_religion_category_enumerated;seven_categories_sum_exactly_to_enumerated_total_no_residual;estimated_non_enumerated_disclosed_context_never_blended;estimated_total_presentation_union_level_only_see_manifest;change_withhold_2014_vs_2024_frame_and_universe_break;census_licence_bare_copyright_attribution_derived_rates_staged;estimated_non_enumerated=0;non_enumeration_affected=false;source_categories_verbatim=Buddhist=62079;Christian=408730;Islam=690;Hindu=106;Animist=1830;Other religion=5292;No religion=74"
"MM","mm-state-region-2014-ocha-codab-adm1","state_region","mm-state-region-2014-ocha-codab-adm1:sagaing","sagaing","Sagaing",2014,5325347,"2014 Myanmar Census, Union Report Volume 2-C (Religion), Table 1: printed ENUMERATED state/region total. The denominator is the enumerated population. The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share.",5324134,99.9772,1213,0.0228,,,,93616.9488,,,"mm-census-2014-union-report-2c-religion-table1-state-region|ocha-codab-mmr-adm1-mimu","census_affiliation;enumerated_population_count_basis;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share_enumerated;no_religion_percent_is_no_religion_category_enumerated;seven_categories_sum_exactly_to_enumerated_total_no_residual;estimated_non_enumerated_disclosed_context_never_blended;estimated_total_presentation_union_level_only_see_manifest;change_withhold_2014_vs_2024_frame_and_universe_break;census_licence_bare_copyright_attribution_derived_rates_staged;estimated_non_enumerated=0;non_enumeration_affected=false;source_categories_verbatim=Buddhist=4909960;Christian=349377;Islam=58987;Hindu=2793;Animist=89;Other religion=2928;No religion=1213"
"MM","mm-state-region-2014-ocha-codab-adm1","state_region","mm-state-region-2014-ocha-codab-adm1:tanintharyi","tanintharyi","Tanintharyi",2014,1408401,"2014 Myanmar Census, Union Report Volume 2-C (Religion), Table 1: printed ENUMERATED state/region total. The denominator is the enumerated population. The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share.",1408080,99.9772,321,0.0228,,,,41132.5192,,,"mm-census-2014-union-report-2c-religion-table1-state-region|ocha-codab-mmr-adm1-mimu","census_affiliation;enumerated_population_count_basis;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share_enumerated;no_religion_percent_is_no_religion_category_enumerated;seven_categories_sum_exactly_to_enumerated_total_no_residual;estimated_non_enumerated_disclosed_context_never_blended;estimated_total_presentation_union_level_only_see_manifest;change_withhold_2014_vs_2024_frame_and_universe_break;census_licence_bare_copyright_attribution_derived_rates_staged;estimated_non_enumerated=0;non_enumeration_affected=false;source_categories_verbatim=Buddhist=1231719;Christian=100758;Islam=72074;Hindu=2386;Animist=576;Other religion=567;No religion=321"
"MM","mm-state-region-2014-ocha-codab-adm1","state_region","mm-state-region-2014-ocha-codab-adm1:bago","bago","Bago",2014,4867373,"2014 Myanmar Census, Union Report Volume 2-C (Religion), Table 1: printed ENUMERATED state/region total. The denominator is the enumerated population. The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share.",4867128,99.995,245,0.005,,,,38495.4615,,,"mm-census-2014-union-report-2c-religion-table1-state-region|ocha-codab-mmr-adm1-mimu","census_affiliation;enumerated_population_count_basis;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share_enumerated;no_religion_percent_is_no_religion_category_enumerated;seven_categories_sum_exactly_to_enumerated_total_no_residual;estimated_non_enumerated_disclosed_context_never_blended;estimated_total_presentation_union_level_only_see_manifest;change_withhold_2014_vs_2024_frame_and_universe_break;census_licence_bare_copyright_attribution_derived_rates_staged;estimated_non_enumerated=0;non_enumeration_affected=false;source_categories_verbatim=Buddhist=4550698;Christian=142528;Islam=56753;Hindu=100166;Animist=4296;Other religion=12687;No religion=245"
"MM","mm-state-region-2014-ocha-codab-adm1","state_region","mm-state-region-2014-ocha-codab-adm1:magway","magway","Magway",2014,3917055,"2014 Myanmar Census, Union Report Volume 2-C (Religion), Table 1: printed ENUMERATED state/region total. The denominator is the enumerated population. The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share.",3916780,99.993,275,0.007,,,,44846.8732,,,"mm-census-2014-union-report-2c-religion-table1-state-region|ocha-codab-mmr-adm1-mimu","census_affiliation;enumerated_population_count_basis;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share_enumerated;no_religion_percent_is_no_religion_category_enumerated;seven_categories_sum_exactly_to_enumerated_total_no_residual;estimated_non_enumerated_disclosed_context_never_blended;estimated_total_presentation_union_level_only_see_manifest;change_withhold_2014_vs_2024_frame_and_universe_break;census_licence_bare_copyright_attribution_derived_rates_staged;estimated_non_enumerated=0;non_enumeration_affected=false;source_categories_verbatim=Buddhist=3870316;Christian=27015;Islam=12311;Hindu=2318;Animist=3353;Other religion=1467;No religion=275"
"MM","mm-state-region-2014-ocha-codab-adm1","state_region","mm-state-region-2014-ocha-codab-adm1:mandalay","mandalay","Mandalay",2014,6165723,"2014 Myanmar Census, Union Report Volume 2-C (Religion), Table 1: printed ENUMERATED state/region total. The denominator is the enumerated population. The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share.",6165184,99.9913,539,0.0087,,,,30945.2335,,,"mm-census-2014-union-report-2c-religion-table1-state-region|ocha-codab-mmr-adm1-mimu","census_affiliation;enumerated_population_count_basis;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share_enumerated;no_religion_percent_is_no_religion_category_enumerated;seven_categories_sum_exactly_to_enumerated_total_no_residual;estimated_non_enumerated_disclosed_context_never_blended;estimated_total_presentation_union_level_only_see_manifest;change_withhold_2014_vs_2024_frame_and_universe_break;census_licence_bare_copyright_attribution_derived_rates_staged;estimated_non_enumerated=0;non_enumeration_affected=false;source_categories_verbatim=Buddhist=5898160;Christian=65061;Islam=187785;Hindu=11689;Animist=188;Other religion=2301;No religion=539"
"MM","mm-state-region-2014-ocha-codab-adm1","state_region","mm-state-region-2014-ocha-codab-adm1:mon","mon","Mon",2014,2054393,"2014 Myanmar Census, Union Report Volume 2-C (Religion), Table 1: printed ENUMERATED state/region total. The denominator is the enumerated population. The 2014 Census enumerated 50,279,900 persons. An estimated 1,090,000 persons in Rakhine State, 69,753 in Kayin State and 46,600 in Kachin State were not enumerated (1,206,353 in total, 2.3 per cent of the estimated overall population of 51,486,253). This product's counts and shares are the ENUMERATED population only (Part I of the Census Report Volume 2-C). The estimated non-enumerated population is carried as disclosed context and is never added into any state/region count or share.",2054252,99.9931,141,0.0069,,,,11445.4665,,,"mm-census-2014-union-report-2c-religion-table1-state-region|ocha-codab-mmr-adm1-mimu","census_affiliation;enumerated_population_count_basis;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share_enumerated;no_religion_percent_is_no_religion_category_enumerated;seven_categories_sum_exactly_to_enumerated_total_no_residual;estimated_non_enumerated_disclosed_context_never_blended;estimated_total_presentation_union_level_only_see_manifest;change_withhold_2014_vs_2024_frame_and_universe_break;census_licence_bare_copyright_attribution_derived_rates_staged;estimated_non_enumerated=0;non_enumeration_affected=false;source_categories_verbatim=Buddhist=1901667;Christian=10791;Islam=119086;Hindu=21076;Animist=109;Other religion=1523;No religion=141"
