"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","buddhism_count","christianity_count","islam_count","other_count"
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2025,,"No population denominator is used in this administrative-register product.",,,,,5,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",3,2,0,0
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2024,,"No population denominator is used in this administrative-register product.",,,,,5,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",3,2,0,0
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2023,,"No population denominator is used in this administrative-register product.",,,,,4,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",3,1,0,0
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2022,,"No population denominator is used in this administrative-register product.",,,,,3,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",2,1,0,0
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2021,,"No population denominator is used in this administrative-register product.",,,,,3,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",2,1,0,0
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2020,,"No population denominator is used in this administrative-register product.",,,,,6,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",3,3,0,0
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2019,,"No population denominator is used in this administrative-register product.",,,,,8,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",5,3,0,0
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2018,,"No population denominator is used in this administrative-register product.",,,,,6,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",3,3,0,0
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2017,,"No population denominator is used in this administrative-register product.",,,,,6,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",3,3,0,0
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2016,,"No population denominator is used in this administrative-register product.",,,,,6,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",4,2,0,0
"MN","mn-adm1-2017-geoboundaries-adm1","aimag","mn-adm1-2017-geoboundaries-adm1:265","265","Arkhangai",2015,,"No population denominator is used in this administrative-register product.",,,,,7,,,,,"National Statistics Office of Mongolia statbank table DT_NSO_2003_001V1 (TEMPLES AND CHURCHES, by type of religion, aimags and the Capital, and by year): administrative count of registered religious organisations (monasteries, temples, churches) in the aimag or Capital, Total type of religion. Not an OpenStreetMap snapshot and not census affiliation.","mn-nso-statbank-dt-nso-2003-001v1-temples-churches|geoboundaries-gbopen-mng-adm1-9469f09","administrative_religion_register;temples_and_churches_not_population_affiliation;place_count_is_nso_statbank_register;national_reconciliation_exact",5,2,0,0
