"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-BL","MU-BL","Black River",2000,60587,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",59754,98.63,,,,,,256.08,,,"statistics-mauritius-census-d6-2000|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-FL","MU-FL","Flacq",2000,126839,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",126481,99.72,,,,,,296.73,,,"statistics-mauritius-census-d6-2000|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-GP","MU-GP","Grand Port",2000,106665,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",106423,99.77,,,,,,261.9,,,"statistics-mauritius-census-d6-2000|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-MO","MU-MO","Moka",2000,75479,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",75138,99.55,,,,,,235.19,,,"statistics-mauritius-census-d6-2000|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-PA","MU-PA","Pamplemousses",2000,122252,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",120672,98.71,,,,,,179.98,,,"statistics-mauritius-census-d6-2000|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-PW","MU-PW","Plaines Wilhems",2000,358182,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",354713,99.03,,,,,,197.33,,,"statistics-mauritius-census-d6-2000|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-PU","MU-PU","Port Louis",2000,127855,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",127067,99.38,,,,,,40.38,,,"statistics-mauritius-census-d6-2000|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-RR","MU-RR","Rivière du Rempart",2000,98854,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",98155,99.29,,,,,,145.82,,,"statistics-mauritius-census-d6-2000|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","island","mu-adm1-2017-geoboundaries:MU-RO","MU-RO","Rodrigues",2000,35779,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",35705,99.79,,,,,,110.05,,,"statistics-mauritius-census-d6-2000|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-SA","MU-SA","Savanne",2000,66356,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",65635,98.91,,,,,,247.78,,,"statistics-mauritius-census-d6-2000|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-BL","MU-BL","Black River",2011,76604,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",73373,95.78,,,,,,256.08,,,"statistics-mauritius-census-d6-2011|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-FL","MU-FL","Flacq",2011,135406,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",134941,99.66,,,,,,296.73,,,"statistics-mauritius-census-d6-2011|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-GP","MU-GP","Grand Port",2011,110907,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",110111,99.28,,,,,,261.9,,,"statistics-mauritius-census-d6-2011|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-MO","MU-MO","Moka",2011,82302,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",81920,99.54,,,,,,235.19,,,"statistics-mauritius-census-d6-2011|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-PA","MU-PA","Pamplemousses",2011,136268,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",135483,99.42,,,,,,179.98,,,"statistics-mauritius-census-d6-2011|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-PW","MU-PW","Plaines Wilhems",2011,362292,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",357403,98.65,,,,,,197.33,,,"statistics-mauritius-census-d6-2011|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-PU","MU-PU","Port Louis",2011,118431,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",117477,99.19,,,,,,40.38,,,"statistics-mauritius-census-d6-2011|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-RR","MU-RR","Rivière du Rempart",2011,106267,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",105456,99.24,,,,,,145.82,,,"statistics-mauritius-census-d6-2011|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","island","mu-adm1-2017-geoboundaries:MU-RO","MU-RO","Rodrigues",2011,40434,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",40239,99.52,,,,,,110.05,,,"statistics-mauritius-census-d6-2011|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-SA","MU-SA","Savanne",2011,67906,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",67721,99.73,,,,,,247.78,,,"statistics-mauritius-census-d6-2011|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_not_separable_from_other_and_not_stated;district_rows_reconcile_exactly_to_national_row"
"MU","mu-adm1-2017-geoboundaries","district","mu-adm1-2017-geoboundaries:MU-BL","MU-BL","Black River",2022,87701,"resident population in the Statistics Mauritius Table D6 religion tabulation; percentages use the full Table D6 total",85743,97.77,1334,1.52,,,,256.08,,,"statistics-mauritius-census-d6-2022|geoboundaries-mus-adm1-2017","census_self_reported_religion_not_ethnicity;named_affiliation_groups_over_full_table_total;no_religion_separately_reported;district_rows_reconcile_exactly_to_national_row"
