"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:balaka","balaka","Balaka",2018,438379,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",436305,99.53,2074,0.47,,,,2134.32,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:blantyre","blantyre","Blantyre",2018,1251484,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",1242277,99.26,9207,0.74,,,,2025.94,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:chikwawa","chikwawa","Chikwawa",2018,564684,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",546266,96.74,18418,3.26,,,,4893.14,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:chiradzulu","chiradzulu","Chiradzulu",2018,356875,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",355246,99.54,1629,0.46,,,,760.36,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:chitipa","chitipa","Chitipa",2018,234927,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",233671,99.47,1256,0.53,,,,4250.71,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:dedza","dedza","Dedza",2018,830512,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",789519,95.06,40993,4.94,,,,3760.42,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:dowa","dowa","Dowa",2018,772569,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",738917,95.64,33652,4.36,,,,3065.25,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:karonga","karonga","Karonga",2018,365028,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",363288,99.52,1740,0.48,,,,3412.42,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:kasungu","kasungu","Kasungu",2018,842953,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",831068,98.59,11885,1.41,,,,8066.08,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:likoma","likoma","Likoma",2018,14527,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",14495,99.78,32,0.22,,,,20.27,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
