"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"MX","mx-municipality-2020-inegi-marco","municipality","mx-municipality-2020-inegi-marco:01001","01001","Aguascalientes, Aguascalientes",2010,790289,"sum of pcatolica, pncatolica, potras_rel, and psin_relig in INEGI CPV 2010 ITER",773216,97.84,17073,2.16,,,,1166.36,,,"inegi-cpv-2010-iter-locality|inegi-marco-geoestadistico-cpv2020-municipal","category_crosswalk_limited_to_four_top_level_constructs;uses_2020_municipality_boundary_without_split_merge_concordance;source_field_pncatolica_mapped_to_pro_crieva_construct"
"MX","mx-municipality-2020-inegi-marco","municipality","mx-municipality-2020-inegi-marco:01001","01001","Aguascalientes, Aguascalientes",2020,946408,"sum of PCATOLICA, PRO_CRIEVA, POTRAS_REL, and PSIN_RELIG in INEGI CPV 2020 ITER",887877,93.82,58531,6.18,,,,1166.36,,,"inegi-cpv-2020-iter-locality|inegi-marco-geoestadistico-cpv2020-municipal","category_crosswalk_limited_to_four_top_level_constructs;uses_iter_municipality_total_due_locality_suppression"
"MX","mx-municipality-2020-inegi-marco","municipality","mx-municipality-2020-inegi-marco:01002","01002","Asientos, Aguascalientes",2010,45195,"sum of pcatolica, pncatolica, potras_rel, and psin_relig in INEGI CPV 2010 ITER",44780,99.08,415,0.92,,,,543.37,,,"inegi-cpv-2010-iter-locality|inegi-marco-geoestadistico-cpv2020-municipal","category_crosswalk_limited_to_four_top_level_constructs;uses_2020_municipality_boundary_without_split_merge_concordance;source_field_pncatolica_mapped_to_pro_crieva_construct"
"MX","mx-municipality-2020-inegi-marco","municipality","mx-municipality-2020-inegi-marco:01002","01002","Asientos, Aguascalientes",2020,51498,"sum of PCATOLICA, PRO_CRIEVA, POTRAS_REL, and PSIN_RELIG in INEGI CPV 2020 ITER",50419,97.9,1079,2.1,,,,543.37,,,"inegi-cpv-2020-iter-locality|inegi-marco-geoestadistico-cpv2020-municipal","category_crosswalk_limited_to_four_top_level_constructs;uses_iter_municipality_total_due_locality_suppression"
"MX","mx-municipality-2020-inegi-marco","municipality","mx-municipality-2020-inegi-marco:01003","01003","Calvillo, Aguascalientes",2010,53938,"sum of pcatolica, pncatolica, potras_rel, and psin_relig in INEGI CPV 2010 ITER",53381,98.97,557,1.03,,,,923.36,,,"inegi-cpv-2010-iter-locality|inegi-marco-geoestadistico-cpv2020-municipal","category_crosswalk_limited_to_four_top_level_constructs;uses_2020_municipality_boundary_without_split_merge_concordance;source_field_pncatolica_mapped_to_pro_crieva_construct"
"MX","mx-municipality-2020-inegi-marco","municipality","mx-municipality-2020-inegi-marco:01003","01003","Calvillo, Aguascalientes",2020,58184,"sum of PCATOLICA, PRO_CRIEVA, POTRAS_REL, and PSIN_RELIG in INEGI CPV 2020 ITER",56846,97.7,1338,2.3,,,,923.36,,,"inegi-cpv-2020-iter-locality|inegi-marco-geoestadistico-cpv2020-municipal","category_crosswalk_limited_to_four_top_level_constructs;uses_iter_municipality_total_due_locality_suppression"
"MX","mx-municipality-2020-inegi-marco","municipality","mx-municipality-2020-inegi-marco:01004","01004","Cosío, Aguascalientes",2010,14847,"sum of pcatolica, pncatolica, potras_rel, and psin_relig in INEGI CPV 2010 ITER",14755,99.38,92,0.62,,,,128.38,,,"inegi-cpv-2010-iter-locality|inegi-marco-geoestadistico-cpv2020-municipal","category_crosswalk_limited_to_four_top_level_constructs;uses_2020_municipality_boundary_without_split_merge_concordance;source_field_pncatolica_mapped_to_pro_crieva_construct"
"MX","mx-municipality-2020-inegi-marco","municipality","mx-municipality-2020-inegi-marco:01004","01004","Cosío, Aguascalientes",2020,16992,"sum of PCATOLICA, PRO_CRIEVA, POTRAS_REL, and PSIN_RELIG in INEGI CPV 2020 ITER",16583,97.59,409,2.41,,,,128.38,,,"inegi-cpv-2020-iter-locality|inegi-marco-geoestadistico-cpv2020-municipal","category_crosswalk_limited_to_four_top_level_constructs;uses_iter_municipality_total_due_locality_suppression"
"MX","mx-municipality-2020-inegi-marco","municipality","mx-municipality-2020-inegi-marco:01005","01005","Jesús María, Aguascalientes",2010,98836,"sum of pcatolica, pncatolica, potras_rel, and psin_relig in INEGI CPV 2010 ITER",97455,98.6,1381,1.4,,,,499.9,,,"inegi-cpv-2010-iter-locality|inegi-marco-geoestadistico-cpv2020-municipal","category_crosswalk_limited_to_four_top_level_constructs;uses_2020_municipality_boundary_without_split_merge_concordance;source_field_pncatolica_mapped_to_pro_crieva_construct"
"MX","mx-municipality-2020-inegi-marco","municipality","mx-municipality-2020-inegi-marco:01005","01005","Jesús María, Aguascalientes",2020,129668,"sum of PCATOLICA, PRO_CRIEVA, POTRAS_REL, and PSIN_RELIG in INEGI CPV 2020 ITER",123772,95.45,5896,4.55,,,,499.9,,,"inegi-cpv-2020-iter-locality|inegi-marco-geoestadistico-cpv2020-municipal","category_crosswalk_limited_to_four_top_level_constructs;uses_iter_municipality_total_due_locality_suppression"
