"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","printed_population_total","religion_universe_deviation","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","composition"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-001","MY-DOSM-alor-gajah","Alor Gajah",1991,116103,"Agama/ Religion",116653,-550,115752,99.6976822304333,351,0.302317769566678,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;religion_universe_differs_from_printed_population_total","Islam=79402;Christianity=1387;Buddhism=19735;Hinduism=10651;Others=4577;No Religion/Unknown=351"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-001","MY-DOSM-alor-gajah","Alor Gajah",2000,132317,"Agama/ Religion",132317,0,131698,99.5321840730972,619,0.467815926902817,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=99333;Christianity=1521;Buddhism=16934;Hinduism=10591;Others=3319;No Religion/Unknown=619"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-001","MY-DOSM-alor-gajah","Alor Gajah",2010,173712,"Agama/ Religion",173712,0,172657,99.392672929907,1055,0.607327070093028,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=133328;Christianity=1837;Buddhism=24007;Hinduism=12805;Others=680;No Religion/Unknown=1055"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-001","MY-DOSM-alor-gajah","Alor Gajah",2020,249356,"Agama/ Religion",249356,0,242010,97.0540111326778,7346,2.94598886732222,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=191253;Christianity=2712;Buddhism=28284;Hinduism=18679;Others=1082;No Religion/Unknown=7346"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-002","MY-DOSM-asajaya","Asajaya",1991,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-002","MY-DOSM-asajaya","Asajaya",2000,28513,"Agama/ Religion",28513,0,28026,98.2920071546312,487,1.70799284536878,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=23659;Christianity=2042;Buddhism=1553;Hinduism=4;Others=768;No Religion/Unknown=487"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-002","MY-DOSM-asajaya","Asajaya",2010,31190,"Agama/ Religion",31190,0,29324,94.0173132414235,1866,5.98268675857647,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;partial_category_null_as_printed","Islam=26534;Christianity=2597;Buddhism=30;Others=163;No Religion/Unknown=1866"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-002","MY-DOSM-asajaya","Asajaya",2020,33606,"Agama/ Religion",33606,0,33602,99.988097363566,4,0.0119026364339701,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=29688;Christianity=2680;Buddhism=1197;Hinduism=1;Others=36;No Religion/Unknown=4"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-003","MY-DOSM-bachok","Bachok",1991,98552,"Agama/ Religion",98557,-5,98549,99.9969559217469,3,0.00304407825310496,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;religion_universe_differs_from_printed_population_total","Islam=97230;Christianity=9;Buddhism=1255;Hinduism=16;Others=39;No Religion/Unknown=3"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-003","MY-DOSM-bachok","Bachok",2000,109384,"Agama/ Religion",109384,0,109383,99.9990857895122,1,0.000914210487822716,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=108141;Christianity=5;Buddhism=1202;Hinduism=5;Others=30;No Religion/Unknown=1"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-003","MY-DOSM-bachok","Bachok",2010,126350,"Agama/ Religion",126350,0,126347,99.997625643055,3,0.00237435694499406,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=124723;Christianity=85;Buddhism=1507;Hinduism=24;Others=8;No Religion/Unknown=3"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-003","MY-DOSM-bachok","Bachok",2020,157288,"Agama/ Religion",157288,0,157000,99.8168963938762,288,0.183103606123798,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=155139;Christianity=160;Buddhism=1583;Hinduism=100;Others=18;No Religion/Unknown=288"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-004","MY-DOSM-bagan-datuk","Bagan Datuk",1991,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-004","MY-DOSM-bagan-datuk","Bagan Datuk",2000,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-004","MY-DOSM-bagan-datuk","Bagan Datuk",2010,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-004","MY-DOSM-bagan-datuk","Bagan Datuk",2020,82785,"Agama/ Religion",82785,0,81210,98.0974814277949,1575,1.90251857220511,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=47074;Christianity=865;Buddhism=15164;Hinduism=17800;Others=307;No Religion/Unknown=1575"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-005","MY-DOSM-baling","Baling",1991,114418,"Agama/ Religion",114485,-67,114190,99.8007306542677,228,0.199269345732315,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;religion_universe_differs_from_printed_population_total","Islam=98302;Christianity=347;Buddhism=6764;Hinduism=7171;Others=1606;No Religion/Unknown=228"
